[0.37-1.39] 哈喽大家好
[1.39-3.57] 今天录一小段
[3.57-5.65] 第二场景搞定了
[5.65-6.09] 看怎么样
[6.09-7.47] 这是第二场景
[7.47-9.69] 红红火火的
[9.69-10.47] 壁炉
[10.47-12.61] 老王在家里
[12.61-15.51] 所以穿的衣服比较不正规
[15.51-17.13] 起晚了今天
[17.13-19.23] 但是看到大家的评论
[19.23-21.01] 觉得非常有意思
[21.01-23.85] 所以咱们增加一种内容
[23.85-27.25] 就是我给大家读读评论
[27.25-30.03] 然后我的感想感受
[30.03-31.95] 咱们来一个现场的
[31.95-32.17] 好了
[32.17-33.43] 准现场
[33.43-34.25] 以后再直播
[34.25-34.91] 我先练练
[34.91-37.19] 我现在不敢直播
[37.19-38.81] 因为我怕我捅错了
[38.81-39.61] 万一什么
[39.61-42.35] 正在开车什么的
[42.35-43.17] 对不对
[43.17-43.93] 这不合适
[43.93-44.21] 好了
[44.21-46.71] 看看今天大家怎么评论的
[46.71-47.37] 先看推特
[47.37-50.79] 然后再看YouTube
[50.79-55.46] 我会点名
[55.46-57.02] 大家做好准备
[57.02-58.86] 自由
[58.86-60.42] 反攻中赶不上直播
[60.42-61.62] 大老王哥直播
[61.62-62.62] 可以公告一下吗
[62.62-63.12] 我一放
[63.12-64.62] 公推特都不上
[64.62-65.58] 去油管查证
[65.58-66.64] 你出新视频没
[66.64-68.24] 金级太精彩牛逼
[68.24-70.84] 有道理
[70.84-73.18] 我会固定时间
[73.18-76.62] 这样的话大家就不要被我 surprise attack
[76.62-79.46] 不要被我搞一下
[79.46-81.56] 搞一下
[81.56-82.12] 这不好
[82.12-84.74] 想这样吧
[84.74-87.26] 以后就是争取每天一更争取
[87.26-89.40] 但是你要说保证我的浓度
[89.40-92.34] 我着流什么
[92.34-92.66] 一
[92.66-93.12] 那个
[93.12-99.26] 浓度每天一更不是生产队的奶牛
[99.26-102.34] 生产队的种牛也扛不住
[102.34-106.18] 这是翟副主席已经江郎才尽
[106.18-107.96] 已经稀乎成那样了
[107.96-110.12] 得勾欠听了
[110.12-110.92] 两倍语速
[110.92-112.32] 我现在都听不下去
[112.32-114.72] 我他妈的打到头两倍
[114.72-117.00] 五倍语速
[117.00-122.26] 王主席虽然现在还在厚积薄发浓浓的状态中喷油而出
[122.26-122.52] 哎呀
[122.52-124.32] 还文文思想什么呢
[124.32-125.54] 文思啊
[125.54-127.28] 文思喷油而出而出
[127.28-127.86] 但是呢
[127.86-129.80] 你要说让我一天一更
[129.80-131.74] 我得保证质量
[131.74-135.66] 我保证两天一更应该没问题
[135.66-136.70] 一天一更呢
[136.70-138.02] 就是我试一下啊
[138.02-139.86] 我看我能扛不能扛住
[139.86-141.84] 因为我毕竟还有点别的事啊
[141.84-143.82] 我不能整天干这个呀
[143.82-145.28] 那不是真成专业的了吗
[145.28-145.74] 对不对
[145.74-148.26] 咱们还还不专业啊
[148.26-150.90] 所以争取一天一更时间呢
[150.90-152.38] 我就贴到这个回复上了啊
[152.52-155.16] 夹西时间晚上七点
[155.16-156.72] 正好我也吃完饭了
[156.72-158.78] 这个美东时间
[158.78-159.88] 加东时间晚上十点
[159.88-160.68] 中国上午十点
[160.68-161.46] 这时间特别好
[161.46-163.62] 因为我我经常给国内的打电话
[163.62-165.24] 也是个时间段好了
[165.24-166.02] 想了很久
[166.02-170.50] 发现原来王主席和香港音乐人雷颂德长得非常是相像
[170.50-171.90] 雷颂德是谁呀
[172.84-173.34] 我钱
[174.36-175.20] 这么丑吗
[175.20-180.82] 这宅妇之前暗恋过老王吗
[180.82-181.60] 他是同性恋
[181.60-183.12] 他肯定暗恋我
[183.12-183.86] 他干完了
[183.86-185.96] 还要录一下视频给我们看
[185.96-187.22] 在会议室给我们看
[187.22-189.20] 我投到打头影上
[189.20-192.14] 宅副主席你互泼脏水
[192.14-196.10] 真是你说我我也说你又摩擦了宅副主席一下
[196.10-197.42] 他很快要有反应了
[198.56-200.54] 估计估计不会了
[200.54-201.32] 因为他不敢
[201.32-201.68] 你知道吧
[201.68-202.70] 这叫基因雅致
[202.70-203.66] 什么叫基因雅致
[203.66-204.50] 你知道吗
[204.50-205.08] 他见上我
[205.08-208.40] 他就他就坐地排碗
[210.32-211.34] 睁眼一看
[211.34-213.30] 感觉和王继贤长得挺像
[213.30-213.44] 哎
[213.44-215.54] 这还真有可能
[215.54-216.38] 真有可能
[216.38-217.88] 他也被惊人
[217.88-219.50] 等我去基辅看看
[221.42-223.24] 他是在基辅奥德萨
[223.24-224.66] 奥德萨海边的城市
[224.66-226.94] 那个正好插一句
[226.94-228.98] 这个宅副主席我看开始下套了
[228.98-230.00] 昨天宅副主席说
[230.00-231.02] 在迪拜买房子
[231.02-233.36] 十个理由一派胡言
[233.36-234.80] 他又开始胡闹了
[234.80-236.00] 所以我得盯着他
[236.00-238.16] 我觉得他屁股还一撅
[238.16-239.24] 不是尾巴一撅
[240.74-242.54] 屁股一起尾巴一撅
[242.54-243.26] 我就知道他要干什么了
[243.44-243.84] 哎呀
[243.84-245.40] 我说他要卖房子
[245.40-246.68] 他肯定跟迪拜那个
[246.68-247.76] 他肯定在迪拜
[247.76-249.30] 他肯定不在伦敦
[249.30-250.80] 这个我这个
[252.44-253.22] 雷达一扫描
[253.22-255.20] 但是迪拜不是伦敦
[255.20-255.74] 为什么呢
[257.72-260.72] 因为宅副主席他是个热血制的性格
[262.10-263.24] 是不是就蹭
[263.24-265.22] 蹭就蹭吧
[265.22-266.30] 蹭到反胃再说
[266.30-268.20] 这个他是热血制性格
