[0.91-2.21] 哈喽,大家好
[2.21-4.29] 看我这个
[4.29-6.41] 这身,今天又换了一身
[6.41-8.35] 老王继续给大家cosplay
[8.35-10.83] 这是什么衣服
[10.83-11.21] 看看
[11.21-14.23] 仔细看看
[14.23-16.31] 猜猜
[16.31-17.75] 雨夜涂服装
[17.75-21.23] 老王满身大汗,刚刚换完机油
[21.23-24.11] 这是机械师的服装
[24.11-25.89] 老王干事
[25.89-27.61] 善其事,利其器
[27.61-28.41] 这个
[29.41-30.55] 修发动机今天
[30.55-32.25] 叫Winterize
[32.25-34.15] 就是冬天之前
[34.15-36.37] 这个游艇的发动机
[36.37-37.79] 要做一下这个保养
[37.79-39.13] 冬季保养,因为它一下
[39.13-41.47] 几个月就不动了
[41.47-43.73] 这些东西都是老王自己做
[43.73-45.11] 你看想不到吧
[45.11-47.81] 不但会cos催泳员
[47.81-49.63] 大家好,我是小崔
[49.63-51.63] 不但会cos催泳员
[51.63-53.71] 还会cos机械师
[53.71-54.97] 多变老王
[54.97-55.89] 多变老王
[55.89-57.45] 为什么呢
[57.45-60.25] 先扯点用不着的
[60.25-61.25] 这个
[61.25-62.25] 这个
[62.25-63.25] 这个
[63.25-65.25] 弄游艇啊玩船啊
[65.25-66.25] 就是你中国人啊
[66.25-68.25] 就是在温哥华呀
[68.25-70.25] 在别的地方可能也有
[70.25-71.25] 但是人家老外
[71.25-73.25] 本地老外人家瞧不起你
[73.25-74.25] 你的船特别好
[74.25-76.25] 你船比人家老外的船好
[76.25-78.25] 但人为什么瞧不起你呢
[78.25-80.25] 你觉得一个猴子开车
[80.25-81.25] 开个宝马
[81.25-82.25] 你会瞧得起猴子吗
[82.25-84.25] 是一个道理的
[84.25-85.25] 就是你除了有钱
[85.25-86.25] 你什么都没有
[86.25-87.25] 你装逼
[87.25-88.95] 拍钱拍钱拍钱给我修船
[88.95-89.39] 给我开船
[89.39-90.25] 人家会觉得你这个猴子
[90.25-91.25] 你这个人啊不handy
[91.25-92.25] 是个傻逼
[92.25-93.25] 你知道吧
[93.25-94.25] 你就是个纯傻逼
[94.25-95.25] 你就是跟你看中东
[95.25-96.25] 骆驼上那些富豪
[96.25-97.25] 动不动就拍一个
[97.25-99.25] 什么五千万买个什么车
[99.25-101.25] 送给一个路边的要饭的
[101.25-102.25] 这个就是看这些东西
[102.25-104.25] 就是觉得你是把纯的
[104.25-105.25] 你知道吧
[105.25-106.25] 傻
[106.25-107.25] 所以呢咱们中国人啊
[107.25-109.25] 就是你像我这样的
[109.25-111.25] 我就喜欢这样
[111.25-112.25] 就这样
[112.25-113.25] 做事特别认真
[113.25-114.25] 老外也不是这么认真
[114.25-115.25] 他们换机游
[115.25-116.25] 有的时候也就穿个牛仔裤
[116.25-117.25] 就下去了
[117.25-118.25] 但我不
[118.25-119.25] 我一定弄特别正规
[119.25-120.25] 我还有小帽子和头灯
[120.25-121.25] 我就
[121.25-122.25] 我就没带啊
[122.25-123.25] 怕吓着你们
[123.25-124.25] 这个老外干啥去了
[124.25-126.25] 去挖金矿去了
[126.25-128.25] 这个
[128.25-129.25] 就是
[129.25-131.25] 我就从形象上
[131.25-132.25] 从能力上
[132.25-133.25] 就是给他一个shock
[133.25-134.25] 给他一个震撼
[134.25-136.25] 就是中国人也有这样的
[136.25-137.25] 也有这样的
[137.25-140.25] 这个
[140.25-142.25] 你周围看看这些老外啊
[142.25-144.25] 他们玩船玩飞机的啊
[144.25-145.25] 都七八十岁
[145.25-146.25] 满头白发
[146.25-148.25] 然后自己修理
[148.25-149.25] 自己保养
[149.25-150.25] 他们
[150.25-151.25] 他不是没有钱
[151.25-152.25] 他不是舍不得啊
[152.25-153.25] 这两回事
[153.25-156.25] 他就是一个
[156.25-157.25] 他就是爱
[157.25-158.25] 他是真的是爱
[158.25-159.25] 啊
[159.25-160.25] 他认识人生
[160.25-163.25] 他真的是这样的一个享受过程的过程
[163.25-164.25] 这是我们中国人没有的啊
[164.25-166.25] 中国人有钱的都是很焦躁
[166.25-167.25] 很浮躁
[167.25-168.25] 很很焦虑
[168.25-172.25] 老是不能享受过程本身
[172.25-174.25] 就像那个打炮一样
[174.25-176.25] 你得享受过程本身
[176.25-178.25] 老王说我一个干干一小时
[178.25-179.25] 他说你吹牛逼
[179.25-181.25] 老王你五分钟的事儿
[181.25-182.25] 我说五分钟
[182.25-184.25] 我最后那个
[184.25-185.25] 文思泉涌
[185.25-186.25] 我都五分钟
[186.25-187.25] 文思泉涌啊
[187.25-188.25] 别想多了
[188.25-189.25] 都五分钟
[189.25-190.25] 为什么呢
[190.25-193.25] 就是你要把自己禅定在那个过程中
[193.25-195.25] 那是才是真正的享受
[195.25-197.25] 修船修飞机是一个道理
[197.25-198.25] 不是吹牛逼
[198.25-199.25] 老王老王开船
[199.25-201.25] 我的朋友们
[201.25-203.25] 这个亲戚朋友们啊
[203.25-205.25] 坐在
[205.25-207.25] 我开的这个游艇上
[207.25-208.25] 我亲自开的
[208.25-210.25] 他们非常放松
[210.25-213.25] 他们会就会忘掉自己是在游艇上
[213.25-214.25] 就是哎呀
[214.25-215.25] 各种闹啊
[215.25-216.25] 各种作呀
[216.25-218.25] 就是这是一个船长
[218.25-220.25] 最大的荣耀
[220.25-223.25] 就是你不要让人让你的乘客
[223.25-226.25] 觉得他在航海
[226.25-228.25] 你懂这个意思吗
[228.25-229.25] 他紧张了
[229.25-230.25] 我说哎呦
[230.25-232.25] 我要随时准备跳伞
[232.25-233.25] 这个就不是个好机场
[233.25-234.25] 好机长啊
[234.25-235.25] 那船长也是
[235.25-237.25] 随时啊这救生圈在哪啊
[237.25-238.25] 船长也是
[238.25-239.25] 上来就问那船长
[239.25-241.25] 你救生衣又够不够啊
[241.25-242.25] 灭火器在哪
[242.25-244.25] 救生艇怎么上去
[244.25-246.25] 你这个最好还是在回炉
[246.25-247.25] 对不对
[247.25-249.25] 这个今天啊
[249.25-250.25] 蹭巴以战争啊
[250.25-251.25] 巴以战争
[251.25-252.25] 我本来不想谈实事
[252.25-254.25] 但是今天
[254.25-255.25] 实在不太不行了
[255.25-257.25] 因为我这个这个歪风邪气
[257.25-258.25] 在网上我看不下去了
[258.25-259.25] 你知道吧
[259.25-260.25] 哎呀我这这他妈的
[260.25-262.25] 这个以色列这个
[262.25-264.25] 呃太惨了
[264.25-266.25] 这孩子血淋淋的
[266.25-268.25] 呃确实是
[268.25-270.25] 我有自己的孩子
[270.25-271.25] 我有自己的孩子
[271.25-272.25] 我
[272.25-273.25] 我说实话
[273.25-274.25] 我没有办法想象
[274.25-276.25] 如果这些命运
[276.25-277.25] 这些状态
[277.25-279.25] 发生在我自己的孩子身上
[279.25-282.25] 我会变成一个什么样的野兽
[282.25-284.25] 我追到天涯海角也会杀死你们
[284.25-286.25] 这就是我真情实感
[286.25-287.25] 这个内容呢
[287.25-288.25] 是今天的主要内容
[288.25-290.25] 发生在大概
[290.25-291.25] 20分钟以后
[291.25-292.25] 20分
[292.25-294.25] 你要是不想听老王开火
[294.25-295.25] 开车
[295.25-297.25] 直接跳到20分钟以后
[297.25-298.25] 呃进干货啊
[298.25-299.25] 巴以战争
[299.25-300.25] 我给你讲一个故事
[300.25-302.25] 我从一个完全不同的角度
[302.25-303.25] 讲完你啪就明白了
[303.25-305.25] 啪就明白了
[305.25-306.25] 明白了啊
[306.25-307.25] 你别想歪了
[307.25-310.25] 啪就是明白了啊
[310.25-311.25] 醍醐灌顶
[311.25-313.25] 你以为灌哪
[313.25-315.25] 咱们还是先插
[315.25-316.25] 插播这个网友互动啊
[316.25-317.25] 我特别喜欢看评论
[317.25-318.25] 所有的评论
[318.25-319.25] 我都认真看
[319.25-320.25] 包括骂我的
[320.25-321.25] 我对骂
[321.25-322.25] 我喷
[322.25-323.25] 这个然后
[323.25-325.25] 夸我的我也很爽
[325.25-326.25] 很爽
[326.25-327.25] 第一个叫
[327.25-328.25] candy
[328.25-329.25] cancel me
[329.25-330.25] cancel me
[330.25-331.25] delete你得了
[331.25-332.25] 你是不是缺钱了
[332.25-334.25] 我最近劝一个大佬开直播
[334.25-335.25] 理由就是
[335.25-337.25] 王老吉都开了
[337.25-339.25] 他说我的事上不了台面
[339.25-340.25] 气得我大骂
[340.25-341.25] 恨死你
[341.25-343.25] 哎
[343.25-344.25] 这
[344.25-345.25] 我是缺钱了
[345.25-346.25] 这钱
[346.25-348.25] 有句俗话
[348.25-350.25] 叫金山银山不如日进
[350.25-352.25] 日进分文
[352.25-354.25] 我11年没有分文入账了
[354.25-355.25] 我是我是缺钱了
[355.25-356.25] 行吗
[356.25-359.25] 这我是我我等我等我研究出来打赏功能啊
[359.25-361.25] 我现在重点不在那上面
[361.25-363.25] 我现在就文思泉涌
[363.25-366.25] 我现在先把这个火泄了
[366.25-368.25] 然后我让你们打赏我好吧
[368.25-369.25] 5块钱10块钱
[369.25-370.25] 是20块钱
[370.25-371.25] 你们打赏
[371.25-372.25] 资本大恶
[372.25-374.25] 我操我打赏资本大恶了
[374.25-375.25] 牛逼
[375.25-377.25] 我操你这简直是人生
[377.25-378.25] 最大的成就了
[378.25-379.25] 我操你居然打赏
[379.25-381.25] 你居然打赏他了
[381.25-382.25] 我操你比他有钱
[382.25-383.25] 牛逼啊
[383.25-384.25] 牛逼
[384.25-385.25] 哎呀网友是人才记记
[385.25-386.25] 我
[386.25-388.25] 有一瓶木桶被你们发现了
[388.25-389.25] 我打个严点
[389.25-390.25] 低调一点
[390.25-391.25] 假的
[391.25-393.25] 瓶里边灌的尿
[395.25-397.25] 他说我的事上不了台面
[397.25-398.25] 所以他不开
