[1.14-2.10] 哈喽大家好
[2.10-6.22] 今天先蹭一段宅副主席
[6.22-13.40] 然后再回答一些那个推友对于玄学的提问
[13.40-16.50] 这个有好多推友问我说
[16.50-20.78] 宅副主席骗了20个亿卷了20个亿钱去哪了
[20.78-23.18] 您这个梗图啊什么的我们看不懂
[23.18-27.54] 我呢讲过这么一个故事
[27.54-32.24] 就是流长的故事
[32.24-34.18] 后汉皇帝流长的故事
[34.18-35.96] 我今儿给大家说透这个故事
[35.96-38.10] 好吧大家省了扩展阅读自己找不出来
[38.10-43.38] 说这个赵匡胤灭五代十国的这个过程中
[43.38-46.30] 灭了南唐的李后主
[46.30-48.28] 李后主就是李玉嘛
[48.28-50.62] 就是小楼昨夜又春风那个李后主
[50.62-52.52] 他被灭之前他可不这样
[52.52-55.90] 他天天在那个宫里边玩女人
[55.90-57.52] 哎呦他写那银诗
[57.52-59.20] 这都是世界级的
[59.20-61.40] 然后可是那些银诗没怎么留下来
[61.40-63.12] 但是这个被抓起来以后
[63.12-63.98] 哎呀天天哭啊
[63.98-66.40] 以泪洗面后悔自己没有历经图治
[66.40-67.54] 混到今天这地步了
[67.54-69.96] 写了这些筷子人口的这些诗
[69.96-71.54] 什么故国不堪
[71.54-74.38] 回首月明月明中都是他写的
[74.38-76.66] 这个流长跟他有啥关系呢
[76.66-80.38] 他这个南唐不是在这个上海一带吗
[80.38-81.60] 江浙地区吗
[81.60-82.84] 他往南走是哪啊
[82.84-86.08] 往南走就是后汉就是广东
[86.08-87.52] 广东人
[87.52-91.30] 广东就是越国那那片那时候叫后汉
[91.30-93.16] 他那皇帝啊叫刘长
[93.16-96.08] 你想啊赵匡胤大军杀到宋朝大军杀到
[96.08-98.28] 那就顺道就把刘长给灭了
[98.28-99.64] 这刘长是个什么人呢
[99.64-101.40] 刘长特别像翟副主席
[101.40-102.52] 我爱读历史
[102.52-103.62] 我读到刘长的时候
[103.62-105.50] 翟副主席就跃然纸上
[105.50-108.28] 翟副主席一定是刘长转世
[109.66-111.58] 刘长有个特点就是特别能说
[111.58-113.92] 他表达原表达能力特别强
[113.92-117.16] 但是呢老刘家刘长呢就是有一个特点
[117.52-119.20] 他不信男的
[119.20-121.18] 他不信那个能的人
[121.18-125.04] 他呢都觉得男人就会背叛自己
[125.04-126.16] 他也读历史
