[0.00-3.64] 哈喽,大家好,欢迎又来听老王讲故事
[3.64-8.20] 今天是2023年10月16日,星期天
[8.20-9.90] 祝大家周末愉快
[9.90-15.44] 有人说老王换的这个新的场景是P图抠的
[15.44-18.06] 这不可能,这不可能,你可以辱辱我
[18.06-20.78] 但你不可以辱辱我的背景
[20.78-23.84] 如果老王用P图抠出来一个背景
[23.84-25.80] 那翟主席也可以这么干
[25.80-28.04] 那我们老哥俩这还有完吗
[28.16-29.74] 可是我也不知道为什么
[29.74-32.94] 确实这个背景呢,确实像抠的
[32.94-34.80] 因为这个外边居然还有个棱
[34.80-36.84] 我的这个人像还有个棱
[36.84-39.24] 为了证明,无聊的证明
[39.24-41.62] 老王今天不是抠出来的图
[41.62-43.50] 老王给大家做一个物理实验
[43.50-45.28] 把这个小勺扔后起
[45.28-47.48] 如果它是背景的话,它不可能有水波的
[47.48-51.97] 看着点啊,看见了吗
[51.97-54.93] 看见了吗,有水波,看见了吗
[54.93-58.07] 所以呢,这足以证明老王是真的在炫富
[58.17-60.57] 而不是抠了一个背景图
[60.57-61.93] 老王跟翟主席
[61.93-66.37] 斗富是很认真的,是很投入的
[66.37-71.75] 啊,所以大家不要怀疑老王在工作上的认真程度
[71.75-75.33] 所以呢,今天我们继续讲我们的老故事
[75.33-76.79] 有些朋友说了
[76.79-79.75] 老王怎么你还讲黄光玉的故事啊
[79.75-82.15] 你能不能讲点新的呀
[82.15-85.09] 你这个故事也太老了
[85.09-86.59] 你们就肤浅了
[86.59-89.73] 你们不要把我这儿当成一个时政频道
[89.73-90.73] 老王一再强调
[90.73-91.93] 这不是一个时政频道
[91.93-96.65] 这是一个在加拿大隐居了11年的
[96.65-98.85] 前中国资本大鳄
[98.85-102.69] 讲述中国资本市场老故事的说书厂
[102.69-104.21] 这是一个书厂
[104.21-106.85] 您把我这儿当成俄云社
[106.85-108.05] 就得了
[108.05-110.37] 郭德纲一会儿给你讲张小乙
[110.37-112.15] 一会儿给你讲说岳
[112.15-114.71] 怎么老王讲讲黄光玉你都嫌老啊
[114.71-117.79] 其实老王慢慢的发挥越来越好
[117.79-119.73] 老王这个单口一旦嗨起来啊
[119.73-121.73] 我比郭德纲只差那么一点点啊
[121.73-123.27] 其实吧
[123.27-125.31] 我的口条
[125.31-127.37] 比郭德纲强那么一点点
[127.37-128.39] 但是因为我
[128.39-130.95] 少年时代去经商做金融
[130.95-134.01] 所以呢郭德纲口条才比我强了那么一点点
[134.01-137.09] 如果2000年前后我没有做金融
[137.09-139.65] 我下海跟郭德纲在天桥搞德云社
[139.65-142.21] 没准今天我就是德云二哥呢
[142.21-144.01] 前两天啊有一网友说
[144.01-146.81] 哎有一资本市场的另一个老人出来了
[146.81-148.61] 他叫顾厨君
[148.61-149.89] 厨鸟的厨
[149.89-150.91] 军队的军
[150.91-151.69] 顾厨君的军
[151.73-152.75] 军老先生出来了
[152.75-154.29] 他告中国证监会了
[154.29-155.57] 他又告地方政府了
[155.57-157.11] 你能不能讲讲这事啊
[157.11-159.15] 哎这事我还有发言权呢
[159.15-160.95] 因为他足够老
[160.95-162.99] 一言一句说
[162.99-166.33] 老顾是一个宅山英式的企业家
[166.33-168.37] 怎么叫宅山英式的企业家呢
[168.37-169.65] 就是他们这种人呢
[169.65-171.69] 都是一个热血制的人
[171.69-173.75] 他有艺术家的气质
[173.75-177.07] 他有极强的语言表达能力及煽动性
[177.07-178.09] 但是呢
[178.09-179.89] 俗话说的就是
[179.89-181.69] 想起来一出子是一出子
[181.73-183.27] 他很难把一个事情呢
[183.27-185.57] 从头做到尾
[185.57-186.59] 老顾呢
[186.59-188.39] 就是这样一个人
[188.39-190.17] 老顾的出身呢
[190.17-192.73] 是天津大学热能工程系
[192.73-195.29] 他是天大热工系出来的
[195.29-196.33] 热能工程呢
[196.33-199.65] 就是锅炉啊空调啊制冷这个行业
[199.65-201.45] 他在这个行业呢
[201.45-203.49] 开始进行学术研究
[203.49-206.81] 所以当时呢这个行业有一个热门话题
[206.81-208.61] 也就是拯救臭氧层
[208.61-210.91] 当时臭氧层出了个漏洞
[210.91-212.95] 都说是佛利昂造成的
[212.95-215.51] 所以呢当时对无氟制冷剂的研究呢
[215.51-218.07] 是一个国际性的先进课题
[218.07-220.13] 老顾呢就声称
[220.13-222.69] 他搞出来了一个叫故事制冷剂的
[222.69-225.51] 故事就是他自己那个故事制冷剂
[225.51-228.07] 他给大家讲了一个什么故事呢在这里面
[228.07-230.87] 就是他这制冷剂完全没有佛利昂
[230.87-232.67] 而且制冷效果更好更省电
[232.67-235.49] 对大气完全没有污染
[235.49-236.77] 听起来呢
[236.77-237.79] 不可思议
[237.79-240.61] 关键是配方不告诉所有的人
[240.61-242.41] 所以呢大家都说他是骗子
[242.41-245.47] 也因此呢他在热能这个行业的学术圈里
[245.47-247.01] 名声比较臭
[247.01-249.57] 他在学术圈上无法说服这些科学家呢
[249.57-252.13] 他就决定在实业上击败他们
[252.13-253.41] 于是老顾呢
[253.41-254.95] 愤而出走英国
[254.95-256.73] 在英国
[256.73-259.55] 做了一个巨大无比的制冷剂公司
[259.55-263.13] 赚得了很多的钱几千万上亿的钱
[263.13-264.67] 这是老顾讲的故事
[264.67-268.01] 事实上是老顾大概90年代中期
[268.01-270.57] 到90年代末期他确实走了那么几年
[270.61-272.15] 去了英国
[272.15-273.69] 他在英国干了什么呢
[273.69-277.01] 讳莫如深没有人知道他在干什么
[277.01-281.37] 作为老王来说唯一知道他去英国之前并不懂资本运作
[281.37-284.69] 但是他从英国回来以后他懂资本运作了
[284.69-286.49] 他开了资本运作这个窍
