[0.91-2.91] Hello 大家好
[2.91-5.91] 晚上了睡不着跟大家聊聊天
[5.91-6.91] 放放松
[6.91-11.91] 回答一下今天给我印象比较深刻的几个网友的来信
[11.91-14.91] 现在有网友喜欢给我写信发私信
[14.91-16.91] 都很长
[16.91-20.91] 有些还真的是很有触动
[20.91-22.91] 第一有个网友问我
[22.91-27.91] 说您说不让录网贷
[27.91-29.91] 不让套信用
[29.91-31.91] 让我们做好事
[31.91-34.91] 可是我们环顾中国现在
[34.91-36.91] 不做好事的人
[36.91-38.91] 个个都飞黄腾达
[38.91-40.91] 做了好事的人
[40.91-42.91] 个个都混到不好
[42.91-43.91] 你像我
[43.91-45.91] 这个网友自己写
[45.91-47.91] 你像我老老实实老实本分
[47.91-49.91] 现在都快过不下去了
[49.91-52.91] 王老师您说的这个我接受不了
[52.91-57.91] 这当官的经商的这些全是王八蛋
[57.91-59.91] 子女们个个都是很好
[59.91-61.91] 是好的状态
[61.91-62.91] 没见受报应了
[62.91-64.91] 哎呀
[64.91-65.91] 我怎么说
[65.91-69.91] 我觉得你有点受翟副主席的毒害了
[69.91-71.91] 你这个问题
[71.91-74.91] 你不能老看翟副主席的观点
[74.91-76.91] 你要分析一个人在跟你说话的时候
[76.91-78.91] 他的坐的位置
[78.91-80.91] 他是不是客观中立的
[80.91-81.91] 但是翟副主席
[81.91-82.91] 因为他在国内
[82.91-83.91] 他受了挫折
[83.91-84.91] 他跑出来
[84.91-85.91] 他恨
[85.91-87.91] 他现在恨还没有放下
[87.91-88.91] 三个层次
[88.91-89.91] 然后是恨
[89.91-90.91] 然后是放下
[90.91-91.91] 他还没有放下
[91.91-94.91] 所以他说的往往是什么中绷
[94.91-95.91] 什么没有一个好人
[95.91-97.91] 所以我们也可以干坏事
[97.91-98.91] 他鼓励你干这些东西
[98.91-100.91] 这样的话你就听起来特别舒服
[100.91-101.91] 你觉得他说的真对
[101.91-102.91] 就是这么回事
[102.91-103.91] 王老师
[103.91-105.91] 你说你让孩子去参军
[105.91-107.91] 我们这些老百姓的孩子参军也没有前途
[107.91-110.91] 我们又不能脱门倒栋的
[110.91-115.91] 又没有钱去买通部队的这些不正之风的官僚
[115.91-117.91] 我们的孩子也不会有好下场
[117.91-119.91] 你听我给你娓娓道来
[119.91-120.91] 第一
[120.91-121.91] 我说让孩子当兵
[121.91-124.91] 参军不是说让孩子当兵参军之后
[124.91-125.91] 一人之下
[125.91-126.91] 万人之上
[126.91-127.91] 你理解错了
[127.91-129.91] 你普通老百姓的孩子一人之下
[129.91-131.91] 万人之上的可能性不大
[131.91-135.91] 除非你这个孩子特别有这方面的机缘和命运
[135.91-136.91] 它是可能的
[136.91-138.91] 当兵是可能改变命运的
[138.91-140.91] 但不一定能改变命运
[140.91-141.91] 这是其一
[141.91-142.91] 其二更重要的说
[142.91-144.91] 我说为什么让孩子去当兵
[144.91-146.91] 因为今天的中国
[146.91-149.91] 是未来的20年中最好的一年
[149.91-152.91] 真相往往就那么伤人
[152.91-153.91] 记住
[153.91-156.91] 今天的中国是未来20年中国最好的一年
[156.91-159.91] 《周易》里面讲元亨利真
[159.91-162.91] 《四十时令》讲春夏秋冬
[162.91-164.91] 我在2013年
[164.91-165.91] 我回去探亲
[165.91-170.91] 拜见一个非常得高望重的这样一个佛教的长者
[170.91-174.91] 他是有些通灵开天眼的这么一个高僧
[174.91-175.91] 我问他
[175.91-176.91] 我说
[176.91-179.91] 未来的中国是不是会好一点
[179.91-180.91] 他微微一笑
[180.91-182.91] 他说现在是秋天
[182.91-185.91] 但是你要动态的看这个问题
[185.91-188.91] 春天万物滋生是最舒服的
[188.91-192.91] 所以邓小平他叫春帝
[192.91-196.29] 夏天是江泽民
[196.29-198.29] 夏天万物繁荣
[198.29-201.29] 但是文营滋生
[201.29-202.29] 腐败免不了
[202.29-204.29] 但是经济最棒
[204.29-206.29] 所以江泽民叫夏帝
[206.29-207.29] 春天
[207.29-209.29] 夏天在广东
[209.29-210.29] 夏天在上海
[210.29-212.29] 他就开始往北移
[212.29-213.29] 到了老习
[213.29-214.29] 到陕西
[214.29-216.29] 陕西是土里的东西
[216.29-218.29] 他叫秋帝
[218.29-222.60] 万物肃杀
[222.60-225.60] 他就说到这他就不说了
[225.60-227.60] 他就微微一笑
[227.60-229.60] 我说那按照您这个逻辑
[229.60-231.60] 东帝还没有来呀
[231.60-232.60] 他笑了笑
[232.60-235.60] 东帝可能还不姓习
[235.60-236.60] 按照这个角度
[236.60-237.60] 你想
[237.60-239.60] 他是一点一点的在转吗
[239.60-240.60] 东帝往哪边转呀
[240.60-241.60] 哎呦
[241.60-242.60] 你看我擦八个大的
[242.60-243.60] 我擦那个方向
[243.60-245.60] 甚至是往西南方向转
[245.60-247.60] 他要这么转下去
[247.60-248.60] 这样的话呢
[248.60-251.60] 不知道是习家还是后习家
[251.60-253.60] 就是中国的
[253.60-258.60] 面对的这种挑战和厄运
[258.60-260.60] 可能刚刚开始
[260.60-263.60] 从12年到今天这10年
[263.60-265.60] 可是刚刚开始
[265.60-266.60] 所以
[266.60-267.60] 我听完高僧说的话以后
[267.60-269.60] 我心都拔凉拔凉了
[269.60-272.60] 然后我就义无反顾的飞回了加拿大
[272.60-275.60] 就不再想别的东西了
[275.60-276.60] 那么事实证明
[276.60-280.60] 这时间过来也确实印证了他的预言
[280.60-281.60] 确实是
[281.60-284.60] 我们当时以为习弄住政权以后
[284.60-286.60] 会重新恢复改开
[286.60-288.60] 会像他父亲习仲勋一样
[288.60-290.60] 采取比较包容的心态
[290.60-291.60] 不是
[291.60-292.60] 越走越左
[292.60-293.60] 越走越后退
[293.60-295.60] 所以确确实实12年
[295.60-296.60] 那是刚刚开始
[296.60-298.60] 刚刚入秋
[298.60-302.60] 整个中国如果未来20年是个冬天的话
[302.60-304.60] 深秋或者隆冬的话
[304.60-307.60] 你想你的孩子如果五六岁七八岁十来岁
[307.60-310.60] 他们的这一生是很悲惨的一生
[310.60-313.60] 他们不像我们这一代60后70后80后
[313.60-316.60] 我们赶上春夏这一代
[316.60-318.60] 他们00后以后10后以后
[318.60-322.60] 他们是面对一个很糟糕的这样一个社会
[322.60-324.60] 那在这样一个社会中
[324.60-326.60] 什么东西都是供给分配的
[326.60-329.60] 军队是一个好吃饭好混饭吃
[329.60-331.60] 至少不会挨饿的地方
[331.60-332.60] 你们想多了
[332.60-334.60] 老王让你们的孩子当兵
