[0.69-2.45] hello 大家好
[2.45-3.53] 又见面了
[3.53-4.81] 老王起来了
[5.13-7.05] 把孩子们送完
[7.33-8.73] 今天弄这么一身行头
[8.97-9.97] 这啥意思呢
[10.73-12.29] 给你们预演一下
[12.29-12.93] 预演一下
[13.93-15.49] 我有一个战术头套
[16.41-18.01] 过两天我不是做医美吗
[18.01-18.73] 做完医美
[18.73-20.49] 我就带着这个给大家录
[20.49-21.25] 可以吧
[22.17-23.69] 我觉得这个声音还可以
[23.69-24.65] 好像不太影响
[24.65-25.25] 咱们试试
[28.05-29.77] 它主要是不影响我呼吸
[29.77-31.13] 对吧
[31.41-33.09] 大家觉得声音受影响吗
[33.09-34.25] 应该不受影响了
[34.77-35.65] 戴上头套以后
[35.65-36.73] 声音受影响吗
[38.99-39.71] 做完医美
[39.71-40.71] 带着这个给大家录
[40.71-41.75] 又换一身
[41.75-42.99] 一件又是私人定制
[43.23-44.03] 就私人定制的
[44.03-44.67] 你看我名字
[44.87-46.27] 翟副主席快看一眼
[46.31-47.07] 我的名字
[48.91-50.47] 私人定制不是任何牌子的
[50.47-51.51] 就是量身打造的
[51.51-53.15] 这件真的有棱
[53.67-56.79] 这刚从柜子里的衬衫盒里
[56.79-58.47] 取出来板 纸板什么
[58.47-59.19] 刚撕掉
[60.03-61.35] 从来没穿过
[61.59-62.83] 我这压箱底了
[62.83-64.03] 一个一个都找上来了
[64.03-65.39] 那大家等着看
[65.39-66.51] 还多了去了
[67.51-68.71] 寡人有疾
[68.71-69.99] 寡人臭美
[70.27-71.31] 又医美
[71.35-72.19] 又换衣服的
[72.19-75.15] 这家伙可找着用物之地了
[76.31-77.83] 今天早上跟大家聊聊天
[77.83-78.55] 放放松
[78.55-80.31] 希望大家快乐一整天
[80.67-81.71] 昨天有个口误
[81.71-83.03] 我说10月16号星期天
[83.03-84.35] 有名演网友
[84.79-85.11] 大哥
[85.11-86.43] 你说10月16号星期天
[87.31-88.75] 这是我的错
[88.79-89.83] 昨天是星期几
[89.95-91.07] 因为我糊里糊涂的
[91.07-92.03] 因为对于我来说
[92.03-93.23] 每天都是星期天
[93.75-96.39] 所以我就脱口而出是星期天
[96.39-99.99] 所以以后看盘日历
[100.11-100.91] 今天是星期几
[100.91-103.91] 那咱们今天聊聊子女教育
[103.91-107.51] 和美国加拿大的生活感受
[107.75-109.39] 有很多人感兴趣
[109.39-110.23] 想让我谈一谈
[110.23-114.43] 很多人将来可能会润到国外来
[114.59-117.27] 美国加拿大总之都是你的首选之地
[117.71-119.59] 只有你来不来得了的问题
[119.59-120.91] 没有你想不想来的问题
[121.07-122.99] 所以翟副主席说他不喜欢美国
[122.99-124.07] 那是他一派胡言
[124.07-125.07] 他是来不了
[125.07-125.71] 你知道吧
[125.95-126.95] 他走的仓促
[126.95-128.75] 因为他做人他没有常有之际
[128.75-129.51] 他热血制的
[129.99-131.15] 他这艺术家气息
[131.31-132.07] 想起来一阵子
[132.07-132.83] 所以他要跑
[133.07-134.07] 只有遍千地
[134.07-134.95] 冀州岛
[135.43-136.19] 泰国
[136.19-138.19] 我怀疑他在泰国混了一段时间
[138.19-139.27] 因为好多网友说
[139.27-140.59] 那时候说他在泰国
[140.59-142.11] 不可能在泰国
[142.11-143.51] 因为他要在泰国的话
[143.83-145.19] 他就不会这么高调了
[145.19-146.59] 泰国离中国太近了
[146.59-147.91] 大家分分钟抓住他了
[148.23-149.43] 怎么又扯翟主席
[149.83-151.03] 我这心拔凉拔凉
[151.07-152.91] 让他有这个造了病的
[154.23-155.79] 美国和加拿大
[156.19-158.27] 在中国人的概念里边
[158.47-159.35] 他很像
[159.51-160.63] 说起美国就是加拿大
[160.63-161.75] 说起加拿大就是美国
[161.75-162.87] 觉得它是一个国家
[162.87-164.51] 只不过中间有个国界而已
[164.71-165.31] 其实不是
[165.31-167.55] 这两个国家差异非常之大
[168.19-169.91] 加拿大这个国家跟美国相比
[170.15-171.71] 加拿大更像昆明
[171.83-173.31] 他那个人的心态
[173.43-174.55] 人的状态
[174.55-177.79] 更像是云南昆明西双版纳这种地方
[178.07-179.39] 这个地方的人
[180.35-180.99] 用美国人的形容
[180.99-181.03] 用美国人的形容
[181.03-181.07] 用美国人的形容
[181.07-181.71] 用美国人的眼睛看
[181.83-182.79] 就是比较懒
[183.43-185.79] 但是在加拿大眼里看美国
[185.95-187.83] 就觉得这帮逼太作了
[187.83-188.83] 太闹了
[189.11-193.03] 就相当于我们中国人看北京上海
[193.43-194.03] 繁华吗
[194.03-194.67] 是挺繁华
[194.67-196.23] 但是我一点不羡慕你的人生
[196.23-197.83] 因为你他妈睁开狗眼
[197.83-199.83] 你就得挤地铁挤弯地铁
[199.87-201.11] 等你回了家
[201.15-202.11] 天又黑了
[202.55-204.95] 人和人之间的关系都拉得很紧
[204.99-206.47] 你的人生也崩得很紧
[206.47-208.79] 这是加拿大人看美国人的观感
[209.47-210.95] 所以如果你要是有
[210.95-213.27] 一个雄心勃勃的人生计划
[213.31-215.47] 你想实现自己的人生梦想
[215.51-216.99] 那你就把它送到美国去
[217.03-219.19] 美国是一个实现梦想的地方
[219.83-222.07] 还有些杠头说美国也有乡下
[222.07-222.99] 那我不跟你抬杠了
[224.03-226.35] 但是加拿大就没有纽约
[226.35-228.31] 除了多伦多像点城市之外
