[0.59-4.11] 哈喽 大家好 德云二哥又来了
[4.11-6.29] 今天温哥华下着小雨
[6.29-9.99] 稀稀地的小雨在我的游艇外面下着
[9.99-12.37] 我的心就飞向了地球的另一边
[12.37-14.75] 我今天早晨睁开眼
[14.75-18.65] 本着对老宅的爱点开了老宅的直播
[18.65-20.29] 嗯 没找到 没找到
[20.29-22.19] 因为老王的技术还是不过关现在
[22.19-24.53] 刚玩了两个星期的YouTube
[24.53-26.07] 没找到他
[26.07-30.41] 哎呀 我说这老宅背不出是被我给喷黄了吧
[30.41-32.13] 不能吧 这个我
[32.13-35.27] 我们老哥俩这要斗到死吧
[35.27-36.45] 还要弄50年呢
[36.45-38.83] 这怎么15天就喷个黄了
[38.83-43.13] 哎 我最后看尾声的时候我找着了
[43.13-46.07] 哎呀 就给我带来了无穷的欢乐
[46.07-48.13] 我又差点忘了送小孩
[48.13-50.47] 现在 德云二哥附体
[50.47-53.45] 我们今天做一次戏老宅专场秀
[53.45-56.25] 以回应老宅对我的半推半就
[56.25-59.05] 他今天显然没有严防死守
[59.05-60.39] 他没有严防死守
[60.41-62.09] 各位推友们
[62.09-66.09] 如果你们觉得我口昏
[66.09-67.01] 今天别看啊
[67.01-68.81] 今天十八禁啊
[68.81-70.49] 就是我戏老宅呢
[71.57-73.49] 我的郁闷之处在哪呢
[73.49-74.99] 就是他严防死守
[74.99-76.49] 他总是严防死守
[76.49-77.15] 这样的话呢
[77.15-78.65] 我有一种奸狮感
[78.65-80.87] 你知道奸狮太变态了
[80.87-82.25] 太变态了
[82.25-83.27] 我就不知不觉的
[83.27-84.65] 我就觉得自己很变态
[84.65-85.89] 因为人家都不动嘛
[85.89-88.07] 各种摩擦
[88.07-89.65] 其实我都已经气馁了
[89.65-90.37] 我都不想再提了
[90.37-93.21] 你看我我我昨天录的那两期节目
[93.21-93.97] 我没有提他
[93.97-94.55] 因为什么呢
[94.55-96.51] 我就觉得有罪恶感
[96.51-98.47] 我生了怜悯之心
[98.47-100.77] 然后我也觉得是不是我一厢情愿
[100.77-102.13] 我的爱覆水难收
[102.13-104.61] 但是但是人家没有反应
[104.61-107.05] 人家要跟我相忘于江湖
[107.05-110.23] 正在我犹豫的时候
[110.23-111.07] 我听到了
[112.07-113.93] 我身子底下这个老宅
[113.93-116.05] 闭着眼睛在装死的老宅
[116.05-119.29] 喉咙里发出了快乐的呻吟声
[120.37-125.37] 这个简直是一下子就让我的眼神放出了光芒
[125.37-127.63] 我觉得我不是在罪恶
[127.63-130.09] 原来我们是在用另一种方式沟通
[130.09-131.65] 我们灵魂的快感
[131.65-133.21] 共同达至高潮
[133.21-133.99] 太棒了
[133.99-135.19] 好老宅
[135.19-136.55] 你传递的信号
[136.55-138.93] 我收到了老王多爱你啊
[138.93-141.25] 你还小无线电一过来
[141.25-142.63] 瞬间穿越半个地球
[142.63-143.95] 我马上就收到了
[143.95-148.17] 所以今天我决定做一个跟老宅的专场脱口秀
[148.17-148.75] 那么说
[150.37-152.41] 老宅这标题今天把我shock了
[152.41-153.61] 我真的有一辆车
[155.37-156.25] 他背不住是老宅
[157.25-159.11] 就提前进入
[159.11-159.67] 我不招他
[159.67-161.11] 他招我的境界了
[161.11-162.49] 我心里咯噔一下
[162.49-164.35] 因为老宅那嘴里没把门的
[164.35-165.85] 他要天天编拍我
[165.85-166.69] 我也挺难受
[168.05-168.85] 我仔细听听
[170.11-172.51] 他原来今天要讲A股
[172.51-173.83] 他讲A股吧
[173.83-177.15] 他要讲葛优有一个车
[178.77-179.71] 那个电影
[180.37-183.11] 他不搭呀
[183.11-184.57] 这梗太硬了
[184.57-188.61] 老王这老德云二哥我都接不住啊
[188.61-190.81] 何况观众们是不是观众们
[190.81-193.87] 你们也觉得老宅今天抛出这个我还有一辆车的梗
[193.87-195.73] 你们是不是接不住
[195.73-199.09] 这就像是菊花里塞进了一根牙签
[199.09-200.61] 你这个梗太硬了
[200.61-201.91] 大家接不住
[201.91-205.99] 为什么老宅你为什么心里边想出这么一个梗来
[205.99-207.79] 我帮你分析一下你自己
[207.79-209.87] 因为老王说你一辆翠绿色的QQ
[209.87-210.25] 你心里边很厉害啊
[210.37-211.21] 很难受
[211.21-213.49] 因为你觉得明明自己那个QQ是红色的
[213.49-215.59] 为什么我非得说你是翠绿色的呢
[215.59-216.01] 哎
[216.01-217.33] 这就是老王坏的地方
[217.33-220.09] 我当然知道你的QQ是红色的
[220.09-221.83] 但我就说你是翠绿色的
[221.83-226.89] 因为翠绿色的QQ会让你觉得你被催眠了
[226.89-228.85] 所有的观众也会一下子就记住
[228.85-230.23] 你就被催眠了
