[0.53-2.53] Hello 大家好
[2.53-4.53] 老汪又换了一身
[4.53-7.53] 这是老汪平时的加拿大正装
[7.53-9.53] 平时就这个
[9.53-12.53] 这身衣服是在costco买的
[12.53-14.53] 特别的常见
[14.53-16.53] 特别的popular
[16.53-18.53] 换到这了
[18.53-19.53] 为啥呀
[19.53-21.53] 孩子们回来了
[21.53-23.53] 这个游泳池把门一关
[23.53-25.53] 我不受影响
[25.53-26.53] 换个角度
[26.53-27.53] 要不然
[27.53-29.53] 我看有人说我身高不到1米5
[29.53-31.53] 这么大人就觉得我身高1米5
[31.53-33.53] 这么大人就觉得我身高1米95吧
[33.53-34.53] 所以呢
[34.53-37.53] 咱们今儿进入讲故事的模式
[37.53-39.53] 重口难条
[39.53-41.53] 有的哥们说
[41.53-43.53] 老汪你能不能一次至少讲一个小时
[43.53-45.53] 有的哥们说
[45.53-48.53] 老汪你这个最好是25分钟左右
[48.53-50.53] 你看我约伞人那样
[50.53-51.53] 哎呀
[51.53-52.53] 这个
[52.53-54.53] 确实重口难条
[54.53-55.53] 这么着吧
[55.53-56.53] 我呢
[56.53-58.53] 就以25分钟为准
[58.53-59.53] 我要是不够呢
[59.53-60.53] 我就给他掐断了
[60.53-61.53] 然后呢
[61.53-62.53] 我下场我接着录
[62.53-64.53] 然后下一次我再接着录
[64.53-66.53] 我一估计一估计一估计这么弄
[66.53-67.53] 对吧
[67.53-69.53] 因为我现在渐入佳境
[69.53-71.53] 德云二哥附体了
[71.53-73.53] 我给大家就讲讲故事
[73.53-75.53] 今儿就不蹭翟晓英了
[75.53-76.53] 不要给他压力太大了
[76.53-77.53] 一会儿
[77.53-78.53] 我睡着了
[78.53-79.53] 他要做直播呢
[79.53-80.53] 我也不知道
[80.53-82.53] 他今天是不是又皮头散发的出来了
[82.53-83.53] 目光涣散
[83.53-85.53] 我也不知道他是不是要换一个房间
[85.53-86.53] 他那个
[86.53-87.53] 被我上次戳破了
[87.53-89.53] 他得侧着身进去拉窗帘
[89.53-91.53] 那个小房间他会不会换
[91.53-93.53] 让我们wait and see
[93.53-95.53] 让我们等着瞧
[95.53-97.53] 今天我们讲故事吧
[97.53-99.53] 好多人想让我讲讲美股也好
[99.53-100.53] 讲讲港股也好
[100.53-101.53] 后边慢慢讲
[101.53-103.53] 哪能这一次把话都说完呢
[103.53-104.53] 我也没那个体能啊
[104.53-105.53] 对不对
[105.53-108.53] 我先讲讲我自己的这个亲历故事
[108.53-109.53] 讲完了以后呢
[109.53-110.53] 你对资本运作
[110.53-112.53] 所谓的资本的一些伤神
[112.53-115.53] 有一个直观的了解
[115.53-117.53] 你也不用道听途说了
[117.53-119.53] 因为我就是第一手嘛
[119.53-120.53] 对不对
[120.53-121.53] 今天给你们讲讲
[121.53-123.53] 王永红背后的男人
[123.53-124.53] 那这财经
[124.53-125.53] 我看小编写的
[125.53-126.53] 王永红背后的男人
[126.53-127.53] 王永红是谁呢
[127.53-128.53] 王永红跟我岁数差不多
[128.53-130.53] 他应该是七二七三年的吧
[130.53-133.53] 他是先交大毕业的
[133.53-135.53] 他是在中国的房地产老板里面
[135.53-136.53] 少见的
[136.53-138.53] 念过正规本格生
[138.53-140.53] 正规硕士的人
[140.53-141.53] 永红呢
[141.53-143.53] 他是小个儿
[143.53-144.53] 特别小
[144.53-145.53] 他真是一米六吧
[145.53-147.53] 也就一米五几一米六
[147.53-148.53] 长得又瘦又小的
[148.53-149.53] 这个
[149.53-150.53] 但是呢
[150.53-152.53] 脑子特别好使
[152.53-154.53] 我从开始讲吧
[154.53-155.53] 王永红背后的男人
[155.53-158.53] 自然就会牵扯进来大师王林
[158.53-161.53] 因为这两个事是关联在一起的
[161.53-163.53] 我跟王林结缘也是因为王永红
[163.53-164.53] 好吧
[164.53-165.53] 那么话说呢
[165.53-169.53] 大概2003年左右的时候呢
[169.53-170.53] 当时呢
[170.53-173.53] 我有一天坐在飞机上
[173.53-175.53] 从南京往北京飞的飞机
[175.53-176.53] 我记得特别清楚
[176.53-178.53] 我低头往下看
[178.53-179.53] 哎呀
[179.53-180.53] 那个飞机快降落的时候
[180.53-184.53] 那个城市在云雾中就慢慢露出来了
[184.53-186.53] 一个大楼一个大楼一个大楼的
[186.53-188.53] 破云而出
[188.53-189.53] 哎呀
[189.53-190.53] 我在想
[190.53-191.53] 等等
[191.53-193.53] 这一个楼评估值至少十个亿啊
[193.53-196.53] 那中国你有十个亿的资产
[196.53-198.53] 你完全可以控制一个主板上市公司
[198.53-201.53] 当时一个主板上市公司的市值也就五六个亿
[201.53-205.53] 那为什么房地产公司没在股市上呆着呢
[205.53-207.53] 为什么呢
[207.53-208.53] 因为当时中国股市啊
[208.53-210.53] 不让房地产公司上市
[210.53-213.53] 证监会设置了各种门槛
[213.53-214.53] 借壳也不批
[214.53-215.53] IPO也不批
[215.53-216.53] 那我呢
[216.53-217.53] 黑劲就来了
[217.53-218.53] 我操
[218.53-219.53] 你还不是不批吗
[219.53-220.53] 孙子
[220.53-221.53] 我是从你们这些体系内出来的
[221.53-222.53] 我一定给你挖个
[222.53-223.53] 我钻进去
[223.53-225.53] 因为这意味着商机
[225.53-228.53] 创新就从此开始
[228.53-230.53] 我下来以后呢
[230.53-232.53] 我就找了一个姐姐
[232.53-234.53] 小姐姐叫韩文艺
[234.53-236.53] 她是原来的一个财经记者
[236.53-237.53] 她来采访我
[237.53-238.53] 她特别喜欢我
[238.53-243.53] 她特别喜欢我的文采和我的才华
[243.53-245.53] 然后我写的什么猛牛啊
[245.53-248.53] 什么这个国美啊
[248.53-250.53] 她都觉得惊为天人
[250.53-251.53] 所以她老追着我
[251.53-252.53] 采访我
[252.53-253.53] 后来呢
[253.53-254.53] 她就调了一个新单位
[254.53-257.53] 她就去了中国房地产报
[257.53-259.53] 中国房地产报呢
[259.53-261.53] 当时也想开资本板块
[261.53-264.53] 中国房地产报是建设部
[264.53-267.53] 住建部下边的直属的这样一个媒体
[267.53-270.53] 所有的开发商老板
[270.53-272.53] 都跟他们那挂着号
[272.53-274.53] 她一去那
[274.53-275.53] 我就知道了
[275.53-276.53] 然后我就跟韦业讲
[276.53-277.53] 我说韦业
[277.53-279.53] 你能不能给我介绍几个房地产老板
[279.53-280.53] 跟我一块合作
[280.53-281.53] 我们做借壳上市啊
[281.53-283.53] 小韩说好啊
[283.53-284.53] 王总啊
[284.53-286.53] 愿意效劳啊
[286.53-287.53] 她说但是我刚来
[287.53-288.53] 我能量不够
[288.53-289.53] 你挣不着
[289.53-290.53] 我把我老板叫过来
[290.53-292.53] 她就把单大伟叫过来了
[292.53-294.53] 单大伟一个单双的单
[294.53-295.53] 单雄性的单
[295.53-296.53] 大伟就是
[296.53-298.53] 就是大张伟的大伟
[298.53-301.53] 单大伟到现在还在活跃
[301.53-304.53] 单大伟是当时中国房地产报的出品人
[304.53-305.53] 特别年轻
[305.53-307.53] 这个人呢也是个知识分子
[307.53-309.53] 但是呢非常的脑瓜活
[309.53-310.53] 北京人
[310.53-311.53] 他怎么回事
[311.53-312.53] 他怎么发记的呢
[312.53-316.53] 他当时啊就是那种最早的南下干部
[316.53-318.53] 就是改革开放的南下干部
[318.53-320.53] 他在北京待着
[320.53-321.53] 觉得没意思
[321.53-324.53] 他就去深圳去香港淘金去了
[324.53-325.53] 他发现一商机
[325.53-326.53] 他发现一商机
[326.53-330.53] 他发现这个香港四大天王并不是遥不可及
[330.53-335.53] 四大天王极其想摸一摸中国市场的黄金白银
[335.53-337.53] 但是无奈啊都端着呀
