[0.00-1.76] 哈喽,大家好,又见面了
[1.76-4.28] 今天给大家录一小段干货
[4.28-5.96] 金融冷知识的干货
[5.96-9.72] 因为刚才给大家放出来的
[9.72-13.18] 翟主席的报效专场太闹了
[13.18-15.56] 所以咱们这次静下来,放松
[15.56-19.52] 听老王讲一些金融知识
[19.52-22.20] 咱们是金融评书
[22.20-26.00] 最近特别流行一个video
[26.00-28.72] 我现在是YouTube的新玩者
[28.72-29.78] 所以我不太熟
[29.78-34.04] 我把从网上荡下来的小视频
[34.04-35.16] 放到YouTube以后
[35.16-36.74] 他老说我侵权
[36.74-38.98] 然后就给我黄标给我删掉
[38.98-40.68] 我已经被删掉一次了
[40.68-43.30] 所以我就只好用嘴来描述
[43.30-45.04] 这样的话他就没法说我侵权
[45.04-46.00] 什么视频呢
[46.00-47.50] 特别流行最近
[47.50-49.02] 就是一个南方的小孩
[49.02-50.98] 跟着一个东北的小女孩
[50.98-53.30] 去到一个东北的早市
[53.30-55.50] 拿这个100元人民币的大钞
[55.50-58.56] 说看我们这个100元人民币
[58.56-59.76] 在东北能买到
[59.76-60.32] 什么
[60.32-64.56] 然后就是家伙油条豆浆豆腐脑
[64.56-65.64] 什么炸果子
[65.64-69.00] 各种荤的素的一大堆鸡蛋什么的肉
[69.00-71.10] 你再拿这100元下馆子
[71.10-72.76] 这点点一桌子菜
[72.76-74.52] 我最后就是说四菜一汤吧
[74.52-76.76] 结果这草甲这四菜都这么大的
[76.76-80.00] 而且质量和品质还都特别好
[80.00-83.00] 说就大家就很郁闷
[83.00-85.10] 因为这与中崩不符啊
[85.10-88.12] 翟老师整天告诉我们要中崩中崩中崩
[88.12-91.60] 为什么王老师不提中崩呢
[91.60-95.20] 因为中崩这个事儿是你的主观情愿
[95.20-98.72] 所以我的粉丝他就卡在其前
[98.72-99.46] 他就上不去
[99.46-102.54] 为什么不如咱们翟老师这个上粉上得快
[102.54-105.04] 因为但凡你翻墙出来的
[105.04-108.00] 你其实内心深处都喜欢这听中崩
[108.00-110.00] 这样的话显得你多牛逼啊
[110.00-111.90] 你看你比别人牛逼啊
[111.90-113.36] 你洞珠仙姬啊
[113.36-115.12] 你知道的多呀
[115.12-117.14] 如果没有发生中崩
[117.14-117.96] 那你岂不是傻了啊
[117.96-117.98] 那你岂不是傻了啊
[117.98-118.10] 那你岂不是傻了啊
[118.12-119.00] 那你岂不是傻了啊
[119.00-120.22] 那作为老王也一样啊
[120.22-121.66] 我是润出来了
[121.66-123.28] 润出来的人更希望中崩
[123.28-125.20] 其实无论嘴里边说啊
[126.44-128.56] 仰装虽然穿宅神
[128.56-130.08] 今天又换了一身
[130.10-132.34] 我心依然是中国心
[132.34-133.96] 其实心里面说
[133.96-135.52] 你们都是一群傻逼
[135.52-137.20] 你们没有润出来
[137.20-139.84] 我就等着看你们崩
[139.84-140.86] 所以这样的话呢
[142.10-144.28] 出来的或者翻墙爬出来的
[144.28-145.30] 他这些人
[145.30-147.98] 这个人群都有中崩的需求
[147.98-149.76] 所以翟老师整天在那儿
[149.76-151.50] 人民银行数据证明
[151.50-153.46] 财政部数据证明
[153.46-155.30] 就得崩
[155.30-156.98] 你心灵被他码杀尽了
[156.98-158.92] 所以你就觉得他说的特别好
[158.92-161.14] 其实如果你站在客观公正角度来说
[161.14-163.86] 他的片儿谈话比我的片儿谈话多得多
[163.86-166.22] 但是你不觉得他片儿谈话是什么片儿谈话
[166.22-167.06] 为什么呢
[167.06-168.26] 因为他在骂二百斤啊
[168.26-169.70] 二百斤这个大傻逼
[169.70-172.16] 然后大傻逼今天要干什么
[172.16-175.00] 我操太爽了
[175.00-177.84] 那么中崩或者不崩
[177.84-179.24] 他就在那里
[179.24-180.18] 你想他崩
[180.18-181.12] 他不崩
[181.12-182.02] 他也不会崩
[182.02-183.14] 你不想他崩
[183.14-184.14] 他要崩
[184.14-184.96] 他也会崩
[184.96-186.46] 所以我们说不出中崩
[186.46-187.84] 其实没有什么意义
[187.84-189.86] 通过在YouTube上爆料
[189.86-191.92] 就能崩掉一个国家
[191.92-192.60] 一个政权
[192.60-193.78] 亘古未有
[193.78-195.52] 人民币
[195.52-199.74] 怎么在中国购买力越来越强呢
[199.74-201.52] 没有发现啊
[201.52-202.24] 中崩的话
[202.24-203.50] 我们不是应该是
