[0.08-3.48] 哈喽 大家好 德云二哥又来了
[3.48-5.48] 今天继续跟大家白话
[5.48-10.38] 听老王瞎白话 清醒一整天 行星岛提提神
[10.38-12.68] 偷他的 开场白
[12.68-15.68] 这两天有很多新的粉丝进来
[15.68-17.98] 估计有很多是从老宅那蹭过来的
[17.98-19.78] 也有很多是油管推荐的
[19.78-24.38] 所以在本期节目之前 老王先做一个简短的说明
[24.38-26.38] 一些很无聊的事
[26.38-29.68] 不要乱猜什么共产党派来的灭爆小组
[29.68-32.68] 什么专门灭翟山英
[32.68-35.88] 还不至于 翟山英就是一个
[35.88-39.48] 他灭爆轮不到他
[39.48-42.48] 我出来也没有灭他
[42.48-45.88] 你看我到现在 律师还没给他发过去
[45.88-48.08] 法院传票也没给他 对不对
[48.08-50.18] 为什么呢 就是因为我在蹭他
[50.18-52.38] 我都一再强调 我就是蹭他半年
[52.38-54.08] 然后看他表现再说
[54.08-55.48] 为什么蹭他呢
[55.48-56.88] 有些我的老粉丝说
[56.88-59.58] 老王 您讲的这个格局非常高
[59.58-62.18] 你蹭他显得你跌了身份
[62.18-64.78] 诶 您错了 老王是老顽童
[64.78-66.58] 因为他在外面说我不好
[66.58-69.58] 他在油管说我很淫荡
[69.58-71.78] 说我一对一 一对多
[71.78-73.38] 男对一 半男半女
[73.38-74.78] 一男对多 半男半女
[74.78-76.38] 还说我做SM重口
[76.38-78.58] 每个星期给他分享黄色录像
[78.58-81.58] 我自己的黄色录像每个星期分享给他看
[81.58-83.58] 这个严重的影响了我的声誉
[83.58-86.38] 作为一个离职的前高管
[86.38-87.98] 他也不能这样喷老板
[87.98-89.38] 所以他属于缺德情况
[89.58-92.18] 所以我跟他这个是私人音乐
[92.18-93.38] 我必须要弄他
[93.38-93.78] 你知道吧
[93.78-94.38] 我必须要弄他
[94.38-96.58] 我得让他难受
[96.58-97.58] 但是你们放心
[97.58-98.78] 因为他整天骂共产党
[98.78-99.78] 我非常爱听
[99.78-100.98] 尤其是他骂二百斤
[100.98-102.78] 我听起来好过瘾
[102.78-106.58] 所以看在他骂二百斤非常卖力气的份上
[106.58-107.78] 我不会弄死他的
[107.78-109.18] 如果他哪天夸二百斤
[109.18-111.18] 我马上就让他完蛋
[111.18-112.38] 他现在骂二百斤
[112.38-113.58] 所以我要养着他
[113.58-115.78] 您不要理解错了
[115.78-119.58] 那么听老王的油管说
[119.58-120.78] 说书呢
[120.78-123.78] 老王所有的系列都是勾连在一起的
[123.78-125.78] 老王不像老翟
[125.78-126.78] 想起来说什么
[126.78-127.38] 不是
[127.38-129.18] 我也不像什么五月散人呀
[129.18-130.58] 什么老高小木儿
[130.58-132.98] 他们每一期的话题都不勾连
[132.98-134.58] 我这前一百期的话题
[134.58-135.98] 至少一百期的话题
[135.98-137.78] 绝对是连续剧
[137.78-139.98] 就像书厂里边跟你讲说欲
[139.98-141.18] 张晓以一样
[141.18-141.78] 所以呢
[141.78-142.58] 你们要听
[142.58-145.18] 有时候可能会觉得云里雾里的
[145.18-146.18] 听不明白
[146.18-147.58] 这个时候听不明白呢
[147.58-148.98] 你就往前倒啊
[148.98-149.58] 往前倒
[149.58-150.78] 你们就倒明白了
[150.78-152.98] 因为老王还是个坑王
[152.98-154.18] 超级坑王
[154.18-155.78] 挖了一无数的坑
[155.78-156.78] 每一期呢
[156.78-159.58] 我都会在挖新坑的同时填老坑
[159.58-160.38] 所以呢
[160.38-160.98] 今天呢
[160.98-163.98] 我就给大家填一下王林大师这个坑
[163.98-165.38] 那同时呢
[165.38-167.18] 也是大型资本运作现场
[167.18-168.98] 王永宏背后的男人啊
[168.98-169.98] 第二集
[169.98-172.78] 这个这个第二集和那个坑呢
[172.78-174.78] 这俩是关联在一起的
[174.78-175.78] 所以呢
[175.78-177.78] 我做个事前的说明
[177.78-179.38] 大家听明白之后呢
[179.38-181.98] 就更便于听老王书场
[181.98-184.38] 老王书场吸引的观众
[184.38-187.18] 普遍都是高素质人权
[187.18-188.98] 素质可以说是相当高
[188.98-191.78] 如果你要是心术不正
[191.78-194.38] 或者你这个人的文化层次很低
[194.38-197.18] 你是听不进去老王的书场的
[197.18-200.18] 因为我老王说书的观众
[200.18-204.78] 需要有比较强的历史和文化知识做积淀
[204.78-206.18] 否则的话我抛出来一个梗
[206.18-207.58] 你接不住的
[207.58-208.78] 所以呢
[208.78-211.18] 我们就要留一些高素质的观众
[211.18-212.38] 咱们不跟他们比
[212.38-214.18] 我有几百万几十万
