[0.00-2.56] 那个蛇性子我一动都不敢动
[2.56-5.58] 然后他就一条割一个人脑袋上挂一个
[5.58-6.78] 割一个人脑袋上挂一个
[6.78-10.14] 到那个大美女没给他挂
[10.14-11.76] 因为美女已经蹦到桌子上去了
[11.76-16.72] 所有的男士从王贵哈到唐市长
[16.72-18.28] 每个人脖子上都有蛇
[18.28-19.28] 有的有一条
[19.28-20.36] 有的有两条
[20.36-21.64] 我他妈有三条
[21.64-23.04] 吓死我了
[23.04-24.08] 一动都不敢动
[24.08-26.98] 玩够了我们
[26.98-28.92] 把我们脖子上的蛇解开
[28.92-30.16] 那蛇见了他就不动
[30.16-33.60] 盘盘到地下
[33.60-34.56] 就地毯上
[34.56-36.70] 那蛇你别看在我脖子上的时候
[36.70-37.28] 啊
[37.28-39.26] 还这样要给我kiss一下
[39.26-41.76] 但是放到他手里
[41.76-43.24] 他盘到地下的时候
[43.24-45.32] 就像用草绳盘了个小圆圈一样
[45.32-46.38] 那蛇一动都不动
[46.38-49.56] 他把蛇一个一个的在地下盘好
[49.56-51.18] 就一个小圆圈
[51.18-51.82] 一个小圆圈
[51.82-52.86] 一个小圆圈盘好
[52.86-54.16] 盘了一地的小圆圈
[54.16-54.84] 都是蛇
[54.84-56.16] 然后他揪出来一条
[56.16-58.10] 拿那个剪子
[58.10-60.06] 啪一下就把脑袋给剪了
[60.06-60.14] 自动
[60.16-63.34] 呲一下蛇血就呲出来
[63.34-64.28] 然后您看啊
[64.28-65.38] 您看啊
[65.38-65.98] 小动物
[65.98-67.12] 我们爱护小动物
[67.12-68.58] 断蛇脑子
[68.58-69.28] 往上一扭
[69.28-70.60] 嗯
[70.60-71.74] 又接回去了
[71.74-73.84] 我操那蛇又又活着跑回来
[73.84-74.78] 又爬走了
[74.78-75.94] 然后他又温了个
[75.94-76.88] 围了个圆圈
[76.88-77.74] 围到那儿
[77.74-82.82] 那个蛇就跟没被剪过脑袋一模一样
[82.82-83.80] 他说我变蛇
[83.80-84.96] 这个小菜一碟
[84.96-86.96] 当时你领导就是我领导
[86.96-87.88] 就是李铁硬
[87.88-89.00] YTV主任李铁硬
[89.00-91.44] 你领导非得要喃喃我
[91.44-94.82] 要让我变出个长三尺三寸的蛇
[94.82-95.18] 哎呀
[95.18-96.38] 那可是费了大劲了
[96.38-98.32] 变出了个三尺三寸的蛇
[98.32-100.18] 一粮一点都不差
[100.18-102.34] 所以他才给我写了一个神字
[102.34-104.28] 李铁硬给王林提了过一个字
[104.28-104.80] 叫神
[104.80-107.04] 那个神的那个左边那个柿子旁
[107.04-109.76] 他用了类似于蛇的写法
[109.76-110.84] 像个蛇
[110.84-111.38] 然后神
[111.38-114.68] 我当时完全相信
[114.68-116.58] 吸毒欧阳蜂是真实存在的
[116.58-118.54] 以前是看《摄雷丰雄传》
[118.54-120.22] 以为金庸是胡扯
[120.22-121.34] 你看完
[121.34-123.86] 王林就知道吸毒欧阳蜂绝对是真的
[123.86-125.78] 是可以招来无穷无尽的蛇
[125.78-128.12] 我就问大师
[128.12-129.62] 我说你这蛇是不是就附近的
[129.62-130.10] 他说对
[130.10-130.86] 不会太远
[130.86-132.00] 他说我告诉你
[132.00-134.08] 我最难的一次就是去泰国
[134.08-136.98] 泰国国王和他的亲属
[136.98-138.82] 那些王公贵族让我变蛇
[138.82-140.20] 他妈的泰国的蛇
[140.20-141.46] 我没有打过交道
[141.46-143.28] 上下一般粗
[143.28-145.38] 是个圆棍棍
[145.38-147.06] 不像我们中国的蛇
[147.06-147.88] 我们中国蛇
[147.88-148.44] 我伸出去
[148.44-148.98] 我一摸
[148.98-150.16] 我就知道哪边是蛇尾
[150.16-150.92] 哪边是蛇头
[150.92-152.16] 泰国的时候
[152.16-153.00] 我伸出去之后
[153.00-154.28] 我把蛇头当了蛇尾
[154.28-154.90] 我一摸他
[154.90-155.78] 他咬了我一口
[155.78-157.06] 那次好危险的
[157.06-159.18] 这是王林
[159.18-160.48] 插磕打昏
[160.48-161.04] 讲故事
[161.04-161.86] 他人来疯
[161.86-162.98] 讲的可好玩了
[162.98-163.74] 然后
[163.74-166.16] 下一个节目
[166.16-167.86] 隔空写字
[167.86-170.22] 他王林有一个画册
[170.22-171.12] 有那个
[171.12-172.78] 特别爱线
[172.78-174.66] 王林的各种名人
[174.66-175.52] 达官显贵
[175.52-176.26] 香港的
[176.26-176.90] 印尼的
[176.90-177.70] 泰国的
[177.70-178.78] 中国的
[178.78-180.00] 这些领导
[180.00-180.88] 富商的
[180.92-182.80] 这些包括王林什么捐赠
[182.80-185.76] 什么跟普通老百姓穷人
[185.76-187.20] 搂抱在一起
[187.20-188.72] 给小朋友们发书包
[188.72-190.04] 发什么油
[190.04-190.68] 肉
[190.68-191.84] 那些各种照片
[191.84-192.68] 影集
[192.68-194.08] 那是他的一个
[194.92-196.68] marketing 的画册
[196.68-198.52] 所有的贵客一人送一本
[198.52-200.60] 然后送王贵亚和唐书记这本
[200.60-201.52] 他要提字
[202.64-204.68] 他可不是我们这样拿手提
[205.20-208.20] 他把那本书搁到他妈门口
[208.32-209.00] 展开
[209.00-210.28] 上面什么字都没有
[210.28-210.80] 搁到门口
[210.92-212.40] 他拿一盒放在门口
[212.40-214.08] 他拿着自己的钢笔
[214.08-215.80] 对着那门口写王林
[215.80-216.60] 隔空写
[216.60-217.64] 然后你打开
[218.00-218.96] 墨迹未干
[218.96-220.72] 失灵灵的王林两个字
[222.32-223.56] 没有办法解释
[223.56-225.48] 我在这儿跟你们讲
[225.48-227.68] 你们还以为我在讲天书
[227.68-229.60] 但是这都是事实
[230.88-232.00] 所以他出了事以后
[232.00-233.64] 好多人就说
[233.64-234.36] 哎呦
[234.36-236.44] 有钱人果然是人傻钱多
[236.44-239.32] 你看马云马爸爸居然被王林骗得团团转
[239.32-240.44] 还有什么赵薇
[240.44-240.80] 是
[240.80-241.52] 李冰冰
[241.52-243.36] 都是人家王林的
[244.44-245.84] 听床大丫头一样
[245.84-247.20] 随之际来
[247.20-248.24] 挥之际去
[250.76-251.84] 不是那么简单
[252.24-253.48] 真的不是魔术
[254.20-257.28] 做完王林同志这些规定动作之后
[257.28-258.76] 就是自选动作了
[259.44-260.40] 规定动作
[260.40-262.00] 你们现在在互联网上
[262.00-265.60] YouTube上能找到王林很多视频
[265.76-266.60] 在网上都有
[266.60-268.24] 当时都是电视台拍的
[268.28-269.28] 真的是一模一样
[269.28-270.40] 一点都没有做假的
[270.40-272.12] 你们可以做扩展阅读去
[272.12-273.00] 跟我说的这些
[273.08-274.20] 过程基本上都是一样
