[0.00-2.40] 哈喽 大家好 老汪又来了
[2.80-5.28] 今天白天跟我儿子钓鱼
[5.40-6.40] 忙活了一天
[6.40-8.12] 没给大家好好的录节目
[8.32-11.68] 正好前几天有很多观众的评论
[11.96-13.28] 我一直欠账
[13.28-14.60] 没有跟大家谈
[14.84-16.24] 这个不能再拖了
[16.24-17.88] 再拖我就会把这事忘了
[18.20-20.88] 所以以后咱们形成个规矩
[21.00-22.08] 每隔几天
[22.32-23.36] 我传一传
[23.36-25.28] 给我印象深刻的观众评论
[25.40-27.28] 我会跟大家聊一聊
[27.96-29.76] 做一个面对面的这种交流
[29.76-31.72] 还有如果大家问问题
[31.72-32.48] 比较系统
[32.48-33.92] 或者比较大的问题
[34.12-36.20] 我的邮箱是wjz
[36.20-37.68] 就是王岐收的第一个字母
[37.68-41.16] wjz5788atgmail.com
[41.52-44.80] 在我的油管的说明页里边
[44.80-47.56] 你们看见我的电子邮件地址
[47.68-48.96] 你们可以给我发邮件
[48.96-50.88] 有些朋友已经给我发了邮件
[50.92-52.88] 我现在大概已经
[52.92-54.48] 接到了咨询的长邮件
[54.48-56.04] 大概有十几二十封
[56.08-58.16] 我还没来得及一一的整理
[58.20-59.12] 等我呢
[59.12-60.72] 再过一两天
[60.72-61.76] 又挖坑
[61.88-62.64] 一定办
[62.64-63.16] 一定办
[63.16-64.40] 再过一两天
[64.96-68.20] 我把你们这些邮件逐一的点评
[68.56-70.40] 我跟翟副主席不一样
[70.48-72.00] 翟副主席有网友说
[72.00-73.08] 他要收费的
[73.08-74.44] 说回答一个邮件
[74.44-75.48] 回答一个什么问题
[75.48-76.48] 要几万块钱
[78.40-79.68] 太符合翟副主席
[79.68-81.20] 在我心里的人设了
[81.40-82.44] 老王是这样
[82.44-84.40] 因为老王属于大小姐逛窑子
[84.40-85.96] 纯属浪的开这个油管
[85.96-87.92] 所以我就属于废物利用
[88.04-89.08] 我就属于退休老头
[89.12-89.80] 再就业
[89.80-91.84] 被翟副主席既然已经鸡出来了
[91.84-93.28] 既然已经端到这儿了
[93.28-94.84] 那咱就把这频道做下去
[95.04-95.64] 好好的做
[96.04-98.88] 我会认真真的把我的所想所得
[98.88-100.24] 给大家讲出来
[100.28-102.52] 可能有些朋友不爱听
[102.56-103.04] 没事
[103.04-104.80] 我会在标题和说明里边
[104.80-107.28] 把我要讲的几个人的名字
[107.32-108.12] 写上
[108.16-108.76] 这样的话
[109.20-111.48] 我对你们几乎可以做到一对一
[111.48-112.96] 别人愿意旁观围观
[112.96-113.92] 也可以
[114.28-115.80] 首先赵丽
[116.16-116.80] 说一下
[116.80-118.56] 我钓鱼的过程中
[118.56-120.64] 我就充满了欢乐
[120.64-122.68] 有些我的铁粉
[122.72-124.32] 受老王之托
[124.44-129.52] 前去翟副主席的直播间蹲守
[129.68-131.80] 昨天晚上他不又直播来着吗
[131.80-133.00] 大家蹲守
[133.00-135.80] 然后因为我是实在看不下去
[135.80-136.68] 他的直播
[137.16-138.00] 为什么
[138.52-140.08] 这倒不是我贬低他
[140.08-141.60] 他可能我还挺佩服
[141.60-143.00] 他能看完我的直播
[143.28-144.80] 因为太熟了
[144.80-146.28] 你知道彼此之间太熟了
[146.28-148.52] 这样你会出戏的
[148.56-149.92] 我看翟副主席
[150.04-151.44] 我是两倍速加勾欠
[151.44-152.20] 我都看不完
[152.20-154.12] 那我就拜托广大网友
[154.12-156.44] 你们给他总结一二三
[156.48-157.92] 然后告诉我
[158.08-161.28] 结果这几天果然大家就这么干了
[161.40-164.00] 但是可能他实在是没有干货
[164.04-166.00] 干货总结几乎没有
[166.04-166.84] 全是告诉我
[166.84-168.28] 他哪哪哪骂你来着
[168.32-169.76] 他哪哪哪喷你来着
[169.80-171.28] 就变成了这个过程
[171.56-173.80] 我在今天早上他直播结束之后
[173.92-175.40] 就收到了举报材料
[175.76-177.68] 我一看这举报信给我乐坏了
[178.56-181.68] 我没想到翟副主席是个一高潮体制
[182.44-184.16] 在我原来的计划中
[184.16-184.84] 4个阶段
[184.84-186.64] 我光严防死守
[186.64-188.12] 我就给他打了两个月的量
[188.12-189.52] 所以我一直说我逗他半年
[189.52-190.16] 擦他半年
[191.04-191.80] 严防死守
[191.80-194.56] 他至少要死守两个月
[195.00-197.12] 可能翟副主席看我涨粉比较快
[197.12-198.84] 本来以为我根本过不了1万
[198.84-201.32] 结果现在蹭蹭蹭快干到8000了
[201.32-203.00] 所以他半推半就这个过程
[203.00-204.12] 很快就过去了
[204.28-207.88] 他几乎今天早晨是直接跳到了第4阶段
[208.56-209.24] 我不招他
[209.24-209.80] 他招我
[209.80-210.40] 我不喷他
[210.40-210.88] 他喷我
[210.88-212.32] 他开始喷我了
[213.48-214.48] 我有点意外
[214.48-215.84] 但是我很happy
[216.84-218.72] 他在使用激将法激我
[219.20-220.80] 我没时间看他直播
[220.80-226.16] 但是我有时间看广大网友的汇报
[226.52-227.60] 我给你念一下
[227.60-228.52] 可有意思了
[228.52-229.84] 给我带来了劲的欢乐
[231.32-236.96] 首先是总结的死宅粉
[236.96-238.40] 对我的谩骂
[238.56-239.60] 我可开心了
[239.60-240.96] 你能骂我我特别高兴
[240.96-241.32] 为什么
[241.32-242.44] 因为他们是脑残
[243.12-245.20] 你看郭敬明像寒寒炫富
[245.20-246.20] 能气得寒寒吗
[246.20-247.04] 真无聊
[247.04-248.80] 北美到处都有这样的小河
[248.80-250.08] 火车噪音这么大
[250.08-251.48] 你也敢称豪宅
[251.48-253.52] 谁家的豪宅会建在铁路旁
[253.52-255.52] 别在这给北京人丢人现眼了
[255.52-258.28] 你也就骗骗没见过世面的土鳖
[259.28-260.76] 这个网友死宅粉
[260.76-262.20] 你才是土鳖
[262.40-264.92] 我他妈有火车响的地方
[265.28-267.04] 是游艇
[267.08-268.52] 不是我们家的豪宅
[268.56-271.40] 这儿是你在这儿的场景里边
[271.40-272.80] 你在游泳池场景里边
[272.80-274.72] 你听出过火车声吗
[275.32-278.20] 你听说火车声是因为那是个游艇
[278.20-279.80] 那房梁都是歪的
[280.04-281.96] 你连船都看不出来
[281.96-285.16] 你还北美到处都是这样的小河
[288.95-291.15] 你是翟山英的脑残粉
[291.27-293.47] 非常配合你的智商
[294.95-295.63] 说实话
[295.63-296.59] 你就是住在白宫
[296.59-297.83] 也没法和老翟比
[297.83-298.99] 这是另一个
[298.99-300.31] 他的铁粉还挺多
[300.35-301.47] 言之无误
[301.47-302.67] 老翟理都不会理你
[302.87-303.87] 你有产权吗
[303.87-305.07] 说是你自己的
[306.89-308.09] 我没有办法驳你
[308.09-309.01] 我没有产权
[309.01-309.61] 你
[310.85-313.05] 你知道加拿大的产权是终生的吗
[313.61-315.77] 不是70年20年
[315.77-316.69] 你这个土鳖
[317.05-318.45] 你这翟山英的铁粉
[318.45-319.17] 就这个水平
[319.17-319.69] 你知道吗
[320.57-321.89] 还说我言之无误
[322.17-324.85] 翟老师口水中崩
[324.89-326.73] 已经给你们崩了一年了
[326.97-329.53] 他最近我看他谈电动车
[329.53-330.85] 我看他谈电动车
[330.85-331.57] 已经两个月了
[331.73-334.81] 我不知道你们看他谈电动车有多久
[335.73-336.17] 好吧
[336.17-337.17] 他言之有误
[337.85-339.37] 他就整天骂习近平
[339.41-341.25] 就这一点还算是个小亮点
[341.45-342.69] 一会我再说这个事
[343.57-345.57] 你站在没人的地方说何是你的
[345.57-347.09] 翟老师就不能站在地中海
[347.09-348.85] 没人的地方说是他的吗
[350.74-353.98] 你的智商真的跟翟老师太绝配了
[354.86-356.10] 老翟不爱搭理你
[356.10-357.10] 你就自个瞎玩
[357.26-359.42] 老翟是带着使命在做节目的
[359.42-361.22] 你小微连反共都不敢喊
[361.22-362.26] 他干嘛捧你
[362.38-362.90] 对
[363.26-366.62] 他今天就拿这个事来喷我来着
[366.66-367.58] 他这叫激将
[367.58-368.34] 他激我反共
[368.34-369.62] 跟他一块谈反共
[369.66-370.46] 好吧
[370.50-371.70] 我一会说这个事
[372.06-373.86] 带着使命在做节目
[373.90-376.50] 他的使命是拉屎的屎
[376.54-379.02] 他带着是使命在做节目
[379.18-380.06] 明白吧
[380.10-381.26] 你别以为他真反共
[381.50-384.30] 一会我给你剖析一下翟山英的人格特质
[385.22-386.74] 他的使命就是来骗你
[386.86-387.58] 割你的韭菜
[387.58-390.02] 又快把镰刀磨坏了
[390.06-390.74] 死宅粉
[390.74-391.50] 你一定要死宅
[391.74-392.54] 你要死忠
[392.54-393.10] 啊
[393.10-394.86] 到时候翟老师让你买币的时候
[394.86-395.78] 你他妈要不买
[395.78-397.26] 你都不是死宅粉
[398.02-399.42] 然后就是我这边的
[399.58-400.54] 死忠粉
[400.58-401.62] 哈哈哈
[401.66-402.50] 来这儿
[402.98-403.98] 通风报信
[404.42-405.42] 大老王哥
[405.42-407.10] 他视频大约5分钟内
[407.10-407.82] 他讲
[407.86-409.82] 如果当年我有话事权
[409.86-413.26] 视频委他又把镜头转到另一个房间
[413.26-415.22] 之后说是个三间房
[415.22-416.06] 三室一厅
[416.26-418.34] 原来副主席看过大老王视频
[418.34-419.06] 其他重点
[419.06-421.14] 刚刚推友们也都写下了
[421.30-422.78] 期待大老王隔山打虎
[422.78-423.02] 让
[423.02-424.94] 这翟副主席松茅松翼
[425.10-425.74] 说的对
[425.74-426.82] 他就是欠敲打
[426.86-428.22] 我们今天继续摩擦他
[428.22-429.30] 他跳到第4阶段
[429.30-430.22] 也不放过他
[432.13-433.69] 看我断掌
[434.33-435.41] 你们这帮家伙
[436.69-437.69] 还看我破牙子
[437.69-438.65] 我这破牙子
[438.65-439.53] 从小就有
[439.53-440.69] 我也不打算补了
[440.69-442.85] 他说漏财就漏财
[443.09-445.85] 已经还往哪憋财
[446.01-446.81] 就该给漏漏
[448.01-448.41] 为什么
[448.61-449.57] 因为你要补了以后
[449.57-450.81] 影响你咬盒
[450.93-451.81] 咬东西
[451.81-452.69] 你就咬不动了
[452.69-454.05] 我特别喜欢啃骨头
[454.05-454.53] 所以我
[454.53-455.41] 一直没做
[455.69-457.81] 你们要是反应强烈的话
[457.81-458.65] 我就去做
[458.65-461.25] 因为我老婆也想让我做
[461.45-463.57] 我就能那么帅干嘛
[463.69-464.53] 差不多就行了
[464.53-465.41] 你够帅了
[466.17-467.41] 5分钟之内讲
[467.41-468.61] 当年我有化石拳
[468.61-469.05] 啥意思
[469.05-469.65] 在一盒资本
[469.65-470.41] 他有化石拳
[471.61-473.25] 一盒资本早黄了
[473.37-474.49] 一盒资本就是骗子
[474.73-475.77] 那一群小骗子
[476.25-477.25] 他怎么那么普华
[477.57-478.77] 他还有化石拳
[478.77-479.77] 我快得了吧
[479.77-482.29] 你还就想进屋上桌吃饭
[482.29-482.93] 你给我出去
[482.93-483.93] 翟翟英
[484.05-484.45] 你懂什么
[484.45-485.73] 你懂资本吗
[485.73-486.49] 你懂金融吗
[486.49-488.01] 你做过一个上市公司重组
[488.21-489.65] 你在这还化石拳
[490.45-491.57] 真是欠俏的
[491.89-492.89] 你别不服
[492.93-493.49] 你跟我说
[493.49-494.85] 你重组过哪个上市公司
[494.85-495.85] 你说一个
[496.69-497.85] 你就像老王那样
[497.85-499.25] 蒋王后你讲一个
[499.29-501.09] 老王直播吃屎
[501.81-502.53] 我说话
[502.53-504.69] 翟翟英重组过一个上市公司
[504.69-506.09] 他能像我那样去讲
[506.09-508.21] 重组一个上市公司的复盘过程
[508.25-510.05] 我直播吃屎
[511.13-511.93] 老翟
[512.37-513.65] 你敢接吗
[514.45-515.93] 这就叫摩擦
[515.93-517.25] 这就叫逗他
[518.45-519.09] 视频尾
[519.09-520.81] 他又把场景转到另一间房
[520.81-522.05] 之后说是三间房
[522.05-522.81] 我看了
[522.81-526.17] 我还给他今天做到戏宅秀的小视频里去了
[526.69-529.57] 有网友说你这是单间配厕所
[529.77-530.57] 他受不了
[530.57-531.97] 他视频一转
[531.97-533.41] 弄了个看了
[533.41-534.21] 有个小楼道
[534.21-535.17] 有那么几间房
[535.17-536.45] 卧槽还是厕所
[537.05-538.37] 那不是有个小脚垫吗
[538.37-539.53] 那明显是个厕所
[539.53-541.57] 你这合着是个套间配厕所
[542.13-543.93] 你这不又弄出新名来了吗
[543.93-544.41] 老翟
[544.45-545.69] 套间配厕所了
[545.69-546.97] 这不是单间配厕所
[547.13-547.97] 那小门
