[0.37-1.45] Hello 大家好
[1.45-2.69] 老王又来了
[2.97-4.33] 今天是星期六
[4.33-6.01] 今天白天忙了一天
[6.01-7.45] 实在是没时间录节目
[7.45-9.21] 我看又有网友来催更
[9.41-12.29] 只好半夜三更给大家录一期
[12.77-15.05] 股市最近跌破了3000点
[15.37-17.29] 老王是不是应该也出来说一下
[17.45-19.17] 因为我看所有的人都在说
[19.17-22.21] 股市跌破3000点的必然性
[22.49-24.73] 即远离股市
[24.77-26.13] 远离毒品
[26.81-28.25] 熟悉老王的推友
[28.25-31.13] 可以回看老王的干货视频
[31.13-33.65] 有一集叫A股假抄论
[33.97-37.41] A股娘胎里带的毛病的一期视频
[37.77-40.85] 感兴趣的朋友去看一看那个视频
[40.93-43.93] 你就知道中国A股在设计之初
[43.97-47.45] 它的总设计师们的局限性
[47.69-51.13] 以及朱镕基总理大老板
[51.21-53.81] 他在宏观上设计股市的时候
[54.13-55.73] 心术不正
[55.73-56.77] 目的不纯
[56.77-58.21] 造成的这样一个A股
[58.21-61.17] 整个发行体制的扭曲
[61.17-64.01] 及价值发现体系的荒谬
[65.33-68.01] 使得A股的股票
[68.05-70.61] 从印刷出来到股民手里
[70.61-73.85] 就不具备价值发现的能力
[74.69-77.05] 同时老王在那一集制片里阐述了
[77.05-81.21] 因为共产党当时是美国人的小谜地
[81.45-84.45] 照着美国SEC的样子
[84.49-86.65] 设计了中国证监会
[86.69-87.69] 由于
[88.21-90.45] 不懂得SEC的真谛
[90.49-94.37] 所以划出来的中国证监会叫徒有其名
[94.53-97.73] 造成了中国股市几十年发展下来
[97.73-98.97] 裹足不前
[100.67-104.47] 思绪回到2004年5月
[104.47-106.83] 老王作为银河财经的领导
[107.11-109.55] 被邀请去了一次峰会
[109.91-114.03] 这次峰会在北京友谊宾馆举行
[114.19-116.55] 当时的北京春光明媚
[116.71-118.67] 友谊宾馆开什么会呢
[118.67-123.51] 当时在国际资本市场有一个红人炙手可热
[123.55-126.71] 而且那个人像神仙一样经常下凡
[126.95-129.39] 那个人的名字叫沃伦巴菲特
[129.43-131.91] 美国股市价值投资之神
[131.95-135.47] 巴菲特在21世纪之初也未能免俗
[135.75-138.59] 面对全球化的大浪潮
[138.63-141.39] 面对克林顿总统拉北京
[141.43-145.79] 入西方阵营的强大的推动力量
[145.91-148.15] 巴菲特亦同样认为
[148.15-150.03] 中国属于勤俭村
[150.07-151.55] 中国取代美国
[151.55-154.75] 成为世界最大经济体指日可待
[154.79-158.23] 所以巴菲特当时派出了他的合伙人
[158.23-159.83] 他的全球代言人
[159.87-164.87] 叫米尔斯罗伯特来中国进行预热热场
[164.91-166.59] 他的这次研讨会
[166.63-169.27] 只邀请金融资本领域的
[169.27-172.99] 各个顶级公司前来参加
[173.27-174.79] 也用今天的话说
[174.79-176.35] 就都是头部企业
[177.11-178.11] 参加干什么呢
[178.11-179.75] 给大家讲一讲
[179.75-182.83] 巴菲特的价值投资理论现身说法
[182.83-186.35] 在中国成立中国巴菲特投资基金
[186.39-188.31] 专门投资A股
[189.07-191.55] 这是2004年春天的时候
[191.59-194.27] 巴菲特的一个重要的行动决策
[194.51-197.79] 我就是参加这次研讨会的代表
[198.67-201.35] 后来我给翟副主席讲过这件事
[201.39-202.35] 他记住了
[202.39-204.27] 然后它就变成了他的故事
[204.55-205.75] 天要加速
[205.75-208.07] 变成了巴菲特来中国请他吃饭
[208.11-211.51] 其实米尔斯罗伯特根本就没请过我们吃饭
[211.55-213.15] 人家开完会就走了
[213.67-215.95] 我为什么讲这一段历史呢
[216.23-219.39] 是因为其实今天股市遇到的所有的问题
[219.39-220.83] 04年就已经注定了
[222.47-223.91] 思绪回到04年
[224.11-225.31] 04年的时候
[225.31-229.31] 中国股市的价位大概是1400点
[229.87-235.11] 也就是说中国股市回到了1992年的高度
[235.83-236.95] 改革开放
[236.99-238.03] 黄金时期
[238.03-240.87] 12年1992到2004
[240.91-242.67] 中国股市不但未增
[242.67-244.23] 反而回到原地
[244.79-246.15] 什么东西都在涨价
[246.15-247.55] 什么东西都在繁荣
[247.55-249.39] 唯独股市国足不前
[249.43-251.39] 一定是哪出了毛病
[252.23-254.35] 那发生了什么问题呢
[254.95-256.99] 巴菲特当然不知道
[257.35-259.11] 巴菲特想当然的认为
[259.11-260.27] 中国股市
[260.31-261.31] 越南股市
[261.31-263.03] 印度股市都是一样的
[263.07-267.67] 所以巴菲特当时觉得中国股市处于一个历史
[267.67-268.03] 大地
[268.03-270.71] 所以他就派他的全球合伙人
[270.75-273.39] 米尔斯罗伯特来中国圈钱建基金
[273.39-276.27] 试图抢占中国股市的半壁江山
[276.63-279.67] 当时他的中文翻译叫米尔斯罗伯特
[280.03-283.91] 其实就是后来郭总统的英文名Miles
[284.07-285.83] 我们当时英文都不古观
[285.83-287.31] 我们以为他念米尔斯
[287.31-289.99] 我估计中方翻译也以为他念米尔斯
[290.03-292.23] 所以给他的所有介绍材料里边
[292.23-294.15] 都写的是米尔斯
[294.31-296.87] 大米的米米尔斯罗伯特
[298.03-299.87] 扩展阅读搜索
[299.87-300.99] Miles
[300.99-304.83] 罗伯特这个人到今天还活跃在美国资本市场上
[304.83-306.43] 这个人当时非常年轻
[307.59-308.63] 来到北京
[308.75-309.99] 那是他的第一站
[310.47-314.19] 台下坐着公务私募基金的一大群经理
[314.19-315.71] 大概百八十号人
[315.83-317.99] 在友谊宾馆的小会议厅
[318.07-319.35] 口吐莲花
[319.35-321.15] 讲巴菲特的价值投资理论
[321.19-323.19] 我们听的并不入戏
[323.31-323.87] 因为什么
[324.11-327.19] 因为我们早已经把巴菲特的价值投资理论
[327.19-328.03] 烂熟
[328.03-329.11] 鱼凶了
[329.15-330.79] 但是中国发生了什么东西
[330.79-332.19] 他其实并不知道
[332.99-337.07] 他知道的是我们一个一个赔的裤衩都快没了
[337.07-339.27] 所以他认为我们都是一群傻逼
[339.31-340.63] 在那给我们上课
