[0.75-2.03] Hello 大家好
[2.03-3.35] 老王又来了
[3.59-5.55] 昨天晚上折腾到4点半
[5.55-6.71] 不是折腾别的
[6.71-7.59] 就是录节目
[7.59-9.47] 因为我晚上11点开始录的
[9.83-10.63] 本来不想录
[10.83-12.35] 星期六大家都休息
[12.95-13.91] 结果一想
[13.91-15.11] 我好像吹牛逼我
[15.11-16.95] 我说几个星期要做到一天一更
[16.95-17.99] 甚至一天两更
[18.51-19.59] 我好像吹过
[19.75-20.71] 我必须做事
[20.71-21.59] 必须说话算话
[21.59-23.43] 所以晚上11点开始做节目
[23.43-24.67] 做完4点多了
[25.11-25.67] 还好
[25.67-27.31] 今天总算喊过来了
[27.35-29.79] 再给大家补录一小段照例
[29.79-32.43] 咱们先说说老翟
[34.58-35.94] 他疯了
[36.62-37.82] 他疯了
[38.34-39.22] 他疯了
[39.22-41.06] 重要的事情说三遍
[41.18-42.26] 大家一定都关心
[42.26-43.58] 我跟老翟的战况
[43.66-45.38] 每天早上扒着老翟的墙头
[45.38-46.34] 看他直播
[46.94-48.26] 今天我在补教的时候
[48.26-48.98] 他直播完了
[48.98-50.70] 等我补教醒来
[50.98-52.02] 打开信箱
[52.02-53.34] 都是我的铁粉们
[53.38-54.30] 过来汇报
[54.30-55.58] 他在哪分哪秒
[55.58-56.38] 哪分哪秒
[56.38-57.50] 破口大骂
[57.94-59.86] 我一看真的是这样
[60.70-61.54] 我的天
[61.54-62.90] 我的天
[63.50-64.42] 翟翟英
[64.74-66.18] 我高估你了
[66.18-68.82] 咱俩分开这将近20年
[68.90-70.66] 我觉得你的道行和定力
[70.66-72.10] 怎么也应该有个进步
[72.66-74.58] 4个阶段严防死守
[74.62-76.22] 半推半就来者不拒
[76.26-77.74] 我不喷你你喷我
[77.78-79.66] 我是给你设计了这么4个阶段
[79.66-80.18] 每个阶段
[80.18-81.62] 我给你安排1到2个月
[81.62-84.02] 我看现在你都奔第4阶段去了
[84.02-85.34] 这才20天
[85.50-88.78] 今天是我开油管的第20个整日子
[88.78-90.06] 我有8000粉了
[90.30-91.10] 老翟
[91.10-92.74] 我要庆祝一下的日子
[92.74-93.74] 结果你那么喷我
[93.74-95.18] 你是在给我一个大礼包吗
[95.18-96.26] 老王说什么
[96.26-97.54] 老翟就要做什么
[98.66-100.14] 你太给我面了
[100.14-102.26] 老翟你疯了
[102.26-104.14] 你怎么能直接骂我呢
[104.14-105.98] 骂我还不敢点名
[107.14-108.06] 王什么
[108.70-109.50] 老什么
[109.50-111.14] 他就是共产党派来的
[111.14-111.58] 对不对
[111.58-112.42] 收拾我的
[112.58-114.74] 引流的要把我从时政
[114.90-117.10] 反共引流到娱乐
[117.14-118.02] 这么大岁数了
[118.02-118.78] 你不反共
[118.78-120.06] 你要弄什么是娱乐
[120.22-120.94] 你太无聊了
[120.94-122.38] 你太下作了
[122.74-124.82] 老翟你太没水平了
[124.98-126.30] 你这种失态
[126.30-128.06] 实际上是通过你的屏幕
[128.06-130.26] 传递给了你每一个观众和粉丝
[130.90-132.66] 而且你吹牛的牛逼
[132.66-134.22] 你说你不删评论
[134.26-136.10] 然后你所有替老王来了
[136.10-136.94] 你全删
[136.94-137.86] 所有替王岐收的
[137.86-139.06] 你全删
[139.06-140.42] 老翟你好忙
[140.82-141.82] 怎么说你还说
[141.82-143.46] 我给你引流到娱乐去
[143.50-145.66] 不是你开始娱乐致死的吗
[145.66-147.62] 是不是你跑到我坟头蹦迪
[147.62-150.46] 说我玩女人玩人妖
[150.46-150.50] 一男对一女人玩人妖
[150.50-151.26] 一男对一女
[151.26-151.98] 一男对多女
[151.98-153.02] 一男对一半男半女
[153.02-154.50] 一男对多半男半女
[154.54-155.46] SM众口
[155.46-156.86] 每周给你分享小视频
[156.86-158.34] 你恶心都看不下去
[158.34-159.18] 然后说完了
[159.18-160.26] 我又说人肖建华
[160.26-162.02] 坚持什么365天
[162.06-163.26] 除了身体不舒服
[163.30-164.46] 每天换一个处女
[164.46-166.06] 在什么颐和园子江兴州岛上
[166.06-167.02] 是不是你说的
[167.06-168.74] 你这个是娱乐还是反共
[169.38-171.30] 你不是娱乐致死的人吗
[171.34-172.70] 我配合你一下
[172.74-174.26] 我从棺材里边出来
[174.26-176.22] 我看你一个人风头蹦蹦迪
[176.26-177.30] 比较寂寞
[177.34-178.46] 我出来你急什么
[178.94-179.82] 咱俩
[180.50-182.18] 也不是翻了脸离开的
[182.18-182.66] 对不对
[182.66-184.38] 咱俩还在利斯卡尔顿
[184.42-185.74] 吃过分手饭
[185.74-187.46] 喝过分手茅台酒
[187.74-189.66] 你这样翻脸有意思吗
[189.94-190.66] 你
[191.74-192.90] 你好令我意外
[192.90-194.10] 也好令我失望
[194.14-195.74] 这样的话岂不是高下利剑
[195.74-197.46] 你看我云淡风轻
[198.34-199.70] 你用的这些招
[199.70-201.98] 不是你全都是你自己打脸
[202.10-203.14] 你开始说什么
[203.14-204.74] 坚决不用共产党那一套
[204.90-206.30] 共产党收拾别人
[206.30-206.94] 收拾你
[206.94-208.54] 就是收拾你和你的粉丝
[208.54-209.82] 戴帽子打棒子
[209.82-210.46] 对不对
[210.50-213.62] 你现在是不是在给我和我的粉丝
[213.62-214.10] 戴帽子
[214.10-215.66] 我们都变成共产党五毛了
[215.66-216.06] 对吧
[216.06-217.14] 我很心疼你
[218.26-219.06] 你这样的话
[219.38-219.90] 老翟
[220.62-222.06] 我说你是韦小宝
[222.10-224.18] 把反共做成一门生意
[224.18-225.06] 我冤枉你了
[225.18-226.78] 你不是价值观不稳定
[226.78-227.62] 我说错了
[227.66-229.54] 你不是一会挺共
[229.54-230.18] 一会反共
[230.18-230.90] 不是
[231.30-233.02] 你是价值观非常稳定
[233.82-236.74] 你是韦小宝下面多龙多大人
[237.22-238.82] 多大人和你有个共同特点
[238.82-240.14] 就是价值观非常稳定
[240.14-241.58] 你的价值观一定
[241.62-243.58] 上海话叫掐烂钱
[243.82-246.82] 就是你一定在他妈骗人的那条道上
[247.30-248.98] 收割韭菜的那条道上
[249.10-250.50] 坚定不移的前进
[250.50-252.22] 无论你是在中国还是在美国
[252.22-253.38] 还是在火星
[253.42-255.82] 只要有利于你家收割
[255.82-257.78] 你就该挺共挺共
[257.78-258.90] 该挺美挺美
[258.90-260.06] 该反共反共
[260.06-261.10] 该反美反美
[261.10-262.54] 我是不是说到你心眼里去了
[262.58-263.26] 你别生气
[264.58-265.58] 活家伙
[265.82-266.86] 裤衩都不要了
[266.86-268.86] 直接就恶口大麻
[268.86-269.94] 这妈还怕我吗
[269.94-271.18] 还怕我告你是不是
[271.18-272.58] 你怎么知道我找了西雅图
[272.58-274.46] 最有名的名誉权律师
[274.46-275.58] 就等着录你的屏
[277.02-280.30] 你知道我把你下下来那一分钟
[280.30-281.98] 放到我推特的首页的
[281.98-283.50] 真正的目的是什么
[283.50-285.78] 我就怕你又走上邪路
