[0.40-5.20] 这就是温哥华今天的天气
[5.20-8.84] 现在已经到了游艇
[8.84-10.98] 船只坐winter rise
[10.98-12.70] 就是冬季养护的时间了
[12.70-15.06] 所以老王今天也来码头
[15.06-16.64] 做一下冬季养护
[16.64-19.20] 这艘船呢
[19.20-21.12] 是老王的邻居的船
[21.12-24.74] 是一对加拿大白人老夫妻的
[24.74-26.02] 这种船叫TUG
[26.02-27.68] TUG
[27.68-29.60] 这种船型叫做TUG
[29.60-31.14] 它的特点呢
[31.14-32.96] 就是它的可利用空间特别大
[32.96-36.20] 这艘船大概有60尺长
[36.20-38.22] 保养的也非常的好
[38.22-41.96] 这个船是可以在上面居住的
[41.96-44.90] 里边有30两厅
[44.90-49.45] 这边是老王
[49.45-51.55] 这里呢
[51.55-53.53] 就是游艇的发动机舱
[53.53-55.25] 就是这样下去的
[55.25-57.35] 带大家看一下
[57.35-59.11] 大家没见过的视角
[59.11-62.05] 这个就是
[62.05-65.46] 游艇的发动机舱
[65.46-67.72] 这是左侧发动机
[67.72-70.28] 这是右侧发动机
[70.28-74.36] 这两台黄色的就是大型的发动机
[74.36-77.06] 是卡特比勒600匹马力
[77.06-82.16] 所以两台的发动机加起来是1200匹马力
[82.16-83.60] 中间那个大柜子
[83.60-85.82] 那个红色的是消防棚
[85.82-88.32] 那个不锈钢的
[88.32-90.24] 那个是一个油箱
[90.24-91.28] 是油箱的一部分
[91.28-92.48] 它一共有三个油箱
[93.36-98.24] 老王是一个特别手工男
[98.24-100.08] 把这个发动机舱呢
[100.08-102.06] 维护保养的非常干净
[102.06-108.72] 我们眼睛所见的这种整洁程度的干净程度的发动机舱呢
[108.72-110.28] 实际上是非常少见的
[110.28-112.62] 大部分都是又黑又脏的
[112.62-113.58] 这个呢
[113.58-115.80] 是老王保养的成果
[115.80-119.98] 这个这个罐子的是机油滤清器
[119.98-122.88] 他就是机油从这蹦进来
[122.88-123.36] 然后
[123.36-125.16] 把他过滤干净
[125.16-126.00] 杂质留下
[126.00-131.16] 从这从这个管道的出去输入到发动机里面
[131.16-132.54] 这个呢就是水泵
[132.54-133.80] 这是一个水泵
[133.80-136.80] 他呢把海水从水里面吸就吸出来
[136.80-141.86] 通过这根管道进入发动机内部做冷却循环
[141.86-149.16] 海水的冷却循环是船用发动机柴油机冷却的主要途径
[149.16-152.88] 他跟汽车的区别就是他不光使用冷却液
[152.88-154.44] 他也有使用冷却液的部分
[154.44-157.32] 这个就是冷却液箱冷却液箱
[157.32-158.26] 但是呢
[158.26-161.34] 当他的船只大功率运作的时候
[161.34-163.70] 这么一小箱冷却液是根本不够的
[163.70-164.12] 所以呢
[164.12-168.12] 他需要用海水的自然吸水的方式进行冷却
[168.12-171.54] 那么海水在进入发动机舱之前呢
[171.54-174.78] 是需要通过这个这个罐子
[174.78-175.80] 这个罐子
[175.80-177.90] 他是一个海水
[177.90-179.76] 从这从这个管道
[180.84-182.66] 海水从这个管道进入
[182.88-184.00] 进入水泵
[184.00-186.48] 然后进入发动机冷却
[186.48-188.62] 这个stranger的意思呢
[188.62-189.74] stranger的就是
[189.74-192.40] 把海水过滤啊
[192.40-194.40] 里边的什么螃蟹苗啊
[194.40-195.44] 什么牡蛎苗啊
[195.44-196.78] 都可能会被抽进来
[196.78-199.38] 抽进来之后就会留在这个罐子里
[199.38-200.34] 留在这个罐子里
[200.34-201.28] 然后呢
[201.28-202.74] 我们就要把这个罐子呢
[202.74-204.16] 不定期的打开
[204.16-205.12] 手工打开
[205.12-206.76] 这个罐子里就像水族箱一样
[206.76-208.10] 把它清理干净
[208.10-209.38] 给大家一个特写
[209.38-212.10] 你看这个罐子里边现在很脏
[212.10-212.70] 看到了吗
[212.88-214.26] 这是一年的成果
[214.26-217.80] 去年冬天老王把它打理的干干净净
[217.80-219.36] 这一年下来呢
[219.36-220.70] 这里边又有脏东西了
[222.10-222.84] 那这个呢
[222.84-225.96] 就是柴油滤芯
[225.96-227.66] 又叫柴油滤清器
[227.66-229.74] 柴油从这个里边进去
[229.74-230.82] 然后过滤干净
[230.82-232.80] 里边杂质留留在里边
[232.80-233.94] 然后泵入到
[235.38-236.58] 发动机的燃烧室
[237.78-239.88] 那么这上面的这个时间呢
[239.88-242.16] 就是老王上次保养
[242.16-242.86] 留下的时间
[242.88-245.64] 这个呢叫油水分离器
[245.64-248.94] 因为发动机的柴油
[248.94-251.12] 它会吸潮会吸水
[251.12-252.10] 时间长了呢
[252.10-254.64] 就会留下水分
[254.64-256.62] 在这个油箱里面
[256.62-259.92] 那么我们就必须把它通过这样的一个机器设备
[259.92-261.06] 把它给分开
[261.06-263.34] 水就会流到这个碗里
[263.34-265.02] 然后你去把它清理掉
[265.02-269.52] 然后油就正常的循环到发动机里面进行燃烧
[270.66-272.58] 今天做Winterize工作非常简单
[272.88-274.56] 主要是把吸潮剂
[276.78-278.04] 挂在发动机舱里面
[278.04-279.66] 这个就是普通家用的吸潮剂
[281.12-282.24] 潮湿的水分呢
[282.24-284.04] 就会被它吸收干净
[284.04-285.18] 然后我们定期更换
[285.18-288.96] 这是保证冬季发动机舱不结露
[288.96-291.54] 不上锈的重要的手段
[291.54-293.32] 也是非常简单的手段
[293.32-295.74] 你不用用什么暖气呀
[295.74-297.90] 或者擦你也擦不干净
[297.90-300.36] 因为这些钢铁设备一到冬天的晚上
[300.36-301.14] 它会非常凉
[301.14-304.02] 白天空气热了以后
[304.02-306.18] 空气中的水蒸气就会吸出
[306.18-307.96] 凝结在这些设备表面
[307.96-309.38] 造成锈蚀
[309.38-312.42] 所以及时的把空气里面的潮气吸掉
[312.42-313.52] 非常重要
[313.52-315.36] 这两个
[315.36-317.78] 两侧的大箱子里面是电池
[317.78-318.64] 传用电池
[318.64-319.68] 非常大的
[319.68-321.90] 一排一排的传用电池
[321.90-323.92] 好了
[323.92-326.26] 这就挂好了
[326.26-327.84] 它就会把水
[327.84-329.84] 从空气中吸出来
[329.84-331.08] 流到这个袋子里
[331.08-334.08] 那我们大概每周或者每两周
[334.08-335.64] 过来更换一次新的就行了
[335.64-338.38] 左侧发动机和右侧发动机呢
[338.38-339.06] 各挂了一个
[339.06-340.34] 就挂在这儿就行
[340.34-341.00] 非常简单
[341.00-345.08] 这个传用电池组
[345.08-347.28] 你看又纯又大
[347.28-349.50] 这现在呢用的都是铅酸电池
[349.50-352.86] 但是我们呢正在向锂电池探索
[352.86-355.70] 传用锂电池现在是越来越成熟了
[355.70-358.16] 所以翟副主席他不懂
[358.16-359.10] 他一派胡言
[359.10-361.06] 这个锂电池就是发展的方法
[361.08-362.08] 方向啊
[362.08-364.40] 我们使用了传用锂电池的话呢
[364.40-367.56] 大概所占的体积只有他的三分之一
[367.56-369.90] 重量也差不多只有三分之一
[369.90-371.88] 就能起到同样的作用
[371.88-373.14] 哈喽大家好
[373.14-375.84] 从发动机舱出来了
[375.84-376.84] 就不换衣服了
[376.84-380.60] 来看这是一个战术冲锋衣
[380.60-381.84] 这老王穿着他呢
[381.84-383.72] 就干一些粗活累活
[383.72-385.08] 都是油泥
[385.08-386.24] 非常脏
[386.24-387.52] 今天为什么穿这身呢
[387.52-388.76] 就是告诉大家
[388.76-390.20] 老王不光是炫富
[390.20-391.04] 更是有
[391.08-394.76] 机会让大家实地的亲身的体验一下
[394.76-397.08] 所谓温和华玉工的生活啊
[397.08-400.28] 并不是那么好吃懒做混吃等死
[400.28-401.52] 其实呢
[401.52-403.40] 移民出来润出来之后呢
[403.40-405.68] 有大把的事情可以自己挑战
[405.68-409.00] 所以很多年轻人给我写信说王老师
[409.00-410.80] 我这英语怎么办
[410.80-412.64] 英语是一种使用工具
[412.64-413.88] 你到了这个环境里
[413.88-416.48] 你只要有一颗积极向上的心
[416.48-420.32] 没有人不会说英语或者学不好英语
[420.32-421.08] 我都这么大
[421.08-421.68] 岁数了
[421.68-423.12] 我都可以
[423.12-424.40] 你有什么不可以的
[424.40-425.52] 老王保养游艇
[425.52-426.84] 你们也看得出来
[426.84-432.20] 我并不是大家所谓脑子里边想象的那种油腻中年大叔
[432.20-433.88] 然后有钱的资本大佬
[433.88-435.08] 什么都不会干
[435.08-436.08] 躺在家里面
[436.08-438.40] 什么东西都是派钱派钱派钱
[438.40-439.16] 让人家去干
[439.16-439.64] 不是呢
[439.64-441.04] 那个不是真实的人啊
[441.04-443.80] 那个不是真实的人生
[443.80-444.68] 真实的人生
[444.68-446.40] 我就是一个隔壁的邻居
[446.40-447.76] 隔壁的老王
[447.76-449.36] 是一个爸爸
[449.36-450.40] 是丈夫
[450.40-452.00] 也是大家的好朋友
[452.00-453.52] 我在这边呢
[453.52-457.24] 几乎扮演了一个凝结核的角色
[457.24-457.84] 扪心自问
[457.84-458.84] 我有安全感
[458.84-461.08] 他们愿意依附在我身边
[461.08-464.76] 我们也愿意给他们提供力所能及的帮助
[464.76-465.44] 这样的话呢
[465.44-468.08] 我们能形成真正的社区凝结核
[468.08-470.36] 我这样的人润出来是应该的
[470.36-471.88] 如果我要是不润出来
[471.88-473.40] 在共产党的统治下
[473.40-475.88] 我这种凝结核是长不大的
[475.88-477.64] 邓小平当时搞改革开放的时候
[477.64-478.64] 说这么一句话
[478.64-480.28] 叫让一部分人先富起来
[480.40-482.52] 先富带动后富
[482.52-483.92] 最后实现共同富裕
[483.92-485.04] 结果呢
[485.04-487.48] 走到一半就变成了让一部分人先富起来
[487.48-489.20] 先富起来的人移民润走
[489.20-490.56] 这种模式
[490.56-492.36] 大家心里面都特别的不愤
[492.36-494.08] 但是我今天想想
[494.08-496.68] 其实如果我们不走的话
[496.68-498.24] 我们留在中国的话
[498.24-499.96] 我们没有途径移民的话
[499.96-503.44] 像我们这种人是绝对不会安分守己
[503.44-505.36] 任共产党宰割的
[505.36-507.08] 我们就会像孙大午那样
[507.08-508.36] 留下来
[508.36-510.36] 形成一个一个的土豪的世界
[510.40-513.76] 就不再是刘仲敬阿姨讲的缺乏土豪的世界
[513.76-516.64] 所以共产党之所以让我们润出来
[516.64-521.36] 可能也有这方面的自觉不自觉的深层考虑
[521.36-522.80] 我们这种人出来了
[522.80-525.32] 社会不就没有凝结核没有头部了吗
[525.32-528.88] 留下来的都是一些普通老百姓
[528.88-531.80] 无论是从智慧还是从实力
[531.80-534.84] 都不具备跟党跟政府抗争的能力
[534.84-538.12] 偶尔有那么一两个冒头的也没有组织
[538.12-539.76] 很容易就被掐灭了
[539.76-540.36] 所以
[540.40-542.80] 所以是不是让大家润出来
[542.80-546.88] 是有党国的长远的考虑
[546.88-550.84] 我今天想还真有这个可能好了
[550.84-551.52] 不说用不着了
[551.52-553.84] 今天给大家做个润学专题
[553.84-556.92] 主要谈子女的教育问题
[556.92-558.32] 因为我们润出来
[558.32-560.08] 我们移民出来
[560.08-562.08] 其实最最重要的原因
[562.08-564.76] 就是子女的教育
[564.76-566.64] 中国的教育是个什么状态
[566.64-568.44] 大家有目共睹
[568.44-570.04] 而且令人沮丧的是
[570.40-573.00] 中国的教育体制逐年恶化
[573.00-575.64] 教育环境一天不如一天
[575.64-577.72] 我记得老王是70后
[577.72-578.88] 在我小的时候
[578.88-580.20] 80年代的时候
[580.20-582.48] 教育体制还比较清廉
[582.48-584.88] 那个时候刚刚出现所谓的教师节
[584.88-587.36] 过教师节也就是给老师说一句
[587.36-589.20] 老师教师节快乐
[589.20-590.96] 大家站起来给老师鞠个躬
[590.96-592.44] 行个少先队礼
[592.44-594.52] 最多最多是全班同学
[594.52-596.88] 传出来两块钱人民币
[596.88-597.76] 你有给五分的
[597.76-598.80] 有给一毛的
[598.80-600.32] 班长班委去
[600.40-603.68] 隔壁小卖部买一个贺卡
[603.68-604.80] 大家签上名
[604.80-606.76] 写上某某老师
[606.76-607.88] 一般都是班主任
[607.88-609.84] 写上某某老师教师节快乐
[609.84-610.64] 谢谢你
[610.64-612.44] 老师感动的热烈盈眶
[612.44-614.76] 那个是特别正常的一种社会
[614.76-616.32] 像今天的加拿大社会
[616.32-617.84] 美国社会是一样的
