[1.36-3.36] 哈喽 大家好
[3.36-4.44] 大家好
[4.44-6.32] 宅小鸟已经疯了
[6.32-8.04] 红鸟今天已经疯了
[8.04-9.76] 攻击我的牙缝
[9.76-11.04] 我当他领导的时候
[11.04-12.44] 他压根没敢提这事
[12.44-14.36] 估计是看我的视频
[14.36-15.64] 看多了
[15.84-17.12] 攻击我的牙缝了
[17.12-18.64] 没话可讲了
[18.64-19.48] 好吧
[19.48-22.00] 我今天就揭秘
[22.36-24.96] 币圈骗局的终极金融技术
[24.96-26.48] 全是纯干货
[26.80-28.48] 老王今天的
[28.48-30.48] 下面的30分钟的视频
[30.48-32.28] 是老王油管开播以来
[32.28-33.80] 技术含量最高
[33.84-34.92] 最干
[35.12-36.32] 最实在的东西
[36.32-38.32] 本来我打算拿到半年以后
[38.32-40.12] 10万粉丝的时候放出来的
[40.32-42.56] 但是我看宅山英磨刀祸祸
[42.56-43.72] 而且他潮吹了
[43.84-45.84] 我蹭不了他6个月
[45.84-47.16] 他就已经高潮了
[47.56-48.32] 今天就放出来
[49.28-51.40] 希望大家多多转发
[51.60-53.96] 尽可能多的传播出去
[53.96-55.48] 因为这是一件功德
[55.60-57.08] 当大家看明白
[57.08-59.32] 下边30分钟的节目之后
[59.36-60.40] 所有的币圈骗局
[60.40-62.44] 全都不能再骗你们
[62.48-64.52] 会保住无数人的财富
[64.56-66.12] 可以说大老王
[66.20-68.16] 20多天不到30天
[68.28-69.28] 一个人
[69.68-71.68] 几十个视频灭了宅山英
[71.72-75.00] 等于是灭了一个正在出手骗人之前的
[75.00-76.12] 下一个郭文贵
[76.76-78.00] 我自问
[78.32-80.04] 我做油管频道的目的
[80.04-81.08] 就已经达到了
[81.88-83.00] 度人无数
[83.12-83.96] 给人智慧
[83.96-86.48] 让大家不被骗子骗钱
[87.04-88.68] 他在国内割完韭菜
[88.80-90.36] 他又想在国外割韭菜
[90.40-93.72] 包括在国内的新被他圈的粉们
[93.72-96.52] 让人家换什么usdc usdt
[96.52-98.00] 就是为了这些人的钱
[98.00-101.00] 快速的能从国内打到他
[101.00-103.56] 在迪拜开的电子盘里割人的韭菜
[103.76-104.36] 好了
[104.36-105.92] 大家多多转发
[106.36-107.72] 多多评论
[108.04-109.52] 多多传播
[109.68-112.00] 让这些骗子无所遁形
[112.32-114.64] 十不杀一人千里不留行
[114.84-116.36] 是了佛秀去
[116.36-117.80] 深藏公与名
[117.80-119.28] 请大家观赏
[120.40-121.80] 哈喽大家好
[121.80-125.00] 接着听老王揭秘币圈骗局
[125.36-127.60] 上次说完第一集
[128.24-131.28] 有些性急的观众朋友们说
[131.32-134.60] 老汪你要揭秘币圈骗局
[134.60-138.32] 你怎么扯到了2004年的黄金市场
[139.16-140.24] 这里面就不懂了
[140.28-141.76] 要讲解放军历史
[141.76-144.28] 是不是得从黄埔军校开始讲
[144.80-146.96] 必须得从林彪周恩来开始讲
[146.96-148.56] 你才能捋下来脉络
[149.08-150.36] 我一步到位
[150.36-151.92] 直接插入到电子盘
[151.92-152.92] 直接插入到币圈
[152.92-154.00] 你接受不了
[154.12-156.52] 所以听老王给你娓娓道来
[156.52-157.08] 这样的话
[157.08-158.76] 你理的特别顺
[160.36-161.60] 话不多说
[161.64-162.72] 切入正题
[163.64-164.96] 上回书说到
[165.12-167.80] 草原牧民张王两兄弟
[167.80-168.32] 张卫星
[168.32-169.40] 王继洲两兄弟
[169.60-172.16] 在毡房里搭出了电子盘
[172.40-175.00] 在毡房里搭出了小计算机
[175.04-177.28] 连上了国泰捐炒股软件
[177.32-181.28] 结果弟弟王继洲喝高了一脚
[181.28-184.12] 踢掉了交易数据线
[184.16-187.52] 只剩下了行情显示没有交易
[187.84-188.60] 不知道
[188.64-190.40] 哥还在那继续收钱
[190.40-192.96] 用自己开发的小软件
[193.00-196.00] 记着大家哪个牧民买了什么股票
[196.00-196.84] 自己给他输入
[196.84-197.64] 帮他买了
[197.64-200.20] 然后哪个牧民卖出什么股票
[200.20-202.36] 自己哪天在什么价位帮他卖了
[203.36-204.84] 过了一个月坏
[204.88-208.67] 数据断了
[208.67-209.31] 操他妈
[209.31-211.11] 这一个月没买也没卖
[212.39-213.51] 自己在小本本上记录了
[213.51-214.51] 记录下来了
[214.79-217.11] 上交所的大信息系统
[217.11-218.47] 咱们没有同步更新
[219.11-219.75] 天哪
