[2.00-3.48] hello 大家好
[3.48-5.80] 今天给大家彻底解密
[5.80-7.32] 电子盘
[7.52-10.44] 又叫数字货币大揭秘
[11.56-12.96] 通过这期节目
[12.96-14.68] 我希望所有的人
[14.68-16.32] 所有老王的观众
[16.32-18.64] 都对所谓的数字货币
[18.64-20.60] 有一个明确的认识
[20.96-23.28] 因为今天是加拿大的星期六
[23.28-26.04] 今天上午老王跟几个朋友在一起吃饭
[27.24-28.80] 惊讶的发现
[28.80-32.88] 除了经验丰富的中国企业家之外
[32.88-35.36] 绝大部分中国人
[35.68-37.76] 包括所谓的成功人士
[37.76-41.48] 居然对所谓的区块链数字货币
[41.48-42.60] 一无所知
[42.60-44.80] 所以老王觉得非常有必要
[44.80-47.20] 做一次科普类的ABC
[47.20-49.60] 让大家从根本上了解
[49.60-51.52] 到底他们在干什么
[51.52-52.84] 这个币那个币
[52.84-54.76] 他们到底在玩什么
[54.76-56.60] 在进入主题之前
[57.20-58.48] 老王先做一个
[58.48-58.80] 频道
[58.80-59.60] 说明
[59.60-61.72] 眼看着老王的频道
[61.72-63.68] 粉丝人数就要过万了
[63.68-65.84] 老王心里面非常高兴
[65.84-69.36] 同时也感受到了大家的期望和压力
[69.36-71.76] 有了那么一点点偶像包袱
[71.76-74.00] 尤其令我惊讶的是
[74.00-77.20] 今天我在温哥华的企业家朋友们告诉我
[77.20-80.40] 他们的小孩也看我的频道
[80.40-84.32] 这些孩子都是在本地长大的CBC
[84.64-86.28] 中文还可以
[86.28-88.48] 因为平时看王叔叔
[88.48-90.04] 觉得是一个普通人
[90.04-92.44] 不知道王叔叔居然开了油管
[92.44-94.76] 于是纷纷前来为官
[94.76-97.88] 这给我造成了巨大的精神压力
[97.88-100.40] 大家知道老王是婚口拙流
[100.40-102.20] 满口的B屌经济学
[102.20-104.52] 这都是我女儿的同学
[104.52-106.16] 这以后可怎么办
[106.16-109.72] 所以改一改
[109.72-113.68] 第一老顽童要尽量的收敛一点
[113.68-116.20] 第一这儿嘴上不能再没有把门的了
[116.20-118.36] 没想到现在影响越来越大了
[118.36-120.48] 一旦粉丝数破了万
[120.48-122.44] 这个频道是肯定做起来了
