[1.74-3.74] 哈喽 大家好
[3.74-5.74] 大家好 大家好
[5.74-7.74] 牙缝王又来了
[7.74-9.74] 早晨起来
[9.74-11.74] 我一看 一睁眼
[11.74-13.74] 关注人数
[13.74-15.74] 10111人
[15.74-17.74] 10111
[17.74-19.74] 就这么巧
[19.74-21.74] 真的破万了
[21.74-23.74] 昨天我还以为大概两三天之后才能破万
[23.74-25.74] 结果没想到
[25.74-27.74] 过了一晚上睁开眼睛就破万了
[27.74-29.74] 最近平均每天的长粉速度
[29.74-31.74] 都在200以上
[31.74-33.74] 接近300
[33.74-35.74] 谢谢大家的关注
[35.74-37.74] 所以今天上午
[37.74-39.74] 老王给大家录一期
[39.74-41.74] 万人关注感言
[41.74-43.74] 真的感谢大家对我的支持
[43.74-45.74] 也感谢他
[45.74-47.74] 把我从坟头里
[47.74-49.74] 给我蹦出来
[49.74-51.74] 蹦迪的两口子
[51.74-53.74] 有的你们玩
[53.74-55.74] 昨天老王说
[55.74-57.74] 十步杀一人
[57.74-59.74] 千里不留行
[59.74-61.74] 博秀去深藏功与名
[61.74-63.74] 大家以为我要关油管
[63.74-65.74] 说把小红鸟灭了
[65.74-67.74] 把他那个电子盘砸了
[67.74-69.74] 咱们就不干了
[69.74-71.74] 那叫二次创业嘛
[71.74-73.74] 我就是以旁征博引一下李白的侠客行
[73.74-75.74] 宜将胜勇
[75.74-77.74] 追穷寇
[77.74-79.74] 不可孤鸣
[79.74-81.74] 学霸王
[81.74-83.74] 张萌 张莉莉
[83.74-85.74] 小鸟 翟山英
[85.74-89.76] 慢慢蹭
[89.76-91.76] 为什么呢
[91.76-93.76] 今天就不蹭他们
[93.76-95.76] 明天早上我看看他的直播
[95.76-97.76] 他还骂我什么
[97.76-99.76] 是牙缝也骂完了
[99.76-101.76] 河北籍也给我抖落出来了
[101.76-103.76] 我是祖籍河北
[103.76-105.76] 这不假
[105.76-107.76] 这我一直没有否认过
[107.76-109.76] 我大院长大的
[109.76-111.76] 我爸是65军炮兵团
[111.76-113.76] 我还给大家讲过我爸的故事
[113.76-115.76] 我就在那个大院里出生长大
[115.76-117.76] 所以我没有河北口音
[117.76-119.76] 因为我那个部队大院里边
[119.76-121.76] 什么口音的人都有
[121.76-123.76] 我之所以对玄学这么感兴趣
[123.76-125.76] 正是因为
[125.76-127.76] 我从小就目睹了部队大院中
[127.76-129.76] 不可思议的事情
[129.76-131.76] 家属院里边
[131.76-133.76] 这可不像你们想的那样
[133.76-135.76] 说军营里边阳气那么重
[135.76-137.76] 他一定不闹鬼
[137.76-139.76] 正好相反
[139.76-141.76] 军营里边闹鬼的事特别多
[141.76-143.76] 我从小亲眼目睹
[143.76-145.76] 所以我从小的世界观
[145.76-147.76] 就不是那么绝对
[147.76-149.76] 虽然我学习成绩特别好
[149.76-151.76] 也一样能去
[151.76-153.76] 只不过那一年我要去北大的话
[153.76-155.76] 就只能上北京大学考古系
[155.76-157.76] 1993级北京大学考古系
[157.76-159.76] 我的分是够的
[159.76-161.76] 我想考古系不是学文了吗
[161.76-163.76] 太丢人了
[163.76-165.76] 我就没去
[165.76-167.76] 所以我就去了北理工
[167.76-169.76] 这个是以后我粉丝多了
[169.76-171.76] 大家对我的八卦感兴趣
[171.76-173.76] 我可以给你们讲讲
[173.76-175.76] 我的婚姻我的爱情我的家庭
[175.76-177.76] 我的性癖好
[177.76-179.76] 都可以给大家讲讲
[179.76-181.76] 所以多半的你们小朋友给我造谣
[181.76-183.76] 其实没有那么乱
[183.76-185.76] 也没有那么复杂
[185.76-187.76] 这没有什么可遮掩的
[187.76-189.76] 因为我活得坦坦荡荡
[189.76-191.76] 不像某些人满嘴都得谎言
[191.76-193.76] 我遮嘴
[193.76-195.76] 是因为有些话我不能直说
[195.76-197.76] 比如说那架飞机
[197.76-199.76] 我说那架飞机的主人姓什么
[199.76-201.76] 卧槽好多懂行人给我发私信
[201.76-203.76] 说老王你敢说这句话
[203.76-205.76] 全中国没有人敢把这事挑明
[205.76-207.76] 所以我也得捂嘴
[207.76-209.76] 我也不能说电号
[209.76-211.76] 是多少弦号是多少
[211.76-213.76] 哪天从哪飞到哪
[213.76-215.76] 我都能查出来坏了
[215.76-217.76] 那我不是坑朋友吗
[217.76-219.76] 注意的又知道我今天
