[0.66-2.66] Hello 大家好
[2.66-4.66] 老王今天没脸见人了
[4.66-9.66] 我昨天真的去美容医院做了激光微皮苗整容手术
[9.66-12.66] 我现在成了大花脸了
[12.66-13.66] 去班的那个手术
[13.66-16.66] 给我排到15天以后终于给我做了
[16.66-18.66] 本来说10月14号给我做
[18.66-21.66] 结果呢我那天去了医生有点事
[21.66-23.66] 又给我推了15天
[23.66-25.66] 昨天呢就给我做了
[25.66-26.66] 哎呀
[26.66-27.66] 我现在真的没有脸见人了
[27.66-29.66] 本来我说戴个眼罩的
[29.66-31.66] 但是我后来想了想
[31.66-32.66] 戴面带面罩的话
[32.66-34.66] 那个麦克风录音不好
[34.66-35.66] 哎呀
[35.66-36.66] 想了想算了
[36.66-38.66] 翟主席都不要脸
[38.66-39.66] 我要什么脸
[39.66-40.66] 换个八字奶
[40.66-43.66] 换件衣服染了头发
[43.66-46.66] 跑到摇椅上坐着做直播
[46.66-48.66] 学我的版本
[48.66-50.66] 假装自己是优秀奶爸
[50.66-51.66] 哎呀他都不要脸了
[51.66-53.66] 他跟他以前说的话都完全不一样了
[53.66-54.66] 那他不要脸
[54.66-55.66] 我就也不要脸吧
[55.66-58.66] 好吧给大家看看我的手术后的第一天的效果
[58.66-59.66] 啊
[59.66-61.66] 完蛋了
[61.66-62.66] 第一天就这样
[62.66-63.66] 这个
[63.66-64.66] 这个都出来了
[64.66-66.66] 这边这边好多都出来了
[66.66-67.66] 那个黑色素啊
[67.66-68.66] 他是用激光
[68.66-71.66] 皮秒激光把这个黑色素打破
[71.66-72.66] 把这个皮肤打破
[72.66-73.66] 让黑色素泛出来
[73.66-74.66] 呃
[74.66-75.66] 以前我说过哎呀
[75.66-76.66] 我的可爱的网友们
[76.66-78.66] 低智商的网友们气我
[78.66-81.66] 说我这个是尖锐石油
[81.66-82.66] 靠
[82.66-83.66] 我没骂你
[83.66-85.66] 是因为我看出来你是没文化
[85.66-87.66] 你不是故意骂我的
[87.66-89.66] 尖锐石油不是长在上边的
[89.66-91.66] 尖锐石油是长在下边的
[91.66-93.66] 这个脸和表还是有区别的
[93.66-95.66] 那这个叫色素沉淀
[95.66-99.66] 就是有些网友还是懂点说你内脏不好
[99.66-100.66] 你们说对了
[100.66-101.66] 我年轻的时候
[101.66-103.66] 我大概十多年以前长的这个为什么呢
