[0.66-1.98] 哈喽 大家好
[1.98-3.54] 老王今天换身军装
[4.70-8.26] 今天老王戴上了小小的罂粟花
[8.42-15.18] 罂粟花是加拿大纪念战争中死亡的老兵的标志
[15.18-17.42] 每年的11月11日
[17.42-22.14] Rememberance Day是一个泛英联邦国家的这样一个纪念日
[23.30-27.94] 那么作为一个润到了加拿大的中国裔加拿大人
[27.98-30.02] 我们除了遵守加拿大的法律之外
[30.02-32.34] 更要尊重当地的文化习俗
[32.38-33.58] 公序良俗
[33.62-37.50] 所以每年提前认真的佩戴罂粟花
[37.54-38.86] 是我们家族的传统
[38.86-40.90] 我们家所有的成年人都要配一个
[40.94-42.14] 小孩可以不配
[42.14-46.18] 因为小孩他这里边有一个很尖锐的针
[46.22-47.66] 小孩容易被扎伤
[50.06-50.78] 这很奇怪
[50.78-52.26] 他其实换一个别针就OK了
[52.26-54.22] 但是这么多年加拿大人也不换别针
[54.22-55.98] 坚持用一个大头钉
[55.98-57.74] 所以确实是只能是大人带
[57.74-59.30] 小朋友是有危险的
[60.02-60.94] 好了
[62.86-65.98] 今天给大家主要讲玄学
[65.98-67.06] 补课玄学
[67.10-68.54] 欠了很多债
[68.58-71.14] 老王的节目第一期就是玄学
[71.18-74.66] 今天是老王开播第一个月的最后一天
[74.82-77.22] 所以咱们还是做一期玄学
[77.50-80.14] 今天这个玄学可能有点甚远
[80.14-81.02] 有点深
[81.30-82.82] 懂的还是自然懂
[82.82-84.14] 不懂的就不要看了
[84.18-86.18] 因为你要是不相信怪力乱神
[86.18-87.42] 你是无神论者
[87.42-88.94] 你是一个科学崇拜者
[89.10-89.94] 相信
[89.94-91.18] 物质决定意识
[91.22-94.14] 除了物质世界之外的东西都是不存在
[94.14-94.90] 子虚乌有的
[94.90-95.86] 你不要看这一期
[96.22-98.42] 老王提前做一个说明
[99.14-100.78] 那么讲玄学之前
[101.74-103.86] 我先给大家推荐一本书籍
[104.14-111.17] 这本书叫高岛异端
[111.17-112.13] 斩断破解
[112.45-115.57] 这本书的作者是日本的
[116.09-117.05] 易经大师
[117.05-118.81] 叫高岛家祐魏门
[118.85-120.33] 又叫高岛吞相
[120.73-122.89] 吞是吞没的吞
[122.89-124.49] 相是大象的相
[124.53-128.49] 高岛先生是日本可以说是有史以来
[128.53-132.61] 最厉害的最著名的易经大师
[133.09-135.33] 也是神算子
[136.17-138.81] 高岛先生在40岁之前还一无所成
[138.85-140.17] 简直就是个混混
[140.17-141.25] 在40岁之前
[141.77-143.81] 他曾经有一段牢狱之灾
[143.97-144.97] 被关在了
[144.97-145.81] 他是横滨人
[145.81-147.69] 被关在了横滨监狱里边
[147.73-148.57] 服刑
[149.45-152.85] 在里边有一些特殊的纪元
[152.85-154.37] 他在这本书里面
[154.81-155.85] 没有说实话
[155.85-158.89] 他说他自己刻苦的得到了半本易经
[159.01-160.45] 然后读
[160.49-161.85] 然后就机遗成物
[161.85-163.49] 变成了周易大师
[163.65-164.93] 凡事蹊跷
[164.97-165.65] 必有妖
[165.65-166.37] 必是谎言
[166.37-168.69] 所以高岛吞相先生也未能免俗
[168.85-170.05] 他为什么不说实话
[170.17-171.77] 因为跟你们说实话之后
[172.21-174.65] 95%的人的IQ是不在线的
