[1.68-5.82] 哈喽,大家好,今天跟大家谈一期经济学的话题
[5.82-10.28] 就是中国的房地产将要走向何方
[10.28-14.60] 北京上海的楼市还有多大的下跌空间
[14.60-19.58] 相信老王,这一期节目做完,大家心里面就都有数了
[19.58-24.76] 说到经济这个词呢,这个词实际上是日本人翻译的,翻译的有问题
[24.76-30.14] 经济学,你很容易感觉是什么经理啊,manager这种词
[30.14-36.40] 所以它叫经济,不科学,它真正的对应的中文意思应该是轻重学
[36.40-40.78] 对,就是很轻的轻和很重的重,轻重学
[40.78-45.14] 春秋战国时代中国的经济学的理论和实操
[45.14-49.38] 已经在当时的世界上属于先进的水平
[49.38-52.74] 其代表性的著作呢,就是管仲的《管子》
[52.74-56.92] 《管子》这本书呢,很遗憾,并不是管仲自己写的
[57.48-60.08] 为什么呢,因为管仲这一生啊
[60.08-62.96] 吃喝玩乐,无比充实
[62.96-65.30] 他没想起来写书这件事儿
[65.30-69.26] 就像老王一再重复的,人只有在绝境的时候才能创新
[69.26-72.14] 管仲这一生基本上也没有碰到绝境
[72.14-77.54] 所以他压根没想把自己的治国理政的这套方略写出书来
[77.54-81.56] 这是有真本事的人,天天把治国理政挂在嘴上
[81.56-83.78] 印到书上摆到满街都是的
[83.78-86.36] 这些人反而是不懂治国理政的
[86.36-88.08] 因为他苦逼到没事可干
[88.08-89.46] 他才写出这种东西来
[89.46-90.02] 真正
[90.08-92.52] 能把国民经济治理的好好的人
[92.52-94.28] 他就会把这个事儿忘了
[94.28-97.68] 这就是那个理论,就是人缺什么他喊什么
[97.68-100.76] 如果这个人很猛,很威武,很雄壮
[100.76-103.30] 他绝对不喊我一次能干一个小时
[103.30-109.16] 对不对,他喊一次一小时基本都是一分钟
[109.16-112.74] 老王又开车了,对老王要回归本色
[112.74-116.06] 放开了他,就不喜欢那种整天兜着
[116.06-119.46] 我才一万粉,我有什么偶像包袱啊,没事儿
[120.08-122.18] 好了,咱们不开了
[122.18-124.04] 继续话归正题
[124.04-125.54] 说到管仲呢
[125.54-126.96] 这个人的著作
[126.96-128.78] 即使不是他本人写的
[128.78-131.66] 即使是他死后五六十年
[131.66-135.70] 他的弟子门徒们给他总结的西郎头东一棒槌
[135.70-138.50] 这样的一个支离破碎的著作
[138.50-140.72] 也值得大家去看
[140.72-141.62] 这本书
[141.62-144.56] 其实每一个中国人都应该仔细的看一下
[144.56-152.06] 他的价值并不比同一时代的孔子的孟子的著作含金量低
[152.06-159.98] 因为他可以给我们提供大量的春秋战国时期的鲜活的案例和生动的数据
[159.98-165.26] 其意义有点类似于金瓶梅的研究价值和红楼梦的研究价值
[165.26-168.30] 因为红楼梦和金瓶梅会给你一些片段
[168.30-169.52] 给你一些具体数据
[169.52-171.24] 让你了解明朝
[171.24-173.44] 清朝中国的物价水平
[173.44-174.54] 中国民间的建制派
[174.56-175.52] 借贷利率
[175.52-177.50] 中国餐馆的各种菜谱
[177.50-179.24] 这些细节
[179.24-183.14] 管子这本书提供了先秦时代的这种细节
[183.14-185.00] 那么说到管仲呢
[185.00-189.02] 就涉及到一个成语叫管抱之交
[189.02-190.82] 管仲年轻的时候呢
[190.82-193.24] 跟跟报书牙是铁哥们
[193.24-195.40] 这俩这俩货在一起混
[195.40-197.32] 报书牙家家庭条件好
[197.32-198.58] 管仲家有点没落
[198.58-199.52] 没钱
[199.52-199.96] 所以呢
[199.96-201.32] 管仲跟报书牙在一起混
[201.32-202.46] 从小坤到大的时候呢
[202.46-204.32] 他老占包书牙的便宜
[204.32-206.36] 他俩合伙去做买卖
[206.36-208.28] 管仲总是多拿
[208.28-209.56] 比如说赚了一百块钱
[209.56-211.52] 管仲负责管账
[211.52-212.24] 他脑子快
[212.24-213.38] 他回来告诉报书牙
[213.38-213.56] 他说
[213.56-214.94] 咱只赚了五十
[214.94-216.56] 其实他自己眯了五十
[216.56-217.16] 报书牙呢
[217.16-218.30] 这人很实在
[218.30-219.44] 报书牙心里边清楚
[219.44-221.30] 但是从来不把这事当回事
[221.30-223.40] 因为他觉得管仲家困难
[223.40-225.20] 自己家不困难
[225.20-227.54] 自己经商就是一个充实生活
[227.54-228.20] 所以呢
[228.20-232.88] 他愿意把他的利润睁一只眼的闭一只眼的让给管仲
[232.88-234.32] 管仲自己心里边也清楚
[234.32-235.84] 打起仗来呢
[235.84-240.54] 那个时候春秋战国的贵族是要亲自上阵的
[240.54-241.52] 一打仗呢
[241.52-242.74] 管仲就往回跑
[242.74-243.72] 每次呢
[243.72-244.20] 他都这样
[244.20-245.52] 报书牙呢
[245.52-246.42] 作为一个军官了
[246.42-247.18] 也不举报他
[247.18-248.24] 也能容忍他
[248.24-249.80] 有人把管仲捆起来
[249.80-250.60] 问为什么呢
[250.60-252.04] 报书牙还替他说情
[252.04-254.08] 说管仲家只有这么一男丁
[254.08-255.56] 他上有老下有小
[255.56-256.60] 他不往回跑
[256.60-257.58] 他要打死的话
[257.58-259.16] 谁去尽孝
[259.16-259.92] 谁去养活
[259.92-261.60] 他们家一家老小啊
[261.60-263.68] 所以他们俩这铁哥们真的是
[264.32-266.08] 也就是患难之交
[266.08-267.08] 最有意思的是
[267.08-268.58] 后来他们俩成年以后呢
[268.58-270.20] 都学赴武军
[270.20-271.22] 呃
[271.22-272.28] 齐湘公
[272.28-276.62] 齐国国君两个弟弟对自己的皇位构成了威胁
[276.62-277.88] 一个是公子纠
[277.88-279.02] 一个是公子小白
[280.40-281.32] 他呢
[281.32-284.84] 就让这两个家伙呢都去国外去
[284.84-286.08] 他给他们流放了
[286.08-289.16] 他不愿意让他们在齐国都城林兹呆着
[289.16-290.88] 如果在林兹呆着的话呢
[290.88-292.58] 怕他们俩造反作乱
[292.58-294.12] 人家不会送去上海
[294.12-295.62] 游泳呃
[295.62-297.24] 就都送到外国流放去了
[298.56-301.38] 公子纠的这个老师跟他一块走的呢
[301.38-304.52] 就是管仲公子小白的这个老师呢
[304.52-305.58] 就是鲍淑雅
[306.96-307.56] 后来呢
[307.56-310.26] 齐湘公自己不学无术
[310.26-312.72] 被勇士后门入地宫给干掉
[313.74-315.62] 和这俩公子一听
[315.62-316.74] 国君死了
[316.74-318.12] 他俩就都有机会了
[318.12-319.88] 因为他俩是两个储君
[319.88-323.16] 就是一个李克强一个汪洋就开始往北京跑
[323.16-324.12] 谁先到了呢
[324.12-326.46] 谁就能当新国君
[326.46-327.18] 这时候呢
[327.18-329.36] 管仲脑子快的优势又发挥出来了
[329.36-337.80] 管仲就骑着马带着几个特种兵就跑到江小白必经的路上去埋伏他去了
[337.80-340.74] 江小白跟鲍淑雅不知道走着走着呢
[340.74-342.96] 就碰上管仲带着埋伏
[342.96-344.70] 管仲就在山坡上喊说
[344.70-345.66] 你还别走了
[345.66-346.32] 你要是听话
[346.32-347.28] 你赶紧回去
[347.28-349.20] 否则我就对你不客气了
[349.20-351.88] 然后公子小白说怎么办呢
[351.88-352.38] 鲍淑雅说
[352.38-353.04] 咱不怕他
[353.04-353.40] 这逼
[353.40-354.60] 你跟我有交情
[354.60-356.04] 他妈他欠我好多人情
[356.04-356.72] 咱们别理他
[356.72-358.56] 咱们继续往前走
[358.56-359.90] 这个时候呢
[359.90-361.80] 管仲还真有点心虚
[361.80-362.42] 但是呢
[362.42-367.80] 又想自己的身份和职责还是得真男不能不能来虚的
[367.80-368.40] 于是呢
[368.40-373.74] 管仲恶向胆边生拉开弓对着江小白就来了一箭
[373.74-377.58] 这一箭不偏不正正好射到江小白的肚子上
[377.58-380.28] 然后江小白啊一声从车上掉下来
[380.28-381.58] 那时候坐马车
[381.58-382.98] 然后死在地上
[384.97-387.85] 管仲离老远一看这箭中了
[387.85-388.93] 还扎着呢
[388.93-390.13] 还死在地上了
[390.13-391.57] 心里边也有点虚
[391.57-394.03] 因为他不敢面对鲍淑雅
[394.03-397.09] 因为他怕他为什么不去补刀呢
[397.09-399.57] 因为他怕过去后鲍淑雅数了他
[399.57-401.65] 因为那个时候的贵族是要脸的
[401.65-402.55] 一会老王给你讲
[402.55-404.29] 那时候贵族为什么真要脸啊
[404.29-406.75] 不像现在这帮王子一点脸都不要了
[406.75-409.03] 管仲心里边有点虚
[409.03-410.29] 做了坏事就走了
[410.29-411.45] 而且挺高兴的
[411.45-413.21] 觉得自己也总算完成了任务
[413.21-414.61] 射死了江小白
[414.61-417.89] 这下江鸠就是公子鸠高枕无忧了
[417.89-419.43] 回去给公子鸠复命
[419.43-421.45] 我把你兄弟给干死了
[421.45-423.37] 现在国军就是你了
[423.37-424.33] 哎呦
[424.33-425.85] 这公子鸠可高兴了
[425.85-427.35] 这一路也不着急赶路了
[427.35-429.67] 一路吃吃喝喝沿途的郡县知道
[429.67-431.41] 那个被干死了
[431.41-433.45] 这个将来是领导啊
[433.45-435.09] 所以一路都好吃好喝好招待
[435.09-438.25] 等到了都城一看坏菜了
[438.25-441.45] 江小白已经当了国军了
[441.45-442.41] 为什么呢
[442.41-444.21] 他这一箭射的虽然很准
[444.61-446.59] 但是不该江小白死
[446.59-449.85] 正好射到他那个腰上的那个腰带扣上了
[449.85-451.85] 古人那个腰带扣都是用玉做的
[451.85-454.27] 啪一下射碎了那个腰带扣
[454.27-455.49] 小白反一块
[455.49-458.41] 一下子捂住自己这个伤
[458.41-460.75] 拿着一根箭就倒在地上假装死
[461.95-463.45] 把管仲给骗了
[463.45-465.25] 管仲这么老谋深算
[465.25-467.35] 你要真想骗他也不是那么容易
[467.35-468.99] 他为什么没上去检查呢
[468.99-472.03] 其实还不是因为跟鲍叔牙这层关系
[472.03-474.57] 鲍叔牙那个时候怒目远睁的恨他
[474.61-476.17] 他自己有点心虚就走了
[476.17-477.23] 老王就是这种性格
[477.23-480.25] 肯定不会上去捡翻翟山英的尸体
[480.25-482.23] 翟山英大喝一声死了
[482.23-483.49] 我也就走了
[483.49-484.73] 所以呢
[484.73-486.35] 这俩就都被捆了
[486.35-487.49] 公子鸠不用说啊
[487.49-489.49] 那是潜在的竞争对手被咔嚓了
