[0.00-1.52] 下一位 这个特别有意思
[1.56-3.36] 我就把他的信整个念一下
[3.40-5.36] 因为他会告诉你很多
[5.44-7.60] 可能普通老百姓不知道的
[7.64-10.08] 中国过去20年房地产的黑幕
[10.24-12.32] 然后你就知道整个国家
[12.36-13.92] 沦落到今天
[13.96-15.08] 整个房地产
[15.32-16.56] 退到今天
[16.60-18.32] 他跟共产党
[18.52-21.32] 不是完全的责任
[21.36-22.04] 你知道吧
[22.08-23.96] 就是不是共产党
[23.96-25.76] 不是100%的完全责任人
[25.80-28.40] 他实际上是一种共谋犯罪的现场
[28.40-31.56] 所有在中国房地产牛市中
[31.56-32.88] 赚到钱的这些中国人
[32.88-34.96] 其实都参与了共同犯罪
[35.00-38.80] 都他妈是黑社会混江湖的
[38.84-40.00] 都是要还的
[40.00-41.60] 所以等我念完
[41.60-41.96] 念完了
[41.96-43.04] 大家就觉得有意思了
[44.40-45.24] 老王您好
[45.24-46.80] 我曾经是宅的观众
[46.84-47.68] 出于好奇
[47.68-49.40] 我在推特里搜宅的信息
[49.40-51.52] 无意中搜到了您一宅的文章
[51.56-53.12] 立刻被您吸引了
[53.16-54.40] 通过您的信息
[54.40-57.08] 我把对他的各种怀疑一一坐实了
[57.12-58.40] 后来您开运
[58.40-58.72] 油管
[58.72-60.64] 我七七八八受益匪浅
[60.68-62.56] 感谢您又给我打开了一扇窗
[62.56-64.08] 我10年前在油管
[64.12-66.88] 有幸听到净空法师和弟子讲过
[66.88-67.72] 华严经
[67.76-70.08] 并阐述了科学与佛法的关系
[70.12-71.04] 从那时起
[71.04-73.44] 我就非常相信世界上有神的存在
[73.48-75.60] 我也相信在油管上见到您
[75.60-76.36] 并不是偶然
[76.36-77.80] 任何偶然都是必然
[77.84-80.84] 我是一名85后出生在油田大院
[80.88-82.24] 从小家境宽裕
[82.24-83.00] 没吃过苦
[83.00-84.32] 父母管的比较严
[84.32-86.32] 比较泛叛逆反体制
[86.36-88.36] 上高中之前爱听摇滚乐
[88.72-90.84] 爱看科幻电影和文艺片
[90.88-92.00] 没好好学
[92.00-93.80] 大学上了一个三本
[93.84-96.80] 后来因为家里的非常硬的亲属关系
[96.84-99.72] 毕业后进了天津建行正式编制
[99.76-100.96] 没回油田上班
[100.96-102.40] 从此改变我的一生
[102.88-104.84] 建行是涉及到房地产开发
[104.88-106.48] 最深的银行之一
[106.88-107.56] 四大行里
[107.56-108.48] 它是最深的
[108.84-111.00] 刚入建行的时候
[111.00-112.72] 需要一线轮岗一到两年
[112.72-114.24] 我先后在各金对公
[114.24-115.64] 各代的岗位都干了
[115.68-118.20] 最后选择了留在一线各代岗位
[118.20-119.80] 后来复盘我的人生时
[119.80-121.36] 发现我的选择是正确的
[121.36-123.48] 2012真是神奇的一年
[123.52-125.56] 天津房地产从那一年开始
[125.56-126.96] 量价一飞冲天
[126.96-128.96] 我的贷款业绩从那一年起
[128.96-130.00] 也是逐年递增
[130.00-131.68] 直到我干到2017年
[131.68-132.72] 赶上了5年
[133.04-135.08] 共谋大型犯罪现场
[135.28-136.24] 即将开始
[136.44-139.20] 2015年和2016年是最疯的两年
[139.32-141.60] 也是促使我润的加速剂
[141.72-144.12] 当时我主要负责二手房和融创的
[144.12-145.12] 一个楼盘项目
[145.32-147.08] 最变态的就是融创
[147.16-148.16] 他们为了资金
[148.16-149.00] 迅速周转
[149.00-152.48] 客户当天必须网签和签贷款合同
[152.64-155.08] 第二天就要求银行放贷
[155.64-157.36] 或内部叫签约放
[157.52-161.08] 也就是说他们都没有完成房管局抵押备案
[161.16-163.24] 钱已经到开发商账面上了
[163.40-165.12] 当时国企背景的开发商
[165.12-166.32] 基本都不敢这么玩
[166.32-168.08] 只有恒大和融创
[168.12-169.48] 这样的才敢这么玩
[169.48-170.52] 更夸张的
[170.56-172.12] 他们开发商的售楼处
[172.16-174.40] 有一条龙的假户口本
[174.44-175.64] 假离婚证
[175.68-177.44] 假公章的服务中心
[177.44-178.76] 供客户参考
[178.76-179.88] 为了堵我们的嘴
[179.88-181.92] 那年开发商和二手房中介
[181.96-184.04] 也给我们银行的人好处
[184.08-186.40] 当时信贷政策宽松
[186.40-187.64] 只要上面有人
[187.68-189.72] 客户除了身份证是真的
[189.76-191.56] 其他都可以是假的
[191.68-193.96] 个人征信上什么连三累六
[193.96-194.88] 展期呆账
[194.88-197.00] 白人等等贷款都能批
[197.04-198.32] 没公积金的客户
[198.32-201.48] 只要通过公积金中心内部的一操作
[201.52-204.48] 次月就能出来个连续缴存一年的账户
[204.52-206.68] 这样就可以低利息贷款了
[206.92-207.28] 我
[207.28-208.80] 一个做个贷的客户经理
[208.80-210.64] 居然比一个对公账户
[210.76-212.52] 居然比一个对公客户经理
[212.52-213.08] 放的款
[213.08-214.40] 还要多好几个亿
[214.96-217.60] 也就是说那几年所谓的繁荣
[217.60-219.68] 钱根本就没有进实体经济
[219.72-221.80] 都在房地产上吹泡泡了
[221.84-225.00] 为以后的各种暴雷埋下了伏笔
[225.12-228.16] 当时我的生活状态就是白天签贷款
[228.16-230.08] 晚上各种灯红酒绿
[230.12-232.32] 和开发商和各色人等
[232.32-236.00] 以及房地产中介要买房子求他的人
[236.04-236.68] 一起
[236.72-237.24] 各种局
[237.28-238.36] 车嫖赌
[238.36-239.44] 车玩乐
[239.44-241.36] 纸醉金迷
[241.36-243.68] 其实我非常厌恶这种生活
[243.68-244.76] 挣的钱虽然多
[244.76-245.88] 但是心里也不踏实
[245.88-248.36] 有时候配合渠道忽悠客户时
[248.36-250.20] 心里总是觉得良心过不去
[250.20-252.36] 心里总想无间道二里面
[252.36-255.20] 吴振宇拿着枪指着曾志伟的脑袋说的那句话
[255.20-257.60] 出来混迟早是要还的
[257.60-259.76] 房价一飞冲天
[259.76-262.40] 不仅是开发商和政府造的孽
[262.40-265.40] 也包括了底层的买方和卖方
[265.40-267.24] 从银行从业人员
[267.24-269.64] 我们每个人造的孽都逃不掉
[269.64-271.20] 直到2017年初
[271.20-272.88] 有一天我问了我老婆一个问题
[272.88-274.08] 你愿意跟我移民吗
[274.08-275.12] 去加拿大
[275.12-276.92] 我受够这样的生活了
[276.92-278.16] 他就说了两个字
[278.16-278.68] 愿意
[278.68-280.08] 第二天就辞职了
[280.08-283.14] 这个小哥
[283.14-284.02] 这个小哥
[284.02-285.10] 八后田的小哥
[285.10-289.74] 你在这隐秘了一些小秘密
[289.74-291.46] 你肯定是心虚了
