[0.00-0.76] 大家好
[0.76-1.86] 又见面了
[1.86-4.02] 今天白天做了点其他的事
[4.02-4.86] 有点忙
[4.86-7.14] 所以晚上的给大家补录一期补天
[7.14-8.34] 昨天的一个坑
[8.34-10.74] 今天呢就是聊包凡
[10.74-12.30] 华星资本的包凡
[13.40-14.70] 昨天我提起包凡
[14.70-15.72] 挖这个坑的时候
[15.72-17.76] 忘了华星资本这四个字
[17.76-20.88] 包凡创立企业应该比我还要晚一点
[20.88-25.04] 因为中国第一个叫某某资本的公司是一和资本
[25.04-28.02] 在我一和资本有限公司出现之前
[28.02-32.22] 在中国的资本市场上是没有什么什么资本有限公司的
[32.22-38.76] 之前呢都叫投资咨询有限公司或投资管理有限公司
[38.76-42.12] 那么出现什么什么资本有限公司
[42.12-43.56] 我们是第一家
[43.56-44.88] 这第一家怎么来的呢
[44.88-47.78] 是因为当时在成立一和资本之初
[47.78-51.18] 也想叫什么什么投资管理有限公司
[51.18-54.18] 因为当时的中国资本市场上叫投资咨询有限公司
[54.18-57.12] 他那个门槛呢是注册资金一百万
[57.12-58.00] 而叫投资管理有限公司
[58.00-62.24] 他注册资金的门槛是一千万
[62.24-63.10] 所以呢
[63.10-65.32] 要叫什么什么投资管理有限公司呢
[65.32-67.08] 就显得你比较有诚意
[67.08-68.20] 比较有实力
[68.20-73.18] 当时是没有所谓的这个名义出资这一回事了
[73.18-76.84] 所有的注册资本都必须是实收注册资本实缴的
[76.84-77.38] 而且呢
[77.38-81.34] 当时在刑法里面还有个罪名就叫抽逃自注册资本罪
[81.34-82.66] 就是你跟别人借了一千万
[82.66-85.24] 然后你成立了一个投资管理有限公司
[85.24-87.82] 然后你再把这一千万还给别人抽走
[87.82-89.10] 做个借款拿走
[89.10-89.68] 这个东西
[89.68-90.94] 如果要是有人举报的话
[90.94-92.74] 公安局是可以把你抓走的
[92.74-95.32] 那个就叫抽逃注册资本罪
[95.32-97.36] 今天讲就跟讲笑话一样
[97.36-100.58] 但是当时那就是悬在企业家脑子上的利剑
[100.58-102.82] 那谁想搞你抽逃注册资本罪
[102.82-104.98] 基本上都可以给你落实了
[104.98-106.96] 因为当时为了从银行贷款也好
[106.96-110.20] 为了自己的企业经营业务有面也好
[110.20-112.96] 大家都是尽可能的把注册资本金往大的吹
[114.52-115.08] 所以呢
[115.08-117.82] 我们当时为了成立这个公司
[117.82-119.70] 颐和资本这个公司的时候呢
[119.70-121.18] 就找了很多人
[121.18-122.68] 找脱了很多关系
[122.68-124.72] 最后通过我们的一个老大哥
[124.72-126.66] 他是一个红色家族
[126.66-131.86] 找到了时任国家工厂总局局长的张毛
[131.86-132.72] 张毛呢
[132.72-137.10] 就让我们把这个注册资本金进一步提高到五千万
[137.10-139.24] 到了五千万就到了国家工厂总局了
[139.24-140.98] 三里河那儿在北京
[140.98-146.08] 那国家工厂总局张毛亲自批的颐和资本管理有限公司
[146.08-147.22] 这个何明
[147.22-147.82] 何下来之后
[147.82-152.74] 我们颐和资本就出现了某某资本以后就是如雨后春笋
[152.74-153.76] 因为他有先例了
[153.76-156.10] 而且是国家工厂总局的先例
[156.10-156.70] 所以呢
[156.70-160.24] 其实包反起家应该是比颐和资本还晚的
[161.74-164.08] 他真正有钱了
[164.08-165.00] 真正做起来了
[165.00-167.50] 应该是10年做的那一单
[167.50-169.54] 就是应该是京东吧
[169.54-172.00] 我忘了是哪一年是10年还是11年
[172.00-174.06] 他做的京东京东做完了
[174.06-175.08] 他是真正有钱了
[175.08-175.66] 之前呢
