[1.65-3.33] 哈喽 大家好
[3.33-6.13] 这两天我被一个新闻吸引
[6.13-10.93] 有一对小夫妻很年轻在郑州做政票
[10.93-14.73] 买了一套融创松斌的房子挨打了
[14.73-16.97] 这个叫亮亮和立军
[16.97-19.97] 我看了看感慨良多
[19.97-23.65] 我记得以前在欧洲煤矿里矿井工人下矿的时候
[23.65-28.21] 带着一笼金丝雀放在鸟笼里带下去
[28.21-31.41] 开采煤炭的时候就把金丝雀养在旁边
[31.41-32.81] 金丝雀会不停的叫
[32.81-35.13] 如果金丝雀这小鸟不叫了
[35.13-37.01] 说明瓦斯泄漏了
[37.01-38.35] 这要爆炸了
[38.35-39.93] 赶紧跑
[39.93-44.97] 因为金丝雀对于瓦斯的耐受度远远低于人类
[44.97-48.11] 所以亮亮和立军这对小政票
[48.11-52.95] 小夫妻实际上就是煤矿里边的小金丝雀
[52.95-55.31] 亮亮和立军的遭遇
[55.31-58.17] 意味着煤矿的瓦斯已经泄漏
[58.17-60.11] 即将发生大爆炸
[60.11-61.15] 所以
[61.15-63.85] 亮亮和立军的具体故事
[63.85-65.09] 我今天就不讲了
[65.09-66.75] 无非就是一些细节
[66.75-69.69] 我也不太感兴趣具体的数字
[69.69-72.99] 大概就是他们俩在郑州买了一套漁房
[72.99-73.99] 融创的漁房
[73.99-75.71] 这房子没交
[75.71-78.65] 但是他俩已经把钱付了
[78.65-81.49] 就是一个售楼处的大沙盘的时候付的钱
[81.49-83.53] 还贷了很多的款
[83.53-85.51] 可能是上百万的贷款
[85.51-87.85] 这两个小夫妻没什么钱
[87.85-88.55] 因为小政票
[88.55-90.09] 家里边一看那个状态
[91.15-93.45] 是大富贵人家的孩子
[93.45-96.99] 所以但是对未来充满期望
[96.99-101.75] 天天去大坑那去看自己的工地
[101.75-104.23] 然后还拍Vlog
[104.23-106.45] 他是国内的小网红
[106.45-108.07] 这对夫妻
[108.07-111.95] 所以每天看着坑里边的房子在涨
[111.95-113.11] 可高兴了
[113.11-117.19] 然后忽然就感觉交不了楼了
[117.19-120.55] 然后答应他们的好像销售提成返点
[120.55-121.13] 一共才两个月
[121.15-122.65] 两万块钱也不给他们
[122.65-123.97] 然后这俩这俩呢
[123.97-125.65] 因为网红嘛就去维权
[125.65-126.97] 然后在人家促销的时候
[126.97-129.61] 他去人家售楼部维权挨打了
[129.61-132.61] 整个这个故事大概就这么一个这么一回事吧
[132.61-135.61] 那这个是为什么就说他们是金丝雀呢
[135.61-139.81] 其实这两个小夫妻的故事发生在我们每一个正飘
[139.81-140.35] 北飘
[140.35-140.89] 深飘
[140.89-141.39] 广飘
[141.39-142.09] 护飘身上
[143.53-144.91] 即使是我本人
[144.91-145.65] 我和还是他妈
[145.65-147.67] 我们家也有过类似的经历
[147.67-149.71] 我不是说第一天就有钱了
[149.71-151.03] 我在二十多岁的时候
[151.15-153.25] 我也买过人生第一套房子嘛
[153.25-154.09] 是商品房吧
[154.09-158.05] 也是售楼售楼处只有一个沙盘的时候我就买了
[158.05-159.65] 然后我天天去那看
[159.65-163.69] 跟亮亮和立军有完全相同的经历
[163.69-164.61] 完全相同
[164.61-167.41] 所以大家用不着居高临下的看这两个孩子
[168.85-172.03] 我们唯一的不同就是生活在不同的时空
[172.03-177.21] 我在二十年以前在做他们两个现在做的事情
