[4.14-5.34] 哈喽 大家好
[5.34-6.58] 给大家录一小段啊
[6.58-7.66] 爆笑小段
[7.66-8.42] 灌口
[8.42-9.82] 哎 因为太好玩了
[9.82-12.26] 刚才笑得我眼睛流眼泪了
[12.26-13.54] 就笑出眼泪了
[13.54-15.90] 因为我刚才滑了推特
[15.90-16.74] 玩推特
[16.74-18.46] 啪 蹦出来一段视频
[18.46-19.70] 我一看我操这熟人啊
[19.70-20.38] 我认识他
[20.38-21.38] 王刚师傅
[21.38-23.10] 因为我曾经有一段时间
[23.10-24.54] 王刚爆火的时候
[24.54-26.02] 大概是李子柒的时代
[26.02-29.02] 我特别迷恋看王刚的视频
[29.02-30.86] 因为我喜欢做饭了
[30.86-34.10] 我喜欢看他喷气机的大门火灶
[34.10-37.26] 就像喷气机的F22家里喷口一样
[37.26-39.14] 哇 火苗喷这么高
[39.14-40.98] 这哥们在这炒
[41.66-42.38] 特别过瘾
[42.38-45.14] 而且王刚有一个口头禅叫宽油
[45.14-47.54] 炒个青菜或者炒个肉
[47.54-48.58] 无论什么
[48.58-49.94] 先把那个东西
[49.94-52.86] 哗 都大得那么
[52.86-53.78] 那得有
[53.78-56.18] 我目测得有20升油吧
[56.18-57.74] 他那大锅里
[57.74-58.90] 哗 过一下
[58.90-60.78] 然后啪 立出来
[61.50-63.46] 极其不健康
[63.46-64.10] 然后王刚
[64.10-65.26] 师傅炒他那个菜
[66.42-67.78] 他放的盐
[67.78-68.46] 味精
[68.46-69.06] 生抽
[69.06-70.02] 酱油
[72.06-72.70] 加起来
[72.70-74.42] 我觉得钠的含量
[74.42-77.54] 是我们平时在家炒菜的5-10倍
[77.54-78.46] 我真的不夸张
[78.46-79.46] 5-10倍
[79.78-82.58] 然后我觉得吃了王刚师傅做的菜
[82.58-84.70] 一定能够快速的升天
[85.78-87.22] 迅速的得到癌症
[87.74-90.22] 或者至少是HOL了自己
[90.22-91.34] 晚上睡不着觉
[91.98-93.38] 得到一副好喉咙
[93.38-94.06] 因为你得
[94.10-94.50] 不停
[94.50-95.58] 咳咳咳咳
[95.58-98.54] 但是你仍然喜欢看王刚师傅炒菜
[98.54-100.86] 因为看王刚师傅炒菜有这么几个好处
[100.86-101.10] 第一
[101.10-104.26] 你永远不想再去吃餐馆里的川菜了
[104.26-105.34] 因为你看完了之后
[105.34-105.62] 你就说
[105.62-106.06] 哇操
[106.06-107.02] 太不健康了
[107.02-108.18] 要想死快
[108.18-109.30] 要想死快
[109.30-110.62] 王刚做川菜
[110.62-112.18] 这是第一个收获
[112.18-113.46] 这个对我来说太重要了
[113.46-114.94] 因为以前我还经常去
[114.94-116.86] 温哥华老四川小四川尝尝
[116.86-118.62] 我从看了王刚再也没去过
[119.86-120.34] 第二
[120.50-122.54] 就是王刚师傅这个人特别接地气
[122.54-123.46] 他不藏着掖着
[123.46-124.10] 他
[124.10-125.26] 怎么做川菜
[125.26-128.26] 他都是真的是你按他那你真能学会
[128.26-130.98] 只要你有他的同款猛火灶
[130.98-133.38] 和舍得用你们家的油
[133.38-134.78] 你绝对可以做得出来
[134.78-136.78] 跟王刚师傅炒的一模一样的
[136.78-138.10] 餐厅版的川菜
[138.66-140.22] 所以王刚这点好
[140.22-140.82] 接地气
[140.82-141.46] 不藏着
[141.46-142.10] 掖着
[142.10-143.22] 不给你孤冻悬息
[143.22-144.10] 直接嘎嘎干
[144.10-145.90] 直到后来出现了老饭骨
[145.90-147.30] 我才不看王刚了
[147.82-149.14] 因为看他们做菜
[149.14-150.10] 就是高手做菜
[150.10-150.66] 王刚
[150.66-152.10] 老饭骨做菜
[152.10-153.46] 你有治愈感
[153.46-154.06] 就特别像
[154.06-156.02] 处女座的那些什么
[156.02-158.50] 有心理疾病的
[158.50-159.34] 比如说我这种人
[159.34-160.34] 就是有洁癖的
[160.34-162.78] 地下如果掉了一个脏东西
[162.78-163.98] 我如果不把它捡起来
[163.98-164.78] 我是难受的
[164.78-165.70] 或者我做饭的时候
[165.70-168.02] 地下撒了一点油或者水
[168.02-169.74] 我一定会第一时间把它擦掉
[169.90-171.10] 绝对不能忍
[171.66-173.30] 或者一比如说
[174.30-175.30] 吃完饭之后
[175.30-177.38] 有很多人喜欢把碗盘子
[177.38-178.54] 直接扔到水槽里
[178.54-179.62] 他就在那放着
[179.62-180.22] 泡着
[180.22-181.54] 你像我第一时间
[181.54-183.10] 一定会把它放到洗碗机里
[184.06-185.30] 我不能接受
[185.54-188.50] 我不能接受用过的碗和盘子
[188.50-189.70] 泡在水槽里
[189.70-191.94] 或者放在水槽里的这种行为
[191.94-192.74] 因为我看
[193.70-194.70] 我离不开那水槽了
[194.70-195.22] 我就得
[195.22-196.38] 你就不让我把它收起来
[196.38-197.66] 我就会一直在那站着
[198.22-199.98] 然后看王刚师傅做菜
[199.98-201.02] 和看老饭骨做菜
[201.02-201.70] 没有这个问题
[201.70-202.02] 哎呀
[202.02-202.70] 跟我是一种人
[202.70-204.22] 而且比我水平高那么多
[204.22-205.26] 特别喜欢看
[205.26-206.82] 后来为什么不看老饭骨了
[206.98-208.66] 因为大也没了
[209.34-210.34] 我一看
[211.22-211.82] 哎呀
[211.82-212.26] 这个
[212.26-215.34] 会做菜的做的这么好吃的
[215.34-216.74] 看来对人体健康都不利
[216.94-220.86] 所以现在我就基本上就是不看再做菜的了
[220.86-223.22] 今天好长时间以后
[223.22-225.34] 我看见了王刚这张大脸
[225.34-226.54] 头发掉了不少
[227.10-228.50] 你看在那愁眉苦脸的
[228.50-229.30] 我错了
[229.30-230.26] 我错了
[230.26-231.42] 对不起大家
[231.42-234.86] 开始镜头跟我这一样离太近了
[234.86-235.98] 往后推了推
[235.98-237.50] 90度大激光
[237.50-238.30] 对不起
[238.30-239.74] 我有罪
[239.74-240.66] 我有错
[240.66-241.42] 我说咋了
[241.42-242.18] 王刚
[242.26-243.82] 接着说了一句话
[243.82-245.70] 惊天地泣鬼神
[245.70-247.98] 我擦当时我就扑就分了
[247.98-249.22] 眼泪滋滋就飙出来了
[249.22-250.74] 作为一个厨师
[250.74-252.86] 我以后再也不做蛋炒饭了
[252.86-254.30] 我向各位发誓
[254.30-255.50] 请各位做个见证
[255.50-256.42] 作为一个厨师
[256.42-258.06] 我以后再也不做蛋炒饭了
[258.06-259.82] 我再也不录蛋炒饭
[259.82-261.98] 再也不录蛋炒饭的做法了
[261.98-264.94] 什么情况啊
[264.94-266.62] 怎么蛋炒饭
[266.62-267.46] 你有什么关系
[267.46-267.82] 哦
[267.82-268.38] 一看
[268.38-269.74] 原来这两天
[269.74-270.78] 在国内啊
[270.78-271.98] 有无数小粉红
[271.98-272.90] 老粉红
[272.90-273.50] 老毛粉
[273.50-274.14] 小毛粉
[274.14-275.70] 在grill王刚
[275.70-276.62] grill是一句英语
[276.62-277.22] 非常贴切
[277.22-278.42] 就是蹂躏他
[278.42-279.38] 正在网爆他
[279.38-281.18] 正在grill的原意思
[281.18-282.74] 就是烤肉的时候
[282.74-283.94] 那个烤羊串的时候
[283.94-286.30] 你那个羊串在那千层上滋滋溜油
[286.30-287.10] 然后你翻过来
[287.10-288.18] 那就叫grill
[288.18-291.30] 就是王刚这两天正在烤屁眼
[291.30-292.38] 痛苦坏了
[292.38-292.98] 看那样子
[292.98-295.14] 这应该是至少48个小时
[295.14-296.26] 没睡着觉了
[296.26-297.86] 在中纪委还惨
[297.86-298.98] 对不起
[298.98-301.50] 我以后再也不做蛋炒饭了
[301.50-301.94] 我有错了
[301.94-302.54] 不醉
[302.54-303.90] 请大家做个见证
[303.90-305.10] 我以后再也不录
[305.10-308.83] 怎么做蛋炒饭的视频了
[308.83-310.47] 毛岸英炒蛋炒饭
[310.47-312.31] 被美国飞行员给炸死了
[312.31-313.19] 这个事啊
[313.19-315.47] 应该是属实的
[315.47-317.47] 因为我当时看到这个
[317.47-318.31] 呃
[318.31-319.35] 所谓的谣言的时候
[319.35-320.15] 我第一反应
[320.15-321.03] 就是我的第六感
[321.03-322.19] 就是这是实话
[322.19-323.23] 为什么呢
[323.23-324.99] 因为他说的这个
[324.99-325.47] 这篇
[325.47-327.67] 他是个系列文章中的一部分
[327.67-329.47] 他不是只说这一件事
[329.47-330.23] 他是说
[330.23-332.71] 我毛岸英在自私里的生活和工作
[332.71-333.35] 状态
[333.35-335.07] 他绝对说的是实话
[335.07-338.27] 因为他描述毛岸英跟彭德怀下棋毁棋
[338.27-339.39] 一口一个老彭
[339.39-342.19] 然后彭德怀在上面讲战略
[342.19-344.15] 底下那些军兵团司令
[344.15-346.55] 他妈的不敢说话
[346.55-347.83] 毛岸英二十多岁
[347.83-348.91] 小翻译小参谋
[348.91-350.11] 别了
[350.11-351.47] 就直接敢怼老彭
[351.47-351.87] 老彭
[351.87-352.79] 你是不是说的不对
[352.79-353.63] 我们应该报仇
[353.63-355.39] 我们不应该直接弄这个
[355.39-358.83] 就是写这篇文章的人也是个参谋
[358.83-360.75] 自私的参谋
[360.75-362.51] 他就当时有点呆逼
[362.71-366.03] 而且自私里边有人知道毛岸英的真实身份
[366.03-367.83] 但是基本上都不说
[367.83-369.11] 因为这是一个机密
[369.11-371.11] 后来毕竟还是瞒不住
[371.31-372.15] 然后就告诉他
[372.15-373.03] 这他妈不一样
[373.03-373.75] 这太子
[373.75-376.11] 那基本老彭也心里边有个逼述
[376.11-379.67] 肯定是老毛为什么让毛岸英上你这来
[379.67-381.27] 不就是镀金来了吗
[381.27-385.95] 所以你最后毛岸英被炸死
[385.95-387.19] 死在朝鲜上
[387.19-388.47] 就算是意外来说
[388.47-390.03] 你彭德怀必然不得好死
[390.03-392.55] 你毛主席就这么一个像样的
[392.55-395.31] 儿子甭管他是真是假
[395.31-397.99] 总之毛泽东还是很认可这个儿子的
[397.99-400.11] 你他妈的给你放你家这人镀金
