[2.16-4.16] Hello 大家好
[4.16-6.16] 我太激动了
[6.16-10.16] 今天粉丝数目居然突破2万粉了
[10.16-14.16] 我曾经在我开设节目的时候给大家立过个棍
[14.16-17.16] 就是过了2万粉我要打鸡血
[17.16-20.16] 过了10万粉我要跳游泳池
[20.16-22.16] 这个说话都是算数的
[22.16-24.16] 咱们说话必须算数
[24.16-28.16] 放屁 崩坑 吐唾 砸丁
[28.16-30.16] 今天就是过了2万粉的日子
[30.16-34.16] 我非常的激动 也感恩大家的对我的关注
[34.16-36.16] 和对我的认可
[36.16-38.16] 我记得1万粉的时候
[38.16-40.16] 1万粉关注的时候给大家录过一期节目
[40.16-43.16] 七七八八的说了好多感恩的话
[43.16-45.16] 感恩的话就不再赘述了
[45.16-48.16] 总之就是感恩上帝
[48.16-50.16] 也感谢各位对我的
[50.16-52.16] 忘了开灯了
[52.16-57.97] 总之就是感恩
[57.97-59.97] 刚才忘了开灯了
[59.97-61.97] 总之就是感恩上帝
[61.97-63.97] 也感恩大家对我的关注
[63.97-65.97] 四个星期以前
[65.97-67.97] 四周以前是过万粉
[67.97-69.97] 四周以后就是四七二十八
[69.97-71.97] 今天呢28天
[71.97-73.97] 差不多整整一个月
[73.97-75.97] 今天就是2万粉
[75.97-79.97] 我这个频道是10月2号放的第一次节目
[79.97-81.97] 11月2号还没到12月2号
[81.97-83.97] 就是两个月的时间吧
[83.97-85.97] 大数就是两个月的时间
[85.97-87.97] 我就2万粉丝以上了
[87.97-89.97] 非常感谢大家
[89.97-91.97] 这个成绩呢
[91.97-92.97] 我也是非常满意的
[92.97-94.97] 可以说
[94.97-96.97] 正像我开油管的时候说的
[96.97-98.97] 就是我老王来了
[98.97-100.97] 这个频道成为
[100.97-102.97] 中推和中油界
[102.97-104.97] 中文油管界的
[104.97-106.97] 冉冉升起的
[106.97-108.97] 一颗新星
[108.97-110.97] 以及横冲直撞的一股浊流
[110.97-112.97] 随着我的
[112.97-114.97] 粉丝人群的增加
[114.97-116.97] 和不同年龄段观众
[116.97-118.97] 尤其是小朋友的增加
[118.97-120.97] 和女性朋友的增加
[120.97-122.97] 我最初频道的特色就是开黄车
[122.97-123.97] 讲黄段子
[123.97-124.97] 这不能干了
[124.97-125.97] 偶像包袱
[125.97-126.97] 你看就逐渐的出来了
[126.97-127.97] 所以呢
[127.97-129.97] 今天我特意穿上这件衣服
[129.97-130.97] 这件衣服是一个
[130.97-132.97] 我从12年前去国多年的时候
[132.97-133.97] 带过来的一件衣服
[133.97-134.97] 大家可以看清楚
[134.97-135.97] 这是中国武装警察
[135.97-136.97] 这是武警的
[136.97-137.97] 带一个中国国旗
[137.97-138.97] 我呢是个加拿大人
[138.97-140.97] 我为什么穿这件衣服呢
[140.97-141.97] 我穿这个衣服是
[141.97-143.97] 时刻的提醒我的观众
[143.97-145.97] 我在海外的观众人群
[145.97-147.97] 以及响论出来的
[147.97-148.97] 响论出来的
[148.97-149.97] 在墙内的
[149.97-150.97] 翻墙出来的观众人群
[150.97-152.97] 其实对中国其实是
[152.97-153.97] 都是心里不满的
[153.97-154.97] 废话
[154.97-155.97] 满意谁他妈往外走
[155.97-157.97] 我如果对共产党满意
