[2.99-4.99] Hello 大家好
[4.99-6.99] 我回来了
[6.99-8.99] 今天再跟大家聊两句
[8.99-10.99] 上午不好意思
[10.99-13.99] 有很多网友在那抗议说我短
[13.99-15.99] 你们说我什么都可以
[15.99-17.99] 但是不能说我短
[17.99-20.99] 所以我今天晚上要再尝回来
[20.99-23.99] 要把我这个棍再立起来
[23.99-25.99] 上午是因为我着急
[25.99-26.99] 中午有一个meeting
[26.99-28.99] 有一个跟老外的投行
[28.99-30.99] 在这边的一个local的投行
[30.99-31.99] 有一个会
[31.99-33.99] 所以我也不知道为什么
[33.99-34.99] 你看我这一开油管频道
[34.99-36.99] 我都退休了12年
[36.99-39.99] 怎么就有当地的白人投行来找我
[39.99-40.99] 那我就去吧
[40.99-42.99] 我不能端着装逼
[42.99-43.99] 所以你看早晨
[43.99-46.99] 我还穿了一件蓝色的衬衣
[46.99-48.99] 搞得还比较正规
[48.99-50.99] 去中午去开会去了
[50.99-52.99] 所以迫于时间压力
[52.99-55.99] 我确实做的稍微的短了一点
[55.99-56.99] 说的急了一点
[56.99-58.99] 有很多同学就又听不懂了
[58.99-60.99] 又说我水
[60.99-61.99] 又说我水
[61.99-62.99] 你们说我短
[62.99-63.99] 我会抗议
[63.99-65.99] 我会弥补
[65.99-66.99] 但是你们说水
[66.99-68.99] 我是绝不答应
[68.99-71.99] 说中国文化是二元社会结构
[71.99-74.99] 法律是个表层的
[74.99-76.99] 上元下边这个下次元
[76.99-79.99] 民间沃土的是一个武侠文化
[79.99-81.99] 这个东西对于中国社会的结构
[81.99-84.99] 以及对于资本市场是极其重要的
[84.99-85.99] 怎么能说水呢
[85.99-88.99] 难道直接告诉你买哪只股票才叫不水吗
[88.99-90.99] 太肤浅了
[90.99-92.99] 你知道吧
[92.99-93.99] 拿起我小扇子
[93.99-94.99] 太肤浅
[94.99-96.99] 好好教导教导你们
[96.99-97.99] 我这个老王来了
[97.99-98.99] 这个油管频道
[98.99-102.99] 可能是全油管唯一的一个骂粉丝的频道
[102.99-103.99] 敢直接骂观众的
[103.99-105.99] 不怪你们毛病的频道
[105.99-106.99] 对于傻逼
[106.99-107.99] 我是当骂则罢
[107.99-109.99] 绝对没有偶像包袱
[109.99-111.99] 为什么有这么几个
[111.99-114.99] 在这个今天这个话题之前
