[0.43-1.55] 哈喽大家好
[1.55-3.67] 又见面了
[3.67-6.07] 长夜漫漫无心睡眠
[6.07-9.03] 有一个女的女主播
[9.03-10.41] 非常有魅力
[10.41-11.29] 叫萧明
[11.29-13.35] 萧明呢
[13.35-15.47] 这位女士呢
[15.47-19.19] 以法轮功媒体的这样的一个台柱子
[19.19-22.59] 可以说是类似于中央电视台的那种
[22.59-25.13] 女主播的在法轮功起到的作用
[25.13-27.15] 而且是一个知性主播
[27.15-28.65] 她并不是那个播报
[28.65-30.63] 而且她是有一定的那个观点
[30.63-33.55] 是一个资深的记者吧
[33.55-34.43] 或者编辑
[34.43-35.55] 就这类的
[35.55-37.87] 她就被法轮功逐出师门了
[37.87-39.31] 是因为她占了一个
[39.31-40.79] 虞超还是什么的
[40.79-44.25] 也是一个法轮功的一个资深的学员
[44.25-45.69] 但那个人呢
[45.69-47.37] 就说这个法轮功的一些黑幕
[47.37-49.39] 什么双修啊
[49.39-52.81] 什么山上的主佛不能提啊
[52.81-53.71] 不能质疑啊
[53.71-55.15] 这种话题
[55.15-56.33] 然后呢
[56.33-58.35] 那当然就是就被逐出师门了
[58.35-58.63] 被逐出师门了
[58.63-60.67] 逐出师门这个事之后呢
[60.67-62.13] 这个萧明这位女士呢
[62.13-63.67] 可能就是为这个人说话了
[63.67-65.13] 就也被株连了
[65.13-67.93] 法轮功类的媒体就把她全部都删除
[67.93-71.39] 她又说文昭先生的那自己的那个网络
[71.39-72.65] 叫什么捷径的世界
[72.65-73.97] 没删她
[73.97-75.15] 这个就哎呀
[75.15-75.97] 就各种乱
[75.97-78.95] 我知道这个组织很庞大
[78.95-80.91] 也很有力量啊
[80.91-82.33] 尤其是我翻墙出来
[82.33-83.41] 我肉翻出来
[83.41-84.69] 润到国外这12年
[84.69-87.11] 亲眼目睹法轮功的壮大啊
[87.11-88.31] 这12年法轮功可能
[88.63-90.55] 可以说是日益强大
[90.55-91.71] 日益庞大
[91.71-94.39] 已经构建了这么一个强组织
[94.39-94.87] 所以呢
[94.87-98.83] 法轮功的文宣部门的代表人物
[98.83-100.99] 比如说江峰啊
[100.99-101.91] 文昭啊
[101.91-103.93] 比如说张天亮啊
[103.93-105.03] 这些大V呢
[105.03-107.63] 他背后都有法轮功的强组织
[107.63-109.09] 他跟咱们这种啊
[109.09-111.19] 就一退休老头自己在油管上聊
[111.19-112.59] 他完全不是一样
[112.59-115.09] 你更可以把它理解成为一个党派
[115.09-118.19] 甚至一个强力政党的这样一个宣传部门
[118.19-118.59] 在后边
[118.63-119.13] 支撑他
[120.95-122.63] 就是这么一个状态
[122.63-125.07] 那作为我作为一个局外人
[125.07-126.11] 咱们也不练法轮功
[126.11-128.67] 也没有对法轮功有什么呃
[128.67-130.11] 这个交集
[130.11-134.19] 咱就说一下我老王对法轮功的感觉
[135.81-137.65] 首先从头说起
[137.65-140.71] 在我还是初中生的时候
[140.71-142.35] 就是一九八几年的时候
[142.35-145.51] 一九八五年到一九九零年这个时间
[145.51-148.51] 中华大地上兴起了一股气功热啊
[148.63-149.79] 那个时候法轮功呢
[149.79-151.99] 是只是其中一个功法
[151.99-152.51] 呃
[152.51-154.59] 可以说是百花齐放
[154.59-157.95] 你像我老母亲的那时候练那个鹤翔桩啊
[157.95-161.79] 是资深的鹤翔桩的这个迷信者
