[3.28-4.48] 哈喽 大家好
[4.48-6.20] 又到周末读信时间了
[6.64-9.00] 进入跟观众互动的环节
[9.68-12.00] 这是咱们这个节目频道的老规矩了
[12.32-15.16] 首先祝大家周末愉快
[15.20-16.68] 过一个轻轻松松
[17.64-19.04] 清清醒醒的周末
[19.80-20.80] 植入主题
[21.48-23.48] 主题之前老王今天理发了
[24.04-25.32] 又是老外理的
[25.32-26.04] 非常快
[26.04-27.32] 全是推子活
[27.32-28.60] 伊拉克老外
[29.12-30.00] 好了
[30.20-32.72] 咱们进入主题
[33.28-35.92] 第一个是一个女士
[35.96-37.04] 她在中东
[37.24-39.08] 估计是在迪拜一带的地方
[39.08-40.48] 然后她想来加拿大
[40.48-41.72] 但是她老公不同意
[41.76-43.68] 她老公在中东做建筑管理
[43.68-44.36] 做得还不错
[44.36-45.88] 然后哗啦哗啦写了很长
[46.08-47.52] 总之就是她问我
[47.52-49.04] 怎么能够说服她的老公
[49.68-50.96] 能不能在加拿大
[50.96-52.48] 他们找到工作
[52.48-53.52] 能不能坚持下来
[53.52-55.40] 这个我哪能帮得上忙
[55.52-57.68] 说服你老公肯定是你自己的事
[58.68-59.84] 但是她问了一个问题
[59.84-61.28] 就是很实用
[61.28-63.24] 我直接回答你这个问题
[63.28-65.08] 说说我的观点
[65.08-65.96] 她就问
[66.00-69.44] 请问加拿大高贵林和白石南宿里
[69.44-71.00] 哪里的教育更好一些
[71.56-75.60] 应该这两个地方都是大温哥华地区的地方
[75.60-78.12] 不是她应该说是温哥华地区
[78.16-81.20] 高贵林和南宿里哪一个地方教育资源好
[81.40-85.60] 我想她问的应该指的是中学或者小学
[85.60-87.32] 孩子的教育学校
[87.76-89.88] 校风教育哪好
[89.92-90.80] 我就这么跟你说
[90.88-92.92] 这两个地方的教育资源都很好
[93.28-94.84] 在大温哥华地区
[96.04-99.04] 高贵林有一个特别好的公立中学
[99.04-100.08] 特别好
[100.68-103.04] 差不多有一百多年的那种历史
[103.04-104.72] 叫doctor什么
[104.72-107.32] 反正大家有心人一查就能查出来
[107.56-112.92] 另外在网上有大温哥华地区
[112.96-115.00] 中小学的排名排行榜
[115.16-116.64] 那是中国人最喜欢干的事
[116.76-118.28] 所以一查就查出来了
[118.52-119.56] 这么讲
[120.16-122.44] 小学排名
[123.28-125.56] 大概比如说有500个小学的话
[125.56-127.92] 在400个之前都没有什么区别
[128.24-130.24] 中学排名
[130.24-132.28] 如果有300间中学的话
[132.28-133.56] 前100名都很好
[133.56-134.44] 就这么讲
[134.76-135.84] 定量的讲
[135.84-136.96] 这事定性的讲
[137.12-139.20] 就是我们加拿大的
[139.92-142.72] 它的公立教育资源远远好过美国
[143.00-146.44] 这是美国和加拿大中小学教育最大的区别
[146.88-149.76] 美国的人口太多了
[149.76-150.68] 4个亿人
[150.72-152.84] 而且人种民族信仰
[152.84-154.60] 特别的混杂
[154.80-159.80] 所以有些城市就有些区域
[159.80-161.72] 它的公立中学就特别的乱
[161.88-163.20] 但是加拿大不是这样
[163.20-165.20] 加拿大因为教育全免费
[165.20-169.32] 所以加拿大政府对于教育的规划
[169.36-172.08] 对于教育体制的建设
[172.08-173.04] 非常的用心
[173.04-174.68] 投资也非常的充足
[174.88-176.56] 据我所见
[176.68-177.68] 因为我有三个孩子
[177.80-179.32] 他们都上过这儿的小学
[179.88-180.96] 据我所见
[181.00-182.44] 他们的小学
[182.44-183.40] 在温哥华地区
[183.40-185.12] 小学公立学校的设备
[185.12-187.12] 是要好于私立学校的
[187.48-189.60] 即使是最好的私立学校的小学
[189.60-191.92] 它的教学设备也比不上公立小学
[193.24-193.92] 举个例子
[193.92-195.96] 就是说公立小学的电脑
[195.96-197.72] 基本上都是苹果最先进的
[197.72-198.52] iMac
[198.92-199.76] iPad
[199.76-202.52] 但是私立学校基本上都是Windows
[203.44-204.48] 或者安卓
[204.84-206.52] 这就是差距
[206.76-207.68] 因为公校的钱
[207.68-209.00] 花就给你每年拨
[209.00-209.48] 那花
[209.88-210.52] 所以
[211.28-212.40] 而且公立小学的
[212.44-214.00] 校长是要轮换的
[214.04-216.72] 他就像中国集团军司令一样
[216.72-217.64] 你不能本地人
[217.64-220.76] 不能在集团军当司令当一辈子
[221.84-223.40] 这边的校长是这样的
[223.40-224.88] 每隔两年
[224.92-225.80] 三年一年
[225.80-227.92] 他就会换一个小学去当校长
[227.92-228.88] 中学也是这样
[229.12-233.48] 所以你就看不到这儿有特别参差不齐的
[234.48-236.88] 这个学校的教育水平
[236.88-237.88] 这不存在的
[238.08-240.72] 他的教育水平的高下
[240.72-242.36] 主要是由他的生源
[242.36-242.96] 决定
[243.28-244.96] 老师的水平都很高
[244.96-247.32] 或者说都很平齐
[247.56-249.60] 你判断一个小学不重要
[249.68-250.32] 小学不重要
[250.32-251.44] 中学非常重要
[252.80-254.28] 你判断一个中学
[254.28-256.32] 它是否是个好学校
[256.32-257.48] 有这么几个标准
[257.48-258.56] 首先是排行榜
[258.56-260.36] 那排行榜虽然是中国人搞的
[260.36-261.24] 有点知性
[261.24-262.56] 但是他确实很准
[262.60-263.36] 这是第一
[263.92-264.44] 第二
[264.88-266.16] 你就看中学
[266.68-267.72] 他的
[267.84-269.36] 有没有IB课程
[269.36-270.76] 或者AP课程
[270.92-271.84] 如果中学有很长的课程
[271.84-273.36] 有很长历史的IB课程
[273.36-274.52] 或者AP课程
[274.80-276.56] 这个中学就特别的厉害
[276.56-278.32] 他的师资力量就特别的强
[279.68-280.96] 你问的这两个地方
[280.96-283.96] 都有一到两个IB课程
[283.96-285.76] 和AP课程的中学
[285.96-288.16] 南苏里叫塞米亚某中学
[288.16-289.80] 这个中学的IB课程
[289.80-290.84] 那简直是
[291.04-294.12] 可以说是大温工校里面最强的之一
[294.12-295.00] 特别牛逼
[295.00-297.68] 全是自积的鸡娃
[297.68-301.08] 我在塞米亚某中学的这些朋友
[301.08-301.60] 孩子们
[301.60-303.64] 在那上学的都是鸡娃一个
[303.64-304.84] 虽然是工校
[304.84-306.36] 但是校风也非常的好
[307.36-308.84] 高桂林也有这么一个
[309.08-311.40] 刚才我说Doctor什么博士
[311.40-314.20] 好像他是诺贝尔奖的这么一个博士
[315.00-317.20] 以他名字命名的这么一个中学
[317.24-319.84] 也是一个非常历史悠久的IB中学
[320.28-322.40] IB课程和AP课程
[322.40-324.60] 对于孩子将来上美国念大学
[324.64-326.08] 或者在大学的过程中
[326.08-328.00] 能够利用高中的一些学分
[328.00-330.32] 提前修学大学的课程
[330.36-331.40] 是非常有必要
[331.40-332.24] 和有用的
[332.28-336.36] 所以你要是选择加拿大来
[336.36-337.64] 作为你的移民
[338.32-339.44] 首选地的话
[340.08-342.56] 那么选择给孩子选择中学
[342.60-343.76] 是第一重要的
[343.80-345.36] 然后在你选定的中学
[345.36-346.68] 也许他现在只有七八岁
[346.68-347.40] 六七岁
[347.68-349.28] 但是无所谓
[349.28-350.44] 你选择中学
[350.44-351.40] 不要选择小学
[351.44-353.24] 然后你在中学附近
[353.32-355.96] 按片小学是按片去中学的
[356.00-358.60] 所以你在附近在定小学
[358.60-360.52] 然后在小学旁边
[360.64-361.36] 买一个房子
[361.40-363.32] 或者租一个房子
[363.32-365.28] 这个就是正确的操作思路
[365.28-366.72] 打开的正确方式
[366.72-369.96] 为什么一定要在中学附近找小学
[370.12-372.20] 因为你的孩子融入集体之后
[372.20-373.72] 他升到中学的时候
[373.72-375.64] 他身边都是他的好朋友
[375.64-376.48] 这样的话
[376.48-378.60] 孩子的青春期问题就很容易解决
[378.60-380.84] 如果孩子青春期的同时
[380.84-382.44] 这边是七年级小学毕业
[382.44-383.56] 小学是一至七
[383.56-384.64] K至七年级
[384.64-386.32] 也就是说上八年小学
[386.32-390.04] 然后中学这边中学叫Secondary school
[390.08-391.12] 小学叫
[391.12-392.16] Primary school
[392.16-393.60] 这是加拿大的用词
[393.60-394.84] 跟美国不一样的
[394.84-398.16] 所以中学更像我们中国的高中
[398.64-401.68] 所以他中学是从八年级到十二年级
[401.68-403.44] 八九十十一十二
[403.44-405.56] 它是五年中学
[405.60-406.76] 八年小学
[406.76-408.96] K到七八年小学
[409.00-412.16] 八到十二五年中学
[412.28-414.20] 这个就是加拿大的义务教育
[414.24-419.08] 那么你在八年级转入中学的时候
[419.48-420.92] 转入Secondary school的时候
[420.92-425.08] 他的朋友们都是他小学Primary school的
[425.08-427.40] 这种玩了七八年的哥们姐们
