[0.18-2.82] 哈喽 大家好 又见面了
[2.82-7.74] 晚上又无心睡眠 继续给大家录一期
[7.74-14.34] 今天白天比较忙 跑到列治文去跟考拉喝杯酒
[14.34-18.52] 网友见了一面 吃了个老北京铜锅涮肉
[18.52-22.82] 非常爽 喝了两杯啤酒 这就是温华的慢生活
[22.82-27.24] 结果这杯啤酒下肚 今儿一天基本上啥事没干
[27.24-31.84] 到半夜三更了 天黑了 你看这灯只要是亮着
[31.84-35.60] 就是晚上给大家录 聊聊天 放放松
[35.60-39.94] 老王的频道一晃一百多期了
[39.94-43.04] 我还真的挺敬业的 我都佩服自己
[43.04-47.64] 不到三个月一百多期 就平均一天一期多
[47.64-51.44] 我是不是有点用力过猛了 我都怀疑
[51.44-56.52] 也感谢各位的抬爱 虽然我刚过不多
[56.52-57.22] 但是我感谢各位的抬爱 虽然我刚过不多
[57.22-62.22] 五分钟干货 对四十分钟的吸汤 但是
[62.22-64.96] 连续看下来绝对招财
[64.96-66.24] 这不是我自吹
[66.24-67.84] 咱们频道有个重大定位
[67.84-69.18] 就是招财猫体质
[69.18-72.50] 大家知道吧 我是中国的
[72.50-75.48] 頤和资本的创始人 或者老板
[75.48-78.54] 我是中国第一代的投资银行家
[78.54-79.68] investment banker
[79.68-80.54] 我就是Banker
[80.54-81.58] 我代付了多少人呢
[81.58-84.34] 碰我的招财
[84.34-84.36] 所以 confer $借mış
[84.36-85.16] 所以 çocuk再过多月
[85.16-87.16] 他妈疯披侄虫没付起来
[87.16-87.20] 原因是记义上我这些惹 punto,多少年再见闸软呀
[87.20-89.58] 都让人家变成食虫了
[89.58-91.22] 我就跟着食虫喝汤
[91.22-92.26] 但也不错
[92.26-93.22] 我也很满意
[93.22-96.22] 所以大家多看节目
[96.22-97.00] 不要那么浮躁
[97.00-98.08] 不要那么浮躁
[98.08-99.90] 不要说你赶紧讲韩话
[99.90-100.92] 你天天给我讲韩话
[100.92-102.70] 我一定要抓到挣钱的密码
[102.70-103.78] 你抓不到
[103.78-104.54] 为什么
[104.54-106.02] 一定要沉淀下来
[106.02-109.02] 你才能够慢慢的醒悟
[109.02-109.80] 慢慢的领悟
[109.80-111.48] 就像我昨天讲视频
[111.48-116.24] 讲的五组传位六组的过程
[116.24-118.14] 就是你不是会能
[118.14-119.76] 我们都是神秀
[119.76-122.08] 神秀是要见悟的
[122.08-123.44] 大家知道学习
[123.44-124.96] 或者参悟一个东西
[124.96-127.28] 有见悟和顿悟两个门派
[127.28-128.62] 顿悟是什么
[128.62-129.40] 直指人心
[129.40-131.42] 见性成佛
[131.42-133.08] 那说句不好听的
[133.08-134.72] 万里无一
[134.72-136.84] 这句话在中文里面叫精进
[136.84-138.70] 精进是什么意思
[138.70-140.22] 就是像精子一样前进
[140.22-142.14] 这不是开车
[142.14-143.30] 就是像精子一样
[143.30-145.28] 你想想受精那一刻
[145.28-146.16] 啪
[146.16-147.92] 一下射出多少精子来
[147.92-150.56] 上亿甚至几亿
[150.56-153.18] 只有一只精子能够进去受精
[153.18-155.16] 这就叫精进
[155.16-157.32] 不是那个精进人王精进
[157.32-159.60] 就是进步的精进
[159.60-164.16] 所以我们大部分凡人就是精进方式的前进
[164.16-165.34] 一分之一
[165.34-166.50] 这是佛祖讲的
[166.50-168.24] 不是我讲的精进
[168.24-172.38] 那我们一分之一能顿悟的人
[172.38-173.56] 我们肯定不是
[173.56-175.48] 地球一共在六十个这样的人
[175.48-175.92] 所以呢
[175.92-177.30] 我们都需要见悟
[177.30-179.46] 见悟就是身如菩提树
[179.46-180.98] 心如明镜台
[180.98-182.94] 时时常服事
[182.94-184.70] 务时染尘埃
[184.70-186.54] 不要让坏的阴的东西
[186.54-188.88] 把我们给把我们给攫取了我们的心
[188.88-190.74] 所以今天我们的主题就是
[191.88-192.78] 抑郁症
[192.78-196.94] 谈一谈温哥华和加拿大的那些抑郁症
[196.94-199.20] 这个在此之前呢
[199.20-205.50] 插播这么几个昨天视频节目就是人民币汇率的这个啊
[205.50-208.20] 有一些网友说我这是天花板级的这个讲完了之后
[208.20-209.58] 别人不用讲了
[209.58-210.48] 这个我承认啊
[210.48-212.58] 因为我是实战的
[212.58-214.32] 他们要么是大学教授
[214.32-216.18] 要么是talker
[216.18-220.32] 要么就是央视记者或者这类的
[220.32-222.42] 他们其实是很浮躁的
[222.42-223.62] 没有真正干过
[223.62-225.66] 我相信易纲肯定比我讲的好
[225.66-227.30] 但是易纲未必讲得出来
[227.30-228.24] 因为易纲呢
[228.24-230.64] 他那个身份他不可能让他讲啊
[230.64-231.18] 对不对
[231.18-234.18] 汇率人民币汇率破八还是涨七
[234.18-235.38] 涨破七还是跌破八
[235.50-239.70] 你要这么考虑当做如是观
[239.70-241.68] 就是我不是昨天讲了吗
[241.68-242.88] 他是巴拿马运河理论
[242.88-246.42] 他是运河管理局通过一个池子做一个黑箱
[246.42-248.58] 只管输入和输出
[248.58-251.94] 这个池子里流出的在这个钱很少
[251.94-255.00] 就我昨天测算是全球是顶天五十亿美金吗
[255.00-257.46] 一年不是一天一年五十亿美金
[257.46-258.06] 那呃
[258.06-260.14] 各位朋友说我少算了少算了
[260.14-260.82] 一百亿美金
[261.78-262.86] 两百亿美金
[262.86-263.94] OK
[263.94-265.26] 那你总不能说我少算了
[265.26-265.38] 是
[265.50-267.42] 是十十倍吧
[267.42-269.40] 那我有我水平没那么低吧
[269.40-271.96] 就是呃吃个餐馆
[271.96-273.34] 大同华呃
[273.34-280.20] 丰泰呃大华超市华卡买个菜能他妈一年刷出去两千亿美金
[280.20-283.38] 你你你就是开国际玩笑啊
[283.38-283.80] 所以呢
[283.80-284.70] 咱们就算啊
[284.70-287.10] 百亿美金这个级别他很少很少
[287.10-289.08] 他至于这个黑箱头寸来说
[289.08-290.30] 他可以忽略不计
[290.30-291.24] 这是出
[292.32-292.74] 记住啊
[292.74-293.66] 个人消费
[293.66-294.96] 这叫个人消费
[294.96-295.50] 个人
[295.50-297.06] 境外消费境外支付
[297.06-298.28] 这是小头
[298.28-300.30] 但是影响颇大
[300.30-303.74] 因为他提供呃的那个影响力啊
[303.74-304.74] 就是怎么讲
[304.74-307.38] 就宣传级别的就是宣传部级别的
[307.38-308.70] 让老百姓觉得哇
[308.70-309.42] 祖国很强大
[309.42-310.44] 这个就是他的意义
[310.44-311.18] 所以呢
[311.18-312.52] 他会能不砍
[312.52-313.68] 尽量不砍
[313.68-316.08] 除非他缩的很紧啊
[316.08-317.40] 压力非常紧
[317.40-319.56] 那进的时候进的钱是什么
[319.56-321.56] 进的钱主要就是两类
[321.56-323.22] 一类是资本向下的进入
[323.22-325.38] 资本向下进入就是国际的大的
[325.38-325.46] 呃
[325.46-326.90] 呃资金机构
[326.90-329.12] 他是会配置人民币资产的
[329.12-331.40] 比如说中国的债券呀
[331.40-332.72] 中国的股票啊
[332.72-334.48] 他们是会配置这样的资产的
[334.48-335.92] 为什么不为什么
[335.92-337.46] 因为他们不反共
[337.46-339.14] 他们就是华尔街
[339.14-341.48] 包括西方的大型的投资银行
[341.48-346.64] 真的没有我们油管的观众朋友们这么反共
[348.38-349.40] 很让大家失望
[349.40-350.96] 但我说的是实话
[350.96-353.54] 就是白人没有那么投入
[353.54-355.34] 跟你的感情共鸣
[355.34-357.02] 和你说哎呀
[357.02-358.88] 国产党这么欺负我们这么发给我们
[358.88-361.88] 我擦你这个人人都要再退个档的cdb
[361.88-366.02] 但是真正的白人主流可能还是take money first
[366.02-368.62] 就是赚钱第一
[368.62-369.58] 所以呢
[369.58-374.06] 他们会在中国经济基本上处于个正常状态的情况下
[374.06-378.08] 他们会不停的在调整他们对于中国的资金分配
[378.08-380.42] 有的时候他们体现为投入
[380.42-382.52] 有的时候他们体现为撤出
[382.52-383.58] 潮水一样
[383.58-384.44] 这是经济波浪
[384.44-385.16] 这是不一
[385.16-386.84] 我们的感情和意志为转移的
[386.84-388.06] 不要二极管
[388.06-389.66] 不要说老王只要说这句话
[389.66-391.34] 老王就是共产党拍了大外宣
[391.34-392.66] 我呸大外宣
[392.66-395.98] 你个头就这么天天发个金上的大外宣吗
[395.98-398.90] 咱们不要说这些没有意义的话啊
[398.90-401.90] 主要说重点说我们今天的主题就是什么呢
[401.90-403.84] 就是西方的这个资金
[403.84-407.26] 他有的时候会资本向下也会流入中国
[407.26-409.30] 当然目前是流出为主
[409.30-411.22] 但是随着美元降息
[411.22-412.70] 美元马上就会降息
[412.70-414.98] 而且我可以提前告诉大家
