[4.62-6.88] 就是还有很多孩子不适应
[6.88-9.22] 不适应要家长要及时发现
[9.22-10.84] 及时发现不要逼他
[10.84-12.12] 他受不了
[12.12-13.16] 他还没有准备好
[13.16-14.90] 你不要把他推到舞台上
[14.90-15.90] 他没有准备好
[15.90-17.32] 他有盛开的时候
[17.32-19.58] 有的人40岁才盛开
[19.58-21.82] 所以你14岁的时候等一等
[21.82-22.78] 你推推推
[22.78-24.90] 你把他推他妈的精神病了
[24.90-26.32] 你给他推的愈正了
[26.32-27.12] 不就坏了吧
[27.12-28.52] 所以这个事呢
[28.52-30.62] 就是特别特别重要
[30.62-31.62] 因为我最看不得
[31.62-33.06] 看不得就是孩子受罪
[33.06-34.72] 所以大家一定要重视
[34.72-35.46] 一定要重视
[35.46-38.86] 你比如说我看到的这个小孩
[38.86-41.98] 就我身边这些小孩退学的
[41.98-44.02] 小孩又撑不住了
[44.02-45.24] 回中国的
[45.24-48.14] 就是回流回去的太多了
[48.14-50.70] 那这是孩子的愈正
[50.70-51.96] 孩子的愈正
[51.96-53.38] 就是来源于这两方面
[53.38-54.56] 一个是家长太激了
[54.56-55.64] 再有一个呢
[55.64-57.10] 就是家长想一步脱之
[57.10-59.78] 一下子给他弄到这个完全陌生的环境
[59.78-60.78] 他又没有准备好
[60.78-62.70] 就是两个主要因素
[62.70-63.64] 找不到小朋友
[63.64-64.30] 找不到伴
[64.30-65.78] 那怎么解决呢
[65.78-67.16] 第一就越早越好
[67.16-68.10] 越早来越好
[68.10-69.70] 五岁来四岁来是最好的
[69.70-70.96] 这越早越好
[70.96-71.60] 第二呢
[71.60-73.70] 就是你过渡一下
[73.70-76.08] 你先在华人区让他有朋友
[76.08-76.98] 然后一点一点
[76.98-78.50] 等他成熟了成长了
[78.50-79.26] 你们再搬家
[79.26-81.10] 两年做个两年计划
[81.10-82.90] 不要用态度生活
[82.90-84.62] 而要用计划去生活
[84.62-85.62] 用这儿去生活
[85.62-87.40] 而不是用态度去生活
[87.40-88.40] 因为我们已经长大
[88.40-90.16] 我们为人父母了
[90.16-92.00] 你再为另一个生命
[92.70-93.48] 制造环境
[93.48-95.60] 你再扮演上帝代言人的角色
[95.60-97.80] 你整天在这耍态度
[97.80-99.46] 那你给你当孩子
[99.46-100.86] 那不惨了
[100.86-101.28] 所以呢
[101.28-101.80] 这个事儿
[101.80-103.44] 咱们说完
[103.44-104.40] 再也就说
[104.40-107.16] 成年人的心理健康问题
[107.16-108.30] 特别多见
[109.32-111.18] 移民有不适应期
[112.56-114.30] 短有半年一年
[114.30-117.06] 长女长久根本适应不了啊
[117.06-118.26] 好多老华侨
[118.26-120.42] 福建的那些不会说英语的老华侨
[120.42-121.30] 到他们六十岁
[121.30-122.34] 还是红色华侨
[122.34-122.60] 就是
[122.70-123.46] 傻逼的就是
[123.46-125.88] 一个一个的适应不了
[126.96-128.28] 为什么呢
[128.28-131.10] 就是因为我们在中国有人管
[131.10-132.60] 来这儿以后没人管
[132.60-133.80] 没人管之后呢
[133.80-136.08] 找不到人生的重新定位
[136.08-137.76] 不能在意识形态上
[137.76-141.58] 在自己脑海里产生再次投胎的这种
[141.58-143.00] 这种意识高度
[143.00-144.94] 你一定认为自己是再次投胎
[144.94-147.26] 无论你在中国干了什么牛逼的事
[147.26-149.10] 还是什么不牛逼的事
[149.10-150.30] 你不要想着
[151.38-152.70] 如果你是不牛逼的人
[152.70-155.14] 你不要想着我在这儿一定要牛逼
[155.14-155.88] 我远行了
[155.88-156.66] 我奇遇了
[156.66-157.50] 我变成英雄了
[157.50-158.82] 我一定要回中国
[158.82-160.26] 我一定要衣锦还乡
[160.26-162.82] 向那些看不起我的人证明我行
[162.82-164.28] 我失去的我一定要拿回来
[164.28-165.12] 你不要想这个
[165.12-166.94] 否则你心里一定不平衡
[166.94-168.24] 你一定不健康
[168.24-171.46] 那你曾经在中国很行的
[171.46-174.32] 你不要来了这边之后还觉得
[174.32-176.16] 我操没有人给我开车了
[176.16-177.42] 我要自己洗车
[177.42-178.50] 我他妈要自己换机
[178.50-179.58] 我太loser了
[179.58-180.82] 不要这么想
[180.82-181.00] 你要觉得这个太好玩了
[181.00-181.02] 你要觉得这个太好玩了
[181.02-181.04] 你要觉得这个太好玩了
[181.04-181.08] 你要觉得这个太好玩了
[181.08-181.12] 你要觉得这个太好玩了
[181.12-181.38] 你要觉得这个太好玩了
[182.70-184.14] 这太好玩了
[184.14-189.18] 因为我从来没有知道车还能自己修好
[189.18-190.46] 这个成就感太强了
[190.46-193.50] 所有的男人都喜欢看修拖拉机
[193.50-194.82] 修飞机
[194.82-196.94] 开汽车
[196.94-199.20] 做生鱼片
[199.20-200.46] 做寿司
[200.46-203.40] 在中国从来没有学过的
[203.40-205.82] 只是在discovery电视上见的
[205.82-207.12] 掉20磅
[207.12-209.40] 30磅重的大三文鱼
[209.40-210.78] 大鲑鱼
[210.78-212.16] 大吞拿
[212.70-214.54] 我亲手钓过来
[214.54-215.58] 挖象巴棒
[215.58-217.32] 滑雪
[217.32-219.20] 开游艇
[219.20-221.86] 你要这样去如是观
[221.86-223.46] 你要重新去投胎
[223.46-225.70] 重新做一次人
[225.70-227.46] 你的心里就很快的
[227.46-228.82] 就是你要忘掉
[228.82-230.46] 然后你再开始
[230.46-231.94] 你就能够适应
[231.94-233.82] 如果你总是忘不掉
[233.82-235.24] 总是在这装
[235.24-238.86] 你比如说我身边的得了抑郁症的成年人
[238.86-241.58] 太能装了
[241.58-242.28] 就是
[242.70-244.58] 他们原来都是
[244.58-247.32] 就在中国可以说混得非常好
[247.32-250.54] 就是可以说是中国的顶级公民
[250.54-252.50] 不是二等公民
[252.50-253.46] 一等公民
[253.46-255.28] 所以从小一来张口
[255.28-256.66] 饭来张口张嘴
[256.66-259.08] 所有的东西都是爸爸安排好的
[259.08-260.46] 家族安排好的
[260.46-262.20] 包括我上什么学校
[262.20-265.32] 包括我跟谁结婚
[265.32-268.82] 包括我来加拿大的绿卡
[268.82-271.50] 全是人生的第一份工作
[271.50-272.32] 根本不用去找
[272.32-273.94] 爸爸早就安排好了
[273.94-275.32] 最好的工作
[275.32-277.24] 最金光闪闪的工作等着你
[277.24-277.66] 哎呀
[277.66-279.28] 钱太容易挣到了
[279.28-281.32] 然后在北京有好多房子好了
[281.32-282.90] 然后就来了加拿大
[282.90-284.90] 来了加拿大之后
[284.90-286.78] 在加拿大
[286.78-289.02] 不做饭请保姆
[289.02-292.32] 不打扫卫生请小时工
[292.32-296.24] 家里边常年有保姆伺候着
[296.24-297.78] 抑郁症
[297.78-299.82] 为什么
[299.82-301.32] 食指不沾阳春水
[301.32-302.98] 你不是一个真正的加拿大人
[302.98-305.20] 你完成不了这种野化的工作
[306.32-307.56] 在加拿大这么多年
[307.56-308.44] 十多年
[308.44-311.02] 我说的都是具体有所指的
[311.02-312.48] 十多年的老移民
[313.40-318.44] 居然连北山里边采蘑菇这个事都没有去过
[318.44-319.98] 那我也没有去过采蘑菇
[319.98-321.78] 但是我去过北山
[321.78-323.48] 因为我不敢吃
[323.48-324.52] 我怕中了毒
[324.52-325.70] 糖板斑
[325.70-327.02] 盖散三
[327.02-329.28] 然后全村一起他妈的糖板斑
[329.28-330.78] 所以我就不敢吃了
[330.78-331.32] 不敢吃了
[331.32-333.32] 但是我知道那有
[333.32-334.56] 因为我看见了
[334.56-337.86] 包括我们家老人弄的大灵芝
[337.86-338.94] 我一口都不吃
[338.94-339.66] 他泡水
[339.66-340.70] 别人给我喝
[340.70-342.52] 我他们怕喝死我
[342.52-345.02] 但是我经常去那玩
[345.02-346.56] 呼吸新鲜空气
[346.56-350.44] 我跟熊的最近距离大概就是25米
[350.44-351.40] 熊我操
[351.40-353.36] 大黑熊
[353.36-354.08] 他也一愣
[354.08-355.08] 我也一愣
[355.08-358.44] 我们俩就彼此互道傻逼
[358.44-359.28] 陌生就走
[359.28-361.02] 就是交错而过
[361.32-363.08] 就是没有互相骚扰对方
[363.08-369.08] 你人生充满这样的崭新的国家的人生体验
[369.08-370.74] 不要抱残手缺
[370.74-372.70] 抱着你中国这套东西
[372.70-373.86] 你那么爱国
[373.86-375.20] 你那么爱中国的模式
[375.20-376.20] 你出来干嘛
[376.20-378.48] 你回去吧
[378.48-379.32] 你这么分裂
[379.32-381.08] 你当然就精神病了
[381.08-384.74] 所以这些人是适应不了的
[384.74-386.66] 他们就会在人生该选择的时候
[386.66-388.44] 出现重大的选择错误
[388.44-390.78] 我跟大家讲一个实例
[391.32-393.08] 可能你们都不信
[393.08-394.90] 我2011年移民
[394.90-396.74] 就是12年以前我移民
[396.74-398.20] 我到加拿大
[398.20-400.36] 我们当时买房子看房子
[400.36-403.28] 一半的房主是香港人
[403.28-403.98] 不可思议
[403.98-406.28] 卖主是香港人
[406.28-407.90] 老头老太太都70以上了
[407.90-408.82] 快80了
[408.82-411.66] 在2010年到2015年
[411.66-413.62] 这5年大量的卖房子的香港人
[413.62-416.08] 要回香港养老
[416.08-416.94] 为什么
[416.94-418.86] 就是我说的这个问题
[418.86-420.08] 到了加拿大
[420.08-421.32] 他们是哪一批过来的
[421.32-421.86] 我告诉你们
[421.86-422.90] 92年过来的
[422.90-426.36] 就是邓小平跟撒切尔夫人
[426.36-432.08] 签香港回归条约之后
[432.08-433.98] 移民潮滑走
[433.98-436.48] 到1992年到高峰
[436.48-438.90] 从82年到97年之间
[438.90-443.52] 这15年大量的香港人跑到温哥华
[443.52-445.56] 跑到加拿大和美国
[445.56-446.90] 那个时候他们是盛年
[446.90-448.62] 35岁到45岁
[448.62-451.16] 你想10年20年
[451.16-453.20] 20 30年过去了
[453.20-454.70] 他们就是75岁
[454.70-458.04] 70到75岁年龄段了
[458.04-462.20] 他们就在这把列治文市建立成了一个小香港
[462.20-465.78] 列治文当时2011年
[465.78-467.00] 我去列治文
[467.00-469.32] 我以为我恍然间恍惚间
[469.32-470.96] 我以为我在九龙
[470.96-472.00] 那不是街市吗
[472.00-473.62] 那不是沙田街市吗
[473.62-475.50] 那不是九龙堂街市吗
[475.50-476.62] 一模一样
[476.62-478.00] 帝国广场
[478.00-479.66] 公共市场
[481.16-485.24] 那些就是香港人
[485.24-487.78] 你你你完全一样
[487.78-489.16] 就跟你在香港沙田
[489.16-490.74] 在香港观塘
[490.74-494.78] 在香港九龙上环
