[1.26-2.14] 哈喽大家好
[2.14-6.18] 又到了长夜漫漫的跟大家聊天的周末时间
[6.18-9.96] 今天是中国的平安夜
[9.96-12.70] 首先祝大家Merry Christmas
[12.70-13.88] 圣诞快乐
[13.88-16.82] 明天就是加拿大的平安夜了
[16.82-21.94] 平安夜和圣诞节是西方的欧美国家的一个主要节日
[21.94-24.22] 大概重要程度相当于咱们中国的春节
[24.22-28.28] 所以这两天美国和加拿大这边交通特别繁忙
[28.28-31.54] 所有的商店商场人满为患
[31.54-34.06] 就像中国春节一样
[34.06-35.36] 摩肩接踵
[35.36-36.50] 停车场没有停车位
[36.50-39.46] 大家要等很久才能把车开进去
[39.46-41.06] 今天我去Costco
[41.06-42.60] 就是Costco
[42.60-45.12] 美国朋友说叫Costco
[45.12-47.26] 我们叫Costco
[47.26-48.52] 今天去买了好多东西
[48.52-49.54] 才买了一些年货
[49.54-52.20] 给大家好物推荐
[52.20-53.84] 今天进入正题之前
[53.84-58.18] 给大家好物推荐几个能在Costco可以快速介入的
[58.18-60.88] 项目就是意大利的黑醋
[60.88-64.94] 意大利油醋和这个意大利出炸橄榄油
[64.94-66.60] 把这两样玩意混起来
[66.60-69.70] 调成汁蘸面包吃或者蘸卤味
[69.70-72.58] 就是咱们那个猪耳朵猪口条吃
[72.58-73.24] 就这么说吧
[73.24-79.24] 你很快就不会不能接受中国的这个山西老陈醋和镇江香醋了
[79.24-81.64] 有如果你一旦入了坑之后呢
[81.64-84.34] 你去买那个20年陈的意大利黑醋
[84.34-86.68] 20年陈的你吃完之后
[86.68-87.56] 你再回过头来
[87.56-88.44] 吃中国的醋
[88.44-89.24] 所有的中国醋
[89.24-91.34] 你能尝出来那股化学味
[91.34-92.80] 就那股呛人的味道
[92.80-93.34] 就这么讲吧
[93.34-94.64] 就是你如果喝过
[94.64-97.00] 就是咱们这群里面观众里面实际上有老炮啊
[97.00-99.80] 你要喝过97年以前的茅台
[99.80-102.50] 你再喝现在的飞天茅台
[102.50-104.44] 现在飞天茅台这儿噎嗓子
[104.44-105.32] 97年的茅台
[105.32-106.34] 它度数也同样高
[106.34-110.18] 但是话一股热流流过去到胃里非常舒服
[110.18-111.70] 绝对不会拉嗓子
[111.70-113.84] 但是这个现在的飞天茅台呢
[113.84-115.48] 他因为他说化学勾兑的
[115.48-117.08] 他没有酿造足够的时间
[117.08-117.44] 所以呢
[117.44-119.08] 他有化学品的味道
[119.08-119.96] 醋也是一样的
[119.96-122.30] 中国的醋已经人心不古了
[122.30-123.86] 20年陈醋
[123.86-125.62] 估计有这么一滴是20年的
[125.62-126.74] 剩下的都是勾出来的
[127.92-128.20] 好了
[128.20-130.06] 今天直入正题
[130.06-133.92] 咱们进入这个读信和答疑环节
[133.92-136.58] 隔壁老王又附体了
[136.58-138.26] 隔壁老王并不是十万个为什么
[138.26-139.34] 再跟你们强调一遍
[139.34-140.98] 再跟咱们新网友强调一遍
[140.98-142.28] 隔壁老王不是十万个为什么
[142.28-143.48] 不是什么东西都懂
[143.48-146.96] 只不过是透过我的眼睛和我的思路
[146.96-149.58] 回答一下大家好奇的我的观感
[149.58-151.34] 那通过我这种说法呢
[151.34-152.36] 抛砖引玉好吧
[153.86-155.64] 旧疾不救穷
[155.64-156.08] 所以呢
[156.08-157.56] 我每次念的呢
[157.56-158.06] 第一个呢
[158.06-159.52] 都是最急的茬啊
[159.52-160.64] 亲爱的王叔叔你好
[160.64-161.64] 我来自北京
[161.64-164.18] 跟着您从推特到油管是油管前两千
[164.18-165.14] 原始精兵之一
[165.14-166.52] 很早就想给您写信
[166.52-168.20] 由于想分享的多且复杂
[168.20-169.04] 一直没起笔
[169.04-171.14] 但在上周看了关于公检法的视频
[171.14-172.44] 和我的情况有类似
[172.44-174.62] 您给那位姐提出了很中肯的建议
[174.62-175.76] 让她老公做几年劳
[175.76-176.84] 劳争取保外就医
[176.84-178.22] 决定来骚扰您一下
[178.22-179.48] 此次写信有两件事
[179.48-180.74] 一件事关于我父亲
[180.74-185.87] 他和您一样都是七五年生人
[185.87-187.73] 我忽然意识到我有这么老了
[187.73-188.75] 给我写信的小孩
[188.75-189.83] 他爸爸跟我同岁
[191.15-193.01] 不过我好像保养的还可以啊
[193.01-195.01] 就是应该比你爸年轻点
[195.01-196.79] 那个我的哎呦
[196.79-197.33] 对了
[197.33-200.45] 我的那个哈尔滨真爱女粉给我发私信了
[200.45-203.45] 说宅小鸟这两天又埋在我了
[203.45-205.49] 说我穷逼没钱
[205.49-207.53] 然后说他自己如何说有钱又又开始了
[207.53-209.21] 又开始这新的一轮
[209.21-209.61] 对我的泡沫
[209.61-210.39] 我覆盖了
[210.39-213.85] 然后我的小漂亮女粉丝说
[213.85-215.57] 一看宅小鸟就是个穷逼样
