[2.00-3.28] hello 大家好
[3.28-4.04] 又见面了
[4.04-6.60] 今天是圣诞节
[6.60-8.60] 祝我广大的网友
[8.60-10.28] 集子营的所有的兄弟们
[10.28-11.44] 我的观众朋友们
[11.68-13.20] 圣诞快乐
[14.32-16.80] 昨天就已经拖出这个东西来了
[17.88-20.44] 好多网友问这个东西是从哪买的
[20.44-21.28] 这是在Costco
[21.28-22.08] Costco买的
[22.24-24.40] 圣诞的一个小摆件
[24.40-25.80] 里边有圣诞老人
[26.12-27.12] 有雪井
[27.12-29.44] 还有里边是液体
[29.44-30.80] 还有小灯泡
[30.84-31.52] 特别好玩
[31.52-32.36] 我就买回来了
[32.36-33.16] 逗小孩
[33.16-35.60] 给我们家小朋友们玩
[36.80-37.80] 说到圣诞节
[37.96-40.08] 又产生了伤感
[40.28-41.92] 在我年轻的时候
[41.92-44.32] 2000年到2012年
[44.32-45.20] 这12年
[45.40-47.24] 那个12年的中国蒸蒸日上
[47.24-48.16] 日益开放
[48.44-50.64] 我是在北京
[50.64-53.20] 所以我对于北京圣诞节的气氛
[53.20-53.80] 日益浓厚
[53.80-55.12] 充满了记忆
[55.28-56.24] 充满了记忆
[56.36-58.04] 大家知道北京有个长安街
[58.04-59.92] 长安街的南侧
[60.04-61.48] 有很多的
[61.48-64.04] 大企业和大机构的总部
[64.96-66.24] 他们的大楼
[66.88-67.84] 那10年
[67.84-69.24] 就是每一年
[69.24-71.12] 圣诞的门口都会竖
[71.12-72.12] 越来越大
[72.12-73.84] 越来越漂亮的圣诞树
[74.12-75.76] 你比如说远洋大厦
[76.16-80.88] 你比如说全国总工会大厦
[81.04-82.68] 再往东长安街走
[82.68-85.12] 那个叫LG大厦
[85.28-86.04] 就是那边
[87.68-89.04] 往国贸那边走
[89.68-91.16] 一栋一栋大厦门口
[91.16-92.32] 那个圣诞树
[93.00-94.00] 包括北京厦入口
[94.00-95.08] 那两个大厦
[95.08-96.12] 门口圣诞树
[96.12-97.72] 最后就是2010年前
[97.72-99.00] 那大厦的圣诞树
[99.00-100.96] 都已经三四层楼那么高了
[100.96-102.68] 艺术成就很高的
[102.68-103.40] 有多高
[103.60-105.40] 三四层楼那么高了
[105.40-107.08] 就是那么高的大圣诞树
[107.64-109.72] 特别漂亮
[110.72-113.40] 而且人们圣诞气氛也特别浓
[113.40-114.80] 过圣诞节前后
[114.80-116.40] 大家会互相发短信
[116.40-117.96] 祝福圣诞快乐
[117.96-120.08] 年轻人包括从上大学开始
[120.08-120.48] 就
[120.48-120.96] 呃
[121.16-121.92] 小恋人们
[121.92-123.40] 大学生们就去西式护教堂
[123.40-124.88] 领圣餐饼干去
[124.88-126.64] 平安夜排大队
[126.64-127.80] 圣诞气氛特别浓
[127.80-129.00] 国家日益开放
[129.00-130.44] 人们虽然也有不满
[130.44-131.20] 也骂共产党
[131.20-131.96] 但是呢
[131.96-133.48] 对未来充满了希望
[134.40-136.40] 不像这个人来了以后
[136.40-137.56] 我操不过阳节了
[137.56-139.36] 这个傻逼不过阳节
[139.36-140.88] 把圣诞节化为阳节
[140.88-142.76] 压他们压他们就不说
[142.76-144.44] 共产党共产国际
[144.44-145.96] 本身就是个洋玩意儿
[145.96-147.80] 我操他们不过阳节
[147.80-149.28] 我操你不过阳节
[149.28-150.24] 你供马克思干嘛
[150.24-151.12] 马克思是中国人
[151.16-152.40] 姓马是吗
[152.40-155.20] 妈的是这个逻辑不通的二货
[155.20-158.76] 所以肉眼可见的圣诞节凋零
[158.76-160.80] 现在北京也不让过圣诞了
[160.80-162.84] 这个圣诞气氛越来越差了
[162.84-163.72] 但是好消息是
[163.72-166.60] 今年上海的年轻人开始反抗了
[166.60-169.24] 先过万圣节
[169.24-170.56] 我操上海的万圣节
[170.56-172.84] 居然比温哥华比加拿大还猛
[172.84-176.20] 然后据说今年现在此时此刻
[176.20-178.36] 上海的圣诞节也很折腾
[178.36-179.20] 好
[180.08-180.76] 反抗一定
[180.76-183.08] 从见过吃过的年轻人开始
[183.08-184.60] 你如果都是北朝鲜
[184.60-185.56] 你能压住
[185.56-188.20] 你年轻人家吃过见过玩过
[188.20-189.56] 你让人家回去当和尚
[189.56-190.80] 人家要干你
[190.80-191.60] 操
[191.60-193.28] 我们对要对中国的未来
[193.28-194.24] 还有一点信心
[194.24-196.32] 所以大家继续推
[196.32-197.28] 每个人推一推
[197.28-199.36] 没准强行能倒
