[0.59-2.35] 哈喽 大家好
[2.35-6.83] 接着今天白天没进行完的话题
[7.59-8.99] 现在温哥华已经天黑了
[8.99-13.31] 今天是圣诞夜平安夜的晚上
[13.31-15.23] 现在是夜深人静
[15.23-18.55] 我跟大家聊一些适合夜深人静的时候聊的话题
[18.55-20.35] 就是玄学的话题
[20.35-22.59] 咱们聊点怪力乱神
[22.59-23.47] 神神叨叨的
[23.83-25.27] 多好的现在气氛
[25.27-27.63] 假如你们后边就阴风阵阵
[27.63-32.07] 我擦我后边也就浮现出一些奇奇怪怪的东西
[33.59-34.87] 我跟大家讲之前
[35.31-38.31] 先讲讲今天我上午不是讲朱令的事吗
[38.31-39.31] 然后朱令的事
[39.31-41.15] 我提到方舟子在这里边
[43.91-45.07] 死咬贝智成
[46.47-48.39] 那是说10多年以前的事了
[48.59-51.35] 结果我今天看朱令去世了
[51.35-52.75] 方舟子又窜出来了
[53.11-55.15] 又在说贝智成
[55.71-56.91] 我就出于好奇心
[56.99-57.55] 我就看了一下
[57.55-57.59] 我出于好奇心
[57.59-57.63] 我就看了一下
[57.63-58.99] 他的言论在推特上
[59.31-59.75] 他说什么
[59.95-60.91] 他说
[61.19-62.47] 因为有人质疑他
[62.59-63.95] 说你说小贝下毒
[63.95-65.03] 那小贝是个男生
[65.03-66.27] 而且他不是清华的
[66.55-67.15] 他是北大的
[67.55-68.47] 他不是清华的
[68.47-69.91] 他怎么千里迢迢
[69.91-71.75] 第一他上哪去找他
[71.75-72.35] 这是第一
[72.35-78.39] 第二他上哪去抹到朱令的牙刷牙膏和饭盒上
[78.63-79.99] 然后方舟子开始说
[79.99-81.35] 你们这些脑残
[81.35-82.87] 你们有没有想到过
[84.35-85.59] 清华大学的
[85.59-88.23] 这个学生
[88.23-93.79] 朱令是住在清华民乐队的民乐团的艺术生宿舍的
[93.79-96.03] 那意思就是艺术生宿舍男女混居
[96.03-98.27] 我他我就给他回了一个一派胡言
[98.27-100.63] 清华就没有艺术生宿舍
[100.95-103.95] 这他们我老王是93级的
[103.95-105.59] 朱令是92级的
[105.59-106.63] 清华大学6号楼
[106.63-108.31] 把女生6号楼5号楼
[108.31-110.07] 我们都太熟了
[110.07-112.31] 哪有艺术生宿舍
[112.31-113.83] 清华军乐团民乐团
[113.83-114.95] 我认识多少熟人
[114.95-115.39] 我怎么从来没有认识过
[115.39-116.51] 他们从来没有听说过
[116.51-117.91] 他们还有艺术生宿舍
[117.91-119.71] 你方舟子你说这种话
[119.71-121.03] 你要不要脸
[121.03-122.51] 你这是胡说八道
[122.51-123.35] 一派胡言
[123.35-124.39] 结果我说他一派胡言
[124.39-125.23] 他给我拉黑了
[125.91-127.15] 推特上他给我拉黑了
[127.15-128.59] 秒给我拉黑
[128.59-129.83] 然后有些人说
[129.83-130.87] 他肯定是预防性
[130.87-131.51] 早给你拉黑了
[131.51-132.15] 不是
[132.15-134.31] 因为我一秒钟之前还能看到他
[134.31-135.55] 我就说一派胡言
[135.55-137.59] 清华大学没有艺术生宿舍
[137.59-138.75] 我拉黑了
[138.75-139.27] 为什么
[141.95-144.63] 方舟子他这种行为
[144.63-145.35] 就是让人
[145.35-147.23] 非常难以理解
[147.23-148.83] 你明明就是错了
[148.83-153.75] 无论是你当时是出于炒作出名的欲望
[153.75-156.31] 还是你当时判断错误的欲望
[156.31-157.87] 还是因素
[157.87-159.87] 还是你收了什么人的钱的因素
[159.87-160.91] 我们不知道
[160.91-162.03] 我们也没有证据
[162.03-163.35] 但无论如何
[163.35-164.79] 你现在人已经死
[164.79-165.91] 都过了10多年了
[165.91-167.87] 你能不能客观一点
[167.87-170.11] 你他妈白上了你博士硕士了吗
[170.11-171.71] 你能不能客观点分析
[171.71-173.23] 你怎么能满嘴跑火车
[173.23-175.31] 清华大学哪有一栋栋宿舍
[175.31-179.51] 你作为这么一个公开的舆论导向
[179.51-181.07] 这样一个有影响的人
[181.07-182.75] 你怎么信口胡来
[182.75-185.03] 而且大家知道
[185.03-186.79] 当时因为我们都认识朱令
[186.79-189.31] 所以我们一直在全程关注这个案子
[189.31-191.63] 当时朱令刚刚案发的时候
[191.63-195.27] 公安局泄出来的细节里边有这么一个细节
[195.27-197.63] 其实方舟子也认同这个细节
[197.63-199.63] 就是朱令宿舍里边
[199.63-204.43] 那个朱令用的刷牙洗脸的盆和饭盒
[204.43-205.11] 他爸爸妈妈
[205.11-209.75] 朱令刚病了回家去给他去清华收东西的时候还在
[209.75-211.31] 第二次去不见了
[211.31-213.67] 到现在再没找着
[213.67-214.51] 为什么
[214.51-216.87] 牙膏牙刷还有饭盆
[216.87-218.31] 这是证据
[218.31-221.39] 这种东西在女生宿舍里
[221.39-223.59] 男生是不可能去拿走的
[223.59-226.39] 所以你又要说贝士成小贝是下毒的
[226.39-227.51] 人家那几个兄弟
[227.51-229.47] 张杰他们几个下毒
[229.47-230.71] 怎么去拿出来
[230.71-233.27] 除非有女生宿舍做内应拿出来
[233.27-234.11] 怎么可能
[234.11-234.91] 那个宿舍里边
[235.11-237.87] 那个人除了朱令病回家去了
[237.87-240.07] 剩下三个女生被警察抓的抓
[240.07-240.83] 吓得不行
[240.83-241.27] 吓得不行
[241.27-242.51] 因为他做贼心虚
[242.51-246.15] 怎么会有这三个人配合小贝去往外偷东西呢
[246.15-247.79] 怎么可能呢
[247.79-251.35] 所以就是明摆着睁眼睛胡说八道
[251.35-252.31] 说瞎话
[252.31-257.71] 这个小贝没有参加朱令的葬礼
[257.71-259.91] 不是因为他心虚
[259.91-262.71] 而是因为五浊乱世
[262.71-263.83] 你要是小贝
[263.83-265.11] 我们做摄身处地
[265.11-267.59] 想你也不愿意再去了
[267.59-269.51] 因为你曾经爱过的人
[269.51-269.83] 第一
[269.83-271.03] 你已经帮他够多了
