[0.40-2.00] 哈喽 大家好
[2.00-4.64] 三万粉感恩专场小段
[5.24-8.28] 咱们老王开的金融向上专场
[8.28-9.56] 今天来个小单口
[9.60-10.88] 三万粉感谢
[10.92-11.44] 为什么
[11.60-14.44] 因为我昨天晚上看还没有三万呢
[14.48-15.56] 今天早晨一看
[17.24-18.68] 蹭蹭的往上涨粉
[18.96-20.12] 今儿是圣诞节
[20.12-21.28] 12月25号
[21.28-23.44] 真的是大喜的日子
[23.44-24.64] 涨了那么多
[24.64-27.28] 我现在看都快涨了有1000个粉了
[27.28-28.12] 这一天
[28.12-31.12] 因为我就是在大概两个星期以前
[31.12-33.16] 被油管限流了
[33.28-34.92] 明显感觉到被限流了
[34.92-37.44] 一天大概只有六七十个涨粉
[38.12-39.00] 我不知道为什么
[39.00-40.52] 因为我以前的话
[40.52-43.64] 一天有400左右
[43.68-44.68] 三到400
[44.68-46.16] 而且是持续很久
[46.96-47.72] 很稳定
[47.72-49.96] 每天200的少一点
[49.96-51.40] 然后多的四五百
[51.44-53.12] 平均三五百时间
[53.72-56.40] 大概不到10天以前
[56.44-58.08] 忽然就变成150
[58.08-58.10] 155
[58.12-60.36] 1070这样的速度就不涨了
[60.60-63.00] 所以我不知道是为什么
[63.00-66.36] 是到底是因为油管的后台
[66.36-69.28] 中文部的这些小编在使坏
[69.44-71.32] 还是共产党在控制我
[71.32-72.16] 应该不至于
[72.16-74.48] 因为我不是反攻大V
[74.48-76.48] 控制我
[76.48-80.36] 我党稀巴的海外的执行能力也太强了
[80.36-81.64] 连我都算上了
[81.64-83.72] 我连小鱼小虾都不算
[83.76-85.24] 我就是个草履虫
[85.24-87.72] 都被给一网打尽了
[87.72-90.00] 他那个网眼也太细了
[90.00-91.68] 所以应该不是共产党
[91.68-92.56] 跟共产党没关系
[92.56-95.48] 但我想来想去有可能两个原因
[95.56-97.76] 一个是我做了一期法轮功节目
[97.76-99.44] 就是明显是那期节目之后
[99.44-101.48] 就是就被限流了
[101.48-102.96] 我在那期节目里
[103.12-104.76] 我也没说法轮功不好
[104.76-106.32] 我比较客观
[106.32-108.12] 其实但可能性可能不大
[108.12-110.96] 但还有一个可能就是宅酵鸟的一些死忠粉
[110.96-111.92] 在举报我
[112.40-113.64] 但是我也没办法
[113.92-116.12] 今天是圣诞节
[116.12-117.68] 圣诞节他们都下班了
[117.68-118.56] 都放假了
[118.56-120.48] 所以增一下就起来了
[120.48-124.48] 我们看看是不是等他们星期一上班之后
[124.48-126.28] 我又被限流了
[126.56-127.92] 突破限流也很简单
[127.92-130.08] 突破限流就是大家多点赞
[130.08-130.92] 多点赞
[131.20-133.84] 所以请大家看完了之后
[133.84-134.88] 顺手点个赞
[135.40-136.80] 这样的话
[136.80-139.36] 比如说每次都有两三万稳定观看
[139.36-141.44] 因为我大概现在3万订户
[141.60-145.00] 每一期视频差不多都有3万左右的观看量
[145.00-147.08] 如果一半的朋友们
[147.08-148.44] 顺手点个点赞
[148.44-151.40] 不需要一定要说什么
[151.40-152.16] 你没话讲
[152.16-153.88] 或者比较害羞的可以不说
[153.88-154.88] 顺手点个点赞
[155.04-157.60] 这样的话就容易突破油管这边
[158.32-159.68] 人为对我的封锁
[160.32-163.24] 在此首先感谢大家的厚爱
[164.12-167.36] 一下子今天就接近3万1000了
[168.08-170.32] 这是非常荣幸的
[170.32-174.76] 因为我老王油管频道是新出来的
[174.96-176.84] 我10月2号上传的
[176.84-177.96] 第一期视频
[177.96-180.40] 大家如果想爱我的
[180.40-181.44] 可以稀罕我的
[181.44-183.28] 可以回头翻一下
[183.28-185.80] 我一直留着10月2号第一期视频
[185.80-187.60] 我在我的游艇上录的那一期
[187.60-187.92] 哎呦
[187.92-191.52] 那个羞涩话都不会说
[191.52-193.28] 表情管理都很僵硬
[193.56-196.36] 直到今天大概10月2号
[196.36-197.12] 11月2号
[197.12-197.80] 12月2号
[197.80-198.60] 不到1月2号
[198.60-200.12] 就是将近三个月了
[200.28-203.24] 平均一个月1万的速度涨粉
[203.72-205.20] 突破了3万粉
[205.36-206.52] 我心里边
[206.52-206.80] 就是
[206.84-208.88] 非常的满足
[208.88-210.52] 非常的感谢大家
[210.52-212.60] 然后也满足了我的虚荣心
[212.60-214.12] 因为我非常虚荣
[214.12-216.88] 这样的话我就特别爽
[217.04-219.04] 我每天一个特别大的乐趣
[219.04-220.40] 退休之后的乐趣
[220.40-223.72] 就是看我的观众评论
[224.04-226.48] 然后喜怒哀乐
[226.48-228.20] 我居然皆行于色
[228.20-231.72] 我开始的时候还跟大家互骂傻逼
[232.72-234.72] 后来因为我有偶像包袱了
[234.72-236.52] 因为观众多了
[236.52-239.68] 原来我开黄车跑黄段子
[239.68-241.76] 后来我一想人家举报我的话
[241.76-243.24] 我要是开黄段子
[243.24-244.24] 那不是一抱一个准
[244.24-245.80] 所以我现在开黄段子
[245.80-249.20] 也都是一些很隐晦的黄段子了
[249.20-252.12] 开始前期的那种特别过瘾的
[252.12-254.12] 那种大黄色搜索场
[254.12-255.56] 我就不敢弄了
[255.56-258.00] 所以总之就是一步一个脚印的
[258.00-259.04] 再往前走
[259.04-265.64] 因为我开频道之前是在推特上所推的
[265.64-265.68] 所推的频道是在推特上所推的
