[1.90-2.88] 哈喽大家好
[2.88-4.60] 又见面了
[4.60-8.58] 今天是2023年的最后一天
[8.58-11.54] 是我们中国2023年最后一天
[11.54-13.82] 加拿大还有两天
[13.82-18.08] 也就是说我们已经逼近了2024年
[18.08-21.10] 在元旦即将来临之际
[21.10-22.90] 预祝大家元旦快乐
[22.90-25.94] 祝所有的观众们2024年都大吉大利
[25.94-29.26] 虽然我祝福你们这个话没有底气
[29.26-33.06] 因为几乎是肉眼可见的
[33.06-36.22] 从2018年19年之后
[36.22-37.98] 是一年都不如一年
[37.98-39.78] 这个地球不光是中国
[39.78-42.18] 越来越乱通货膨胀
[42.18-45.02] 黄金年代明显已经过去
[45.02-47.88] 肃杀之气就在每个人的身边
[47.88-49.54] 但是无论如何
[49.54-51.94] 还是祝大家在乱世中
[51.94-54.58] 求得一方安宁安稳
[54.58-58.00] 家人顺顺利利平平安安
[58.00-58.94] 这比什么都是
[58.94-61.08] 比什么都真实
[61.08-66.46] 有家人处便是我家
[66.46-69.34] 所以大家包括海外游子们
[69.34-72.18] 也不用太拘泥于故土情怀
[72.18-74.50] 因为这世界上根本就没有故土
[74.50-75.80] 哪他们有故土
[75.80-78.14] DNA已经有证据了
[78.14-80.38] 7万年以前都是从非洲出来的
[80.38-81.26] 你要是故土
[81.26-83.18] 大家都回到东非大裂谷去了
[83.18-85.26] 而且这样的故土的话
[85.26-86.18] 到那也没个完
[86.18-88.92] 最后都钻到单细胞原生动物
[88.94-90.08] 我们去算了
[90.08-91.76] 最后就归于宇宙尘埃
[91.76-94.14] 所以不需要有故土
[94.14-95.72] 长者那句话说的不错
[95.72-97.46] 叫与时俱进
[97.46-99.18] 我们都要与时俱进
[99.18-101.32] 与时俱进
[101.32-103.18] 虽然长者干了很多王八蛋事
[103.18-105.08] 但是与时俱进
[105.08-107.44] 这个还是非常值得我们学习的
[107.44-109.72] 所以我们与时俱进
[109.72-112.04] 我们到了海外之后
[112.04-113.84] 也把这儿当成我们的家
[113.84-114.98] 尤其是在美国
[114.98-116.18] 在加拿大
[116.18-116.74] 在欧洲
[116.74-117.44] 在英国
[117.44-118.78] 在澳洲
[118.94-119.38] 新西兰
[119.38-121.62] 日本这些文明国家的
[121.62-124.52] 人道乐土的这些海外华人朋友们
[124.52-129.00] 大家第一不要眷恋所谓的故土情结
[129.00-131.22] 最后被人家操控捉住软肋
[131.22-134.42] 第二不要有什么自恨情结
[134.42-136.68] 我们中华民族都是很优秀的
[136.68-138.26] 你看我们多优秀
[138.26-139.16] 对不对
[139.16-142.10] 所以闲篇不扯
[142.10-145.64] 咱们今天进入正题念信时间
[145.64-147.22] 我已经信太多了
[147.22-147.82] 打不出来了
[147.82-148.74] 所以有点乱
[148.74-150.56] 大家就听个热闹就得了
[150.56-153.42] 后发先至
[153.42-154.30] 进喉
[154.30-156.10] 上周五真是神来之笔
[156.10-159.30] 他在补充我昨天那个人工化配线的证据
[159.30-161.18] 我不是说我忘了是哪天了吗
[161.18-162.06] 他给我补充了
[162.06-164.06] 所以网友是有心人
[164.06-165.62] 上周五真是神来之笔
[165.62-169.56] 中国的上证指数收盘2983点
[169.56-170.76] 跌破3000点
[170.76-173.88] 中间最低点位是2977点
[173.88-177.30] 而上周五就是24小时之前
[177.30-178.54] 万里之遥的美国纳斯汗的
[178.54-183.94] 纳斯达克收盘12983点
[183.94-186.40] 最低12977点
[186.40-188.08] 也就是说纳斯达克去掉那个一
[188.08-190.90] 正好等于是第二天的上证
[190.90-193.12] 这件事是不是太神奇了
[193.12-194.68] 居然是谁总结的呢
[194.68-195.42] 这个网友告诉我
[195.42-198.70] 这是翟山英2023年10月22号的节目总结的
[198.70-200.16] 翟山英发现了问题
[200.16-201.58] 但是不知道问题的内涵
[201.58-203.20] 这就是我们的差距
[203.20-204.64] 我又鄙视一下翟山英
[204.64-206.38] 我现在不想跟翟山英挂在一起了
[206.38-207.54] 因为他太low了
[207.54-208.42] 但是怎么
[208.54-209.80] 翟山英如影随形
[209.80-211.60] 像个鬼魅一样缠着我
[211.60-212.50] 好吧
[212.50-213.86] 下一个
[213.86-215.86] 抓紧时间啊
[215.86-216.94] 王兄你好
[216.94-218.32] 我叫杨旗
[218.32-220.98] 现在江南一座城市叫您王兄
[220.98-224.38] 我因移民的目的一直看烤腊爸的视频
[224.38-225.82] 也得到了他的一些建议
[225.82-227.08] 从他那知道了您
[227.08-228.18] 花了一个月的时间
[228.18-230.02] 看完了您之前所有的视频
[230.02-231.42] 才给您发这个邮件
[231.42-234.10] 主要是对您的内容表示衷心感谢
[234.10-235.30] 以及有个问题咨询
[235.30-236.62] 望得到您的建议
[236.62-238.12] 我也是理工科毕业的
[238.54-240.50] 可以用一个形容词形容我的感受
[240.50-242.74] 共振
[242.74-246.16] 这是我第一次看YouTube有这样的感受
[246.16-247.96] 无论是您的财斯知识广度
[247.96-249.40] 金融市场的成就
[249.40-250.48] 还是您的形象
[250.48-252.64] 谈吐真诚都令我钦佩不已
[252.64-257.02] 特别是对家庭儿女的观点和对观众来信的认真回复
[257.02-258.88] 使我这都开始捧我了
[258.88-260.68] 咱们就不念了
[260.68-262.78] 咱们直接跳到的问题吧
[262.78-263.54] 对于移民
[263.54-264.88] 我想分享一下我的经历
[264.88-267.04] 能看出来很多观众是焦虑的
[267.04-268.54] 您也很努力的帮
[268.54-269.98] 大家答疑解惑
[269.98-273.22] 同时又不能过界去替他们做决定
[273.22-277.06] 国人真的很多是既要又要缺乏执行力
[277.06-280.24] 我是因为工作后一直有看外网新闻的习惯
[280.24-282.34] 也因为一直在外籍工作喜欢旅游
[282.34-283.78] 所以去过很多国家
[283.78-288.16] 18年19年看郭总统从金上做出修宪后
[288.16-290.08] 我就下决心移民了
[290.08-294.40] 阔胡也和我女儿上小学的学校教育问题有直接关系
[294.40-297.04] 2019年去西班牙波特亚旅游后
[297.04-298.52] 决定做西班牙非营利
[298.54-301.78] 移民就在准备和中介签约之际
[301.78-303.52] 新冠爆发打乱计划
[303.52-305.56] 之后就是西班牙移民政策改变
[305.56-306.70] 没办法做了
[306.70-309.70] 去年在国内政策不明之际
[309.70-312.64] 决定做加勒比岛国买护照
[312.64-313.72] 先换完身份
[313.72-314.86] 再谋后续
[314.86-316.56] 结果在拿到批复信后
[316.56-320.26] 因为我的美国银行账户存款汇款限额问题
[320.26-322.00] 无法在限期内完成付款
[322.00-325.18] 只能放弃手续费损失30万
[325.18-327.02] 不过好像冥冥之中有天意
[327.02-327.78] 就在此时
[327.78-329.28] 从好喇叭那了解到
[329.28-331.12] 加拿大的移民政策
[331.12-332.74] 除了有旅转学
[332.74-335.18] 也有小孩上学家长陪读签
[335.18-337.04] 转学签
[337.04-340.54] 同时居然加拿大的公校私校教育都非常好
[340.54-342.90] 无论是DIY还是找中介费用都不多
[342.90-345.24] 我就研究后决定去卡尔加里
[345.24-348.26] 目前我女儿已经报名成功
[348.26-349.54] 明年9月份入学
[349.54-350.46] 我老婆陪读
[350.46-352.70] 等我老婆登录后拿到学签
[352.70-354.60] 我就可以辞职过来找工作了
[354.60-356.14] 这个月底寒假
[356.14-357.74] 我们去了卡尔加里看了看
[357.78-359.52] 认识了一下城市社区
[359.52-360.96] 也去半府玩了玩
[362.16-363.78] 阔湖主要是没钱去温哥华
[363.78-364.72] 哈哈
[364.72-368.30] 目前我们全家都在学英语提高一下水平
[368.30-371.54] 我只是国内外企的中层管理吧
[371.54-373.28] 只能算一个小康家庭
