[2.22-4.14] 哈喽 大家好 又见面了
[4.14-6.04] 昨天跟大家聊了聊钻石
[6.04-9.18] 老王以互联网界的一股拙流之速
[9.18-11.76] 又把钻石行业给冲毁了
[11.76-15.06] 点出了河南钻的秘密
[15.06-17.82] 引起了很多业内人士的热议
[17.82-20.42] 有些高手就给我纷纷来信
[20.42-22.68] 辅证了我的不足
[22.68-24.48] 因为我已经离开十多年了
[24.48-26.96] 我也不知道河南钻到底是咋来的
[26.96-31.14] 我猜出来的是从白沙以色列人那偷的
[31.14-33.66] 有些高手说其实可能未必
[33.66-36.36] 因为郑州有一个叫三摩索的
[36.36-41.94] 是原来机械部下边专门做人造金刚石钻头的
[41.94-47.22] 他们这么多年一直在探索人造金刚石的研究
[47.22-48.54] 就在郑州
[48.54-51.04] 然后以前他们之所以没成
[51.04-53.90] 是因为他们只能做出来偏黄的
[53.90-55.50] 工业级的切割的
[55.50-58.04] 那么最近几年突飞猛进
[58.04-59.44] 忽然就突破了
[59.44-60.52] 至于是怎么突破的
[60.52-61.12] 他们也不知道
[61.12-66.52] 是自主制产权还是还真是以色列人给的就不知道了
[66.52-69.28] 反正就是总之就是结果就是突破了
[69.28-71.80] 那一发不可收拾
[71.80-75.16] 大概这一两年真的是人工培育钻石
[75.16-78.10] 就是真的是按金涨了
[78.10-79.42] 只要他们不拔电钮
[79.42-80.98] 那玩意就能一直往外涨
[80.98-86.68] 所以从某种程度上其实也印证了钻石投资市场
[86.68-89.02] 在河南同胞们的冲击下
[89.02-91.12] 那就那就是一地鸡毛
[91.12-92.36] 一发不可收拾
[92.36-94.20] 我夸张了一下
[94.20-96.08] 我说可以涨出来方向盘这么大的
[96.08-97.80] 我没见过
[97.80-99.52] 因为我不知道他们培养米有多大
[99.52-102.76] 但是理论上来说应该不止方向盘这么大的
[102.76-103.96] 因为他们只要不拔电
[103.96-105.48] 锅炉只要足够大
[105.48-108.36] 你们这玩意涨了几乎可以一直涨下去
[108.36-111.52] 搞不好能涨出个桌面那么大的也有可能
[111.52-115.28] 所以说完了钻石之后
[115.28-117.24] 很多网友给我回说
[117.24-118.44] 那你老王
[118.44-121.00] 你告诉我有什么理由不买人工培育钻呢
[121.12-124.08] 另外一些网友说
[124.08-125.16] 那不对老王
[125.16-127.48] 你看天然钻石有虫食孔洞
[127.48-129.00] 虫食主网
[129.00-130.72] 那人造钻石它还是不行
[130.72-133.56] 然后另外一些网友在猜测说
[133.56-135.92] 可以用激光打出来人造虫食网
[135.92-136.72] 那不对啊
[136.72-137.84] 用激光打不出来
[137.84-140.00] 因为它那个虫食网洞是在里面的
[140.00-140.88] 它不是在表面
[140.88-143.24] 用激光打最多是在表面支出来
[143.24-146.12] 但是钻石内部的组织结构你打不进去
[146.12-147.28] 没你打不进去的
[147.28-149.92] 而且就是你打出来的
[149.92-151.08] 用人造打出来的
[151.12-151.92] 那个网呢
[151.92-153.20] 那就是还是不一样的
[153.20-154.52] 那就是太规则了
[154.52-155.60] 太规律了
[155.60-158.32] 激光还是做不到那种天然
[158.32-161.28] 几十亿年累计出来的这种效果
[161.28-163.64] 那从我的个人的角度来说
[163.64-164.64] 我认为
[164.64-166.56] 我个人认为
[166.56-169.88] 人造培育钻石的珠宝首饰效果
[169.88-173.48] 和天然钻石没有任何区别
[173.48-176.12] 而且更有优势
[176.12-177.40] 因为它更好嘛
[177.40-178.72] 毫无杂质嘛
[178.72-181.08] 那作为
[181.12-182.04] 宝石来说
[182.04-184.44] 那你有什么理由不选个好的呢
[184.44-185.92] 所以
[185.92-187.16] 大家面对现实吧
[187.16-188.76] 钻石市场就是被
[188.76-191.04] 赫南老祥给冲倒了
[191.04-192.60] 这就是现实
[192.60-194.40] 有施伪证
[194.40-195.48] 施云
[195.48-199.24] 雷派波特市场的钻石去年跌了25%
[199.24-200.48] 这个就是
[200.48-202.64] 这个就是老王写的诗
[202.64-203.44] 这个
[203.44-204.12] 就是这样啊
[204.12-205.76] 那你说戴比尔斯能扛得住吗
[205.76-207.68] 他肯定扛不住吧
[207.68-208.68] 那么
[208.68-210.68] 河南人
[211.12-214.80] 解放了这种钻石的这种制造工艺以后呢
[214.80-218.92] 其实是一种
[218.92-222.00] 你就像电动车替代燃油车
[222.00-226.24] 你就像苹果手机替代诺基亚手机一样
[226.24-227.76] 它是一种历史趋势
[227.76-228.68] 历史潮流
[228.68-230.88] 你不能界定它为好或者坏
[230.88-232.00] 善或者恶
[232.00-233.40] 不存在这个因素
[233.40-237.12] 因为当年戴比尔斯在人工操盘钻石市场的时候
[237.12-239.72] 他也运用了很多做事商的知识
[239.72-240.92] 囤积居奇的
[240.92-243.80] 手腕和谎言
[243.80-246.48] 这个所谓的没有了钻石稀缺性
[246.48-247.88] 20年之内枯竭
[247.88-251.00] 这都是当年戴比尔斯请科学家做的
[251.00-252.72] 毫无疑问都是一派胡言嘛
[252.72-254.48] 那钻石矿怎么会枯竭呢
[254.48-255.52] 是他枯竭了
[255.52-257.32] 因为他给它盖上炸了矿口
[257.32-258.12] 不让采了
[259.48-262.00] 所以听老王讲讲过去的老故事啊
[262.00-265.12] 今天老王着重的点一下
[265.12-266.28] 昨天有人提醒我
[266.28-269.12] 说你讲钻石怎么能不讲张蓓莉呢
[269.12-269.92] 哎
[269.92-270.88] 说对了
[270.92-273.04] 我怎么把张弓给忘了
[273.04-274.28] 张蓓莉是谁呢
[274.28-276.36] 张 弓长张
[276.36-278.40] 贝呢是贝磊的贝
[278.40-279.40] 一个草字头
[279.40-281.24] 一个一贝两贝的贝
[281.24-282.64] 丽呢是一个草字头
[282.64-283.80] 一个丽意的丽
[283.80-285.32] 就是张蓓莉
[285.32-287.52] 张蓓莉是个女士
[287.52-288.56] 张蓓莉女士呢
[288.56-292.96] 是咱们中国的珠宝玉石界的扛把子
[292.96-294.08] 老大
[294.08-295.68] 她的另一个身份呢
[295.68-298.60] 是温家宝总理的老婆
[298.60-300.68] 就是温家宝总理的妻子
[300.92-303.56] 张蓓莉和温总呢
[303.56-305.36] 都是地质学专业的
[305.36-306.80] 这个大家很多人都知道
[306.80-309.24] 因为他们是老地质人
[309.24-309.84] 温呢
[309.84-311.52] 就后来就从政了啊
[311.52-313.36] 他一步一步的走上仕途
[313.36-314.24] 而张呢
[314.24-316.92] 就一直在地质行业啊
[316.92-319.88] 做他的本专业
[319.88-321.32] 做来做去呢
[321.32-322.40] 他就一不小心呢
[322.40-324.96] 就做成了地质专业的老大
[324.96-330.80] 尤其是在温家宝当国务院常务副总理
[330.80-332.12] 这一段时间
[332.12-333.56] 张蓓莉呢
[333.56-334.96] 就是
[334.96-337.12] 就是那简直就是如火如荼
[337.12-339.56] 因为人人都知道他老公厉害嘛
[339.56-343.60] 那么温家宝当总理的前后呢
[343.60-346.20] 因为有很多政治对手反对
[346.20-346.64] 所以呢
[346.64-347.84] 就把张蓓莉呢
[347.84-348.56] 这个事呢
[348.56-350.24] 就是拎出来说
[350.24-351.68] 有什么可说的呢
[351.68-352.16] 张蓓莉
[352.16-353.72] 就是张蓓莉人家做地质老大
[353.72-356.84] 又跟你温家宝当常务副总理
[356.84-357.68] 当总理
[357.68-358.40] 国务院总理
[358.40-360.64] 这有什么关系呢
[360.80-362.08] 是这样
[362.08-363.32] 因为咱们张总啊
[363.32-364.04] 这个人啊
[364.04-367.16] 就是除了业务上牛逼之外
[367.16-368.12] 业务上绝对是这个
[368.12-369.32] 确实牛逼
[369.32-371.40] 他在经商头脑上
[371.40-372.32] 用人的头脑上
[372.32-373.48] 也属于改开干部
[373.48-374.52] 典型的改开干部
[374.52-376.00] 胆大
[376.00-378.76] 这个愿意干事
[378.76-380.68] 愿意做事
[380.68-385.44] 所以在1994年前后
[385.44-386.24] 张蓓莉呢
[386.24-390.60] 就培养出来了一个中国的珠宝上市公司
[390.60-392.40] 叫戴蒙德
[392.40-394.96] 戴蒙德就是张蓓莉的
[394.96-397.24] 这个实际控制人是张蓓莉啊
[397.24-400.52] 根本不是什么大家传的那些什么这个那个的
[400.52-401.60] 不是啊
[401.60-404.64] 张蓓莉通过她老公的优势关系啊
[404.64-408.04] 她老公的这个主管经纪的这个网络
[408.04-410.72] 成功的使戴蒙德迅速上市
[410.72-415.44] 戴蒙德是我们中国主板的A股主板的第一家上市公司
[415.44-417.48] 珠宝类的
[417.48-419.20] 张蓓莉搞了戴蒙德
[419.20-420.56] 他的目的是什么呢
[420.60-422.40] 大家知道戴蒙德
[422.64-425.20] 你现在扩展阅读应该还能查得出来
[425.72-428.80] 戴蒙德的创始人
[429.04-432.12] 或者第一任总经理叫王仲慧
[432.12-433.92] 三横一竖本家王
[433.92-436.72] 仲 孔老二那个仲
[436.72-438.26] 单立人一个中
[438.26-439.80] 慧就是开慧的慧
[439.80-440.56] 王仲慧
[440.56-442.36] 王仲慧大哥呢 中慧哥呢是
[442.88-444.66] 我们俩很熟
[444.92-449.02] 他现在还是ST达尔曼的实际控制人
[449.02-453.62] 我当时在离开中国之前是想从他手里面收购过来
[453.88-454.66] 西安达尔曼
[454.90-456.18] 就是ST达尔曼
[456.96-459.00] 买了他那个壳 所以我们俩很熟
[459.52-463.36] 我给你讲讲王仲慧和张蓓莉还有碧丽君之间的老故事吧
[463.62-464.64] 老有意思了
[464.90-467.96] 当年王仲慧20多岁30岁的时候呢
[468.22-469.76] 他们都是地质人
[470.02-471.04] 都是地质类的
[471.54-473.34] 他在地质部
[474.62-475.14] 招待所
[475.64-476.66] 成立了戴蒙德
[477.18-478.98] 地质部招待所呢就是咱们北京的地质部招待所
[479.24-480.78] 北京西单的山水宾馆
[481.02-481.80] 他现在还在那
[482.06-483.84] 现在老王的办公室还在
[484.10-484.86] 山水宾馆
[485.12-487.18] 有一个一层
[489.74-491.78] 那王仲慧当时29岁30岁
[492.80-495.88] 他长得特别像温家宝年轻的时候
[496.90-497.66] 然后呢
[498.18-499.98] 这就是爱情的力量了
[500.22-502.78] 大家有没有发现啊就是我们在人生中啊
[503.04-505.10] 很多人不停的换老婆
[505.34-506.88] 或者女人不停的换老公
[507.14-508.94] 然后他找的那个新老公
[509.24-509.74] 老婆
[510.00-512.82] 你总能看着跟他老老婆是一款
[513.58-515.12] 就是这个爱情的奇幻力量
[515.38-517.42] 最好的例子就是张艺谋
[517.68-519.22] 张艺谋后边找的所有的女人
[519.48-520.50] 都有巩俐的影子
[521.02-523.32] 是不是都特别像同一款
[524.60-526.14] 这个张梅丽估计也是
[526.38-527.92] 他喜欢温家宝年轻的时候的样子
[528.18-528.94] 所以当他
[529.20-531.50] 功成名就之后当了领导的时候
[531.76-533.82] 他重用的这些
[534.58-535.10] 统一
[535.34-536.38] 一个不太高
[536.62-538.94] 就是那个典型的江南书生的那种
[539.24-539.74] 形象
[540.00-541.02] 白白的皮肤
[541.28-543.34] 就是那个小书生文质彬彬
[543.58-545.12] 然后戴着金丝边眼镜
[545.38-547.68] 张工用的所有的
[549.48-549.98] 年轻人
[550.24-551.52] 都是戴金丝边眼镜的
[552.30-553.58] 温总同款
[554.34-556.38] 王中会也因为这个
[556.64-557.66] 是不是因为这个我就不知道了
[557.92-558.70] 就是得到了
[558.94-560.74] 张工的充分信任
[561.26-562.28] 所以王中会就
[563.04-565.34] 成立戴梦得之后呢就是
[565.86-566.88] 张工在后边
[567.14-568.94] 圈子内人都管张蓓丽
[569.24-569.74] 张工
[570.00-571.54] 怎么来的我不知道啊工程师的工
[572.30-573.58] 所以张工在后边呢就
[574.10-575.12] 极其
[575.90-577.42] 硬的挺戴梦得
[577.94-578.70] 戴梦得所以
[578.96-581.02] 迅速的上市迅速开分店
[581.26-583.32] 迅速抢占戴比尔斯的市场
[583.82-586.14] 戴梦得和当年的国检保持中心
[586.38-588.94] 几乎就是一个单位的两块牌子
[589.72-592.28] 所以戴梦得的副总就叫毕立军
[592.78-595.34] 毕是毕业的毕 历是战历的历
[595.86-597.40] 君是君子的君
[597.66-598.94] 毕丽君今天
[599.24-602.30] 还是中国珠宝玉石协会的秘书长
[602.56-605.38] 那绝对是行业协会的事实一把手
[605.90-610.24] 那王中会也不是一般人王中会就是中国黄金协会的副会长
[611.78-613.82] 搞不好还是中国期货协会的
[614.34-614.86] 珠宝类的
[615.36-616.64] 归金署类的副会长
[618.18-618.94] 中汇哥
[619.20-619.72] 立军哥
[619.98-620.48] 这都是
[621.00-622.02] 当年的同款
[622.28-623.04] 温总的
[623.56-624.58] 小20岁的同款
[626.12-626.88] 那
[627.40-628.94] 戴梦得成立之后呢
[629.24-630.00] 后边有
[630.26-632.06] 温的家族有张公
[632.30-633.34] 国检
[634.36-635.12] 地矿部
[635.38-637.68] 保育师中心的作为这样的背书
[637.94-640.50] 又看好了中国未来婚恋市场
[640.76-643.82] 钻石市场的巨大的蛋糕1994年就看到这一点了
[644.08-645.10] 1994年中国人
[645.36-646.38] 开始有钱了嘛
[647.42-649.20] 按照旋转木马理论开始买黄金
[649.46-652.02] 钻石了嘛所以戴梦得就是diamond
[652.28-653.82] 就是英语钻石的音译
[654.06-656.88] 戴梦得这个公司就开始跟戴比尔斯直接PK
[657.66-658.94] 所以昨天我讲
[659.24-660.26] 其中有
[660.52-662.82] 印度人在79年80年PK过
[663.08-668.20] 戴比尔斯然后有非洲军阀在1990年PK过
[668.46-669.22] 戴比尔斯
[669.74-670.50] 其实
[670.76-675.62] 还有一拨人就是张蓓莉王仲慧毕立军在1995年左右
[675.88-676.38] PK过
[676.64-677.42] 戴比尔斯
[677.66-679.98] 他们当时是想把戴比尔斯
[680.22-683.30] 在整个大中国区的定价权
[683.56-686.62] 然后看货权和这个批发零售权全部拿过来
[687.14-688.94] 就是给你戴比尔斯两条路
[689.24-692.56] A在大中国圈我说了算我做你的马仔
[692.82-694.36] 我给你交供你不要来了
[694.62-695.12] B呢
[695.38-696.40] 你被我顶走
[696.66-699.74] 我再在大中国去造一个跟你一样的戴比尔斯
[699.98-700.50] 你看行不行
[700.76-701.26] 你信不信
[701.78-703.32] 戴比尔斯当时说我信不信
[703.58-704.08] 因为确实
[704.34-706.64] 有张蓓莉国家在后面国家力量在后面
[706.90-709.46] 那中国人地矿部的这些专家
[709.72-710.48] 也不傻呀
[711.00-715.86] 你钻石能有什么高科技含量啊所以人家中国人也都能捡出来
[716.12-718.42] 你国际珠宝JIA证书
[719.24-722.06] 还有那个欧洲那个ICI那个证书
[722.30-726.66] 那你在国检证书面前你没有什么优势啊因为国检
[726.92-729.98] 本身也有严格的地矿类的专家他说出来的这个
[730.50-734.08] 钻石的级别宝石级别那基本上就是国际通用的
[734.60-740.48] 通俗的讲就是如果大家都是得了感冒你在中国看医生给你验出来验血验
[740.74-744.32] 切片最后什么病原体就是感冒
[744.58-748.16] 你到美国他不也是感冒吗他能验出来什么艾滋病吗
[748.42-748.94] 所以
[749.24-750.26] 整个这个东西
[751.02-752.82] 宝石珠宝玉石这个
[753.58-754.86] 这个领域
[755.12-757.18] 中国和欧美没有区别
[757.42-759.98] 技术上没有区别你能看出来我也能看出来
[760.24-762.30] 你能鉴定什么我一样能鉴定出来
[762.54-764.86] 那比的就是什么比的就是要么货源
[765.10-766.14] 要么市场
[766.38-767.42] 那货源
[767.92-768.70] 有非洲
[768.94-772.78] 我也不怕你当然那个时候还没有人造啊还没有那个培养钻石
[773.04-777.90] 那比市场那你就得怕我因为未来的钻石互联
[778.16-778.94] 增长市场全是
[779.24-779.74] 全在我中国
[780.00-781.54] 全在我戴蒙德麾下
[782.82-784.86] 所以呢戴蒙德的分店
[785.12-786.14] 各地加盟商
[786.40-787.42] 1996年
[787.68-788.96] 雨后春笋
[789.48-791.52] 戴比尔斯的老板
[791.78-793.82] 戴比尔斯的老板飞到中国来
[794.08-796.90] 是要见戴蒙德要约时间约见
[797.42-799.72] 要拜见拜山头的就这么牛逼
[799.98-800.74] 就这么牛逼
[801.26-804.84] 然后就是一切呢就是嘎然而止
[805.10-805.86] 又嘎然而止了
[806.12-808.68] 好吧戛然而止啊小苗说我店
[809.24-810.26] 错字了给我出去罚站
[811.28-812.30] 嘎然而止
[814.10-816.66] 那许他
[816.92-818.96] 宽衣通商不许我嘎然而止吗
[819.22-819.98] 什么道理吗
[820.24-822.54] 以后大家都念嘎然而止多形象
[822.80-823.82] 嘎然而止
[824.34-825.62] 这个戴蒙德就嘎然而止了
[825.88-828.94] 怎么嘎然而止了呢因为温总要当总理了
[829.20-832.54] 底下一群政治敌人指着温总的鼻子以博家为首
[832.78-834.06] 博三为首
[835.34-835.86] 说
[836.62-837.90] 中国手摊
[838.98-839.74] 软云松
[840.00-841.02] 这篇文章
[841.28-842.56] 就叫中国手摊
[842.82-843.58] 说错了
[843.84-845.64] 越南手摊软云松
[846.40-849.98] 所有的人都知道这个温家宝的儿子叫温云松
[850.50-853.82] 所以这篇文章居然叫越南手摊
[854.60-857.16] 软云松软软小二的软
[857.66-858.18] 就是
[858.44-859.72] 中国手摊温云松
[859.98-860.48] 就这意思
[860.74-863.30] 然后把温家的戴蒙德和
[863.56-865.86] 平安保险集团马明哲之间的关系
[866.12-867.40] 全都po到网上
[867.66-868.94] 任何人当时
[869.24-870.26] 都能百度得到
[871.02-872.06] 是博家在后面站的
[872.56-875.12] 所以温对于博就是恨之入骨
[875.90-878.20] 死仇是那个时候结下来的
[878.46-881.02] 所以2012年抓捕老温头
[881.52-885.62] 穿在第一线在那个人民大会堂记者招待会
[885.88-888.94] 拍桌子3月吧2012年3月12号
[889.20-889.98] 应该是这个时间嘛
[890.48-893.04] 然后当场那个就拿下薄熙来
[893.30-898.94] 温总做里边的第一推手就是因为在2002年之前就结了这么个仇
[899.24-901.02] 2002年前后
[901.28-901.80] 满网
[902.82-904.62] 铲温家宝当总理这件事
[905.90-906.40] 就是
[906.66-910.24] 越南手摊软云松就是国家在后面做政治势力推动
[911.26-912.30] 那时候就结了死仇
[913.06-915.62] 当然现在我想互联网已经没有痕迹了
[915.88-916.38] 这个
[916.64-920.74] 软云松这篇百度文章我最后一次能看见是08年
