[11.12-13.18] 哈喽大家好又见面了
[13.18-16.42] 今天是加拿大时间2024年1月4号
[16.42-20.20] 今天本来我不想再提朱令和孙维的事了
[20.20-22.74] 因为我已经做了连续做了三期节目
[22.74-27.12] 可以说把这个事来龙去脉前因后果说得非常清楚了
[27.12-30.48] 但是今天又得到了一个新的信息
[30.48-34.32] 所以我觉得有必要把这个新的信息给大家念一下
[34.32-35.74] 然后做一个概观定论
[35.74-36.72] 什么信息呢
[36.72-38.08] 就是有一个网友叫Rick
[38.08-45.72] 给我发来了2007年公安部给全国政协的正式的回函
[45.72-49.12] 这个文件是标题是
[49.12-53.04] 中华人民共和国公安部关于政协十届五次会议
[53.04-56.54] 某委员来信反映问题调查情况的复函
[56.54-59.36] 2007年040014号
[59.36-61.98] 这个文件还是非常有权威性的
[61.98-69.08] 而且我细读了一下
[69.08-71.04] 这个文件写得非常之高明
[71.04-72.80] 可以说是
[72.82-77.02] 因为我也是那个年代过来的人
[77.02-81.10] 这应该是公安部的一个绝对的内部的高手写的
[81.10-83.22] 所以他文字虽短
[83.22-85.90] 区区几百字两页纸
[85.90-86.50] 但是呢
[86.50-91.00] 他把该透露的信息其实都已经透露给大家了
[91.00-91.48] 但是呢
[91.48-93.28] 要是想解读出来这个信息呢
[93.28-98.32] 需要有同等知识体系的人才能真正的把它解读清楚
[98.32-98.82] 所以呢
[98.82-99.58] 我呢
[99.58-102.28] 把这两封把这个文件的这两页纸呢
[102.28-102.76] 给大家
[102.82-106.24] 打在我的这个节目的屏幕上
[106.24-107.62] 然后一方面呢
[107.62-110.66] 你们感兴趣的可以按暂停自己读
[110.66-111.58] 另一方面呢
[111.58-112.58] 我呢
[112.58-114.18] 给大家解读一下
[114.18-117.22] 这封回函可以说是盖棺定论
[117.22-118.18] 到此为止
[119.58-122.58] 全国政协委员会办公厅信访局
[122.58-126.38] 你局喊转某某某委员的来信反映
[126.38-130.14] 1994年12月至1995年3月
[130.14-132.82] 清华大学化学系九二级本科生朱令
[132.82-133.58] 命令
[133.58-136.30] 遭人多次投放重金属他盐
[136.30-138.10] 导致全身瘫痪
[138.10-139.48] 双母几乎失明
[139.48-140.86] 并发多种疾病
[140.86-142.54] 至今案件未侦破
[142.54-144.78] 海内外媒体对此高度关注
[144.78-147.34] 要求抓紧破案并妥善处理
[147.34-147.94] 接函后
[147.94-151.36] 我们即责呈北京市公安局调查核实
[151.36-154.82] 经查此案情况是冒号
[154.82-155.80] 这是第一段
[155.80-159.38] 这第一段反映了这么几个重要问题
[159.38-160.06] 第一个啊
[160.06-161.66] 他的致函单位是去政协权益
[161.66-162.82] 是政协权益
[162.82-165.00] 全国委员会办公厅信访局
[165.00-169.00] 按这个抬头应该是全国政协委员
[169.00-175.24] 某某个政协委员给公安部专门为这个事发了这个
[176.92-178.00] 发了函啊
[178.00-181.36] 询问他们这个官部这个事到底怎么回事
[181.36-187.96] 那按照我们中国的这个程序啊
[187.96-191.64] 全国人民代表大会或全国政协
[191.64-192.78] 可以有权利
[192.78-198.24] 委员可以有权利对政府部门的任何一个部门发出问讯函
[199.38-203.52] 那该部门有责任也有义务
[203.52-205.54] 无条件的如实回复
[205.54-208.90] 这封公安部的回函就是这么产生的
[210.48-217.66] 那这第一段话里面还透露出来一个鲜为人知的情况
[217.66-221.82] 就是朱令的身份证名字应该叫朱令令啊
[221.82-222.42] 不是朱令
[222.78-227.02] 所以公安部的文件
[227.02-230.46] 他是按照他的身份证和户口登记本的名字来的
[230.46-232.86] 严格的按照这个名字来
[232.86-236.10] 所以他下面开始描述案情
[236.10-238.98] 朱令令女十年22岁
[238.98-242.22] 北京市人清华大学化学系九二级学生
[242.22-244.68] 1995年5月5日
[244.68-250.58] 北京市文保局北京市局文保处接清华大学报案称
[250.58-252.66] 朱令令因他言中毒
[252.66-256.26] 于1995年3月11日入院治疗
[256.26-259.26] 北京市局即开展侦查经查
[259.26-263.40] 1994年12月朱令令曾因相同症状
[263.40-267.00] 在同仁医院住院治疗后病情缓解
[267.00-268.80] 未查出病因
[268.80-270.96] 1995年4月25日
[270.96-276.30] 经北京市劳动卫生职业病防治诊防治所确诊为他言中毒
[276.30-280.60] 经检测朱令令体内他言已达医学致死含量
[280.60-282.36] 过乎一克左右
[282.66-287.02] 其大脑中枢神经肝肺均受严重损伤
[287.02-288.80] 脑组织萎缩双目失明
[288.80-295.72] 四肢语言及记忆功能丧失处于重度残疾状态
[295.72-300.06] 这一段说明了精确的时间
[300.06-303.66] 是1995年5月5号
[303.66-306.98] 北京市公安局接到清华大学的报案
[306.98-309.28] 那为什么是清华大学报案呢
[309.28-312.62] 这个就涉及到我们当年的这个大学生的户口制度
[312.66-317.78] 报案人所在地的这个北京市的朱令令
[317.78-319.82] 进入清华大学之后
[319.82-322.38] 他的户口就会从他家里边
[322.38-325.20] 迁移至清华大学的集体户口
[325.20-326.48] 所有的人都是这样的
[326.48-330.06] 像我们都是
[330.06-332.62] 清华大学是他的户籍管理单位
[332.62-335.44] 也是他的学习单位
[335.44-338.26] 所以清华大学是有报案权利的
[338.26-340.06] 相当于他的家属吧
[340.06-342.62] 因为朱令令当时是集体户口
[342.66-345.48] 那么
[345.48-346.50] 写得很清楚
[346.50-347.26] 12月
[347.26-349.58] 94年12月就已经病了一次了
[349.58-352.38] 在同仁医院当眼睛的问题治了
[352.38-355.98] 那么现在回想起来应该是第一次
[355.98-358.28] 室友给他投毒
[358.28-359.30] 孙他投毒
[359.30-362.12] 应该是给他投到隐形眼镜这个护理业里了
[362.12-364.42] 因为这样才可以定点清楚他嘛
[364.42-366.98] 就像我在以前的节目中所讲的
[366.98-368.78] 如果要投到其他地方的话
[368.78-371.34] 难免会误伤其他的人
[371.34-372.64] 那隐形眼镜患者
[372.66-374.96] 护理业那简直就是那个隐形眼镜盒
[374.96-376.76] 那就是精确的就这一个人用
[376.76-378.04] 别人不会用的
[378.04-379.06] 所以呢
[379.06-382.14] 他首先发病的这个
[382.14-383.92] 组织呢就是他眼睛
