[10.58-15.58] 君子以自强不息 君子以厚德载悟
[15.58-18.58] 自强不息是我们干好事的时候的状态
[18.58-20.08] 干正经事的时候的状态
[20.08-22.08] 厚德载悟就是我们别干坏事
[22.08-25.08] 别他们卖那个什么SEC 云盒
[25.08-28.58] 干那事是要损福报的
[28.58-32.08] 接下来有几件事情想跟您请教
[32.08-34.08] 念过这个了
[34.08-36.58] 我目前在一家会计师事务所上班
[36.58-39.08] 主要是报账出年报
[39.08-42.08] 对您讲的资本市场的运出帷幄很感兴趣
[42.08-44.08] 请问如果想进入国外的资本市场
[44.08-46.08] 接下来职业规划该怎么走
[46.08-48.08] 需要提高哪方面的能力和知识
[48.08-51.08] 还是说以我的出身就别往这方面想了
[51.08-53.08] 以你的出身就别往这方面想了
[53.08-55.08] 你摸不到 门你摸不到
[55.08-57.08] 因为这个东西讲的是圈子
[57.08-58.08] 讲的是圈子
[58.08-61.08] 不光是灵气 灵气很重要
[61.08-63.08] 但是你一到40岁了
[63.08-66.08] 40岁过去了
[66.08-68.08] 就像小孩开发特异功能一样
[68.08-69.08] 5岁以前他都能
[69.08-70.08] 开天眼
[70.08-71.08] 你到了55岁
[71.08-72.08] 你像我这样了
[72.08-73.08] 你还说我能考清华
[73.08-75.08] 我说我很有前途
[75.08-76.08] 培养培养我吧
[76.08-77.08] 我能考清华
[77.08-78.08] 人家不信呀
[78.08-79.08] 你都多大岁数了
[79.08-81.08] 所以人要认命
[81.08-84.08] 你首先灵气上你已经过了这个点了
[84.08-85.08] 你如果20岁
[85.08-86.08] 你学你能学的会
[86.08-88.08] 25岁有人带你就起来了
[88.08-90.08] 但是更重要的是有人带你呀
[90.08-91.08] 你在澳洲
[91.08-94.08] 你怎么可能接触得到澳洲的投资银行圈呢
[94.08-96.08] 本身澳洲就没什么投资银行圈嘛
[96.08-97.08] 对不对
[97.08-99.08] 所以这个你就甭想了
[99.08-100.08] 好了
[100.08-101.08] 这个我就不念了
[101.08-102.08] 后边这又开始捧我了
[102.08-103.08] 捧我都不念了
[103.08-106.08] 否则大家说是我自己写的
[106.08-108.08] 捧我的话都是我自己写的
[108.08-109.08] 彩虹屁我自己写的
[109.08-110.08] 我有那么变态吗
[110.08-111.08] 我虽然是个变态
[111.08-114.08] 但是我还没有那么变态
[114.08-115.08] 下一个
[115.08-119.08] 王总我是今年3月带领全家移民到加拿大的
[119.08-120.08] 今年46岁
[120.08-123.08] 现在多伦多找到了和国内经历相关的专业工作
[123.08-124.08] 恭喜啊
[124.08-126.08] 真是太了不起了
[126.08-129.08] 能找到跟国内相关的原本行的工作
[129.08-130.08] 太幸福了
[130.08-135.08] 最近圣诞期间走了很多博物馆和沃泰华国会参议院
[135.08-137.08] 想逐步了解加拿大社会
[137.08-141.08] 发现就在参议院的旁边就是原住民的会议中心
[141.08-142.08] 刚开始登录的时候
[142.08-145.08] 在萨斯卡通也看到了原住民举行的庞大会议
[145.08-147.08] 现在有些历史的脉络弄不清楚
[147.08-152.08] 想了解加拿大统治当局如何和原住民和解
[152.08-153.08] 并给予他们特殊地位的
[153.08-156.08] 以及到底他们是什么样的地位
[156.08-158.08] 原住民在整个加拿大的
[158.08-159.08] 他是以
[159.08-162.08] tribe就是部落的形式来存在
[162.08-165.08] 你想过去印第安人
[165.08-167.08] 他就特别像原始社会
[167.08-169.08] 他还没有进入到奴隶社会
[169.08-170.08] 他就是在原始社会
[170.08-172.08] 他的社会结构是以tribe
[172.08-176.08] 就是以部落为组织结构的
[176.08-179.08] 大的部落之间会组成部落联盟
[179.08-182.08] 小的部落就会依附大的部落联盟
[182.08-184.08] 整个北美洲并没有分
[184.08-186.08] 美国加拿大和墨西哥
[186.08-188.08] 而整个北美洲连成一片
[188.08-191.08] 他们的文化背景基本上都是一样的
[191.08-194.08] 越往北就越落后
[194.08-196.08] 因为他蛮荒
[196.08-199.08] 再到极北就是英纽特人
[199.08-201.08] 英纽特人直到后来八九十年
[201.08-203.08] 他们还是以tribe
[203.08-205.08] 以部落的形式部族的形式
[205.08-208.08] 存在在社会社区里面的
[208.08-210.08] 中部就是美国加拿大
[210.08-213.08] 这一带就相当的发达
[213.08-215.08] 他们之间的tribe
[215.08-217.08] 就已经形成了类似于国家的形式了
[217.08-220.08] 他们形成了几个大的部落联盟
[220.08-223.08] 彼此之间长年征战不休
[223.08-227.08] 有人类的地方历史不会有什么区别
[227.08-230.08] 只不过舞台和主角换了
[230.08-231.08] 剧本都是一样的
[231.08-232.08] 杀来杀去的
[232.08-235.08] 所以这些北美的部落联盟之间
[235.08-237.08] 就像英法中日一样
[237.08-239.08] 都是世仇
[239.08-241.08] 所以白人来之前
[241.08-243.08] 白人来了之后
[243.08-245.08] 迅速的跟白人先打
[245.08-247.08] 然后跟白人打一场
[247.08-248.08] 打着打着呢
[248.08-250.08] 就发现了跟白人可以互相利用
[250.08-252.08] 所以白人和原住民之间
[252.08-254.08] 不是从一开始打到尾了
[254.08-256.08] 而是做过程中
[256.08-257.08] 其实是你中有我
[257.08-258.08] 我中有你
[258.08-260.08] 白人因为白人内部是有
[260.08-261.08] 也有矛盾
[261.08-263.08] 就是美国人和英国人的
[263.08-264.08] 你死我活的矛盾
[264.08-266.08] 新法兰西和新英格兰
[266.08-268.08] 在北美这个大陆上
[268.08-270.08] 包括美国和加拿大全境
[270.08-273.08] 彼此争夺争夺地盘
[273.08-275.08] 然后因为美国和
[275.08-277.08] 因为法国和英国人
[277.08-278.08] 那时候没有美国
[278.08-280.08] 法国和英国的移民之间
[280.08-282.08] 打打难分胜负
[282.08-286.08] 就找各自在印第安人中的帮手
[286.08-289.08] 各自在印第安人中就找到了帮手
[289.08-291.08] 一罗魁人跟谁谁谁联盟
[291.08-294.08] 谁谁谁跟谁谁联盟
[294.08-299.08] 双方各有一波印第安的马仔联盟
[299.08-301.08] 进行攻伐
[301.08-303.08] 这仗打了几百年
[303.08-304.08] 一百多年
[304.08-307.08] 打到最后美国出现
[307.08-309.08] 这事才告一段落
[309.08-314.08] 加拿大的印第安人和英国的殖民者
[314.08-316.08] 一直是非常团结的
[316.08-317.08] 在美国出现之前
[317.08-318.08] 他们是非常团结的
[318.08-322.08] 因为他们还联手跟美国人干
[322.08-324.08] 为什么英国人联手
[324.08-325.08] 印第安人和美国人干
[325.08-327.08] 因为美国人要独立
[327.08-328.08] 美国人要独立之后
[328.08-329.08] 英国人不同意
[329.08-330.08] 美国人就跟英国人
[330.08-332.08] 在大陆上打独立战争
[332.08-333.08] 打独立战争
[333.08-334.08] 英国人又打不过
[334.08-336.08] 弱势一方一定会找
[336.08-338.08] 更弱势一方进行老二老三联合
[338.08-339.08] 联合对抗老大
[339.08-342.08] 所以加拿大这边的这些英国的爱国者
[342.08-343.08] 白人
[343.08-347.08] 就跟加拿大的印第安人组成强大的联盟
[347.08-349.08] 跟美国人对抗
[349.08-352.08] 美国人那边的印第安联盟就很小
[352.08-353.08] 可以忽略不计
[353.08-356.08] 华盛顿将军那边的印第安联盟忽略不计
[356.08-357.08] 为什么
[357.08-358.08] 因为华盛顿将军
[358.08-360.08] 他们跟印第安人是你死我活的
[360.08-362.08] 因为他们美国人要抢人家地盘了
[362.08-365.08] 所以美国的印第安人是不能原谅美国白人的
[365.08-369.08] 美国的扩张史就是西部征服史
[369.08-371.08] 那这些被征服的印第安人
[371.08-373.08] 反而跟加拿大白人联手
[373.08-375.08] 就是英国白人联手
[375.08-376.08] 干美国白人
[376.08-377.08] 就这样就很乱
[377.08-379.08] 这就是战争史
[379.08-382.08] 那加拿大的援助兵
[382.08-385.08] 客观的说遭受的这种虐待
[385.08-386.08] 比美国的
[386.08-387.08] 你要知道这点
[387.08-390.08] 就比美国的印第安人那要舒服多了
[390.08-393.08] 美国的真的是斩尽杀绝
[393.08-395.08] 而加拿大的印第安人
[395.08-399.08] 从始至终一直保留着比较强的自主性和自觉性
[399.08-403.08] 当然后来他们也遭受了很多的所谓的虐待
[403.08-405.08] 主要虐待就是有点像
[405.08-409.08] 类似今天中国共产党在新疆搞的集中营
[409.08-412.08] 就是基督教文化要同化他们
[412.08-415.08] 觉得他们再这么野蛮下去不好
[415.08-419.08] 对于加拿大的社会来说
[419.08-422.08] 等于是一个负面的负资产
[422.08-424.08] 所以就把人家的小孩
[424.08-427.08] 都给弄到集中学校集中营里去了
[427.08-430.08] 在这个过程中做了很多的坏事
[430.08-435.08] 这个是加拿大印第安部落遭受的主要的虐待
[435.08-437.08] 而正像我所说的
[437.08-438.08] 因为加拿大
[438.08-439.08] 你知道这一点之后
[439.08-441.08] 你就知道加拿大援助民
[441.08-442.08] 跟美国援助民相比来说
[442.08-444.08] 就是印第安人相比来说
[444.08-445.08] 加拿大印第安人
[445.08-449.08] 一直没有遭受像美国那样的残忍的征服过程
[449.08-452.08] 所以加拿大印第安人的tribe之间的势力
[452.08-454.08] 直到今天是遍布的
[454.08-456.08] 它没有像美国那样压得特别小
[456.08-459.08] 所以加拿大援助民有大量的土地
[459.08-461.08] 直到今天都是大量的土地
[461.08-464.08] 你像温哥华市区核心地段
[464.08-466.08] 都有很多印第安援助民的土地
[466.08-469.08] 那个土地是归人家印第安援助民的
[469.08-471.08] 所以你在那买房子的话
[471.08-473.08] 那个房子产权不是英国女王的
[473.08-474.08] 不是那个Cohen
[474.08-476.08] 所以那边的房子
[476.08-478.08] 其实是类似中国的只能租不能买
[478.08-480.08] 就是你买那个房子
[480.08-482.08] 它是有个几十年的租区租约
[482.08-483.08] 到租约到了
[483.08-486.08] 你还得跟那个印第安部落再去续约
[486.08-488.08] 这是咱们加拿大援助民
[488.08-491.08] 和加拿大白人的这样一个
[491.08-493.08] 漫长的斗争和和解过程
[493.08-495.08] 所以加拿大援助民的那种
[495.08-497.08] 所谓的讨还公道
[497.08-498.08] 主要就是在于
[498.08-501.08] 他们在被同化的过程中
[501.08-502.08] 太野蛮
[502.08-504.08] 弄死了他们很多孩子
[504.08-506.08] 拆散了他们很多家庭
[506.08-508.08] 从人道主义角度上
[508.08-511.08] 来讨伐这个白人
[511.08-513.08] 那作为白人来说呢
[513.08-515.08] 因为在加拿大这样一个国家呢
[515.08-517.08] 他一旦认识到这个高度文明嘛
[517.08-519.08] 所以他一旦认识到这种问题之后
[519.08-522.08] 这个白人给印第安人的这种补偿啊
[522.08-524.08] 就是给本地人的补偿
[524.08-526.08] 哎呀就是中国就
[526.08-528.08] 可能我希望有朝一日
[528.08-530.08] 中国人汉人
[530.08-533.08] 能够这样补偿和解新疆人
[533.08-535.08] 这才是正道
[535.08-537.08] 加拿大已经走到前面去了
[537.08-538.08] 我就这么跟你讲了
[538.08-539.08] 现在已经补偿到
[539.08-541.08] 就不能叫印第安人了
[541.08-543.08] 不能叫印第安人了
[543.08-545.08] 你叫印第安人都是在得罪他
[545.08-546.08] 其实印第安人这个词
[546.08-549.08] 并不是什么保义词贬义词的
[549.08-551.08] 中性的一个名词不行
[551.08-553.08] 就得叫他first nation
[553.08-554.08] 就是第一民族
[554.08-557.08] 你在加拿大这样讲究普世价值
[557.08-560.08] 讲究人人平等的环境下
[560.08-565.08] 他居然全国家都在叫他们第一民族
[565.08-566.08] 我操第一民族是什么
[566.08-568.08] 就是你排在前面
[568.08-570.08] 大哥你这first
[570.08-571.08] first nation
[571.08-572.08] 这就是这样
[572.08-574.08] 现在加拿大的印第安人
[574.08-577.08] 简直就是近最接近于神的存在
[577.08-580.08] 就是你跟谁产生矛盾
[580.08-582.08] 你最好不要跟原住民产生矛盾
[582.08-583.08] 因为你一点希望都没有
[583.08-584.08] 所有的法律
[584.08-587.08] 所有的社会福利
[587.08-589.08] 全是倾向于他们
[589.08-591.08] 所以这个也造成了不好的地方
[591.08-592.08] 就是印第安人
[592.08-594.08] 就是说错了
[594.08-595.08] 不能叫印第安人
[595.08-596.08] 原住民
[596.08-597.08] 原住民第一民族
[597.08-600.08] 现在就是懒
[600.08-601.08] 就是懒
[601.08-603.08] 而且确实不好好学习
[603.08-605.08] 你说你不强制他们吧
[605.08-608.08] 他们还真的就放飞自我
[608.08-611.08] 所以懒和不好好学习的下一个词
[611.08-612.08] 大家能想到吗
[612.08-613.08] 就是穷嘛
[613.08-614.08] 对不对
[614.08-616.08] 你自古以来就是受人以鱼
[616.08-617.08] 就是鱼竿的鱼
[617.08-620.08] 而不是受人以一个鱼的鱼
[620.08-621.08] 一条鱼的鱼
[621.08-622.08] 因为我受你多少鱼
[622.08-623.08] 你都会吃掉的
[623.08-625.08] 吃掉之后你再吃什么
[625.08-627.08] 所以印第安人第一民族
[627.08-630.08] 在世界的这种大型的
[630.08-632.08] 大趋势的变化下
[632.08-634.08] 高科技的时代下
[634.08-636.08] 他鱼猎的那种原始的生活方式
[636.08-638.08] 已经不现实了
[638.08-640.08] 因为即使他们内部的人口
[640.08-643.08] 膨胀之后也无法支撑
[643.08-646.08] 自然资源支撑他们的人口繁衍
[646.08-649.08] 你想加拿大的鱼和鹿都让他们吃了
[649.08-653.08] 也养不活那么多的原住民了
[653.08-655.08] 而且原住民现在呢
[655.08-658.08] 地球现在也没有那么多的鱼和鹿
[658.08-660.08] 所以你必须融入到
[660.08-661.08] 现代文明中
[661.08-664.08] 而你融入到现代文明中
