[1.97-4.45] 哈喽大家好又见面了啊
[4.45-5.97] 今天温哥华特别冷
[5.97-7.37] 气氛开始下降了
[7.37-9.29] 所以呢我就穿的多一点
[9.29-11.33] 跟大家在壁炉前面聊一聊
[11.33-12.17] 这儿是壁炉啊
[12.17-13.25] 就是以前我的背景
[13.25-16.89] 我呢嗯不再玩鹰了啊
[16.89-19.55] 第一呢不再加那个片头动画了啊
[19.55-22.09] 包括我老婆都说那个太土了
[22.09-23.63] 一看就是90年代油腻风
[23.63-27.27] 然后大部分观众给我的反馈都是
[27.27-28.81] 大哥我求你了
[28.81-31.37] 能不能别加那个片头动画了啊
[31.37-33.19] 我从善如流啊
[33.19-35.03] 不加了不加了不玩鹰了
[35.03-38.69] 呃要是有热心网友还继续给我做片头动画的话呢
[38.69-41.15] 拜托你们给我做的时尚一点啊
[41.15-43.25] 这个是网友热心网友做的啊
[43.25-44.77] 人家是免费帮我做的
[44.77-45.63] 我用了几天
[45.63-48.69] 结果我当然很喜欢
[48.69-49.57] 所以我才用的
[49.57-54.55] 但是事实证明我的欣赏水平隔行如隔山
[54.55-56.33] 老王也不是说万能先生
[56.33-60.47] 在这个文艺欣赏的这个水平
[60.47-61.35] 我基本上相当于
[61.37-63.95] 90年代曲院杂谈风
[63.95-65.69] 我觉得特别好看
[65.69-69.23] 大家说这15秒太污染我们的眼球了
[69.23-71.57] 再一个呢就是我不再报时了啊
[71.57-74.65] 就是我试过两次报时间啊
[74.65-78.29] 今天是加拿大什么西部时间几月几号星期几
[78.29-79.49] 这两次都错了
[79.49-80.43] 昨天是
[81.43-83.97] 加时间加日期加成2023年
[83.97-86.27] 就是我的脑子还停留在2023年
[86.27-89.15] 我已经没有我没有意识到已经到2024年了
[89.15-90.51] 所以随手加上了
[90.51-91.07] 再一个就是
[91.07-92.87] 昨天我说是1月5号星期六啊
[92.87-94.97] 实际上1月6号星期六
[94.97-98.03] 因为准确的描述出今天是几月几号星期几
[98.03-100.25] 对我来说真的是一个挑战
[100.25-102.19] 我我以后不说了
[102.19-105.25] 反正就是大家按照流程看就行了
[105.25-108.55] 那今天我们主要聊女性的话题啊
[108.55-110.51] 有很多女性粉丝
[110.51-112.25] 我现在女性粉丝越来越多啊
[112.25-115.57] 20%以上都是女性了女性粉丝呢
[115.57-120.21] 给我问了一些关于情感和男女关系的这些问题啊
[120.21-127.47] 我今天尽量在不会被举报泛黄的基础上把男女关系说清楚啊
[127.47-132.17] 我说说我的思思想我的观感和我的体会
[132.17-134.67] 因为我这方面还是有发言权的
[134.67-140.37] 因为宅小鸟不说我一男对一女一男对多女一男对一半男半女一年一男对多半男半女
[140.37-141.59] 所以我是什么都见过
[142.65-145.65] 吃过玩过女性朋友给我写信的
[145.65-148.01] 他们都是年轻的为主啊
[148.01-149.21] 当然也有时候跟我差不多
[149.21-150.17] 但很少大部分
[150.21-151.27] 都是30岁左右
[151.27-155.19] 这个阶段女性这个阶段女性就是哎
[155.19-157.23] 就是处于圣女的那个焦虑期嘛
[157.23-158.73] 所以他们的问题多一点
[158.73-163.45] 那我就做在男性的角度给你们讲讲怎么去对付男人啊
[163.45-171.11] 你持什么样的世界观男女观你能够完美的得到自己想要的爱情和另一半好吧
[171.11-172.49] 那在此之前呢
[172.49-173.43] 先呃
[173.43-174.75] 费一下小会儿话
[174.75-175.83] 就是呃
[175.83-177.83] 观众的反馈非常的热烈
[177.83-179.97] 因为我那前天做了一期节目
[179.97-181.05] 叫呃
[181.05-186.47] 穷家出唇子针对的是我亲爱的只要你小网友是棒喝的
[186.47-188.29] 实际上就一点没惯的毛病
[188.29-193.15] 就直接告诉你知道你的这个所谓的中国的这个五浊恶世这种批判
[193.15-194.91] 你有你自己的局限性啊
[194.91-197.07] 中国虽然是五浊恶世
[197.07-198.73] 但是中国嗯
[198.73-200.91] 其实中国有很多好人
[200.91-203.01] 他是一个有机大国
[203.01-203.91] 整体大国
[203.91-206.61] 他就相当于一个欧洲再加三亿人
[206.61-208.53] 所以怎么可能说一刀切
[208.53-209.49] 把这个国家的人
[209.97-212.19] 说成坏人或者多说什么都说成好人
[212.19-213.33] 这不现实
[213.33-216.03] 每个人都是在这个世界上扮演他的一个角色
[216.03-217.31] 一个角色啊
[217.31-219.21] 所以你呃
[219.21-222.39] 你要首先清楚自己的定位
[222.39-223.79] 在这场戏
[223.79-224.73] 人生如梦
[224.73-225.69] 人生如戏
[225.69-228.99] 你自己到底扮演着一个什么角色
[228.99-229.59] 所以呢
[229.59-232.37] 穷家路色家庭孩子呢
[232.37-234.63] 往往扮演一个蠢驴的角色
[234.63-235.59] 而这个蠢驴呢
[235.59-236.93] 又内心高昂
[236.93-239.75] 因为他们的父母尤其是他们的父亲
[239.75-241.45] 基本上都是蠢驴
[241.45-244.55] 呃蠢驴的儿子就是一个小蠢驴
[244.55-244.97] 呃
[244.97-246.31] 这就是蠢子
[246.31-249.95] 为什么说老的是蠢驴会把小的教蠢的
[249.95-251.25] 因为他是他蠢
[251.25-252.87] 所以他loser loser之后
[252.87-254.33] 他不能承认自己是个傻逼
[254.33-258.37] 那他就说自己是因为内心高尚圣洁
[258.37-259.55] 所以才变成loser
[259.55-261.17] 而是因为世界太肮脏
[261.17-263.93] 你看我不愿意跟他们做那些肮脏的事
[263.93-265.49] 我因为这么甚圣洁啊
[265.49-267.43] 这么的呃陶渊明啊
[267.43-269.51] 不为无德斗米而折腰啊
[269.51-271.31] 所以我才混到今天
[271.31-273.53] 难道不是因为这个世界出了问题吗
[273.53-274.01] 所以呢
[274.01-277.39] 这个观念居然会靠屁到儿子身上
[277.39-280.73] 造成了呃又臭又硬
[280.73-282.51] 就是能力没能力
[282.51-284.39] 解决问题的办法没有任何办法
[284.39-287.39] 但是态度非常的强硬
[287.39-289.63] 呃非常的容易走极端
[289.63-292.27] 这个就是中国的穷家养蠢子问题
[292.27-293.63] 我点了以后呢
[293.63-296.09] 照案小王网友给我连着回了两封信
[296.09-297.95] 这两封信之间只搁了半个小时
[297.95-301.73] 每一封信都几百字上千字
[301.73-305.53] 呃他说他三观碎裂
[305.53-307.39] 呃精神重塑
[307.39-309.87] 感谢我对他的当头棒喝
[309.87-311.31] 粉碎他的价值观
[311.31-313.81] 呃我觉得我做了一件好事
