[1.17-2.19] 哈喽 大家好
[2.19-4.31] 长夜漫漫 无心睡眠
[4.31-5.81] 晚上给大家录上一期
[5.81-7.15] 咱们聊上一个小时
[7.15-10.13] 今天话不多说 直奔主题
[10.13-12.61] 主题就是孝子
[12.61-14.03] 中国人的孝道
[14.03-16.01] 孝道之恶
[16.01-17.69] 就是今天的主题
[17.69-21.89] 我从我的观众朋友们里边
[21.89-24.85] 拣选这么几个案例样本
[24.85-26.85] 根据这几个案例样本
[26.85-28.79] 逐一的点评
[28.79-33.89] 我希望能够在我们广大的有缘观众的心里
[33.89-35.73] 解开那个孝道之劫
[35.73-39.55] 这个劫不是那个达莫克利斯之劫的劫
[39.55-41.29] 指的是劫难的劫
[41.29-45.07] 为什么说孝道在中国人的世界里
[45.07-46.83] 几乎是一场劫难呢
[46.83-48.67] 听老王威威道来
[48.67-52.35] 先给大家讲一个我这观众
[52.35-56.77] 他给我提供了这么一个鲜活的样本
[56.77-58.33] 这个观众是温哥华的
[58.33-60.75] 是我们温哥华的中国老乡
[60.75-62.47] 我来温哥华
[62.47-63.95] 前面彩虹屁不念了
[63.95-68.29] 直接奔他的这个人生人像刻画
[68.29-70.21] 我来温哥华五年了
[70.21-72.63] 前三年经常会抑郁情绪
[72.63-75.19] 来了温哥华五年三年抑郁
[75.19-77.29] 尤其是温哥华的冬天
[77.29-79.39] 这里面有我的一个执念
[79.39-81.53] 就是觉得亏欠父母
[81.53-84.09] 有时候做梦梦见他们生病了
[84.09-85.19] 半夜都能哭醒
[85.19-87.23] 您说要往前看
[87.23-87.99] 看下一代
[87.99-88.31] 我来温哥华
[88.33-91.05] 可能男人和女人看问题的观点不一样
[91.05-91.83] 她是个女人
[91.83-95.75] 我感觉我们独生子女跟父母的连接很深
[95.75-98.83] 也可能因为没有其他人可以依托
[98.83-101.25] 总觉得在他们有生之年
[101.25-102.41] 不能在他们身边
[102.41-104.47] 让他们享受天伦之乐
[104.47-106.27] 是我终身的悔恨
[106.27-107.73] 你看这就是笑到
[107.73-109.75] 在这个女士身上
[109.75-111.51] 下的这个几孤咒
[111.51-112.51] 这是个诅咒
[112.51-116.67] 这已经不是普普通通的家人感情
[116.67-117.97] 这变成了一道诅咒
[118.33-121.15] 她在温哥华这样的人间天堂这样的环境下
[121.15-126.13] 因为这个魔咒五年之间有三年是在抑郁的状态
[126.13-127.93] 经常半夜哭醒
[127.93-129.55] 简单说下我的情况
[129.55-131.53] 老公家经济条件可以
[131.53-134.05] 公婆现在移民过来了
[134.05-137.59] 他们她丈夫是富二代
[137.59-139.77] 我带着孩子来上学
[139.77-141.67] 老公大部分时间在国内工作
[141.67-143.05] 房产是公共的
[143.05-144.37] 富二代吧
[144.37-147.63] 就是他虽然是我们这个三四十岁
[147.63-148.21] 四五十岁
[148.21-149.93] 这一年龄三四十岁
[149.93-151.81] 他应该是那他的公共呢
[151.81-154.81] 就是六十岁往上
[154.81-156.67] 他公共的房子
[156.67-157.47] 带过来的房子
[158.41-161.11] 我不上班没有经济能力买自己的房子
[161.11-164.65] 没有能力接我自己的父母来这边工作
[164.65-165.51] 来这边生活
