[2.29-3.31] Hello大家好
[3.57-4.33] 又见面了
[4.59-6.39] 今天晚上直奔主题
[6.63-8.17] 我们讲讲台湾独立
[8.69-10.73] 作为一个海外华人
[11.25-12.01] 或者Chinese
[12.79-15.59] 我们究竟应该支持台湾独立
[15.85-17.39] 还是反对台湾独立
[17.91-19.19] 究竟应该支持
[19.69-21.23] 一个民主统一的中国
[21.75-24.05] 还是支持分裂的中国
[24.81-26.09] 我们不妨把这个事
[26.61-27.89] 跟大家摊开了讲
[28.15-31.21] 讲讲我的心路历程以及我的选择
[31.21-33.77] 我也希望能够影响尽可能多的人
[34.03-35.81] 使大家有机会
[36.07-37.35] 通过我的转变
[37.61-38.89] 我的思路的变化
[39.15-41.19] 来思考自己的
[41.45-44.77] 人生选择和思想方向
[45.81-46.57] 抛砖引玉吧
[46.83-49.13] 我的想法未必正确
[49.65-51.43] 你们的想法也未必错误
[51.69-54.25] 我不希望因为这些话题割裂
[54.51-56.81] 我和观众之间的关系或者分化
[57.33-59.37] 观众之间的阵营
[59.63-60.91] 这个是最愚蠢的
[61.47-63.25] 因为就像我以前说过的
[63.77-64.79] 政治话题
[65.57-67.87] 是最容易分开一个人群的
[68.63-70.93] 这也是我们普通老百姓普罗大众
[71.19-73.49] 被政治人物这么玩耍操弄的
[73.75-74.27] 关键所在
[75.29-77.33] 本来是好好的同学朋友
[77.85-78.87] 甚至是家庭亲属
[79.65-80.93] 一旦谈到政治话题
[81.17-81.95] 阵营
[82.21-82.97] 左右两分
[83.23-84.51] 甚至你死我活
[84.77-85.27] 这个
[85.79-87.57] 其实是非常愚蠢的
[88.35-89.63] 那么我们
[90.39-90.91] 涉及到
[91.21-91.73] 这个话题的话
[91.97-93.25] 我们不要着急的
[93.51-94.79] 去表明我们自己的立场
[95.05-97.09] 去否定否决对方的立场
[97.35-99.15] 而是做换位思考
[99.65-100.43] 这样的话呢
[100.69-102.21] 才是我们解决政治争议的
[102.47-102.99] 正途
[103.75-106.57] 那么作为台湾独立这个话题
[107.85-109.13] 就像我昨天讲的
[109.39-110.41] 我人生第一次接触到
[110.67-112.45] 是2000年那次台湾大选
[112.71-113.49] 那时候我在德国
[113.99-115.53] 在德国的布兰肯罗河
[116.05-118.09] 布兰肯罗河的那个小镇子里面
[118.35-120.39] 有一个台南的南台湾的
[120.65-122.69] 留学生他叫陈远
[122.95-126.53] 陈远老跑到我那去蹭饭所以我们很熟
[127.05-128.07] 在此之前
[128.33-129.61] 我真的相信
[130.11-132.17] 所有的绝大部分台湾人民
[132.43-133.71] 和我们大陆人民一样
[133.95-134.47] 只是
[134.73-138.05] 政治选择和政治观点不同的两拨中国人
[138.31-140.35] 一拨叫中华人民共和国
[140.61-142.41] 一拨叫中华民国
[142.67-144.97] 但是这两个简称都是中国
[145.47-145.99] 所以
[146.25-148.81] 可以说是蓝色中国和红色中国之分
[149.07-150.35] 或者共产中国和
[150.65-151.41] 和自由中国之分
[152.95-154.75] 我从来没有考虑过
[154.99-156.79] 或者没有想象过
[157.05-160.11] 其中有些中国人认为自己不是中国人
[160.63-161.15] 他要
[161.39-161.91] 独立出去
[162.43-163.45] 变成台湾人
[163.71-166.01] 这个是我听说过但是我认为
[166.27-167.29] 这是都市传说
[167.55-169.85] 或者是类似于邪教
[170.35-174.45] 占的比例就像我们当年2000年的时候看到的那个什么
[174.71-178.03] 圣殿教啊那个什么韩国的邪教啊
[178.29-180.35] 奥姆真理教啊这种
[180.65-182.69] 新闻一样他就是非常小众
[183.21-186.53] 不会认为他跟我们身边的朋友
[187.05-188.33] 或者我们身边的人
[188.59-189.35] 有什么关系
[190.37-191.15] 直到陈旭婉
[191.65-193.71] 买好飞机票要回去投陈水扁的时候
[194.47-194.99] 告诉我
[195.23-196.51] 我们要投民进党
[196.77-199.07] 陈水扁是坏蛋
[199.59-202.15] 不 他要台湾独立我们要支持台湾
[202.67-203.69] 我们不是中国人
[203.95-205.47] 我们要当台湾人
[205.99-206.75] What
[207.79-209.57] 难道我不是大陆人
[209.83-212.13] 你不是台湾人我们不都是中国人吗
[212.65-213.67] 为什么
[214.17-214.95] 要分开呢
[215.45-217.25] 这是25岁的我
[217.51-221.09] 第一次接触我身边的台湾独立分子的出现
[221.35-222.37] 从性格上
[222.63-225.19] 最大的特点就是我的可塑性比较强
[225.69-229.03] 我不会把自己的脑子僵化到
[229.29-230.31] 某一个状态中
[230.57-231.33] 我
[231.85-235.43] 一直是试图使自己保持十七八岁的状态
[235.69-237.47] 就是任何新生的事物
[237.73-238.49] 到我面前
[238.75-239.27] 我首先以
[239.57-241.37] 独积四可的好奇心去学习
[241.87-244.43] 然后学透了之后再选择自己的态度
[245.21-247.25] 我不愿意把我僵化的
[247.51-249.05] 我的思维定势
[249.29-251.35] 去套用在任何新生的事物上去
[252.11-254.17] 所以呢对于台湾独立这个话题呢
[254.41-255.19] 我也并没有
[255.45-257.75] 着急的就像被别人踩了尾巴一样的
[258.01-258.77] 像今天的小粉红
[259.03-260.57] 小粉红那样去跟预览
[261.07-261.85] 争议高下
[262.87-264.91] 我们今天看到大量的小粉红留学生
[265.17-269.01] 说哎呀气得不行了又跟新加坡人吵了又跟什么台湾人吵了
[269.01-270.81] 今天恨这个了明天恨那个了
[271.05-272.85] 就是这些孩子虽然
[273.11-274.65] 也是只有21、22岁
[274.89-277.97] 甚至更年轻但是他们的脑子居然已经僵化了
[278.49-282.83] 而2000年的我25岁我那个脑子是没有僵化的
[283.09-286.17] 所以我没有跟预览产生任何的争论
[286.41-288.73] 我只是了解预览在想什么
[288.97-291.03] 然后进行学习和观察
[291.53-292.81] 时光仍然飞逝
[294.09-297.17] 我从德国回来之后就离开了提改委去了香港
[298.19-298.97] 我第一次去
[299.27-299.77] 去香港的
[300.03-303.61] 在香港认识了一个80岁左右的一个南非华侨
[304.13-305.93] 这个先生叫黄清南
[306.43-309.51] 清水的清男女的男他是当年的
[309.77-312.07] 南非约翰内斯堡
[312.33-314.37] 华人华侨商会的会长
[315.91-320.25] 黄清南你们听这个名字就知道他是个台湾裔的中国人
[320.77-326.15] 因为那个年代2000年他已经80岁了所以毫无疑问他压根没想
[326.41-327.69] 台湾独立这个概念
[328.45-332.05] 相反他认为我们真的都是中国同胞只不过那边是共产党
[332.55-333.83] 受苦的中国同胞
[334.09-336.91] 我们的水深火热他们要把我们
[337.41-337.93] 解放出来
[338.45-342.79] 而我们当时认为台湾同胞才是在水深火热之中
[343.05-344.07] 我们一定要
[344.33-345.87] 共产主义解放台湾
[346.13-347.91] 他们是三民主义统一中国
[348.17-349.45] 所以呢
[349.71-352.27] 黄先生的跟我在香港的就是
[352.53-353.81] 变成了
[354.31-355.09] 忘年交
[356.11-357.39] 他带着我去香港
[357.95-359.23] 走夜景
[359.49-360.25] 穿街走巷
[360.51-362.05] 引领我
[362.29-363.33] 参观香港
[363.83-366.65] 我记得特别清楚当我们两个站在
[366.91-369.73] 今天的那个海港城的那个码头的时候
[371.01-372.03] 九龙那边
[372.53-376.37] 然后对面呢是中环金钟上环
[376.63-377.15] 北角
[377.41-378.43] 高楼大厦
[379.45-380.73] 中国银行
[380.99-385.09] 汇丰银行大厦就在眼前展开
[386.87-387.65] 我
[387.91-388.67] 惊的是
[389.19-389.95] 目瞪口呆
[390.21-392.51] 我第一次人生站在那个位置
[393.53-394.81] 亲眼看见
[395.07-395.85] 香港的那个
[396.09-397.89] 维多利亚湾的那个美景
[398.15-398.65] 那个壮景
[398.91-399.17] 夜景
[399.43-399.93] 那是晚上
[400.71-401.47] 霓虹
[403.01-403.53] 大亮
[403.77-407.61] 整个的包括那个新修建的香港会展中心
[407.87-409.41] 97年香港回归的时候修的
[409.67-410.95] 就是熠熠生辉
[411.97-414.01] 各种皮肤各种颜色
[414.53-416.07] 各种种族的游客
[416.57-417.61] 都站在那个
[417.91-418.67] 海边的那个
[419.19-419.95] 围墙上
[420.21-420.73] 拍照
[421.75-422.77] 还有卖唱的
[423.03-424.05] 还有表演的
[426.35-428.15] 然后黄先生当时问我
[428.41-430.19] 说小王你有什么想法
[430.97-432.51] 你为什么不说话
[433.01-434.81] 我看着这个景色说
[435.07-437.37] 我沉浸在自己的脑海里
[437.63-438.65] 我在想
[438.91-440.69] 也许
[441.97-442.99] 盛唐
[443.51-444.79] 李世民那个时代
[445.55-446.83] 开元盛世的时候
[447.35-448.63] 西域的胡商
[449.19-450.21] 进入长安的时候
[450.47-451.75] 或者进入洛阳的时候
[452.01-454.05] 是不是也有万国来朝的感觉
[454.31-455.07] 就是这种感觉呢
[455.59-458.15] 是不是我们古书上说的万国来朝
[458.41-459.69] 就是这种东西呢
[460.19-463.01] 所谓的盛世中华就是这种
[463.27-463.79] 感觉呢
[464.29-467.37] 黄老先生那年85 25我们俩差的
[467.63-469.15] 55岁
[470.19-471.71] 他马上就不说话了
[472.23-472.75] 他说是的
[474.03-476.83] 然后他说我带你去做天星小轮
[477.09-478.63] 我们去中华那边
[478.63-479.39] 往这边看
[479.91-481.71] 然后我们两个上了天星小轮
[481.95-483.23] 到了中华码头
[483.75-485.55] 下中华码头的时候有一个老太太
[486.83-487.33] 要饭
[488.61-491.17] 我几乎已经认识那个老太太
[491.43-492.71] 因为我每次在中华
[492.97-494.51] 都看得见那个老太太要饭
[494.75-497.07] 所以我是从来不理这些人的
[497.31-498.59] 所以我就往前走
[498.85-499.87] 黄先生站住
[500.13-502.43] 从口袋里找零钱给老太太想
[502.95-504.99] 但是他那天很不巧口袋里没有零钱
[505.51-507.81] 他就拿出来了一张100港币给了老太太
[508.07-508.59] 老太太
[508.89-509.91] 在谢天谢地的走了
[510.17-512.47] 黄先生虽然很有钱但是我觉得这个
[512.99-514.27] 行为就很没有意义
[514.51-516.57] 我就问黄先生我说
[516.83-518.11] 黄先生
[518.35-520.41] 你为什么要给这个
[520.67-522.19] 老太太100港币
[522.45-523.99] 他有可能是假的要饭的
[524.25-525.27] 他并不是真的
[525.53-527.83] 缺钱只是他把这个东西作为职业
[529.37-530.13] 黄先生
[530.39-533.97] 说了那天晚上对我的教育的第二句话他说
