[1.17-3.83] 哈喽 大家好 今天讲干货
[3.83-7.25] 企业家点评 第一人黄光玉
[7.25-9.75] 先来一首定场诗
[9.75-17.31] 扑满子 只爱满我腹 胭脂满害身
[17.31-21.47] 到头须扑破 却散于他人
[21.47-23.79] 这是一首宋朝的诗
[23.79-27.17] 扑满 扑 虎扑的扑
[27.17-29.95] 满 装满了个满
[29.95-34.13] 扑满是陶瓷做的 古代的存钱罐
[34.13-38.27] 只进不出 装满了之后要拿出钱来
[38.27-39.75] 要砸碎它
[39.75-42.19] 黄光玉的一生
[42.19-44.95] 黄光玉这个人呢
[44.95-46.81] 虽然大家经常点评他
[46.81-48.29] 已经说了好多年了
[48.29-49.13] 他出事以后
[49.13-50.81] 尤其是所有的人都敢说
[50.81-52.03] 因为他进去了嘛
[52.03-55.19] 好像自己都比黄光玉厉害
[55.19-58.27] 但其实呢 并不深
[58.27-59.77] 什么权钱交易
[59.77-63.01] 啊 什么的不对啊
[63.01-64.65] 黄光玉有什么权钱交易
[64.65-66.53] 黄光玉是个伟大的企业家
[66.53-67.57] 伟大
[67.57-68.79] 为什么叫他伟大呢
[68.79-70.29] 他没变过大学
[70.29-73.09] 他没有高官父母
[73.09-76.60] 高官老婆
[76.60-79.90] 他是靠他自己把整个一个行业
[79.90-81.40] 商业电器零售行业
[81.40-83.60] 整个升级换代
[83.60-87.28] 革命性的发展出新的商业模式
[87.28-90.28] 并且因此成了中国的首富
[91.24-94.24] 那这就是黄光玉的厉害
[94.24-95.34] 我是佩服的
[95.34-96.30] 五体投地
[96.30-98.92] 那谈到黄光玉的这个金融创新
[98.92-101.20] 要从他开始
[101.20-103.66] 第一天谈起
[103.66-106.22] 黄光玉原名叫黄俊烈
[106.22-109.39] 他不叫黄光玉
[109.39-111.11] 俊是俊男美女的俊
[111.11-113.15] 烈是烈火的烈
[113.15-114.37] 黄俊烈
[114.37-116.87] 他哥哥亲哥叫黄俊亲
[116.87-118.05] 也是大老板
[118.05-119.95] 亲配的亲
[119.95-121.47] 哥俩
[121.47-122.85] 在北京搞
[122.85-123.45] 地产
[123.45-125.91] 尤其是哥哥叫彭润家园
[125.91-127.41] 在西二环靠南
[127.41-129.21] 有几个特别漂亮的大楼
[129.21-130.31] 三四十年了
[130.31-132.09] 那个就是他哥哥的得意之作
[132.09-133.73] 成名之作
[133.73-135.81] 黄光玉跟他哥哥混不开心
[135.81-140.03] 哥俩其实八字不太合
[140.03-142.11] 那黄玉有单飞
[142.11-143.13] 九零年开始呢
[143.13-145.53] 他在动物园干啥呢
[145.53-147.69] 北京人都知道动物园
[147.69-149.35] 倒腾服装
[149.35-152.09] 他在动物园摆摊
[152.09-152.85] 卖服装
[152.85-157.15] 旁边有一个地名叫新街口
[157.15-161.31] 新街口卖什么呢
[161.31-165.85] 老北京都知道新街口是做音响
[165.85-168.09] 嗨饭一条街
[168.09-171.03] 是九十年代在新街口集散地
[171.03-173.23] 全北京都要去那买
[173.23-175.33] 甚至全北方都在那集散
[175.33-176.61] 黄光玉看准商机
[176.61-178.41] 因为他是潮州人
[178.41-179.43] 潮州人有个特点
[179.43-180.75] 潮州人有大飞
[180.75-182.25] 什么叫大飞呢
[182.25-185.13] 四个发动机的快艇船长
[185.13-187.53] 黄光玉黄光玉没有当过船长
[187.53-189.37] 估计他雇了不少船长
[189.37-193.35] 开去香港把香港的那个Panasonic
[193.35-196.95] 索尼的这些设备买来放到这个快艇上
[196.95-198.09] 一笔五井
[198.09-203.25] 即使挺快的速度登陆拉到车上运到北京
[203.25-206.01] 这个就叫新街口的商业模式
[207.51-208.31] 东西是真好
[208.31-209.93] 也都是真的
[209.93-212.13] 黄光玉通过这几年卖服装
[212.25-215.61] 卖嗨飞音响积累了
[216.69-222.12] 丰富的商业零售的底层实战经验
[222.12-223.32] 所以呢
[223.32-225.12] 他就在攒了点钱之后
[225.12-226.92] 他就在新街口呢
[227.88-231.54] 成立了他的第一家公司特别小一小的点特别小
[231.54-234.60] 就一层就是跟饭馆一样
[234.60-238.02] 杨国福麻辣烫那个大小规模的叫国美电器
[239.10-239.58] 第一家店
[241.14-243.66] 那么国美电器经营了几年之后呢
[243.66-245.70] 老黄呢
[246.90-247.74] 站在了风口上
[249.24-251.04] 风口上的猪起飞了
[251.04-251.94] 何况是老黄
[251.94-253.66] 他又不是猪潮州老
[253.66-256.68] 比猴还尖飞得一飞冲天
[256.68-258.16] 怎么叫风口呢
[258.16-265.56] 这个里边就是就涉及到了一个产业轮回的旋转木马理论
[266.58-269.46] 什么叫旋转木马理论
[269.46-271.14] 就是当一个国家从战乱中
[271.14-273.30] 或者从一场大灾难中
[273.66-274.56] 复苏的时候
[275.78-276.98] 一穷二白复苏的时候
[277.92-282.36] 他的每一个阶段的行业风口是有规律的
[283.86-284.76] 第一个风口
[286.20-293.23] 一定是与吃有关餐馆炒瓜子
[294.13-294.91] 饺子馆
[296.35-298.21] 这是第一波挣钱的人
[299.71-302.65] 第二波与川有关
[303.79-306.07] 不能老川粗粗不打鼓叮
[306.07-306.17] 我也要磨叮啊
[306.17-306.37] 我也要磨叮啊
[306.37-306.67] 我也要磨叮啊
[306.67-306.71] 我也要磨叮啊
[306.73-310.85] 我要穿牛仔裤的确凉
[312.01-314.71] 服装店服装厂纺织厂
[314.71-318.01] 这是第二波产业升级的旋转木马的第二梯队
[319.15-322.03] 衣食无忧之后
[322.03-324.65] 人就要享受
[324.65-326.47] 第三梯队是什么
[326.47-329.71] 第三梯队就是消费类的电器
[331.21-332.71] 这个时候
[332.71-334.15] 你们现在可能都不知道了
[334.15-336.13] 什么宏光电子官场
[336.13-336.67] 什么
[336.67-338.05] 熊猫收音机场
[338.05-340.51] 天津的北京牌电视机场
[340.51-343.05] 牡丹电视机场
[343.05-346.03] 这些场子全都起来了
[346.03-348.11] 包括今天这些企业还都在
[348.11-352.75] 这些的交交者还都在海尔春兰美迪
[353.71-355.01] 都是那个时代
[355.01-356.17] 九十年代初期
[356.17-357.31] 忽然就起来了
[357.31-358.03] 哎呀
[358.03-360.61] 这简直就是供不应求啊
[360.61-362.55] 拿票买买彩电
[362.55-363.13] 买冰箱
[363.13-363.73] 拿票呢
[363.73-365.55] 你不用制造的很好
[365.55-366.55] 你不用制造很好
[366.55-367.93] 你只要把那螺丝铃好
[367.93-368.95] 明天就卖出去
