[0.46-1.66] hello大家好
[1.66-3.86] 今天上午没聊完
[3.86-6.58] 跟大家交流读信读评论没聊完
[6.58-8.38] 我就有事我就走了
[8.38-10.10] 咱们接着啊
[10.10-11.22] 没跟大家再见啊
[11.22-12.34] 接着聊
[12.34-14.58] 聊完了咱们再见啊
[14.58-18.38] 就是关于台湾打选和台湾独立的话题
[18.38-18.86] 这个呢
[18.86-21.50] 今天我们就聊完了这一期呢
[21.50-22.90] 我们就告一段落了啊
[24.70-25.82] 这个哥们说
[25.82-28.98] 你这次实实在在的得罪了习近平
[28.98-31.86] 我这样的人都变成反贼了
[31.86-34.86] 那他他不应该自己反思一下
[34.86-37.22] 就像我这个老粉丝都知道我这胡子
[37.22-39.26] 我留胡子其实很不方便的
[39.26-43.34] 既不卫生也影响这个我的这个伪形象啊
[43.34-44.70] 本来我是很帅的
[44.70-45.94] 留胡子就不好看了
[45.94-46.54] 为什么呢
[46.54-48.26] 就是某个人不死
[48.26-48.94] 我不刮胡子
[48.94-50.94] 我真的是发过这个誓
[50.94-52.02] 就是叙叙明志
[52.02-54.18] 咱就得有点这个精神
[54.18-55.34] 跟人家耗着
[55.34-57.10] 看谁能耗得过谁
[57.10-57.90] 第二个朋友
[57.90-58.94] 我是
[58.94-62.14] 一个曾经自认为是中国人的台湾人
[62.14-63.94] 呃在中国住了几年之后
[63.94-65.38] 现在回到台湾
[65.38-68.58] 在中国那几年让我真正认识到了宣传之外
[68.58-70.58] 现实之中的共产党
[70.58-73.66] 使我成为了民进党的铁杆支持者
[73.66-74.86] 呃我插你一句
[74.86-76.58] 您不是民进党的铁杆支持者
[76.58-79.94] 您是反共产党的一切势力的铁杆支持者
[79.94-81.22] 而可惜在台湾呢
[81.22-84.66] 只有民进党是坚决的反共产党
[84.66-88.74] 我认为中国人真的要思深刻思考为什么
[88.94-92.22] 所谓五千年的文化没有办法转变成文明
[92.22-94.94] 而不断的在专制独裁统治之下轮回
[94.94-95.70] 中国是中国
[95.70-96.86] 台湾是台湾
[96.86-100.70] 台湾很乐意成为所有热爱民主自由华人的精神祖国
[100.70-103.58] 但是绝不能成为中国的一部分啊
[103.58-103.82] 啊
[103.82-105.22] 你说的太好了
[105.22-107.90] 我们整个这几期连续这几期主题
[107.90-111.02] 其实就是围绕这个主题
[111.02-113.54] 呃你是前几年在中国
[113.54-117.22] 这你还是属于这个被这个共产党的大棒
[117.22-117.62] 呃
[117.62-118.90] 打的这个狠
[118.94-119.78] 啊
[119.78-120.30] 嗯
[120.30-122.30] 你想我当时在中国做生意的时候
[122.30-124.30] 大概两千年前后的时候啊
[124.30-125.70] 那个时候台湾人
[125.70-126.02] 嗯
[126.02-128.14] 你们只要去大陆做生意
[128.14-129.10] 20年以前啊
[129.10-130.78] 你们只要去大陆做生意
[130.78-132.82] 你们就自然是天龙族人
[132.82-135.62] 天龙族会把你们马上拉过来
[135.62-137.22] 所以这也就是为什么今天啊
[137.22-138.90] 蓝颖
[138.90-142.54] 中国国民党有那么多的投共
[142.54-143.58] 真正的原因
[143.58-144.70] 我可以帮你们回忆一下
[144.70-147.18] 因为那时候我离开体制不远
[147.18-148.14] 我身边啊
[148.14-148.86] 就接触了
[148.86-152.82] 大量的台湾的所谓的台商
[152.82-155.02] 其中有老杨
[155.02-156.66] 老杨是台湾海军
[156.66-159.30] 民国海军的护卫舰的舰长
[159.30-161.18] 呃还有一个老吴
[161.18-164.94] 老吴是兴光吴家的一个亲属
[164.94-168.46] 呃还有我那天讲的老赵
[168.46-170.22] 还有他老婆宇旺
[170.22-174.82] 这个都是呃台北一带的这个国民党的资深的
[174.82-176.42] 呃政商人士
[176.42-177.74] 他们的父辈毫无疑问都是在台北的
