[1.65-6.29] hello 大家好 又见面了 欢迎来到老王的书厂
[6.29-13.79] 昨天老王半夜看到了澳大利亚人报关于孙维的最新报道
[13.79-18.07] 怀着兴奋的心情 夜不能寐广播了一下
[18.07-21.39] 收到了不少的回复和反馈
[21.39-26.21] 有些热情网友问我 说老王我还以为你不说孙维了
[26.21-29.03] 因为你说过孙维的事做三期节目告一段落
[29.03-34.41] 没想到你还在关注 没错 我为什么当时说告一段落了呢
[34.41-38.03] 因为我觉得吧 就是能说的都说完了 没有新事了
[38.03-44.03] 上个月朱令去世造成的舆论波动和我的情绪波动
[44.03-49.55] 也逐渐趋于平缓 咱们总不能围着朱令说个不停
[49.55-51.09] 车过路话来回说
[61.82-67.26] 昨天澳洲人报出来之后 我眼前真的是着实一亮
[67.26-71.52] 为什么呢 因为澳洲人报是主流媒体
[71.52-76.86] 在孙维和朱令这件事情上 朱令案上
[76.86-80.68] 白人 西人的主流媒体一直是缺席的
[80.68-85.04] 所有的主流媒体 确切的说都是缺席的
[85.04-87.78] 中国大陆自不必说
[87.78-92.58] 因为朱令和孙维这个案子涉及到了中国大陆很多难言之隐
[93.30-96.96] 包括最高领导人以个人行为
[97.26-100.38] 干涉司法 干涉司法公证
[100.38-104.88] 包括北京市公安局的干警被迫结案
[104.88-110.70] 包括强卫召开三堂会审宣布结案
[110.70-115.02] 并且北京市公安局在全国政协会议上
[115.02-119.16] 抛出所谓的结案陈词报告
[119.16-123.60] 将责任推给强卫及某中央领导
[123.60-126.48] 这些东西我们看在眼里 痛在心里
[126.48-127.24] 说完了之后
[127.26-128.58] 毫无办法
[128.58-131.66] 因为我们不可能在中国那样的一个社会
[131.66-138.30] 那样的一个人质环境下去祈求或者期待与司法公证的到来
[138.30-145.08] 甚至我们根本就没有资格去期盼舆论的关注
[146.44-148.74] 所以当澳洲人报出来之后
[149.74-150.58] 就非常兴奋
[150.58-152.94] 因为我们经历这个事多了之后
[152.94-156.42] 就知道中国有一句老话叫出口转内销
[156.42-157.26] 中国共产党
[157.26-159.50] 是美国人的小谜地
[159.50-161.82] 五眼联盟是美国的代表
[161.82-165.00] 是美国身边的四大金刚加美国的代表
[165.00-167.76] 所以五眼联盟国家的主流媒体
[167.76-172.74] 尤其是孙文伟所躲藏的这个澳洲本地的主流媒体全面介入
[172.74-175.76] 势必使这个事情推到一个新高度
[175.76-178.62] 所以大家一定要认识到这个高度
[178.62-179.26] 这就叫什么
[179.26-181.28] 这就叫敏感度
[181.28-182.40] 果不其然
[182.40-185.34] 今天又有新的进展了
[185.34-187.10] 这个又是超乎我的预料了
[187.10-187.14] 这个又是超乎我的预料了
[187.14-187.24] 这个又是超乎我的预料了
[187.26-189.94] 因为澳洲还有一个主流媒体
[189.94-193.12] 叫美日邮报
[193.12-197.28] 美日邮报今天就是1月19号
[197.28-201.96] 就在澳洲人报第一大报1月18号出来的第二天
[201.96-204.64] 也推出了头版的长文
[204.64-208.32] 这个媒体记者也不是中国人
[208.32-209.78] 这个记者叫Max
[209.78-212.86] Max还在他的长文里边
[212.86-215.64] 独家报道里边特意指出
[215.64-216.66] 他的同行
[216.66-217.14] 就是孙文伟
[217.14-218.90] 就是昨天说的那个LAM
[218.90-222.14] LAM做的非常棒
[222.14-227.32] 而且呢一再强调自己这篇文章并不是copy LAM
[227.32-228.90] 而是同时在做
[228.90-232.34] 只不过比LAM晚了一天发表
[232.34-236.58] 自己做这个专题文章也用了很长的时间
[236.58-237.66] 弟兄们记住啊
[237.66-239.26] 这种主流大报
[239.26-242.46] 新人主流大报的专题记者
[242.46-247.02] 一旦专业记者钻进去给你做专题
[247.02-250.52] 那跟宁人杰断案是一样的
[250.52-252.26] 他要做得非常严谨才行
[252.26-254.22] 才能在他这个媒体上发出来
[254.22-255.66] 因为他是主流媒体
[255.66-258.00] 他不是他们街头小报想说什么说什么
[259.20-260.54] 他也不是咱们自媒体
[260.54-262.64] 你就可以不是很严谨
[262.64-263.82] 他们必须严谨
[263.82-266.04] 因为他们有法律的影响力
[266.04-267.78] 甚至是政策的影响力
[267.78-272.28] 公众影响力完全不是业余媒体非主流媒体可比的
[272.28-275.30] 所以每日邮报出来之后
