[7.73-11.19] 又要到饭了 兄弟们 又要到饭了 兄弟们
[11.19-15.87] 今天又到我们的心理按摩时间
[15.87-20.33] 欠观众来信的数量越来越多
[20.33-22.17] 我得赶紧加班加点弄
[22.17-26.95] 所以今天我们以丁胖子金牌讲师的精神
[26.95-29.57] 来进行一次心理按摩
[29.57-33.77] 我的观众朋友来信分为三类
[33.77-36.95] 第一类就是润学的咨询
[36.95-38.15] 以前占一半
[38.15-41.25] 现在因为全球各地观众越来越多
[41.25-43.75] 大陆的观众就比例降低了
[43.75-46.15] 但是现在也有30%
[46.15-48.07] 第二类就是玄学
[48.07-51.41] 那就好玩极了 各种东西都有
[51.41-56.87] 今天或者明天我看我有时间我就再做一期
[56.87-58.71] 咱们争取一天两三更
[58.71-62.33] 就是把这个玄学的积压咱们都捋一捋
[62.33-65.25] 第三类就是单纯的想跟我交流
[65.25-66.95] 他的人生感悟 这也有
[66.95-68.95] 这差不多也333吧
[68.95-73.03] 我们以后做心理按摩就333这样分着做
[73.03-75.61] 这样的话我们就非常充实
[75.61-77.41] 而且也比较清晰
[77.41-80.53] 混在一起的话东一榔头西一杠水
[80.53-83.91] 给我们的观众朋友带来不便
[83.91-89.03] 今天我为什么一定要喊丁胖子金牌讲师呢
[89.03-91.57] 因为我最近正在看这小子的视频
[91.57-93.33] 看了那有三四次了
[93.33-95.11] 不是连着看的
[95.11-96.79] 差不多每隔一两个月半个月之内
[96.79-96.91] 差不多每隔一两个月半个月之内
[96.95-98.41] 一月左右我看了一次
[98.41-101.11] 我第一次看他视频之后
[101.11-103.03] 我曾经在推特上发表预言
[103.03-105.99] 我说他的视频
[105.99-107.37] 你别看他现在风靡大地
[107.37-108.95] 他会被共产党关了
[108.95-110.33] 为什么呢
[110.33-113.61] 因为你这个视频乍一看是说美的不好
[113.61-117.41] 但是呢你想想小粉红开始会很喜欢
[117.41-120.41] 哇擦你看看论出去美的的人得要饭
[120.41-123.65] 但是很快就会发现操不对呀
[123.65-126.03] 要饭都要的这么有成就感
[126.03-126.79] 怎么在美国要饭
[126.79-127.95] 要饭是这样要啊
[127.95-129.91] 不是中国那样那么那么要
[129.91-132.71] 而是有组织的在发饭
[132.71-135.95] 你看他去洛杉矶的各个地方去要饭
[135.95-139.03] 实际上不是要饭是领饭
[139.03-140.55] 这样的话小粉红就会反思
[140.55-141.49] 这是怎么回事
[141.49-143.17] 谁在发饭
[143.17-144.25] 其次呢
[144.25-146.59] 丁胖子金牌讲师呢
[146.59-150.91] 哎开了开了后遗症很严重
[150.91-155.05] 其次呢丁胖子金牌讲师这个小伙呢
[155.05-156.09] 他有一种他妈着气蓬勃的样子呢
[156.09-156.13] 他有一种他妈着气蓬勃的样子呢
[156.13-156.63] 他有一种他妈着气蓬勃的样子呢
[156.63-157.93] 蓬勃的向上精神
[157.93-160.13] 显然他在中国属于社会底层
[160.13-161.63] 但是他在美国呢
[161.63-164.21] 这么走来走去走来走去的呀
[164.21-166.47] 他居然成了百万大V
[166.47-168.93] 他的收入非常之高
[168.93-171.93] 这很快就有小弟了
[171.93-173.43] 这他妈不就是一个典型的
[173.43-175.33] 美国梦的实现过程吗
[175.33-178.13] 所以这共产党能让你舒服了吗
[178.13-178.93] 肯定给你进啊
[178.93-180.75] 当时还他正如日中天
[180.75-182.01] 结果果不其然
[182.01-183.33] 我最近这两天再看呢
[183.33-184.33] 他已经被禁了
[184.33-185.97] 他正在拎着个房车
[185.97-187.09] 是手拉房车
[187.09-189.81] 正在全美国各地要走遍美国
[189.81-192.05] 要完成一次阿甘之旅
[192.05-194.17] 或者我们加拿大的叫这个
[194.17-195.97] 当年的Terry Fox
[195.97-197.39] 穿越加拿大
[197.39-199.17] 丁胖子金牌奖是这小伙儿
[199.17-202.39] 拎着他那个手动房车
[202.39-204.43] 正在穿越北美
[204.43-205.35] 我操这个不得了
[205.35-207.55] 这小子不得了
[207.55-209.13] 所以我为什么今天拿他
[209.13-211.27] 作为一个开宗明义之奖
[211.27-212.85] 所有的润学的朋友
[212.85-214.85] 所有给我写信的润学朋友
[214.85-215.85] 都用丁胖
[215.85-215.89] 丁胖
[215.89-215.93] 丁胖
