[3.44-5.08] 哈喽大家好啊
[5.08-5.92] 接着聊啊
[5.92-9.28] 这个昨天那个打出来的呃
[9.28-11.60] 观众来信只念了一半
[11.60-13.32] 咱们把这个尾巴收了啊
[13.32-14.48] 算是昨天的续集啊
[14.48-15.80] 不算今天的啊
[15.80-19.52] 这个早晨起来我去沃尔玛浪呃
[19.52-22.16] 看到了一个特别可爱的
[22.16-25.52] 两三岁小男孩穿的这个这种格格呃
[25.52-28.68] 装还有好喜欢我就贴了个动态出来
[28.68-32.12] 然后网友都说真可爱
[32.12-34.28] 想让我再生一个呃
[34.28-35.00] 两个错误啊
[35.00-37.48] 第一我再生一个不是三胎是四胎
[37.48-38.64] 我已经有三个孩子了
[38.64-39.64] 俩闺女一儿子
[39.64-41.84] 所以你们不要搞错啊
[41.84-42.80] 第二呢
[42.80-44.80] 就是我从来没有说过
[44.80-47.24] 我的小孩是来这世界折磨我的
[47.24-49.24] 那是宅山英那个宅脚鸟说的
[49.24-51.20] 他的儿子是来这个世界折磨他的
[51.20-52.40] 因为他不干好事
[52.40-53.56] 他遭到报应了
[53.56-56.12] 这我的儿子那简直好的不得了
[56.12-56.92] 我搞错啊
[56.92-59.24] 我从宅山英那蹭来太多的粉丝
[59.24-61.16] 现在开始遭到反噬了
[61.16-61.64] 所以呢
[61.64-63.20] 你们不要计混啊
[63.20-64.88] 这个生活细节很重要
[64.88-67.48] 呃我今天来插这么一个更正啊
[67.48-68.12] 接着念啊
[68.12-69.68] 话不多说呃
[69.68-74.08] 昨天不是昨天晚上跟大家讲这个丁胖子金牌讲师
[74.08-77.28] 比中国的大部分知识分子在润的这个问题上
[77.28-79.24] 在选择空间移动
[79.24-81.76] 改变命运的这个果决程度上
[81.76-85.96] 行动力上要远远的强过中国的知识分子们
[85.96-87.16] 他不是小镇答题家
[87.16-89.88] 他什么都没有等于没有偶像包袱嘛
[89.88-91.40] 所以人家就要到饭了
[91.40-92.92] 弟兄们又要到饭了
[92.92-95.12] 弟兄们还是发自内心的高兴
[95.12-97.40] 所以他到了美国迅速的适应美国
[97.40-99.28] 他养活自己绰绰有余
[99.28-101.84] 他连着他那小车穿横穿美国
[101.84-102.56] 你就等着吧
[102.56-105.08] 他那油管频道肯定比我的火
[105.08-107.00] 只要他能坚持下来啊
[107.00-108.84] 呃因为这种年轻人啊
[108.84-111.60] 这种开局面板属性为零的人
[111.60-112.60] 但是他劣势什么
[112.60-114.08] 他劣势不稳定
[114.08-120.56] 就是为小人与女子难养也的意思就是他老是变化
[120.56-121.40] 只要他不变化
[121.40-122.96] 咬定青山不放松
[122.96-124.96] 他他是把他每一步工作都做好
[124.96-126.56] 每一步人生都走好
[126.56-129.96] 那他是可以在美国实现他的美国梦
[129.96-130.20] 哎
[130.20-132.36] 985211的给我写信
[132.36-132.68] 哎呦
[132.68-133.80] 这个磨叽呀
[133.80-134.00] 哎呀
[134.00-134.72] 老王啊
[134.72-137.60] 你看看着我这种情况在美国行不行啊
[137.60-138.32] 老王啊
[138.32-141.48] 你看看我这个情况在加拿大能不能找着工作啊
[141.48-142.88] 我他妈哪知道呀
[142.88-144.40] 操你们什么情况
[144.40-145.68] 你们自己知道
[145.68-147.32] 你那书都念到狗肚子里了吗
[147.32-148.88] 你问我
[148.88-149.88] 我曾经讲过
[149.88-150.68] 我说
[150.68-152.60] 学习股市学习金融
[152.60-155.28] 你们看10个案例20个案例
[155.28-157.00] 不如看一个案例
[157.00-158.32] 你看一个股票
[158.32-159.12] 看一个基金
[159.12-160.88] 你把它弄透了
[160.88-164.20] 尤其是经典公司的股票
[164.20-168.28] 你把它10年20年左右的公告全部打出来
[168.28-169.36] 认认真真的读
[169.36-170.20] 记忆成物
[170.20-173.08] 你会在这个过程中出现无数的疑问
[173.08-176.36] 但是你只要肯踏实熬夜
[176.36-178.12] 把它全都吃透了
[178.12-180.52] 那你就是金融专家
[180.68-182.72] 那还有一点就是
[182.72-185.80] 你如何快速的成为一个行业的专家
[185.80-189.12] 成为一个行业的领袖
[189.12-190.92] 我今天告诉你们
[190.92-192.96] 这是绝对的干货
[192.96-194.24] 敲一把话重点
[194.24-198.08] 我这几句话我希望能够改变你们的人生
[198.08-201.68] 就是你们逮住一个真正的专家
[201.68-204.24] 你逮住这方面的真正专家
[204.24-206.28] 你把它所有的著作
[206.28-208.08] 所有文字著作
[208.08-210.52] 你全部都下载下来
[210.68-211.96] 你打印出来
[211.96-214.00] 你认认真真的读
[214.00-216.32] 如果他有书的话你就买他的书
[216.32-218.36] 可是这一个人的书买
[218.36-219.38] 不要到处买啊
[219.38-221.18] 比如说我想学什么东西
[221.18-224.00] 然后我就买了他妈无数版本
[224.00-225.28] 一点用都没有
[225.28-226.80] 只买一个人的
[226.80-228.08] 从他年轻到他死
[228.08-231.92] 所有的版本全部这一个人的给他买下来
[231.92-232.96] 这个行业
[232.96-234.24] 这个人是个顶尖专家
[234.24-237.30] 你把他的书读到
[237.30-238.32] 到最后
[238.32-239.86] 你就是他
[240.68-242.22] 他写书的时候
[242.22-247.81] 他是全神贯注的灵魂在铺写文字
[247.81-250.63] 他那个时候一定不会撒谎
[250.63-255.25] 他是把他知无不言言无不尽的思想凝炼成文字
[255.25-258.83] 只有当你重复他当时的意境的时候
[258.83-261.13] 你能跟他同频共振
[261.13-264.97] 把他当时的大脑完全克拢到你的大脑上
[264.97-267.01] 这种学习效率是最高的
[267.01-268.81] 而且不是一本书就得了
[268.81-271.89] 是把他所有的东西全部都搞定
[271.93-273.73] 之后你会发现
[273.73-276.53] 如果这个人一生写了四本书五本书
[276.53-279.61] 当你把他四五本书全部都读了
[279.61-282.43] 你会发现你就是他
[282.43-284.73] 这就是快速学习的
[284.73-286.27] 最简洁的
[286.27-288.05] 最真实的方法
[288.05-291.89] 迅速的介入到一个行业中
[291.89-295.23] 就拿我们最熟悉的玄学当例子
[295.23-296.25] 在中国
[296.25-297.27] 我就不提他的名了
[297.27-298.81] 就有一个伟大的
[298.81-300.35] 玄学家
[300.35-301.89] 现代中国
[301.93-305.25] 他写了很多
[305.25-309.35] 非常实用的玄学著作
[309.35-310.89] 大概十本吧
[310.89-311.91] 他这一生写了十本
[311.91-313.19] 每一本都很厚
[313.19-314.73] 都是
[314.73-317.03] 非常强的实操性
[317.03-319.09] 因为他是个实际的真正的专家
[319.09-320.11] 他不是那种
[320.11-323.17] 像南淮锦的那种
[323.17-324.71] 曾士强的那种专家
[324.71-325.99] 他不是那种一巴拉巴拉的那种
[325.99-327.79] 他是实操性的专家
[327.79-331.37] 你把他的书每一本这十本全部都读通了
[331.37-331.89] 不是说
[331.93-333.47] 翻过来草都不是
[333.47-335.01] 你就像写一样
[335.01-337.57] 你甚至可以抄他的书
[337.57-338.85] 我向你保证
[338.85-341.15] 你这十本书弄完了以后
[341.15-342.43] 你可以开
[342.43-343.97] 算命诊所
[343.97-345.49] 可以开心理诊所
[345.49-346.53] 你可以赚钱
[346.53-348.05] 而且赚很多的钱
[348.05-351.89] 你就是玄学行业的定间专家
[351.89-353.17] 明白吧
[353.17-358.05] 我们今天本来是要读观众来信的
[358.05-360.61] 插了五分钟这个
[360.61-361.37] 这是小秘密啊
[361.37-365.21] 你们想有没有道理吗
[365.21-367.01] 好了
[367.01-368.03] 再多插一句
[368.03-370.85] 我跟你说我当时学的时候
[370.85-372.89] 我是抄对方的书的
[372.89-374.69] 因为只有抄写
[374.69-376.47] 一个字一个字抄的时候
[376.47-377.49] 你才能
[377.49-379.29] 同频他的脑波
[379.29-381.33] 因为读有的时候会
[381.33-382.61] 会困倦
[382.61-385.17] 会潦草
[385.17-386.21] 好了
[386.21-387.49] 话不多说
[387.49-388.51] 多说了很多了
[388.51-390.05] 开始进入主题
[390.05-391.33] 昨天的那些
[391.37-392.91] 现在知识分子们的这个
[392.91-393.93] 欠抽的主题
[393.93-395.47] 我们又开始了
[395.47-397.01] 我又要骂他们了
[397.01-398.03] 王总
[398.03-399.81] 先插一个母亲啊
[399.81-401.09] 一个焦虑的母亲
[401.09-402.37] 这是上海的母亲
[402.37-405.19] 给我发了一个微信截图
[405.19-407.25] 短信截图是上海市
[407.25-408.77] 征兵办给他们家发的
[408.77-411.59] 因为他们家有个十六七岁的儿子
[411.59-413.13] 上海市征兵办
[413.13-415.17] 发让义男
[415.17-416.97] 就是士林义男
