[2.58-3.78] 哈喽 大家好
[3.78-5.58] 长夜漫漫无心睡眠
[5.58-7.62] 昨天刚刚刚干了三更
[7.62-9.38] 其实是2.5
[9.54-11.98] 两期新的做了一期
[12.62-14.70] 原来说股市的老的重新剪辑
[14.70-15.42] 截版
[15.50-16.74] 把我开黄段子
[16.90-19.42] 骂人的这些东西都剪掉了
[19.62-21.90] 所以今天本来想偷懒
[21.94-22.66] 但是架不住
[24.50-26.66] 我这些观众跟我成了弟兄们了
[26.66-27.94] 现在真的是有感情
[27.94-29.70] 虽然我们素未谋面
[29.70-31.78] 但是一封封的来信
[31.78-33.54] 以及那些热心的评论
[33.70-35.86] 令我感知肺腑
[35.90-37.90] 所以今天晚上现在是晚上
[37.90-39.42] 我白天休息了一天
[41.34-43.70] 各种混浪了一天
[44.70-45.98] 晚上就跟大家
[45.98-47.26] 咱们随便闲聊几句
[48.10-49.14] 虽然我不会直播
[49.14-50.50] 但是就当是直播
[50.90-52.34] 不设主题闲聊两句
[53.94-57.26] 首先频道我做这么几个月
[57.78-58.94] 影响越来越大
[59.14-60.74] 我没想到几个
[61.78-62.74] 名人来了
[62.74-64.62] 一个是徐晓冬
[64.82-67.34] 今天徐晓冬本东来了
[67.34-69.18] 我还以为是别人打着个头像
[69.62-71.34] 令我也是很意外
[71.54-73.54] 我没有想到我的频道
[73.70-77.90] 已经开始蔓延到这么大的广度了
[78.02-80.58] 再有一个咱们在应该是在泰国
[80.86-82.06] 点竹先生大卢
[82.74-83.78] 大卢跟小田
[84.54-87.46] 我早就看他们的频道了
[87.70-89.86] 大卢是科班出身
[89.86-91.06] 我记得是天津人
[91.78-94.46] 是不是还学过巷上那个嘴
[94.66-96.54] 那真是没一个字废话
[96.54-97.66] 口才非常好
[98.10-99.18] 他也来了
[99.18-100.34] 还给我发了信
[100.34-101.34] 还给我解释了
[101.34-102.82] 昨天我讲玄学的时候
[102.82-105.86] 我说我不知道那甲的规律是怎么来的
[105.86-106.98] 他告诉我
[106.98-107.90] 他怎么来的
[107.90-109.26] 我也认真地学了
[109.26-111.54] 因为我不是专业人士
[111.54-113.06] 其实我做玄学
[113.54-114.70] 纯属业余爱好
[114.94-116.06] 这些专业人士一来
[116.66-119.46] 使我确实特别的激动
[119.66-121.42] 因为我说这些
[121.78-122.86] 日本专业的东西
[122.86-129.46] 非上市公司重组的并购的这一类的东西之后
[129.46-132.54] 居然在相应的专业领域得到大家的认可
[132.54-135.82] 我是非常的感恩戴德
[135.82-137.14] 当然还有一些美女
[137.14-138.06] 我就不说了
[138.06-139.30] 就是特别漂亮
[139.74-140.94] 气质也特别好
[141.18-142.42] 我也是他的歌迷
[142.42-145.14] 他也给我发来了问候
[145.42-146.90] 怎么说
[147.18-149.22] 我就战战兢兢如履薄冰
[149.22-151.06] 继续踏实把这频道做起来
[151.06-151.62] 吧
[151.78-153.42] 也没有什么
[153.42-154.58] 我还到目前为止
[154.58-156.02] 我还没有什么具体的目标
[157.10-158.86] 别老说我什么为了挣钱
[158.86-159.78] 什么当教主
[159.78-161.30] 我真没有
[161.30-162.58] 这个是真没有
[163.10-165.94] 其实开始没事干
[166.46-167.82] 就弄个事玩
[167.82-169.82] 后来就越弄越正规了
[169.82-171.42] 你看现在加上封面
[171.42-172.30] 都是我一个人干的
[172.30-173.02] 到目前为止
[173.02-174.58] 从始终都是我一个人干的
[174.78-175.46] 没有助理
[175.46-176.98] 我也不认为我需要一个助理
[176.98-180.50] 因为这个东西跟职业还是有区别的
[180.50-181.74] 我不想把它做成职业的
[181.74-182.62] 一旦成了职业
[182.62-183.78] 一旦你雇了人
[184.10-185.50] 一旦你做成一个生意
[185.50-186.30] business
[186.58-188.30] 你就不再是你自己了
[188.46-190.70] 你就开始被裹挟
[190.94-192.02] 偶像包袱
[192.18-193.06] 被各种包袱
[193.06-194.70] 所以我是不会做的
[194.70-196.74] 不是说我做不起
[196.74-198.18] 或者说不能做
[198.18-199.50] 而是我不愿意做
[199.50-203.06] 我相信真的我的中式的观众们
[203.06-204.10] 肯定理解我
[204.10-205.86] 因为你们从我成长
[205.86-207.74] 我这个频道一步一步成长起来
[207.74-210.14] 你们就一路都在见证和跟随
[210.14-211.58] 所以你们一定理解
[211.74-212.98] 我不做助理
[212.98-217.22] 也继续保持原始状态的很可贵之处
[218.66-222.58] 还有一个叫王峰奇的观众
[222.78-223.26] 谢谢你
[223.46-224.54] 他是温哥华人
[224.70-228.26] 特意从北京给我带来了新的麦克风
[228.98-230.90] 应该是住在本达比尼信我看了
[230.90-232.78] 其实大家给我的信我都看
[232.78-234.38] 没有一封信我不看
[234.58-235.94] 我麦克风综合证
[236.22-237.78] 也是我朋友给我送过的
[237.78-240.38] 这个也是肉的
[240.38-240.90] 的
[241.74-244.66] 不是有的时候就忘了充电
[244.66-247.22] 他就有一次就彻底没电了
[247.22-248.02] 没电
[248.02-250.34] 我在这888白活了45分钟
[250.34-252.46] 等我发现已经晚了
[252.46-255.58] 所以从那以后我就有了麦克风缺电综合证
[255.58-257.54] 恰巧我小麦克风它没电
[257.54-258.78] 那个灯我看不见
[258.78-259.78] 太小了
[259.78-261.62] 不像这绕的这么大一个绿灯
[261.62-262.22] 它没电
[262.22-263.34] 我马上能看见
[264.42-267.42] 还有高于泽
[267.42-269.34] 那个观众高于泽
[269.34-271.06] 我非常为你高兴
[271.06-272.70] 因为我记得我记得特别清楚
[272.70-273.78] 我念过你的信
[274.02-275.66] 满脸的福报
[275.66-276.90] 打圆脑袋
[276.90-278.58] 弥罗佛像
[278.94-281.54] 也是通过自己的改运
[281.54-282.18] 自己的努力
[282.18-283.06] 改变空间
[283.06-283.70] 改变
[283.70-285.86] 干就得了
[285.86-286.58] 要到饭了
[286.58-289.38] 弟兄们这样的一个去实践的
[289.38-290.78] 这样的一个猛士
[290.86-295.46] 从农村的很破旧很潦草的出身
[295.58-297.34] 一步一步走到现在在北京
[297.34-300.10] 可以说是家庭圆满
[300.30-300.90] 今天
[300.90-301.34] 你的信
[301.58-302.58] 我格外的高兴
[302.58-303.02] 因为我知道
[303.02-305.62] 你收到了BCIT的录取通知书
[305.62-306.38] 就是offer
[307.10-309.14] 这事基本上就铁瓷定了
[309.14-310.50] 因为我就在BC
[310.50-312.42] 就是British Columbia
[312.42-314.34] 就是布雷甸哥伦比亚省
[314.34-315.86] 这是加拿大的一个省
[316.14-318.62] 昨天我漏窃 SAIT
[318.62-320.86] 我以为是Saskatchewan IT
[320.86-323.66] 结果人家告诉我是South Alberta IT
[323.66-324.90] 南安阿尔伯塔IT
[324.90-327.14] 就是这种IT类的学院
[327.14-330.14] 其实比一般的大学还要好找工作
[330.14-330.58] 所以
[330.90-332.38] 得到了BCIT的offer
[332.38-335.50] 那你简直就是落到这
[335.50-337.26] 我就是肉眼可见的
[337.26-339.62] 你就你会顺利的进入加拿大
[339.62-340.70] 你在信里边跟我说
[340.70-341.30] 你要来了
[341.30-343.42] 跟我一起喝两盅千千遍
[343.42-344.74] 咱们一言为定
[344.74-345.38] 高先生
[345.58-346.94] 你们全家我请你们吃饭
[346.94-347.86] 别你们请我吃饭
[347.94-348.58] 你们刚来了
[348.58-349.26] 不容易
[349.26-351.02] 我给你们暖个居
[351.02-353.02] 来了以后安顿下来
[353.02-353.74] 咱们在这儿
[353.74-355.74] 提让你们体验一下
[355.74-358.94] 来自故国同胞的热情款待
[358.94-360.18] 一言为定
[360.18-361.10] 我绝不食言
[361.10-364.74] 到时候我们可以弄一个小直播
[364.74-365.62] 小录播
[365.62-367.38] 如果你不介意露脸的话
[368.86-372.30] 还有我说板衣我噎
[372.30-376.14] 好多朋友给我指出那叫皈依
[376.14-380.26] 人生需要一些幽默
[380.26-383.62] 你们不觉得板衣这个词更加形象吗
[383.62-385.58] 因为你本来是一个放纵的
[385.58-386.66] 有棱角的
[386.66-389.18] 桀骜难驯
[389.18-390.06] 难以调伏的人
[390.06-391.18] 有的这么一个灵魂
[391.18-393.82] 你入了一个良好的宗教之后
[394.02-395.50] 你不就被板正板正吗
[395.50-396.62] 什么就是板衣吗
[396.62-397.78] 我的语文水平
[397.78-400.30] 在高三高考之前达到最高
[400.50-402.82] 所以皈依和板衣的区别
[402.82-404.38] 你们就不用给我再指出了
[405.02-407.62] 有的时候大家需要一点轻松
[408.26-409.98] 因为我经常承认错误
[409.98-411.86] 我并不认为承认错误和道歉
[411.86-412.90] 是个什么大事
[412.94-413.54] 对吧
[413.74-415.46] 老观众都知道
[415.66-416.74] 我错了就是错了
[416.82-417.66] 我说错了
[417.66-419.58] 比如说我又预测台海一
[419.58-420.82] 台海一战必战
[420.82-421.58] 台海必战
[421.58-423.30] 大老习必战
[423.30-426.54] 我又开始预测老川必当选
[426.98-429.02] 你说老川到时候没当选怎么办
[429.02-430.14] 这频道就关了吗
[430.26-432.54] 那不能我凭什么关
[432.54-435.02] 我就啪啪我就啪
[435.02-436.74] 我说又喷错了
[436.74-438.26] 这人非圣贤
[438.26-439.14] 孰能无过
[439.14-439.74] 对不对
[439.74-440.74] 知错就改
[440.74-441.58] 便是圣人
[442.14-443.18] 我虽然不是圣人
[443.18-445.18] 但是我知错基本能改
[445.34-446.34] 谈到玄学
[447.18-449.54] 今天有一位很尊重的朋友给我发来信
[449.58-450.70] 问我说老王
[450.70-451.66] 我有两个问题
[451.66-454.58] 第一玄学入门
[454.58-455.62] 我特别感兴趣
[455.62-457.02] 从哪开始入
[457.50-461.18] 要分秉性
[461.98-465.18] 孙悟空去找菩提老祖学义的时候
[465.70-468.02] 菩提老祖当时就问了他
[468.02-469.74] 说你想学什么法术
[469.90-472.94] 然后孙悟空表白了一痛之后
[472.94-473.82] 菩提老祖说
[473.82-476.50] 我看你胡孙有这个特质
[476.50-478.62] 不妨你就学这个吧
[478.62-479.98] 这个里面是什么
[479.98-481.14] 就是因人而异
[481.14-482.26] 因才识教
[482.26-487.54] 所以不同的人学的法术的法门是不同的
[487.54-488.94] 你比如说大卢师傅
[488.94-492.90] 大卢小师傅他就是骑门顿甲
[492.90-495.30] 他走的是骑门路子
[495.30-496.74] 在他们这个行业里面
[496.74-500.94] 香港最知名的老先生叫董木杰
[500.94-503.86] 今年已经要是没走的话
[503.86-504.78] 应该还没走
[504.78-506.34] 已经快100岁了
[506.34-508.54] 已经是完全是
[508.54-512.74] 鹤发铜颜的这么一个仙人像
[512.74-516.26] 董大师现在已经不给别人批了
[516.26-518.98] 在董大师20年以前
[518.98-521.22] 他还在给别人批命的时候
[521.22-523.74] 随随便便批一个小流年
[523.74-525.02] 还不是整个全命
[525.02-526.90] 就是86,000港币
[526.90-528.42] 就这个行情
[528.42-529.86] 小流年的话
[529.86-531.30] 大概就相当于一到四年级
[531.30-532.26] 就是比较简单
[532.26-533.50] 86,000港币
[533.50-534.98] 如果全给你批完
[534.98-535.90] 就是从生到死
[535.90-536.94] 全给你批完
[536.94-538.50] 我不知道他怎么收费
[538.54-540.54] 因为我那个时候他已经不干这个事了
[540.54-540.94] 因为什么
[540.94-542.94] 太昊新神
[542.94-546.18] 什么叫太昊新神呢
[546.18-547.26] 说是不是这个是通灵
[547.26-547.70] 不是啊
[547.70-549.86] 这个方面真的不是通灵
[549.86-552.86] 铁板神术与鬼神几乎无关
[552.86-555.50] 它更多的是一种术术
[555.50-558.10] 术不是法术的术
[558.10-559.66] 它是数学的术
[559.66-560.58] 术术
[560.58-563.78] 它是把代数的理论和矩阵的理论
[563.78-566.86] 一次又一次的往里迭代迭代迭代
[566.86-568.42] 然后出来一组一组的数据
[568.54-572.06] 去查大表去
[572.06-573.94] 有一万两千条条目
[573.94-574.86] 对应的条目
[574.86-576.58] 就是铁板神术给你的结果
[576.58-578.18] 就是丝丝入扣
[578.18-579.50] 分毫不差
[579.50-582.86] 所以董木杰先生才有这样的威名
[582.86-584.86] 倪匡接受记者采访
[584.86-585.94] 在YouTube上有一段
[585.94-587.74] 倪匡讲的铁板神术
[587.74-590.10] 说的师傅就是董木杰
[590.10-594.06] 他说的报业人士就是黄瞻
[594.06-595.90] 倪匡没有说的
[595.90-598.38] 还是我们金融行业里面
[598.54-601.34] 招商局集团的董事局主席叫秦晓
[601.34-604.82] 秦晓也被董木杰董半仙算过
[604.82-605.70] 神到什么程度
[605.70-606.74] 秦晓福到什么程度
[606.74-608.26] 秦晓谁也没有说过
[608.26-609.58] 他没有告诉过任何人
[609.58-610.98] 因为这是他丢人的事
[610.98-613.30] 他在少年时代被狗咬过屁股
[613.30-614.66] 他没有告诉任何人
[614.66-617.10] 铁板神算找董木杰董先生给他算
[617.10-619.58] 啪算出来了
[619.58-620.82] 被狗咬都是天数
[620.82-621.54] 就这一句话
[621.54-624.10] 就是当被狗咬为天命
[624.10-625.70] 这个就是铁板神术
[625.70-628.46] 它是一个非常精准的
[628.54-629.06] 算命
[629.06-631.22] 它不需要问你和跟你沟通
[631.22-633.42] 只需要知道你的生日
[633.42-636.46] 和最多校正你父母的属相
[636.46-637.70] 星盘一旦校准
[637.70-639.06] 不需要你说任何话
[639.06-640.06] 啪啪啪啪啪啪
[640.06-641.54] 你这一生批大命的话
[641.54-642.66] 可以到12年级
[642.66-644.14] 从生到死
[644.14-645.94] 事无巨细
[645.94-648.50] 基本上十拿九稳
[648.50-649.78] 所以铁板神术
[649.78-651.06] 它是一个术术中的
[651.06-652.66] 可以说是一个绝学
[652.66-657.22] 那董木杰先生当年走到这个门
[657.22-658.50] 没有学齐门遁甲
[658.50-660.54] 没有学紫微斗术
[660.54-661.58] 没有学六窑
[661.58-663.10] 为什么进了这一门
[663.10-665.66] 是因为他脑子特别好
[665.66-667.18] 非常聪明
[667.18-668.54] 他是搞金融的
[668.54-670.86] 董木杰先生以前是搞金融的
[670.86-672.38] 他搞投资的
[672.38-673.38] 算盘
[673.38-675.02] 因为他你看100岁
[675.02-678.86] 他30岁进入玄门学道
[678.86-680.26] 三四十岁之前
[680.26-682.02] 差不多就是60多年以前
[682.02-683.02] 70年前
[683.02-685.26] 那个时代的金融是没有电脑的
[685.26-687.78] 那个时代金融是打算盘
[687.78-688.46] 所以他打算盘
[688.50-689.78] 打得极好
[689.78-692.86] 所以他拜入他的师傅的时候
[692.86-695.42] 他的师傅一看他的这个状态
[695.42-698.22] 开始他那个师傅好像是伪真人
[698.22-699.50] 姓伟
[699.50-701.30] 伪国清的伪
[701.30-705.66] 看他学不了这种特别的慢的东西
[705.66-707.18] 就给他一个方便法门
[707.18-708.98] 就像他是个孙猴子的性格
[708.98-709.74] 年轻的时候
[709.74-710.78] 所以你像孙猴子
[710.78-711.54] 你这样的话
[711.54-712.82] 这样你学72遍吧
[712.82-714.10] 你也不用爬云了
[714.10-715.90] 你学个金斗云吧
[715.90-716.66] 一个跟头
[716.66-717.42] 十万八千里
[717.42-718.46] 符合你的性格
[718.50-721.58] 你别慢慢的在空中
[721.58-723.10] enjoy这个旅程
[723.10-726.18] 你这个猴子不会喜欢的
[726.18-727.98] 所以就直接交给你最方便法门
[727.98-732.58] 所以董先生就被他的授业恩师
[732.58-735.90] 推荐到了铁板神术当年的
[735.90-738.22] 就是在上一代的大师门下
[738.22-739.50] 成为高足
[739.50-741.54] 别人学好多年
[741.54-742.82] 他三个月他就学出来
[742.82-744.62] 三个月学成之后
[744.62-747.94] 他在九龙城给大家送过来
[747.94-748.46] 他在九龙城给大家送过来
[748.50-749.78] 他在九龙城里面
[749.78-750.42] 他在九龙城里面
[750.42-756.06] 他最近来large了是符合了
[756.06-757.46] 就一个叫九龙城的
[757.46-758.18] 有没有一个九龙城的
[758.18-759.26] 还有什么好玩的
[759.26-760.02] 有一个就是
[760.02-761.24] 有一个叫九龙城的
[761.24-761.26] 就在那个
[761.26-763.88] 无数香港电影里面
