[1.62-7.96] Hello,大家好,今天是老王日程非常爆满的一天
[7.96-13.30] 所以可能没有时间坐在家里边给大家慢慢的聊了
[13.30-17.94] 但是我的很多铁粉每天不跟我聊两句
[17.94-21.18] 可能有阶段反应,我也有阶段反应
[21.18-22.52] 我也想跟你们聊两句
[22.52-25.44] 所以咱们今天就边开车边聊
[25.44-28.00] 边开边聊也不影响
[28.00-31.42] 相当于我跟一个老朋友坐副驾驶
[31.42-32.20] 娓娓道来
[32.20-36.66] 昨天晚上我在大统华买东西
[36.66-37.50] 买鸡爪子
[37.50-38.94] 这不要过年了吗
[38.94-40.80] 买点鸡爪子干嘛呢
[40.80-41.50] 吊金汤
[41.50-44.16] 我的江东三千老铁粉都知道
[44.16-47.62] 我每年过年我都做金钩翅
[47.62-51.10] 今年过年我给大家做个直播
[51.10-53.84] 给大家长点没用的冷知识
[53.84-56.08] 没准哪天你就用得着
[56.08-57.74] 就是金钩翅的做法
[57.74-59.64] 家常的老王版的
[59.64-61.00] 所以呢
[61.00-63.46] 最大的食材就是鸡爪子
[63.46-65.88] 所以我昨天在大统华这玩意
[65.88-67.54] 鸡爪子卖的特别好
[67.54-70.24] 而且昨天鸡爪子还打折
[70.24-74.56] 结果就被我的一个粉丝朋友
[74.56-76.68] 是大统华的女服务员给认出来了
[76.68-78.72] 我就穿这身衣服
[78.72-80.00] 我也纳闷
[80.00-84.22] 每次我穿这身衣服出街就会被认出来
[84.22-85.18] 这是为什么呢
[85.18-87.12] 但是其实挺好的
[87.12-89.28] 很温馨
[89.28-91.00] 其实
[91.00-96.54] 这种感觉真的是瞬间拉近了我跟大家的距离
[96.54-99.04] 这位女观众朋友说
[99.04-99.84] 您好
[99.84-100.92] 您是老王吗
[100.92-101.76] 我说是
[101.76-105.56] 我跟我先生都是您的粉丝
[105.56-107.34] 我先生每期都看您节目
[107.34-108.60] 我说谢谢
[108.60-110.56] 然后他很礼貌的就走开了
[110.56-112.64] 所以这个素质是特别的高
[112.64-115.56] 就是给我的感觉也特别的好
[115.56-120.80] 再次我跟我昨天新认识的这偶遇的朋友
[121.00-123.08] 说一声谢谢你
[123.08-125.64] 谢谢你跟你老公看我的节目支持我
[125.64-128.62] 您给我的印象非常的好
[128.62-133.92] 所以昨天继续蹭王智安的热点
[133.92-135.04] 今天我们就聊一下
[135.04-137.06] 聊一下王智安这个节目
[137.06-139.56] 我的感觉
[139.56-144.36] 第一我今天早晨起床送小孩
[144.36-146.40] 然后忙完了之后弄早餐
[146.40-149.68] 忙完了之后一看评论区
[149.68-150.88] 说有很多观众说
[150.88-152.74] 在跟我问
[152.74-155.10] 说我的评论怎么都被删了
[155.10-157.20] 老王你不是不删评论吗
[157.20-161.08] 这个也让我非常的奇怪
[161.08-161.92] 我非常奇怪
[161.92-165.32] 因为你想这个时间是咱们温哥华
[165.32-167.34] 加拿大西部地区的半夜三更
[167.34-170.24] 我这边有一大家庭
[170.24-172.04] 我不可能说半夜三更的
[172.04-174.74] 在那盯着屏幕删大家的评论
[174.74-175.58] 这也不现实
[175.58-176.48] 这也没必要
[176.48-178.04] 所以是谁删的
[178.04-178.88] 我还真不知道
[178.88-180.02] 你们还真问住我了
[180.02-182.34] 我就请大家
[182.34-185.02] 在这一期节目的评论里边说一下
[185.02-187.40] 如果有被删评论的人的话
[187.40-190.58] 那你们到底是挺王志安的
[190.58-192.04] 还是骂王志安的被删了
[192.04-194.14] 这个也是一次算是田野调查
[194.14-196.10] 这样我们就知道
[196.10-197.98] 油管后台的小编
[197.98-199.34] 他是什么态度了
[199.34-200.96] 这一点就特别不好
[200.96-202.82] 如果是油管删的话
[202.82-204.44] 人家没有骂脏话的话
[204.44-207.26] 你只是因为你的小编辑
[207.26-208.96] 你说华语的小编辑
[208.96-212.42] 你自己的爱好或者好物
[212.42-214.60] 那你去删你这个很不好的
[214.60-216.44] 你这叫介入人类事物
[216.44-218.08] 你这叫神介入人类事物
[218.08-220.42] 因为你在天庭
[220.42-222.76] 你扮演这种事物的话
[222.76-224.56] 天条也会收了你的
[224.56-225.76] 所以你就不应该干这个
[225.76-226.64] 你喜欢也好
[226.64-227.46] 你不喜欢也好
[227.46-229.72] 你都要忍住你那只手
[229.72-230.84] 忍住你的鼠标
[230.84-231.64] 对不对
[231.64-232.94] 因为我都不在乎
[232.94-233.96] 骂我的那么多
[233.96-235.46] 你再会个鸡巴毛
[235.46-237.46] 你说你这个小编讨厌
[237.46-238.96] 但是如果不是小编删的
[238.96-239.68] 不是我删的
[239.68-241.18] 那就奇了怪了
[241.18-243.82] 难道这个世界上还有第三方神秘势力
[243.82-244.90] 可以来删帖吗
[246.22-249.88] 所以这是我今天想跟大家交流的第一个事
[249.88-252.52] 第二个事就是
[252.52-256.08] 我昨天蹭王志安
[256.08-257.14] 这个行为呢
[257.14-259.00] 本身我一直不否认
[259.00-261.24] 他就是蹭热点
[261.24-263.08] 因为我不是一个道德高尚的人
[263.08-265.86] 我就是一个非常流俗的人
[265.86-266.92] 为什么呢
[266.92-268.76] 因为我们做
[268.76-269.90] 二次创业
[269.90-271.88] 做这个油管的这个频道
[271.88-274.70] 本身就是一个很世俗的事情
[274.70-276.50] 不要把自己打扮成一个白莲花
[276.50-278.12] 白莲花的话
[278.12-282.52] 打扮成一个不在三界内跳出五行中的人的话
[282.52-283.94] 那你就不应该开油管
[283.94-285.52] 那你开油管干啥
[285.52-285.92] 对不对
[285.92-288.20] 所以这个就不要装了啊
[288.20-289.30] 你就是一个入世
[289.30-290.24] 你不是出世
[290.24-291.44] 所以呢
[291.44-293.42] 当然是要紧随热点
[293.42-296.78] 因为我这种我这种状态的人
[296.78-297.86] 那注定了
[297.86-298.76] 我一定是一个
[298.76-301.26] 很关心时事的人
[301.26-303.86] 因为我本身就是一个匹夫嘛
[303.86-306.56] 中国有句老话叫天下兴亡
[306.56-308.24] 匹夫有责
[308.24-308.72] 所以呢
[308.72-312.98] 我们的这个对于时事热点的关注
[312.98-316.94] 我相信我这个年龄层的
[316.94-320.06] 中国的男女除了你特别工作忙
[320.06-323.24] 没有时间是没有人不感兴趣的
[323.24-325.82] 大家都会有事没事看一看
[325.82-327.32] 最近发生的国际大事
[327.32-327.88] 世界大事
[327.88-328.74] 对不对
[328.76-329.28] 所以呢
[329.28-329.84] 我呢
[329.84-333.80] 就顺带着就把我的这些感受跟大家分享
[333.80-338.60] 那这就是我蹭王志安的底层逻辑代码
[338.60-341.42] 没有什么高尚不高尚不高尚
[341.42-344.96] 我看有些在网上的up主说
[344.96-346.00] 我坚决不蹭王志安
[346.00-347.72] 因为我觉得太无聊
[347.72-348.98] 那也是你的选择嘛
[348.98-349.46] 对不对
[349.46-352.04] 这并不能分出高下来
[352.04-353.18] 不是说我蹭王志安
[353.18-355.26] 就是我道德低下
[355.26-356.30] 你不蹭王志安
[356.30-357.38] 你就是你道德高尚
[357.38-358.70] 这个呃
[358.76-361.62] 观众朋友也不用给我太高的呃
[361.62-363.30] 戴高乐戴高帽
[363.30-363.94] 我呢
[363.94-365.60] 这个该蹭还是得蹭
[365.60-366.08] 为什么呢
[366.08-370.10] 就是那句话就是一个很世俗的频道
[370.10-372.28] 这是蹭王志安的第一个原因
[372.28-373.16] 第二个原因呢
[373.16-376.04] 就是呃这种有争议性的话题
[376.04-379.88] 我是特别愿意去蹭和发表意见的呃
[379.88-383.18] 有些观众朋友我今天撩了一眼说老王
[383.18-386.00] 今天这期节目是你的滑铁卢呃
[386.00-386.96] 我知道你什么意思
[386.96-388.60] 就是这一千多条评论
[388.60-391.42] 如果算上我估计算上后台被删掉的
[391.42-394.36] 估计得将近一千几百条评论
[394.36-396.76] 那这里边有一多半都是在骂你
[396.76-398.02] 所以你是滑铁卢
[398.02-398.28] 哎
[398.28-402.58] 这可不是你们呃有太高的偶像包袱了
[402.58-405.28] 一千条评论里边有990条骂我
[405.28-405.94] 我都不在乎
[405.94-407.04] 为什么呢
[407.04-407.80] 呃
[407.80-411.94] 因为这正是我开放评论的意义所在
[411.94-412.24] 呃
[412.24-414.48] 你们在国内翻墙出来啊
[414.48-418.06] 或者肉身润出来不就是为了呃
[418.06-418.52] 所谓的
[418.52-419.66] 几个自由吗
[419.66-420.08] 呃
[420.08-422.62] 其中最重要的一个就是言论自由
[422.62-431.24] 如果你们翻出来之后看到所谓的大V看到所谓的呃境外的这个free speech的这个频道
[431.24-434.02] 结果发现不能评论不能说话
[434.02-435.80] 就只能听不能说
[435.80-437.38] 那不又是prop干大了吗
[437.38-439.82] 就是又是变成了宣传机器了吗
[439.82-442.46] 虽然这个宣传机器不是国家组织的
[442.46-444.46] 但本质上是一样的
[444.46-448.50] 只是一个小的暴君和一个超级大暴君之间的区别
[448.52-453.72] 性质上并没有区别
[453.72-455.28] 大家看我的评论区呀
[456.48-458.58] 我的第一反应是一个卦象
[458.58-460.86] 全学里边有一个卦象
[460.86-465.30] 周易叫64卦里面有个卦叫寂寂之卦
[466.20-467.16] 上面是水
[467.16-467.92] 下边是火
[467.92-469.56] 这个卦叫寂寂
[469.56-470.32] 反过来
[470.32-471.24] 上面是火
[471.24-472.74] 下边是水叫慰寂
[472.74-473.82] 慰寂就是不寂
[473.82-475.42] 干什么事都不寂
[475.42-476.44] 寂寂那个寂呢
[476.44-476.92] 是寂啊
[476.92-478.42] 寂成寂成是实的寂
[478.42-479.26] 下边那个寂呢
[479.26-480.76] 是几难的几
[480.76-481.16] 寂寂
[481.20-482.24] 当然你顾名思义
[482.24-484.38] 它是个非常好的状态
[484.38-486.64] 有什么事都接骨丹都接上了
[486.64-487.90] 续上了
[487.90-488.72] 黑玉断须膏
[488.72-490.98] 他把你不成的事都都成了
[490.98-491.82] 那就叫寂寂
[492.90-494.38] 那大家有没有想过
[494.38-496.44] 为什么上边是火
[496.44-497.52] 下边是水
[497.52-498.66] 火往上走
[498.66-501.60] 上上烧水往下平缓的待着
[501.60-502.38] 他不是很好吗
[502.38-504.42] 他为什么叫不寂了呢
[504.42-505.68] 那上面是水
[505.68-506.68] 下边是火
[506.68-508.50] 这不呲呲冒烟
[508.50-510.60] 弄得到处都是他妈的哈气
[511.20-511.92] 粉尘吗
[511.92-515.46] 他为什么又变成乱七八糟的变成了寂寂了
[515.46-517.76] 这就是造物主也好
[517.76-519.36] 仙者也好
[519.36-523.58] 这个高级文明给我们留下的这个玄学的窗口
[523.58-527.82] 周易好的的这个哲理所在
[529.14-530.34] 哲学意义
[530.34-533.10] 你看我们评论区这么乱
[533.10-535.58] 他就是寂寂
[535.58-537.74] 因为大家正在互相交流
[537.74-540.70] 就是即使是在互相辩持
[540.70-542.32] 驳斥对方啊
[542.32-543.64] 那也是在互相交流
[544.78-545.86] 你在交流的过程中
[545.86-548.38] 你就会不自觉的受对方影响
[548.38-549.70] 这个热传导就会发生
[550.66-551.94] 水就会烧开
[551.94-554.20] 因为水在上面火在下边
[554.20-555.86] 谁想往下流
[555.86-557.08] 火想往上烧
[558.28-559.84] 这就是寂寂
[559.84-563.92] 我现在的评论区在王志安这条评论区这一千条里边
[563.92-567.54] 我一点都不伤心骂我的越多五百条八百条
[568.54-570.18] 然后对骂的越多
[570.18-572.28] 这就是寂寂以诚啊
[572.28-572.94] 这好啊
[572.94-573.42] 这事儿啊
[573.42-574.50] 因为你骂别人
[574.50-576.42] 你是不是要收场寡度
[576.42-579.60] 你你你的你的目的不是我擦那然后你就走了吧
[579.60-580.50] 你是要说服他
[580.50-582.00] 你要表达自己比他高吧
[582.00-582.66] 对不对
[582.66-585.74] 那你要从你的脑脑海里边要提炼
[585.74-587.22] 要总结
[587.22-590.16] 要把自己真实的一面拿出来
[590.16-592.68] 把你最真实的一面最高的高大上
[592.68-595.14] 你认为最高大上的拿出来
[595.14-596.76] 而对方在骂你的时候
[596.76-597.56] 在烦你的时候
[597.56-599.16] 他也是同样的思路
[599.16-600.02] 所以呢
[600.02-600.74] 这就是
[601.94-603.50] 寂寂的道理啊
[603.50-604.88] 也是为什么呃
[604.88-608.66] 寂寂挂是64挂中的大国大极挂
[608.66-612.14] 那我们现在的评论区老王来了的评论区
[612.14-615.50] 尤其是在王志安这条视频有争议性话题
[615.50-616.94] 比如说王志安的视频啊
[616.94-619.52] 比如说潦草的中国人的视频啊
[619.52-623.24] 比如说台湾独立的这个视频啊
[623.24-625.64] 知黑的视频下面都是寂寂的状态
[625.64-626.60] 我觉得非常好
[626.60-629.24] 即使我们在这个过程中损失粉丝
[629.24-629.78] 但是
[630.02-634.34] 我们这个过程中能吸引和开开化更多的人
[634.34-636.98] 事实证明也是我们的粉丝还在层层长
[636.98-639.86] 就是说明影响力还是在增加
[639.86-642.62] 这个就是对我们的这个呃人生啊
[642.62-644.12] 对我们的提升啊
[644.12-645.28] 都是有助益的
[645.28-649.82] 这也是我老王开放评论区的呃
[649.82-653.08] 真正的意欲欲望所在意图所在
[653.08-657.20] 我之所以开放评论区就是希望不同的观点来此碰撞
[657.20-659.18] 形成一个呃
[659.18-661.16] 炼丹炉的顶啊
[661.16-662.06] 各种观点
