[3.18-4.08] 哈喽大家好
[4.08-5.80] 又见面了
[5.80-6.96] 没去城西雅图
[6.96-9.76] 天粉粉肯定问这么早就从西雅图回来了
[9.76-10.74] 没去城
[10.74-12.38] 走了一半回来了
[12.38-15.98] 为什么约好了在西雅图见的白人老夫妻
[15.98-20.90] 老太太前几天做了一场鼓鼓头的置换手术
[20.90-21.74] 人岁数大了
[21.74-25.96] 我此次去西雅图主要是约着朋友去看看大病出狱
[25.96-29.02] 结果我们刚要出发
[29.02-30.88] 接到老爷子打来电话
[30.88-32.90] 说在麻醉状态
[32.90-34.28] 出了点小问题
[34.28-35.44] 还没有完全清醒过来
[35.44-37.22] 还要在医院多住一两天
[37.22-38.68] 所以就没去
[38.68-39.76] 改日了
[39.76-42.86] 结果变成了昨天的录像是在车里录的
[42.86-44.74] 引起了大家的特别多的关注
[44.74-45.92] 在今天节目之前
[45.92-46.90] 我首先问问各位
[46.90-48.84] 因为我这频道里边卧骨藏龙什么人都有
[48.84-52.46] 我在车里边掐上我手机
[52.46-54.68] 然后用我手机的反拍摄像头
[54.68-57.32] 我掐在我dash camera的位置
[57.32-58.22] 拍我的脸
[58.22-59.98] 我其实没怎么看手机屏
[59.98-61.06] 我主要是开车
[61.06-62.18] 这个算不算违法
[62.18-65.04] 我查了加拿大交通法规
[65.04-65.78] 没这个规定
[65.78-67.38] 这是应该属于新生事物
[67.38-69.58] 交通法规在加拿大还没有跟上
[69.58-72.44] 所以这个算不算分心驾驶
[72.44-73.96] 如果要是不算的话
[73.96-75.66] 我就可以这么干
[75.66-76.98] 因为我在网上看了一眼
[76.98-77.88] 好多人这么干
[77.88-78.88] 老外也有这么干的
[78.88-80.68] 老中也有这么干的
[80.68-83.22] 它更像是一个反光镜
[83.22-83.96] 更像是反光镜
[83.96-84.90] 照着你自己的脸
[84.90-87.26] 这比反光镜并不会吸引你的注意力
[87.26-88.22] 而且我在开的时候
[88.22-88.90] 大家也看到了
[88.90-90.02] 它不是一个连贯的
[90.02-91.98] 我在交通比较繁忙的地方我就不说了
[92.18-94.12] 然后一上高速我就接着聊
[94.12-97.04] 我还真的有点糊涂
[97.04-98.14] 到底可不可以这么干
[98.14-99.02] 大家指导我一下
[99.02-100.68] 如果可以这么干就挺好
[100.68-101.72] 因为这个模式真的很
[101.72-102.72] 我很舒服
[102.72-103.58] 这样的话
[103.58-106.94] 我就工作时间极其灵活
[106.94-108.06] 在路上如果可以录的话
[108.06-108.96] 那就太好了
[108.96-110.92] 而且其实大家有没有发现
[110.92-114.02] 像我这样的主播风格
[114.02-115.42] 驾驶中跟大家聊天
[115.42-116.26] 效果非常好
[116.26-116.66] 为什么呢
[116.66-118.16] 你们就更能见到我的真诚
[118.16-120.22] 因为我在开车
[120.22-121.30] 我没法撒谎
[121.30-122.04] 就这么简单
[122.18-125.58] 如果是我处心积虑的要做什么表演
[125.58-127.42] 大家一定能够理解吧
[127.42-128.94] 就是你不能分心
[128.94-131.18] 如果你能分心
[131.18-132.18] 那你就是脱口而出
[132.18-133.38] 脱口而出就是
[133.38-135.82] 其实就是没有经过大脑的仔细思索
[135.82-138.90] 那是积累在你内心深处的真实表达
[138.90-142.74] 所以昨天跟大家做了这么一期路播
[142.74-144.22] 就是车播
[144.22-145.18] 一边震着一边说
