[0.00-1.36] 哈喽大家好
[1.36-5.32] 这个两天都在在那吃吃喝喝玩玩
[5.32-6.92] 肚子又起来了
[6.92-10.92] 减肥计划顺利下架
[10.92-11.88] 感觉好多了
[11.88-13.56] 气色又好了
[13.56-14.52] 人到中年呀
[14.52-16.20] 这个真的不能乱减肥
[16.20-18.00] 不是开玩笑的
[18.00-20.04] 这个今天呢
[20.04-24.52] 就是国内朋友过来带给我了一个这么个文化衫
[24.52-27.76] 还带给我了这个唱歌的
[27.76-29.96] 能网上直播的那个卡拉OK
[31.48-33.20] 让我给大家一盏歌喉
[33.20-35.44] 说这个五万粉的时候让我唱歌
[35.44-37.24] 我准备准备啊
[37.24-38.56] 多少年不唱了
[38.56-42.20] 我这个自打我结婚生孩子以后
[42.20-44.12] 我就不在欢场上混了
[45.28-46.96] 就不卖了
[46.96-47.88] 我年轻的时候
[47.88-49.84] 你像因为我有钱走了
[49.84-50.76] 我们那会吧
[50.76-54.04] 就是乱说我
[54.04-55.48] 提这个话题
[55.48-57.04] 我就想起这个混蛋
[57.04-57.72] 往我身上
[57.72-59.64] 我真不是男女通吃啊
[59.64-61.08] 这我我没有必要瞒
[61.08-61.64] 大家都知道
[61.64-63.36] 因为我也不是个要脸的人
[63.36-65.44] 我如果真是男女通吃
[65.44-67.64] 我真的是喜欢下何小叔
[67.64-70.20] 那我肯定非非去京都追他去了
[70.20-71.16] 我不是
[71.16-71.92] 我是直男
[71.92-73.68] 我们俩是哥们
[73.68-74.88] 但是我招同性恋
[74.88-76.92] 这这因为我这种性格
[76.92-80.88] 可能给这个给一种那个安全感
[80.88-82.36] 因为我特别稳当吧
[82.36-84.64] 嗯特别的有安全感
[84.64-85.40] 女士啊
[85.40-87.12] 给也都喜欢跟我交朋友
[87.12-87.24] 是这样的啊
[87.24-90.36] 所以翟翟英这个不提他不提他
[90.36-91.80] 这个混蛋
[91.80-93.48] 那时候在北京啊
[93.48-94.76] 那时候相当自由
[94.76-97.28] 北京是万类双天镜自由的时代
[97.28-99.04] 春夏夏天嘛
[99.04-101.32] 就是当然蚊虫滋生
[101.32-104.80] 但是也是好好挣钱好生活
[104.80-106.92] 那会你想是2000年前后吧
[106.92-108.72] 北京当时叫四大名楼
[108.72-109.12] 知道吧
[109.12-113.48] 那个翟翔鸟也做过这种专题
[113.48-115.52] 我记得是玫瑰之约
[115.52-117.24] 玫瑰之约是在那个保力厅里面的
[117.24-118.52] 玫瑰大厦啊
