[0.05-1.93] 美国加州州长访华
[1.93-3.73] 这显然不正常
[3.73-5.33] 有很多媒体评论
[5.33-8.69] 说这代表着美国运政策占了主流
[8.69-13.01] 很失望美国将来会跟中共达成妥协
[13.01-16.51] 美国不会再出实力的保卫台湾
[16.51-18.79] 保卫自由世界的完整性
[18.79-20.03] 是这样吗
[20.03-22.37] 我说一些我的感受
[22.37-24.65] 希望能够给大家带来思考和知识
[24.65-26.23] 首先美国这个国家
[26.23-29.63] 它是一个幅员辽阔的土豪世界
[29.63-31.59] 每一个城市
[31.59-33.17] 每一个乡村
[33.17-35.83] 都有它自己的土豪
[35.83-38.61] 这些土豪有的是农场主
[38.61-39.75] 有的是企业主
[39.75-41.97] 很多农场和企业
[41.97-43.81] 都是干了三四代人
[43.81-44.77] 四五代人了
[44.77-48.25] 一百多年将近两百年的历史
[48.25-50.29] 比比皆是
[50.29-53.25] 这些土豪的世界
[53.25-55.43] 构成了整个北美洲
[55.43-58.41] 包括加拿大的连城脉络
[58.41-62.03] 构成家族联姻关系的凝结合
[62.03-65.83] 这种土豪中发育的大的凝结合
[65.83-71.19] 才是真正左右美国政治形势的深层政府
[71.19-77.50] 所谓的在舞台前台表演的那些美国政客和政治家
[77.50-79.32] 是这些家族的
[79.32-81.48] 这些老前的代言人
[81.48-86.86] 甚至有可能就是这些老前家族的后代中的某一个成员
[86.86-88.72] 而美国共和党
[88.72-89.84] 在美国的政治形势中
[89.84-89.86] 在美国的政治形势中
[89.88-91.02] 这个年龄段
[91.02-92.72] 这个实力阶层中是主流
[94.26-100.97] 不用问电视剧黄石家族的政治倾向一定是共和党
[100.97-103.21] 所以在美国当前的政治形势下
[103.21-108.05] 虽然我们看到表现活跃的在前台上乌乌扎扎的
[108.05-109.67] 大部分都是民主党
[109.67-112.25] 民主党得到的票数也是最多的
[112.25-115.67] 但是真正的美国社会核心底子底盘
[115.67-118.67] 他是由共和党老白男老白女构成的
[120.51-121.09] 这些人
[121.09-122.23] 人数不多
[122.23-125.17] 平时也焕发不出他们的青春来
[125.17-127.21] 但是一旦美国出了事
[127.21-129.61] 他们就像老船长一样会站出来
[129.61-133.93] 所有的人包括民主党都会向他们团结为龙
[133.93-138.01] 这就是美国体制和中国体制不一样的地方
[138.01-145.75] 这次老王去西雅图拜会和接待老王的就是华盛顿州的这样一个老前白男家族
[145.75-150.25] 他们家是昂格鲁萨克逊人和德意后代组成的
[150.25-154.45] 在西雅图地区经营了三到四代人的这样一个家族
[156.43-158.71] 老头老太太今年已经七十多了
[158.71-160.09] 快八十了
[160.09-161.71] 跟我是莫逆之交
[162.79-163.93] 为什么呢
[163.93-166.93] 因为当我们刚刚结识的时候
[166.93-170.83] 这边的习惯是他都会问你家庭情况
[170.83-172.45] 这个不叫打探隐私
[172.45-174.61] 这个在西方的主流社会
[175.57-178.63] 他的社交习惯里面跟你碰碗酒杯
[178.63-180.07] 觉得你这个人还可教
[180.25-181.99] 演员还不错的时候
[181.99-184.75] 话题会很快进入你的家庭
[184.75-191.65] 家庭在这些人的人生中扮演的角色超过事业
[191.65-195.25] 他并不太在乎你名片上目前印的是哪一个公司
[195.25-197.05] 因为这些都是家族企业
[197.05-199.75] 他可能今天这个公司明天那个公司他并不开
[199.75-202.75] 但他很开的是你结了几次婚
[202.75-204.19] 你有多少个孩子
[204.19-206.23] 你和你的孩子是什么关系
