[2.06-3.04] 哈喽 大家好
[3.04-5.34] 今天是早晨
[5.34-7.72] 实在是不能再脱更了
[7.72-11.42] 昨天已经编辑老视频糊弄大家了
[11.42-14.38] 因为我现在忙着学习
[14.38-16.48] 所以时间稍微来有点紧
[16.48-17.90] 我们话不多说
[17.90-21.72] 今天主要是针对我的恒大集团
[21.72-25.68] 破产清盘的上一期节目
[25.68-28.44] 进行有目的性的答疑解惑
[28.44-32.24] 很多网友给我发来了信
[32.24-34.20] 问我一些具体的问题
[34.20-36.10] 趁着我的脑子还热着
[36.10-38.56] 我就把这个集中一下
[38.56-39.86] 今天给大家做了
[39.86-43.52] 第一位是一个很有影响力的
[43.52-45.06] 中国的一个企业家
[45.06-47.06] 我就不点他的名了
[47.06-49.30] 因为大家能不能知道他这样的话
[49.30-52.38] 他所服务的公司是IT类的
[52.38-54.52] 影响了我们每一个人的生活
[54.52-56.62] 那么他的信是这样的
[56.62-57.40] 我给大家念一下
[57.40-61.28] 在您讲朱令事件那一期
[61.28-63.16] 油管上偶遇了您
[63.16-64.08] 听了一期之后
[64.08-66.64] 把之前的内容都翻出来看了一遍之后
[66.64-67.72] 每天追更
[67.72-70.80] 觉得您是华人YouTuber里比较独树一帜的
[70.80-72.16] 一您真材实料
[72.16-74.16] 嬉笑怒骂的说书风格
[74.16-77.08] 坦诚清晰深入浅出
[77.08-79.80] 一技欧小不装
[79.80-83.14] 您既是双腿沾满泥水
[83.14-85.12] 实操经验丰富的华尔街智郎
[85.12-87.40] 又是太空观地球的全局
[87.40-88.00] 观
[88.00-89.44] 阔乎宇宙观
[89.44-91.12] 有独立思考稳定三观
[91.12-93.16] 人文关怀的性情中人
[93.16-94.12] 这是第二条
[94.12-94.64] 第三
[94.64-96.80] 您是有成就大业的能力
[96.80-99.60] 经验心胸和格局的大佬
[99.60-101.12] 谢谢你的夸夸赞
[101.12-103.96] 你这就是夸的我真是太舒服了
[103.96-107.32] 不会是不愧是做过企业家啊
[107.32-109.28] 我的情况今年四十了
[109.28-114.52] 小镇做题家家理工科出身家北漂老婆是校友
[114.52-115.24] 育有一子
[115.24-117.40] 之前人生各阶段都在正轨上
[117.40-119.32] 高速运转
[119.32-121.28] 国内前些年经济高速发展
[121.28-123.88] 给我带来了顺境下的高速成长
[123.88-126.00] 不断的升级打怪的假象
[126.00-133.84] 之前在某某某某等国内大某某做技术架构解决方案
[133.84-134.80] 等相关工作
[134.80-137.56] 三十出头变年薪过百万
[137.56-139.60] 带领几十人的大团队
[139.60-141.68] 大龄加高薪的标签
[141.68-145.00] 因这种原因在去年顺利毕业
[145.00-147.00] 毕业估计是不是就是被裁了啊
[147.40-148.20] 而失业了
[148.20-150.92] 因为现在确实是像您这样的
[150.92-153.72] 那真是成本太高了
[153.72-157.32] 毕业后一直在思考如何开启下一份事业
[157.32-160.08] 像你这个情况和你这个同等来
[160.08-160.44] 我呢
[160.44-163.56] 我这边也有个朋友在洛杉矶
[163.56-168.64] 他是国内一个大的手机厂的北美的老大
[168.64-169.68] 那以前呢
[169.68-170.56] 不是华为啊
[170.56-172.64] 以前他在这边呢
[172.64-173.44] 风生水起
[173.44-174.16] 后来呢
[174.16-175.84] 就是也是跟你时间差不多
[175.84-177.00] 去年吧
[177.40-180.40] 然后手机行业也都进入到寒冬
[180.40-181.28] 岭东
[181.28-185.44] 这样的话是否保留这种在北美的研发地
[185.44-187.00] 他在
[187.00-188.48] 他在旧金山啊
[188.48-189.16] 他不在洛杉矶
[189.16-190.32] 他在旧金山
[190.32-192.20] 他就也被那个毕业了
[192.20-194.60] 所以他现在也是挺麻烦的
[194.60-196.28] 因为在那边吧
[196.28-198.28] 因为顺风顺水
[198.28-200.32] 买了个特别好的房子
[200.32-201.52] 那个你也知道
[201.52-204.40] 在美国旧金山房子可不便宜
[204.40-206.44] 那个夫妻两个的那个月供啊
[206.44-206.96] 那个夫妻两个的那个月供啊
[206.96-207.08] 那个夫妻两个的那个月供啊
[207.08-207.32] 那个夫妻两个的那个月供啊
[207.32-207.88] 那个夫妻两个的那个月供啊
[207.88-209.32] 贷款是压力很大的
[209.32-210.40] 而且孩子在美国
[210.40-211.36] 他也都上学
[211.36-212.84] 上了很贵的学校
[212.84-215.92] 这一下子被lay off以后啊
[215.92-218.36] 就是确实是很麻烦
[218.36-219.88] 因为在这个年龄的话
[219.88-223.60] 你说他怎么可能再去基层打拼呢
[223.60-227.80] 所以他真的是只能找一个闲差呆着
[227.80-230.24] 我估计你们情况差不多
[230.24-234.04] 我远没有到大老王这样可以裸退休的状态
[234.04-236.88] 去年炒港股美股亏了200多万
[236.88-237.00] 去年炒港股美股亏了200多万
[237.00-237.44] 去年炒港股美股亏了200多万
[237.44-238.48] 美元还是人民币
[238.48-239.72] 要人民币还可以
[239.72-240.88] 要是美元
[240.88-244.48] 你心里够强大的
[244.48-245.60] 过户我不碰A股
[245.60-248.20] 美股主要是玩期权亏了
[248.20-250.32] 那个亏的很快
[250.32-251.76] 现在国内创业
[251.76-252.52] 求职环境
[252.52-253.56] 你也清楚
[253.56-256.76] 每天看那些唱衰中国的华人YouTuber
[256.76-258.24] 实际情况我们都清楚
[258.24-259.92] 讲的都是事实
[259.92-262.24] 但是光悲观负面也没有用啊
[262.24-264.84] 不还得天行见君子以自强不息吗
[264.84-266.28] 想办法继续卷下去吗
[266.28-266.56] 在这五浊恶心中
[266.56-266.60] 想办法继续卷下去吗
[266.60-266.68] 在这五浊恶心中
[266.68-267.20] 想办法继续卷下去吗
[267.20-268.68] 想办法继续卷下去吗
[268.68-271.32] 嗯对就是不利不破
[271.32-274.76] 恒大的股票我赔了六位数
[274.76-277.72] 个十百千万十万啊还行
[277.72-279.04] 不过已经麻木了
[279.04-282.24] 今天听大老王这一期恒大清盘的秘密
[282.24-283.96] 一经落万物生的确如此
[283.96-285.24] 多好的机会啊
[285.24-286.76] 大老王赶上了20年前
[286.76-287.96] 国内经济高速发展
[287.96-289.68] 大量企业借科上市
[289.68-291.20] 您作为专业Banker
[291.20-293.72] 迎来了人生第一次挣大钱的机会
[293.72-295.16] 现在这个大破产
[295.16-296.24] 大重组大清盘时代
[296.24-296.28] 现在这个大破产
[296.28-297.08] 大重组大清盘时代
[297.08-300.00] 不正好是您再次出山的时代吗
[300.00-302.44] 你是让我再倒带一次是吧
[302.44-305.48] 就是那20年前我是正快进
[305.48-307.76] 然后你现在让我快退
[307.76-310.68] 再反着来一次再引领潮流
[310.68-313.68] 要是您想重操旧业回国来挣大钱
[313.68-315.48] 我就给您提包临协
[315.48-318.16] 要是您不方便在国内抛头露面
[318.16-320.36] 我们可以在国内给您当马仔啊
[320.36-322.32] 希望您再请高人算一把
[322.32-324.52] 看看有没有机缘再博这一把
[324.52-325.84] 我反正是希望能追随您的
[325.84-326.24] 我反正是希望能追随您的
[326.24-326.28] 我反正是希望能追随您的
[326.28-327.04] 做一些事情
[327.04-328.68] 您别急于回复
[328.68-330.16] 盘一盘国内的各种资源
[330.16-331.68] 真是一次好机会
[331.68-334.00] 我的名字就别在节目中提了
[334.00-335.68] 翻墙有风险
[335.68-336.92] 我能理解你啊
[336.92-339.88] 我一句话给您回复
[339.88-343.32] 也代表着我对中国的终极判断
[343.32-344.96] 我除了带着军队回去
[344.96-346.64] 我不可能回去了
[346.64-348.68] 既然我出来做YouTube
[348.68-352.68] 我那一瞬间其实就是早已经谋定私动了
[352.68-355.00] 我不是大家都看得出来我的性格
[355.00-356.24] 有人说我是什么滑头
[356.24-356.68] 什么的
[356.68-360.44] 反正我正面负面说的意思都是一样
[360.44-363.72] 我不是一个随机应变的人
[363.72-368.24] 我特别痛恨随机应变的企业家
[368.24-371.52] 随机应变意味着你他妈没有计划
[371.52-375.64] 所以我是回去的话就是行走的50万
[375.64-377.48] 这我心里面很清楚
[377.48-379.04] 谁叫我都不回去
[379.04-380.40] 习近平叫我都不回去
[380.40-381.36] 还有那句话
[381.36-383.64] 我回去就是跟着军队回去
[383.64-384.76] 大家懂了吧
[384.76-386.20] 只有这种状态
[386.20-387.48] 是能够回去的
[387.48-389.32] 除非我刮了胡子了
[389.32-390.56] 我为什么不刮胡子
