[1.97-3.85] 哈喽 大家好 又见面了
[3.85-8.61] 今天我们就不再聊那么难懂的专业的话题
[8.61-11.97] 或者容易撕裂人群的政治话题
[11.97-14.03] 我们来聊点有趣的东西
[14.03-17.97] 今天我们的主题就是加拿大的十大怪
[17.97-20.21] 作为一个新移民
[20.21-24.23] 当我们从中国那片土地上踏足这个陌生的环境的时候
[24.23-26.05] 充满了憧憬和恐惧
[26.05-27.71] 我也不能例外
[27.71-32.39] 想十几年以前当我全家离开祖国
[32.39-33.95] 来到新的国家的时候
[33.95-37.61] 对是否能适应这个国家
[37.61-40.07] 以及是否会被新的国家接纳
[40.07-42.05] 充满了不确定
[42.05-44.99] 内心深处实际上是有恐惧的
[44.99-46.39] 当然也有一份好奇
[46.39-49.15] 如今走下来成为这个国家的一部分
[49.15-51.91] 回头看看有很多有意思的地方
[51.91-54.15] 我相信很多老的移民
[54.15-56.55] 我的加拿大观众们一定会有共鸣
[56.55-57.69] 来听老王
[57.69-59.25] 掰扯掰扯加拿大十大怪
[59.25-61.67] 有没有说到你们心里去的
[61.67-63.09] 如果你们有补充
[63.09-65.85] 希望你们能够在评论区加以补充
[65.85-68.11] 说的越诙谐幽默越好
[68.11-71.13] 越给大家带来快乐和知识越好
[71.13-73.87] 也让没有到加拿大的这些朋友们
[73.87-74.73] 不在加拿大的
[74.73-76.83] 对加拿大有一个了解
[76.83-78.33] 第一大怪
[78.33-80.43] 就是我切身体会的第一大怪
[80.43-82.23] 就是背过马路
[82.23-85.63] 一般的小城市街区里面都是两车道
[85.63-87.67] 双向的两车道
[87.69-90.09] 然后中间并没有一个分界线
[90.09-93.17] 所以它就是一个普通的我们叫driveway
[93.17-95.37] 那两侧都有walkway
[95.37-97.29] 就是两侧都有人行步道
[97.29-99.97] 如果你想过这个马路的话
[99.97-101.85] 你在任何一个地点都可以过这马路
[101.85-103.65] 因为它这种普通的driveway
[103.65-105.57] 它没有人行斑马线
[105.57-108.13] 就像大家在国内看的一个电影
[108.13-109.65] 北京遇到西雅图一样
[109.65-111.49] 那是在温哥华拍的
[111.49-113.69] 北京遇到西雅图的那个街区
[113.69-115.57] 就是汤唯生海的那个街区
[115.57-117.57] 就是典型的一个加拿大的
[117.57-118.45] 内街
[118.45-119.93] 我们刚来加拿大的时候
[119.93-121.93] 因为这个内街上没有人
[121.93-125.25] 那个车流量人流量跟中国就是比
[125.25-126.77] 就是几乎是没有人
[126.77-128.01] 非常安静宁静
[128.01-133.25] 所以我们经常就站在那个人行的那个步道
[133.25-137.57] 和这个driveway的这个车行道之间的那个马路
[137.57-139.69] 牙子附近就在这站着
[139.69-141.01] 这个时候呢
[141.01-142.93] 你就会发现奇怪的景象
[142.93-146.45] 就是过往车辆停下来等你
[146.45-147.57] 因为加拿大人会
[147.57-150.21] 以为你是一个要过马路的人
[150.21-152.25] 所以他们一定会礼让行人
[152.25-154.21] 他们的机动车都是礼让行人的
[154.21-157.25] 所以他们就会停在这个位置礼让你
[157.25-158.93] 这样就会很尴尬
[158.93-161.09] 因为我们并不想过马路
[161.09-163.21] 但是你看这停了一辆车
[163.21-165.61] 他后边可能紧接着又过来一辆车
[165.61-167.21] 那最好的解决办法
[167.21-168.57] 与其解释你不想过马路
[168.57-170.13] 最好办法你就赶紧过去
[170.13-171.81] 过去他就高高兴兴的开走了
[171.81-172.81] 给你打个招呼
[172.81-173.37] 所以呢
[173.37-174.73] 这个就叫背过马路
[174.73-177.01] 如此发生了一两次之后呢
[177.57-179.05] 你就会想的记性了
[179.05-180.29] 如果想过马路
[180.29-182.89] 就斩钉截铁理直气壮的站在边上
[182.89-183.57] 看看
[183.57-184.45] 如果他们等你
[184.45-185.29] 你就过去
[185.29-186.73] 如果你不想过马路
[186.73-189.53] 你就别面朝马路那个方向
[189.53-191.69] 做90度状
[191.69-193.45] 站在那个路边
[193.45-195.29] 人家会停下来等你的
[195.29-196.21] 以为你要过马路
[196.21-197.61] 大哥这不是中国
[197.61-200.65] 这地方人他们讲非常讲礼貌
[200.65-202.49] 离老远就开始停下来了
[202.49-203.97] 所以这个是个一大怪
[203.97-206.05] 就是背过马路
[206.05-207.41] 在转位
[207.57-209.45] 路两边行走的时候
[209.45-210.97] 如果停下来的话
[210.97-212.41] 还真得小心点
[212.41-212.97] 呃
[212.97-215.53] 不要乱扭你的头
[215.53-216.13] 啊
[216.13-216.81] 方向不对
[216.81-219.53] 车真停下来等你过马路
[219.53-220.13] 第二个呢
[220.13-221.01] 就是呃
[221.01-221.93] 加拿大的一大怪
[221.93-224.17] 我没想到的就是加拿大人啊
[224.17-226.57] 太爱说对不起了
[226.57-227.09] I'm sorry
[227.09-227.85] 和excuse me
[227.85-229.29] 几乎是无处不在
[229.29-229.85] I'm sorry
[229.85-230.21] I'm sorry
[230.21-230.65] I'm sorry
[230.65-231.25] I'm sorry
[231.25-232.73] I'm sorry
[232.73-235.57] 就是有的时候你都不知道他有什么必要说
[235.57-236.05] I'm sorry
[236.05-236.73] 的时候他也说一句
[236.73-237.57] I'm sorry
[237.57-238.21] 呃
[238.21-240.69] 加拿大人有多少爱说I'm sorry呢
[240.69-243.13] 就是这个是受到了法律的鼓励
[243.13-246.73] 大家都知道我们中国有条恶法
