[1.94-3.94] 哈喽 大家好 今天是周末
[3.94-7.20] 今天咱们的主题是聊孩子
[7.20-9.98] 正好也到了周末跟大家交流的时间
[9.98-12.50] 所以就从一个观众的来信聊起
[12.50-15.48] 这个观众情真意切的写了一封长信
[15.48-19.58] 想跟我聊一些孩子和为人父母的感受
[19.58-22.40] 正好我在这方面感受良多
[22.40-24.78] 尤其是读完了这个观众的来信之后
[24.78-28.28] 我觉得十分有必要拿出来跟大家分享一下
[28.28-31.12] 话不多说 直接进入正题
[31.12-35.10] 老王 你好 我是考拉爸爸的朋友
[35.10-40.20] 从他频道听说了您 一来听可太有意思了
[40.20-42.72] 我和家人火速都成为了您的粉丝
[42.72-47.36] 有趣的是 有些道理我们讲给家人听不一定管用
[47.36-49.82] 括弧也可以说一定不管用
[49.82-54.44] 但是您讲起来Everybody马上心服口服就是这么灵
[54.44-57.06] 我觉得是两条
[57.60-60.36] 第一呢 咱们关上门来
[60.36-62.02] 咱观众跟我之间没外人
[62.02-64.08] 咱们不是装逼的话
[64.08-66.62] 他妈不就是因为我有俩臭钱吗
[66.62-70.36] 这世界真的是很俗很俗的
[70.36-75.00] 一有名 二有权 三有钱
[75.00-77.82] 只要这人脑子上带了这三个光环
[77.82-80.46] 你他妈就放个屁都恨不得香的
[80.46-83.34] 后来呢就是改革开放逐渐深化以后
[83.34-85.86] 大概到我上小学高年级的时候
[85.86-90.24] 也就是差不多1985年到1990年的这个时间段
[90.36-93.22] 中国就开放了很多的地摊文学报告文学
[93.22-95.36] 就开了好多的小出版社
[95.36-97.08] 他们也有出版自由了
[97.08-100.08] 那个时候的出版自由是要远远超过今天的
[100.08-103.92] 地摊文学大家感兴趣的可以回忆一下
[103.92-106.92] 有一个小品赵本山刚刚出道的时候
[106.92-110.56] 赵本山巩汉林演那个小品叫大观灯啊
[110.56-111.62] 还是叫十三香啊
[111.62-113.26] 就是他在那卖十三香啊
[113.26-113.88] 不叫大观灯
[113.88-116.24] 就是差不多同一个时期
[116.24-118.48] 那时候我上小学初中的时候
[118.48-120.36] 里边赵本山就是演一个马上出道的小品
[120.36-123.78] 卖报的巩汉林就演一个卖十三香的
[123.78-127.74] 然后俩人为了挤地摊这个摊位打起来的这么一个小品
[127.74-131.24] 赵本山在这个卖报的时候就开始喊什么
[131.24-133.50] 什么黄色的暴力的这个文学
[133.50-136.26] 真的那时候都是正式出版物
[136.26-138.36] 什么兄弟俩为了个姑娘大打助手
[138.36-140.08] 双双住进了大北监狱呀
[140.08-141.00] 什么呃
[141.00-145.44] 这些引人入胜的题目有很多
[145.44-147.42] 但是我就发现我当时是个小孩
[147.42-149.26] 但是我就发现这个大人们
[149.26-150.12] 对于印道
[150.36-153.44] 印成签字的这张纸
[153.44-153.94] 他就信
[155.48-157.52] 这个就是签字崇拜
[157.52-158.80] 不是一千个签
[158.80-161.36] 是金银铜链系那个签字崇拜
[161.36-163.42] 后来这个签字崇拜
[163.42-165.20] 升级为这个互联网崇拜
[165.20-167.76] 只要是什么互联网上贴出来的网页
[167.76-169.04] 老太太老头
[169.04-171.36] 或者小程序自己调出来的
[171.36-172.64] 他就不信儿子了
[172.64-173.40] 他信那子
[173.40-178.00] 他就不想播到那个小程序后边写这个小编
[178.00-179.80] 还不如他儿子对不对
[179.80-180.32] 我就说的是
[180.36-181.90] 我的感受吧
[181.90-182.92] 这种感觉啊
[182.92-185.74] 就发生在我们每一个人身上
[185.74-187.78] 所以你要有钱啊
[187.78-188.80] 或者你有权啊
[188.80-190.60] 或者你有了名的话呢
[190.60-195.72] 这些人在就是普通人普罗大众在接受你的观点的时候
[195.72-199.82] 首先就会把你放在一个很高的平台上仰视
[199.82-202.38] 他自己那个内心的防火墙就会降下来
[202.38-205.44] 基本上就是
[205.44-206.48] 都能接受
[206.48-208.26] 就是特别愿意接受
[208.26-209.80] 很容易就培养出来
[209.80-211.08] 脑残粉
[211.08-212.36] 洗这么几轮
[212.36-214.40] 稍微有点不舒服的
[214.40-216.46] 就是有点那个有自我意识的
[216.46-217.48] 你就给他踢出去
[217.48-218.24] 拉黑
