[1.84-2.76] 哈喽 大家好
[2.76-5.40] 今天将是一期悲伤的节目
[5.40-9.20] 这一期节目的话题其实我早就想说
[9.20-10.76] 因为它离我非常的近
[10.76-12.26] 就发生在我们的附近
[12.26-14.68] 但是我之所以一直没有说
[14.68-15.92] 一直回避这个话题
[15.92-18.74] 就是因为我担心我动感情
[18.74-22.38] 过多的带入到这个事件本身
[22.38-27.88] 而失去了旁观和讲故事者的中立性和讲述性
[27.88-31.18] 给大家带来过多的感情困扰
[31.74-33.96] 所以我一直在回避这个问题
[33.96-38.34] 但是这两天又看到了新的进展
[38.34-43.72] 所以我觉得也许是该讲述这个故事的时间了
[43.72-48.22] 这个故事可能大家或多或少都听说过
[48.22-51.38] 尤其是生活在加拿大温哥华的观众朋友们
[51.38-52.38] 那是了如指掌
[52.38-56.74] 这个事情就是申小宇的案子
[56.74-60.88] 有一个女孩生活在加拿大的温哥华市
[61.04-61.72] 温哥华市
[61.72-66.36] 是有一个很多城市构成的一个大温哥华地区
[66.36-69.14] 所以温哥华在严格的意义上来说
[69.14-70.18] 并不是一个城市
[70.18-72.40] 而是由一组城市构成的
[72.40-75.90] 它的总的面积甚至可能要超过北京
[75.90-77.86] 那么更好的理解
[77.86-80.70] 就是相当于大概我们所说的某一个城市
[80.70-82.84] 更像北京市的一个区
[82.84-88.44] 比如说申小宇小姑娘居住的这个城市叫本拿比
[88.44-91.02] Burnaby就是一个北京人
[91.02-92.92] 特别多的这样一个城市
[92.92-95.52] 华裔在里面的比例也非常大
[95.52-99.92] 肉眼感觉华人的比例差不多有一半
[99.92-101.78] 这就是本拿比市
[101.78-103.74] 它离温哥华非常近
[103.74-105.32] 隔着一条街而已
[105.32-112.60] 那么申小宇的这个小姑娘和我的大女儿年龄相仿
[112.60-114.44] 比我大女儿大几岁
[114.44-115.78] 如果她活着的话
[115.78-117.66] 今年应该已经快大学毕业了
[117.66-119.70] 21岁了应该是
[119.70-121.00] 我记得她是03岁了
[121.02-123.06] 23年出生的
[123.06-125.88] 旧生出生在温华本地
[125.88-128.88] 所以她应该算是第二代移民了
[128.88-131.58] 她的父亲和母亲都是像我们一样的
[131.58-133.74] 中国大陆来的第一代移民
[133.74-137.20] 那么父亲和母亲离婚了
[137.20-139.14] 申小宇出生之后就离婚了
[139.14-141.06] 申小宇上面有一个哥哥
[141.06-143.22] 他的哥哥比他大10岁
[143.22-144.30] 那今天的话
[144.30-145.78] 想想他哥哥应该是30
[145.78-148.16] 已经30出头了
[148.16-149.38] 案发的时候
[149.38-151.00] 他哥哥还很年轻
[151.02-154.58] 因为这个案子发生在2017年
[154.58-156.46] 也就是疫情之前两年
[156.46-162.00] 申小宇的父母有了申小宇后不久就离婚了
[162.00-165.66] 哥哥跟着爸爸回了北京
[165.66-169.98] 妈妈和小宇就在温哥华本纳比继续生活
[169.98-171.20] 就出于这么一个状态
[171.20-174.84] 这种状态在温哥华的移民里面是相当常见的
[174.84-177.96] 就像我以前节目里提到过的
[177.96-180.88] 第一代移民夫妻的离婚率之高啊
[180.88-183.68] 甚至是超过50%的
[183.68-187.72] 因为你从旧的环境到了新的环境之后
[187.72-189.58] 夫妻双方要重新恋爱
[189.58-191.94] 如果完不成这个重新恋爱的过程
[191.94-194.92] 婚姻基本上是散多聚少
[196.36-201.82] 那么小宇和妈妈在一起生活的一直还算是比较正常
[201.82-203.32] 因为他妈妈也需要上班
[203.32-206.56] 他们并不是一个不需要上班的家庭
[206.56-207.94] 所以呢
[207.94-210.28] 妈妈对于小宇的这种管教啊
[210.28-210.76] 或者说
[210.76-211.78] 管理呢
[211.78-214.54] 实际上是超出精力之外的
[214.54-218.44] 你可以想象一个妈妈带着一个女儿
[218.44-219.94] 妈妈本身要上班
[219.94-223.26] 那么对于女儿的这种管理啊
[223.26-225.52] 就很难做到全程盯房
[225.52-226.36] 所以小宇呢
[226.36-230.38] 也就具备的那个年龄的同龄人不具备的相对的独立性
[231.34-234.04] 那么这种独立性
[234.04-237.64] 在我们的这个眼里边是孩子懂事啊
[237.64-240.76] 在我们传统中国人眼里面是孩子懂事的一个标志
[240.76-242.38] 因为他会自己去
[242.38-245.82] Tim Hortons买快餐
[245.82-248.38] 他会自己进行垃圾分类去扔掉
[248.38-251.66] 而我们这种全程盯房的孩子呢
[251.66-253.42] 在那个年龄的时候
[253.42-255.76] 是不具备这个能力的啊
[255.76-256.90] 客观的说
[256.90-258.26] 我也是在进行比较
[258.26-260.94] 我大女儿在申小宇的那个年龄
[260.94-265.28] 你让他去步行到我们家附近Tim Hortons自己去买吃的
[265.28-267.40] 去安排自己的这个晚餐的话
[268.40-268.96] 呃
[268.96-270.64] 他可能觉得是一种
[270.76-272.58] 巨大的挑战而充满恐惧
[272.58-274.26] 他也没这个机会
[274.26-275.22] 那小宇呢
[275.22-276.22] 迫于生活
[276.22-277.72] 迫于他们家的状态
[277.72-278.50] 他呢
[278.50-282.10] 甚至可能在更早的时间就具备了这种能力
[282.10-285.12] 那加拿大温哥华是一个很和平
[285.12-287.02] 友善的城市
[287.02-290.38] 这也给小宇后来遇到的灾难
[291.38-292.90] 劫难埋下了伏笔
[294.44-296.98] 我们了解温哥华的就知道
[296.98-298.18] 温哥华最近呢
[298.18-300.00] 有最近一个特点
[300.00-300.52] 和
[300.52-301.90] 一直有另一个特点
[301.90-307.42] 这两个特点是构成小宇岸的一个外部环境
[307.42-310.48] 一直有的特点就是温哥华这样的城市
[310.48-313.70] 他的大公园临次至彼
[313.70-317.40] 他这个公园不像我们在中国的那种社区公园的概念
[317.40-319.78] 他的公园真的是森林
[319.78-323.38] 即使在最大的市最繁华的市中心
[323.38-326.04] 也分隔了呃
[326.04-330.18] 面积非常大的原始森林风貌的公园
[330.52-333.16] 在公园里边有蜿蜒的小道
[333.16-335.20] 有湖有小河
[336.08-339.58] 我可以说是完全是自然原生态环境
[340.14-342.64] 呃跟闹市一阶之隔
[342.64-343.36] 在里边呢
[343.36-347.08] 就幽深深的大黑大黑森林
[347.08-350.68] 但是因为加拿大的治安一直很好
[350.68-354.58] 所以这样的大面积存在的街心公园
[354.58-358.92] 并没有引起本地居民的足够的重视
