[0.56-2.16] Hello 大家好
[2.16-3.36] 再录一小段
[3.60-4.96] 这咱们今天都是小段
[6.48-9.16] 谈到塔克采访普京
[9.76-11.60] 很多人说我是普粉
[12.04-15.28] 我也不知道你们分析能力怎么那么低
[15.28-18.00] 所有的我的老朋友都知道
[18.00-19.92] 我他妈的痛恨普京入股
[20.08-20.52] 为什么
[21.08-23.24] 就是因为我认为
[23.24-24.76] 作为一个中国人来说
[25.04-26.48] 作为一个华裔来说
[26.48-28.44] 我们在对俄关系上
[28.76-30.32] 跟西方是高度一致的
[30.56-35.04] 可以说俄罗斯是中国的天敌
[35.44-36.52] 互为天敌
[36.80-40.52] 俄罗斯人不可能与中国人结为好友
[40.52-41.60] 俄罗斯这个国家
[41.60-44.68] 也不可能与中国成为良好的国家
[44.84-46.44] 我在上ESL班的时候
[46.44-47.44] 跟我走的最近的
[47.44-48.76] 就是个俄罗斯大叔
[48.76-49.44] 70了
[49.60-50.20] 今年都
[50.48-52.00] 特别想跟我交朋友
[52.00-53.36] 但是我不太喜欢他
[53.36-53.80] 为什么
[54.32-56.00] 虽然大家走的还是很近
[56.88-58.60] 但是我能感觉出来
[59.12-60.52] 他心里边瞧不起中国
[60.52-60.56] 他心里边瞧不起中国
[60.56-62.80] 他跟我交朋友
[62.80-64.48] 是因为他认为我不像中国人
[65.36-67.36] 因为我一些观点
[67.36-68.96] 一些表达那些自信
[69.12-70.88] 和我的ESL同学那种
[70.88-72.40] 为所所的状态不一样
[72.40-74.92] 所以他因为他跟我交朋友
[75.32-76.56] 我就开始挑你了
[76.56-78.64] 我操得不到的
[78.64-80.64] 这是永远躁动
[80.64-81.44] 那么得到的
[81.44-82.56] 那肯定有恃无恐
[82.56-85.00] 所以我就不愿意见他
[85.00-86.36] 然后Covid的时候
[86.36-87.36] 他没口罩
[87.64-88.72] 我还是打电话
[88.72-89.56] 让他上我们家来
[89.56-90.52] 给了他100个口罩
[90.52-91.64] 感恩带德走了
[91.64-94.56] 然后老是说约我来吃个饭
[94.60-95.32] 我一直没有答应
[95.32-95.68] 为什么
[95.68-98.00] 就是中国和俄国人
[98.36-99.88] 真的不可能成为朋友
[99.88-100.56] 就这么简单
[100.76-101.96] 可能成为夫妻
[101.96-103.00] 这我不否认
[103.60-106.44] 因为中国的男人和俄国娘们
[107.04-111.32] 还真的是能搞到一起去
[111.80-114.20] 但是你看俄国爷们和中国娘们
[114.20-115.04] 他就很少
[115.24-116.68] 所以这就很奇怪了
[116.96-120.08] 民族你得有清醒的认识
[120.08-120.28] 啊
