[0.59-2.59] Hello 大家好
[2.59-4.59] 今天再录一小段吧
[4.59-6.59] 做个双更吧
[6.59-8.59] 因为我这个实在是文思泉涌
[8.59-10.59] 滔滔不可收拾
[10.59-13.59] 而且明天我要去西雅图耍去
[13.59-15.59] 我估计明天没时间录了
[15.59-18.59] 今天就多录一段吧
[18.59-20.59] 今天弄点实际的
[20.59-24.59] 就是我前天的视频讲了
[24.59-26.59] 我们怎么去拯救自己的
[26.59-28.59] 加拿大华裔
[28.59-30.59] 华裔拯救自己的命运
[30.59-32.59] 积极参政议政
[32.59-34.59] 我也讲了加拿大政治ABC
[34.59-36.59] 我首先更正一下
[36.59-38.59] 我讲的有个错误
[38.59-40.59] 我把联邦的政党和市政党
[40.59-42.59] 省政党给搞混了
[42.59-44.59] 所以我说联邦保守党
[44.59-47.59] 我们要推PL泡脸上去
[47.59-48.59] PL泡脸
[48.59-50.59] 我们一定要选的是Federal
[50.59-51.59] Federal election
[51.59-53.59] 就是联邦大选
[53.59-55.59] 市选不一样的
[55.59-57.59] 你像我们列治文
[57.59-58.59] 什么温哥华
[58.59-61.59] 他的保守党NDP和自由党
[61.59-64.59] 他有的连名都不一样
[64.59-66.59] 所以我草率了
[66.59-67.59] 我潦草了
[67.59-71.59] 我没有研究我们本地城市
[71.59-73.59] 尤其BC城市的政党
[73.59-74.59] 你看我这方面
[74.59-75.59] 我也潦草了
[75.59-76.59] 我以为
[76.59-77.59] 我怎么一直以为
[77.59-78.59] 蓝的是保守党
[78.59-80.59] 我还投蓝的
[80.59-82.59] 搞不好我投错了
[82.59-83.59] 你看这是中国人的水平
[83.59-84.59] 就这了
[84.59-87.59] 他们都搞错了
[87.59-88.59] 你这
[88.59-90.59] 你想起你都走错门了
[90.59-92.59] 所以大家各自
[92.59-94.59] 大家城市在试选的时候
[94.59-97.59] 注意一下有独立候选人
[97.59-99.59] 然后有的党
[99.59-100.59] 他在本地
[100.59-102.59] 他也不叫他联邦的名字
[102.59-104.59] 他会改个名字
[104.59-105.59] 这样的话
[105.59-107.59] 比如说我们BC有个极右翼的党
[107.59-108.59] 他居然好像叫
[108.59-109.59] 他以前好像叫自由党
[109.59-111.59] 后来他搞了一个什么
[111.59-112.59] 深度联合党之类的
[112.59-114.59] 反正总之就是他们还不错
[114.59-116.59] 他们都挺保守的
[116.59-117.59] 大家选之前
[117.59-119.59] 因为各个城市都不一样
[119.59-121.59] 大家注意一下本地的问题
[121.59-123.59] 基本上就是这么个情况
[123.59-126.59] 省基本上跟联邦差不太多
[126.59-127.59] 你就让BC有点区别
[127.59-129.59] 我估计像阿尔伯塔那边的
[129.59-131.59] 老加拿大是省
[131.59-132.59] 尤其是东部
[132.59-134.59] 基本上保守党还是保守党
[134.59-135.59] 自由党还是自由党
[135.59-137.59] 如果说错了的话
[137.59-138.59] 再打脸没事
[138.59-139.59] 我还再承认错误
[139.59-141.59] 好了
[141.59-142.59] 老王
[142.59-143.59] 这个什么
[143.59-145.59] 这个是瑞秋
[145.59-146.59] 还是秋瑞
[146.59-147.59] 又来信了
[147.59-148.59] 秋瑞是谁
[148.59-151.59] 我原来讲过一期叫
[151.59-153.59] 中国房地产是共业
[153.59-155.59] 是大型共同犯罪现场
[155.59-157.59] 中国房地产这个行业
