[1.30-6.96] 哈喽,大家好,又见面了,长夜漫漫无心睡眠
[6.96-12.26] 刚才老王出去浪了一会儿,喝了一顿小酒回来了
[12.26-14.80] 跟大家再嘚啵嘚啵,再聊几句
[14.80-20.74] 因为最近工作态度不端正,整天出去玩,还是过年吧
[20.74-24.80] 这个狐朋狗友的,所以就把正事都耽误了
[24.80-30.50] 有的人出现了阶段反应,我也不在工作状态
[30.50-34.10] 所以今天晚上加个小班,也没什么正经事
[34.10-36.28] 就跟大家随便嘚啵嘚啵移民的事
[36.28-39.06] 因为我的信箱里积累了大量的朋友来信
[39.06-40.36] 我都没给你们念
[40.36-44.78] 很多是刚润出来,或者即将润出来的朋友
[44.78-47.96] 在想跟我交流,你看我都耽误了
[47.96-50.00] 然后在今天正式话题之前
[50.00-55.64] 我先插播一下今天白天录的政治话题
[55.64-59.72] 就是列治文西的乌乌,以及加拿大种族歧视的
[59.72-60.22] 这个
[60.22-60.48] 这个
[60.48-62.72] 历史这个话题
[62.72-64.26] 我他们没插麦克风
[64.26-66.66] 擦这个没有任何理由
[66.66-67.38] 这是我错了
[67.38-68.22] 对不起
[68.22-68.80] 对不起
[68.80-71.10] 这个我没有任何理由解释我的行为
[71.10-72.18] 我就是脑子有水
[72.18-72.96] 我就进屎了
[72.96-73.32] 脑子里
[73.32-73.68] 当时
[75.12-76.14] 全部都调好了
[76.14-78.24] 然后那个麦克风往手机里插了一下
[78.24-78.60] 忘了
[78.60-81.78] 然后就讲了一个多钟头
[81.78-83.88] 然后等我去剪片的时候
[83.88-84.58] 我忽然发现
[85.96-87.90] 没有怎么没有麦克风效果呀
[87.90-89.00] 我操一想完了
[89.00-90.20] 没没插麦克风
[90.48-93.02] 但是我扪心自问呢
[93.02-95.54] 又没有勇气再录一次了啊
[95.54-99.42] 因为我的这个经历和这个嗓音都已经用完了
[99.42-104.34] 所以我就用后期剪辑软件把声音编排了一下
[104.34-104.76] 呃
[104.76-108.04] 给各位收听收视造成了困扰
[108.04-109.56] 有很多朋友说嗯
[109.56-110.44] 有电流声啊
[110.44-110.92] 老王
[110.92-113.84] 我那耳机拔出来一半才有两个声音
[113.84-116.04] 还就是因为我没插麦克风
[116.04-116.84] 对不起啊
[116.84-117.92] 呃
[117.92-120.20] 以后应该不会再出现这种情况
[120.20-126.80] 但是就是老王可能会得将来可能会得老年痴呆症啊
[126.80-130.70] 就是因为我现在已经有名名词一望性反应了啊
[130.70-131.42] 这个他妈的
[131.42-133.04] 尤其是你看大家看啊
[133.04-134.76] 我跟大家聊天的时候
[134.76-143.52] 比如今天我讲那个我们bc前自由党的党魁就是后来的这个现在的这个保守党的mla党魁
[143.52-143.90] 赵安
[145.40-146.78] 赵安去年被开除
[146.78-147.44] 出党
[147.44-148.28] 他说了一句话
[148.28-150.02] 这这句话是老王一直同意的
[150.20-152.48] 咱这就因为这一句话就政治不正确
[152.48-154.10] 被开除出党什么话呢
[154.10-159.98] 他说这个地球变暖啊和燃烧石油二氧化碳增加之间未必有关联性
[159.98-161.30] 他不信呃
[161.30-164.00] 我觉得我也不信为什么
[164.00-166.82] 弟兄们听我说说为什么我不信啊
[166.82-167.60] 呃
[167.60-169.92] 你说我们加拿大是什么样的国家
[169.92-170.44] 你们清楚吗
[170.44-172.28] 加拿大其实跟沙特阿拉伯一样
[172.28-174.56] 加拿大是个石油以及天然气
[174.56-177.46] 这个极其丰富的这么个大国
[177.46-179.48] 如果你说呃
[179.48-179.96] 石油
[179.96-180.98] 不能用了
[180.98-182.60] 你将来都要用电
[182.60-185.48] 这个电车石油都不能烧了
[185.48-187.28] 那你加拿大的经济能好吗
[187.28-189.62] 你想想阿尔伯塔的经济能好吗
[189.62-193.34] 阿尔伯塔的石油资源油砂资源多么丰富啊
[193.34-193.88] 但是呢
[193.88-195.98] 就是一句话就给你否了
[195.98-199.30] 那这个东西到底地球变暖是真是假呀
[199.30-202.70] 但凡有点工科背景的理工科背景的
[202.70-206.38] 你别信他们那个文呃糊弄文科生的事
[206.38-208.28] 你你把那个时间线拉长
[208.28-209.60] 你不要看两呃一
[209.60-210.36] 两百年
[210.36-214.98] 这个一两百年在地球几十亿年里边就是连个须臾都不是
[214.98-216.44] 就是他妈啪一瞬间
[218.04-219.08] 零点一秒
[219.08-220.14] 如果地球二十四小时
[220.14-221.30] 两百年就是零点一秒
[221.30-223.76] 那你把地球历史拉长
[223.76-228.62] 有生命到今天大概大概其应该有四亿年的历史吧
[228.62-230.48] 那你这个四十一年地球是里边
[230.48-234.56] 这最近这四亿年的这个有生命存在条件的这个历史中
[234.56-238.18] 目前地球是他妈的兵器搞错了
[238.18-239.48] 现在的地球温度是分开了啊
[239.48-239.58] 现在的地球温度是分开了啊
[239.60-240.86] 非常冷的
[242.38-245.60] 你们知道白厄纪是什么温度吗
[245.60-248.78] 就大恐龙铺小朋友的那个时代
[248.78-249.98] 那个暴龙的时代
[249.98-251.36] 那比现在暖和的多啊
[252.68-253.70] 阿尔伯塔
[253.70-256.10] BC包括我们中国辽宁
[256.10-262.34] 北片都有大量的热带雨林的化石和恐龙的化石
[262.34-263.86] 那么再往近点拉
[263.86-264.84] 大家知道在
[266.84-269.48] 先秦周朝在洛阳郊外
[269.48-270.32] 是有犀牛的
[270.32-272.86] 在洛阳郊外是有犀牛的
[272.86-274.16] 你们听好没听错
[274.16-276.32] 那他妈是冷还是暖和
[276.32-280.04] 你在往呃纵深了
[280.04-282.20] 你就说在巨虫时代
[282.20-285.60] 地球那个时候海洋量百分之二十八
[285.60-290.96] 呃一个蜻蜓有一米多长一米多大的驿展
[290.96-293.12] 一个蜈蚣嗯
[293.12-294.88] 大概跟个小汽车那么大
[294.88-299.36] 那个时代地球的温度就是在南北极都有热带雨林
[299.36-305.62] 那你说地球变暖真的跟人类排放这一百年化石燃料有关系吗
[305.62-307.48] 你得打个大大问号
[307.48-308.42] 即使有关系
[308.42-309.62] 他也是好事啊
[309.62-310.64] 地球不是变暖
[310.64-314.18] 而是地球恢复正常的暖暖度才对吧
[314.18-315.92] 那在这逼逼逼逼逼逼逼逼
[315.92-317.30] 是真的是假的
[317.30-319.16] 这些真的要打个大大的问号
[319.16-320.42] 这不是我是反制啊
[320.42-323.60] 不是我反制是我我我提出问题
[323.60-325.34] 因为我亲眼干
[325.34-326.78] 看见过北极冰川
