[0.14-11.42] 好
[11.42-13.22] 来了
[13.22-14.00] 来了
[14.00-16.78] 现在效果特好
[16.78-18.36] 声音好极了
[18.36-19.24] 好极了
[19.24-22.60] 哈喽
[22.60-23.12] 大家好
[23.12-25.48] 干什么呢
[25.48-27.80] 你们都在这等着呢
[27.80-28.82] 哎呀
[28.82-29.64] 没迟到
[29.64-30.42] 大家好
[30.42-31.42] 今天加播一下
[31.42-34.08] 因为前天晚上没弄完
[34.08-35.74] 孩子们回来了
[35.74-37.10] 我也不敢泛黄了
[37.10-39.54] 前天晚上后半场18禁的节目
[39.54-43.40] 结果张教授带着孩子们进家门了
[43.40-45.34] 三个孩子鱼贯而入
[45.34-47.38] 我赶紧戛然而止
[47.38-48.58] 赶紧给夹断了
[48.58-50.18] 没弄完
[50.18-51.98] 所以大家都很不爽
[51.98-54.62] 但是后来我一看
[54.62-55.80] 时间还挺好的
[55.80-58.32] 我前天能聊一小时
[58.32-59.48] 我现在直播
[59.48-59.80] 动不动
[59.80-60.82] 俩小时超了
[60.82-62.62] 因为以前我都是
[62.62-64.76] 就是两个小时的话
[64.76-65.66] 都精疲力尽
[65.66-69.76] 所以没有办法持续
[69.76-70.54] 但是我现在
[70.54-73.18] 因为我调整直播频率以后
[73.18-75.72] 你别看就是一三五
[75.72-77.60] 然后有的时候还加个四
[77.60-79.24] 一周至少工作四天
[79.24-81.92] 但是跟一周工作七天相比
[81.92-83.54] 那真的是马上不一样
[83.54-85.00] 七管烟
[85.00-85.74] 不是七管烟
[85.74-87.24] 毕竟因为有小孩
[87.24-88.90] 老大听听
[88.90-89.32] 他
[89.48-90.46] 他听着他偷听
[90.46-91.20] 我也无所谓的
[91.20-91.78] 因为这个什么
[91.78-92.42] 反正他也都
[92.42-94.00] 他都应该应知应会
[94.00-95.82] 但是这个有时间限制
[95.82-97.44] 一个八岁
[97.44-98.86] 一个十一岁
[98.86-100.56] 他们这个年龄是不能学这个的
[100.56-104.42] 这不能一定要循序渐进
[104.42-105.58] 我给你举个例子
[105.58-106.88] 我就经常给大家举个例子
[106.88-109.70] 就是七岁八岁小男孩
[109.70-110.92] 看黄色录像下过
[110.92-111.42] 笑过
[111.42-113.90] 那要么他就吓着了
[113.90-115.50] 就觉得太恶心了
[115.50-117.58] 要么就是从此之后就长不高了
[117.58-119.44] 天天在家躲着手淹
[119.48-120.60] 八九岁小男孩
[120.60-121.44] 咱们就经常有
[121.44-123.18] 咱有教友给我写信
[123.18-124.54] 就是他九岁开始手淹
[124.54-125.64] 然后就个也没长高
[125.64-126.60] 积极也没长大
[126.60-128.38] 然后还有负罪感
[128.38-129.60] 好了
[129.60-131.38] 人民币汇率马上六了
[131.38-133.20] 如果他下去的话
[133.20-134.52] 估计奔五去了
[134.52-136.02] 他要是下去的话
[136.02-136.66] 很有可能
[136.66-138.62] 我今天话撂着
[138.62-139.42] 9月3号
[139.42-140.32] 我们看
[140.32-141.96] 9月3号
[141.96-143.60] 其实你看那个端倪能看出来
[143.60-145.70] 9月3号
[145.70-147.26] 如果我们掐指一算
[147.26-148.06] 9月3号
[148.06-149.46] 可能有大戏可看的
[149.48-151.20] 我们要看大戏了
[151.20-152.80] 吃瓜群众看大戏
[152.80-153.68] 9月3号
[153.68-156.52] 他有像
[156.52-159.18] 大家知道乌云罩顶像出来了
[159.18-160.04] 让我们看
[160.04-164.16] 咱们天机不可多泄露
[164.16-166.50] 我就告诉你们乌云罩顶就知道了
[166.50-168.14] 老教友都知道
[168.14-170.76] 我上一次说乌云罩顶是啥时候
[170.76-171.80] 好嘞
[171.80-174.58] 那俩小孩也听不懂中文
[174.58-175.76] 能听懂
[175.76-179.46] 只不过听的不好
[179.48-180.38] 不是很懂
[180.38-183.26] 他们的中文水平跟我们的英文水平差不多
[183.26-184.10] 能听懂的
[184.10-186.80] 你管这事他就马上都能听懂了
[186.80-189.10] 我这英语虽然不好
[189.10-190.88] 但是你接着我看A片的时候
[190.88-192.38] 我都能听懂
[192.38-195.26] 就是跟你有关系
[195.26-197.30] 你就啪就听懂了
[197.30-197.84] 好了
[197.84-202.82] 我们今天来不讲金融
[202.82-205.76] 今天我们来讲男女
[205.76-208.40] 今天我们是个泛黄的
[208.40-209.32] 泛黄的
[209.32-210.20] 泛黄专场
[210.20-211.78] 就是把上级的
[211.78-215.36] 我没说完的男女之间性爱的干货
[215.36-216.28] 告诉大家
[216.28-219.18] 很遗憾的就是什么
[219.18-219.92] 很遗憾
[219.92-223.93] 就是咱们中国的女性
[223.93-226.79] 70%没有性高超过
[226.79-229.05] 这是有科学数据统计的
[229.05-230.71] 70%的女性
[230.71-232.51] 包括咱们的观众
[232.51-235.85] 咱们的观众虽然素质很高
[235.85-239.19] 但是那也就是至少有30%
[239.19-240.55] 没有见过性高超过
[240.57-243.63] 尤其是贫困地区的穷人的
[243.63-245.73] 他是既穷困地区的
[245.73-247.89] 基本上这一辈子都没有
[247.89-250.45] 没有碰到过性高超
[250.45-253.09] 所以这就是为什么很多女权
[253.09-255.13] 就是我小时候那些女权主义者
[255.13-256.13] 包括穆兹美
[256.13-257.57] 他们讲解放音道
[257.57-260.09] 解放女性的性高超的自由
[260.09-261.81] 这个是有道理的
[261.81-263.89] 因为性高超是人
[263.89-265.97] 作为人这个动物
[265.97-266.99] 最高的一种
[266.99-268.37] 除了吸毒之外
[268.37-269.69] 它就是最高的享受了
